SQLDATE	GBR_empty_pos	GBR_empty_neg	USA_empty_pos	USA_empty_neg	GBR_COP_pos	GBR_COP_neg	USA_COP_pos	USA_COP_neg	GBR_MIL_pos	GBR_MIL_neg	USA_MIL_pos	USA_MIL_neg	GBR_NGO_pos	GBR_NGO_neg	USA_NGO_pos	USA_NGO_neg	GBR_DEV_pos	GBR_DEV_neg	USA_DEV_pos	USA_DEV_neg	GBR_CVL_pos	GBR_CVL_neg	USA_CVL_pos	USA_CVL_neg	GBR_REB_pos	GBR_REB_neg	USA_REB_pos	USA_REB_neg	GBR_REF_pos	GBR_REF_neg	USA_REF_pos	USA_REF_neg	GBR_AGR_pos	GBR_AGR_neg	USA_AGR_pos	USA_AGR_neg	GBR_CRM_pos	GBR_CRM_neg	USA_CRM_pos	USA_CRM_neg	GBR_SPY_pos	GBR_SPY_neg	USA_SPY_pos	USA_SPY_neg	GBR_RAD_pos	GBR_RAD_neg	USA_RAD_pos	USA_RAD_neg	GBR_SET_pos	GBR_SET_neg	USA_SET_pos	USA_SET_neg	GBR_JUD_pos	GBR_JUD_neg	USA_JUD_pos	USA_JUD_neg	GBR_SEP_pos	GBR_SEP_neg	USA_SEP_pos	USA_SEP_neg	GBR_BUS_pos	GBR_BUS_neg	USA_BUS_pos	USA_BUS_neg	GBR_UIS_pos	GBR_UIS_neg	USA_UIS_pos	USA_UIS_neg	GBR_MNC_pos	GBR_MNC_neg	USA_MNC_pos	USA_MNC_neg	GBR_UAF_pos	GBR_UAF_neg	USA_UAF_pos	USA_UAF_neg	GBR_ELI_pos	GBR_ELI_neg	USA_ELI_pos	USA_ELI_neg	GBR_IMG_pos	GBR_IMG_neg	USA_IMG_pos	USA_IMG_neg	GBR_EDU_pos	GBR_EDU_neg	USA_EDU_pos	USA_EDU_neg	GBR_HRI_pos	GBR_HRI_neg	USA_HRI_pos	USA_HRI_neg	GBR_ENV_pos	GBR_ENV_neg	USA_ENV_pos	USA_ENV_neg	GBR_IGO_pos	GBR_IGO_neg	USA_IGO_pos	USA_IGO_neg	GBR_GOV_pos	GBR_GOV_neg	USA_GOV_pos	USA_GOV_neg	GBR_MED_pos	GBR_MED_neg	USA_MED_pos	USA_MED_neg	GBR_OPP_pos	GBR_OPP_neg	USA_OPP_pos	USA_OPP_neg	GBR_LEG_pos	GBR_LEG_neg	USA_LEG_pos	USA_LEG_neg	GBR_INT_pos	GBR_INT_neg	USA_INT_pos	USA_INT_neg	GBR_LAB_pos	GBR_LAB_neg	USA_LAB_pos	USA_LAB_neg	GBR_INS_pos	GBR_INS_neg	USA_INS_pos	USA_INS_neg	GBR_HLH_pos	GBR_HLH_neg	USA_HLH_pos	USA_HLH_neg
20050111	1008.0	-383.0	2445.0	-1252.0	26.0	0.0	6.0	0.0	4.5	-4.5	155.5	-229.0	0.0	0.0	0.0	0.0	0.0	0.0	15.5	-3.5	0.0	0.0	0.0	-16.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.0	-26.0	0.0	0.0	0.0	0.0	23.0	-22.0	10.5	-24.0	0.0	0.0	0.0	0.0	0.0	0.0	158.5	-63.0	0.0	0.0	0.0	0.0	0.0	0.0	33.5	-1.0	0.0	0.0	0.0	0.0	0.0	-3.0	7.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	209.5	-8.5	735.5	-127.5	0.0	-2.0	161.0	0.0	0.0	0.0	6.0	0.0	17.0	0.0	126.0	-8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0
20050112	1087.0	-397.0	3137.0	-1265.0	0.0	-20.0	1.0	0.0	10.0	-6.0	78.5	-139.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	-18.0	0.0	-12.0	0.0	0.0	0.0	-25.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	-4.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.0	-6.0	0.0	0.0	0.0	0.0	14.0	-8.0	5.0	-8.0	0.0	0.0	0.0	0.0	0.0	-3.5	109.0	-22.0	7.0	0.0	0.0	0.0	7.0	-9.0	78.5	-11.0	0.0	0.0	0.0	0.0	0.0	-4.0	28.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	336.0	-49.0	814.5	-170.0	2.0	-3.5	245.5	-43.0	0.0	-20.0	3.0	-2.0	8.0	0.0	120.0	-27.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
20050113	858.0	-729.0	3475.0	-1473.0	7.0	0.0	15.0	0.0	54.0	-62.0	142.0	-65.0	0.0	0.0	5.0	-24.5	0.0	0.0	5.5	0.0	0.0	0.0	10.0	-18.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	-14.0	44.0	-16.0	0.0	0.0	0.0	0.0	1.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	78.0	-18.0	0.0	0.0	0.0	0.0	64.0	-37.0	84.5	-40.0	0.0	0.0	0.0	0.0	0.0	0.0	34.0	-4.0	0.0	0.0	7.0	-4.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	172.0	-62.0	794.5	-254.0	1.0	-20.0	253.5	-112.0	0.0	0.0	0.0	0.0	2.0	0.0	133.0	-9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-8.0	0.0	0.0
20050114	563.0	-247.0	2340.0	-1131.0	9.0	0.0	54.0	-3.0	9.0	0.0	90.0	-213.0	0.0	0.0	13.5	0.0	0.0	0.0	45.0	0.0	4.0	-27.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-6.0	42.0	-47.0	0.0	0.0	0.0	0.0	0.0	0.0	2.6666666666666665	0.0	0.0	0.0	0.0	0.0	14.0	0.0	24.666666666666664	0.0	0.0	0.0	0.0	0.0	3.0	-2.0	30.0	-8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-4.0	0.0	0.0	13.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	245.0	-53.0	466.0	-124.0	15.0	0.0	284.0	-15.0	4.0	0.0	0.0	-4.0	0.0	0.0	169.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-2.0	0.0	0.0	0.0	0.0	0.0	0.0	22.666666666666664	0.0
20050115	228.0	-79.0	1268.0	-1118.0	0.0	0.0	0.0	-10.0	0.0	0.0	178.0	-186.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	-12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-6.0	22.0	-9.0	11.0	0.0	0.0	0.0	0.0	0.0	33.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.0	-9.0	207.0	-110.0	0.0	0.0	154.0	-5.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0
20050116	295.0	-45.0	1355.0	-941.0	0.0	0.0	18.0	-4.0	0.0	0.0	443.0	-81.5	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	-12.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.5	-4.0	0.0	0.0	0.0	0.0	0.0	0.0	34.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	40.0	0.0	0.0	0.0	19.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	60.0	-3.0	162.0	-64.5	0.0	0.0	150.5	-9.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0
20050117	1328.0	-326.0	1912.0	-835.0	0.0	0.0	18.0	-8.0	28.0	0.0	90.0	-98.0	0.0	0.0	0.0	0.0	0.0	0.0	18.0	0.0	0.0	-4.0	0.0	-6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-3.0	0.0	0.0	0.0	0.0	1.0	0.0	26.0	-4.0	0.0	0.0	0.0	0.0	0.0	0.0	47.0	-14.0	0.0	0.0	9.0	0.0	1.5	-2.5	22.0	-5.5	0.0	0.0	0.0	0.0	0.0	0.0	19.0	-16.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	329.5	-23.5	444.0	-90.5	14.0	-10.0	179.0	-8.0	0.0	0.0	0.0	0.0	1.0	0.0	28.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-2.0
20050118	550.0	-257.0	2012.0	-1355.0	0.0	-11.0	0.0	-18.0	2.5	-12.5	56.0	-176.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	-8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.5	-21.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.5	-7.5	8.0	-11.0	0.0	0.0	0.0	0.0	10.0	-4.0	22.0	-18.0	0.0	0.0	0.0	0.0	0.0	0.0	93.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	47.0	-2.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	104.0	-80.0	656.5	-222.0	27.0	-6.0	329.0	-113.0	0.0	0.0	0.0	0.0	5.0	0.0	28.0	-6.0	0.0	0.0	0.0	0.0	3.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
20050119	544.0	-348.0	1925.0	-1168.0	0.0	0.0	33.0	0.0	6.0	0.0	132.0	-161.0	0.0	0.0	24.0	-9.0	0.0	0.0	0.0	0.0	8.0	0.0	43.0	-6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	-10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	54.0	-32.0	0.0	0.0	0.0	0.0	0.0	-2.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.0	-9.0	0.0	0.0	0.0	0.0	0.0	0.0	26.5	-12.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	2.0	-9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.0	-48.0	512.5	-247.0	4.0	0.0	106.0	-17.0	2.0	-12.0	2.0	0.0	0.0	0.0	46.0	0.0	0.0	0.0	0.0	0.0	0.0	-26.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
20050120	1069.0	-813.0	2539.0	-1642.0	0.0	-3.0	6.0	-14.0	20.0	-45.0	109.0	-176.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	2.0	-10.0	8.0	-5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	72.0	-46.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-21.0	0.0	0.0	0.0	0.0	4.0	-12.0	81.0	-45.0	0.0	0.0	0.0	0.0	12.0	-5.0	63.0	-23.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	160.0	-35.0	718.5	-233.5	8.0	0.0	243.5	-18.5	0.0	-10.0	0.0	0.0	0.0	0.0	35.0	-16.0	0.0	0.0	0.0	0.0	0.0	-66.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0
