dates.22.584.,X1,pred...1.,pred...2.,actual
8/3/2013,0.030901286,-0.067719118,0.04971424,1.264793021
8/5/2013,0.185178122,0.021605805,0.189532891,-0.243520908
8/6/2013,0.002640632,-0.058507128,0.009425456,-0.977514004
8/7/2013,-0.100142982,-0.097492606,-0.080878512,-0.980998929
8/8/2013,-0.025137703,-0.097677706,0.005606649,2.071793733
8/9/2013,0.286726675,0.064469027,0.325469058,2.191338111
8/10/2013,0.340119306,0.070818534,0.369846007,1.166759023
8/12/2013,0.211972581,0.016398805,0.257891175,2.598284728
8/13/2013,0.392317536,0.09243319,0.436503584,1.544444958
8/14/2013,0.29527553,0.036459302,0.327197308,0.596683253
8/15/2013,0.160649549,-0.013880331,0.185966655,2.815270168
8/16/2013,0.607688504,0.103958205,0.71006774,3.920787226
8/17/2013,0.531108983,0.162676892,0.548158456,0.881523422
8/19/2013,0.157214006,0.001248735,0.173609791,0.105296872
8/20/2013,0.173358128,-0.03997994,0.200393487,-1.089687788
8/21/2013,-0.064848067,-0.103450631,-0.05031579,-0.125580937
8/22/2013,-0.012215869,-0.052242837,-0.010119296,-0.083953383
8/23/2013,0.027885863,-0.050031822,0.037757683,1.533914145
8/24/2013,0.17446214,0.035899966,0.183986264,3.105407219
8/26/2013,0.299488317,0.119368611,0.348095365,0.186361624
8/27/2013,-0.102308541,-0.035674248,-0.1015601,0.93608291
8/28/2013,0.130180747,0.00414662,0.146510348,1.064065874
8/29/2013,0.047401997,0.010944337,0.056997086,-2.114248868
8/30/2013,-0.24537231,-0.157869404,-0.245326868,-1.677482187
8/31/2013,-0.229739373,-0.134670878,-0.261765339,-0.690939029
9/3/2013,-0.140141351,-0.082271397,-0.14774403,1.065005501
9/4/2013,-0.078582328,0.010994245,-0.117635002,-1.495712609
9/5/2013,-0.232374929,-0.125016326,-0.266168168,-2.032869104
9/6/2013,-0.396970701,-0.15354698,-0.436245061,0.194827729
9/7/2013,-0.084381735,-0.035224578,-0.114875189,1.825468663
9/9/2013,-0.054283205,0.05138566,-0.100519882,-0.468410511
9/10/2013,-0.251379557,-0.070451966,-0.306270175,-1.977466767
9/11/2013,-0.425590933,-0.150604328,-0.474719775,-0.912097791
9/12/2013,-0.305937404,-0.094018075,-0.348922694,-1.875592279
9/13/2013,-0.352832496,-0.145193343,-0.383423448,-3.478506085
9/14/2013,-0.462317146,-0.230330875,-0.485415412,1.592717575
9/16/2013,-0.031221539,0.039023265,-0.063499283,-0.921419654
9/17/2013,-0.203033997,-0.094513198,-0.23069583,-0.708800951
9/18/2013,-0.161694725,-0.08322012,-0.200193417,-0.675628626
9/19/2013,-0.079925345,-0.081458197,-0.089025723,6.041654406
9/20/2013,0.605152986,0.27532512,0.608398366,-1.987017518
9/21/2013,-0.213603064,-0.151111608,-0.229818955,-3.733235875
9/23/2013,-0.452970985,-0.243860652,-0.449071986,-0.325085408
9/24/2013,-0.193692178,-0.062839364,-0.210771778,-0.222697217
9/25/2013,-0.083287576,-0.057401094,-0.093209665,0.340990585
9/26/2013,-0.038123799,-0.02746125,-0.080333838,0.233414154
