"","as.Date(dates[783:804])","ex/100","upper/100","lower/100","actuals/100"
"1",2015-09-18,0.0212575833260863,0.0339119813790851,0.00860318527308747,0.0145544033879794
"2",2015-09-19,0.027323022257526,0.0406671197854446,0.0139789247296074,0.000296582384521571
"3",2015-09-21,-0.00845479175149606,0.00385757771776545,-0.0207671612207576,0.000573143311395352
"4",2015-09-22,0.0102936409288443,0.0232574829761602,-0.00267020111847155,-0.00993472223408842
"5",2015-09-23,0.00262333218712561,0.0139464885735678,-0.00869982419931659,-0.0153226317814057
"6",2015-09-24,-0.0115501274306708,0.000877907271031548,-0.0239781621323732,0.00817314020735349
"7",2015-09-25,0.0131098993893882,0.0291923896271451,-0.00297259084836856,0.0118478564558488
"8",2015-09-26,0.00354017062054835,0.0195995974375592,-0.0125192561964625,0.000562587919198609
"9",2015-09-28,0.000249947536982551,0.0157853434708918,-0.0152854483969267,-0.0178585115652652
"10",2015-09-29,-0.0121676460227754,0.00259231873356444,-0.0269276107791153,-0.0160042526077446
"11",2015-09-30,0.00361340719598632,0.0228445535198351,-0.0156177391278624,-0.000362836012373968
"12",2015-10-02,0.00313005132239393,0.0228195314008129,-0.016559428756025,0.0121484804634617
"13",2015-10-03,-0.0134846889226592,0.00532766984066425,-0.0322970476859827,0.033914433385315
"14",2015-10-05,0.00942946062332853,0.0288635821065328,-0.0100046608598758,0.00866580298883024
"15",2015-10-06,-0.0075241203061084,0.0112634687282557,-0.0263117093404725,0.0228286980740746
"16",2015-10-07,-0.00535774010219525,0.0133687793286973,-0.0240842595330878,0.0130287809644574
"17",2015-10-08,-0.0234075294359336,-0.0049721582992737,-0.0418429005725934,-0.0133971846374163
"18",2015-10-09,-0.0196457703362662,-0.00101022084040696,-0.0382813198321254,0.00498732026373405
"19",2015-10-10,-0.00300113825499381,0.0156289911723231,-0.0216312676823107,0.00186937190511038
"20",2015-10-12,-0.0116819287230425,0.00842110120105541,-0.0317849586471404,0.00325672656405107
"21",2015-10-13,-0.0192862415027803,0.000857514801234389,-0.0394299978067951,-0.00536001585945689
"22",2015-10-14,0.0331470120119066,0.0523165386893378,0.0139774853344755,0.0126038361112855
