"","wti","brent","gas","gasoline","ethylene","copper","uranium","gold","platinum","corn"
"2015-03-18 23:00:00",0.0018029922978311,-0.00527809638743548,0.0193309993365884,0.0225181859480079,0.0254097155253681,-0.0132574163808368,0.0075757938084573,0.00516386450351902,0.00478516907781668,-0.00381667294489674
"2015-03-19 23:00:00",0.00699790231739783,0.00260314101403658,-0.00764958597844645,0.0089739000981508,-0.0254097155253681,0.0232563826829653,0.01001259929243,0.0098026823689894,0.01616877960232,0.00401369139959584
"2015-03-20 17:00:00",0.024608849934491,0.00353885238778062,-0.00751204352772117,0.000968298092551834,0.0145987994211525,0.0308420785068071,-0.0226709961643534,0.00673842864851348,0.00731376145552343,0.00510236935474495
"2015-03-22 23:00:00",0.0302671101876775,0.00353885238778062,-0.0329784716655217,0.00339152114681163,0.0145987994211525,0.0151542253780814,-0.0226709961643534,0.00638946714594635,0.00736075774110212,0.0184789036527073
"2015-03-23 23:00:00",0.0131605110827366,0.00353885238778062,-0.00259261098996655,0.00600890217208949,0.0145987994211525,0.0145295365512181,-0.0226709961643534,0.00136136523372521,0.00392160948472853,0.0064648078152203
"2015-03-24 23:00:00",0.0181543011468785,0.00765753828844318,0.0166429476166643,0.00694804980474562,-0.0110092855083694,-0.0059768654166561,0,0.004332055693685,-0.00190223451186533,0.0055285623611443
"2015-03-25 23:00:00",0.0218741633014172,-0.00692017529781985,-0.0139437260066559,0.0134240990773495,-0.00369686188132601,-0.00325014746495444,0,0.00350101509581702,0.00361152138293619,0.00619118788519391
"2015-03-26 23:00:00",0.0502736193839337,-0.000310402361550999,-0.0155939005185683,0.0233348004390503,0.0219789067187752,0.00769507763032706,0,0.00785178822115196,0.00823927432784366,-0.00173345773586409
"2015-03-27 17:00:00",-0.0222865627902684,-0.00349868184597213,-0.0244269742942073,-0.0207136052471038,-0.0109290705321903,-0.01578922823753,-0.00253485560318811,-0.00411971314710691,-0.007955283748597,-0.00645803953202684
"2015-03-29 23:00:00",-0.0339203611185592,-0.00349868184597213,0.00134643887313146,-0.0229502611184111,-0.0109290705321903,-0.00792871355856928,-0.00253485560318811,-0.003146276488315,-0.00636907610531434,0.0019686232026217
"2015-03-30 23:00:00",0.000215903448816501,-0.00349868184597213,0.00161333726846713,-0.00173765387873193,-0.0109290705321903,0.00620748469113419,-0.00253485560318811,-0.00793035558960398,-0.012418623217104,0.00237368174369923
"2015-03-31 23:00:00",-0.0109923657465476,0.000999654049181231,0.0032188868994717,-0.00947281153917867,0.0035906681307285,-0.00979147401007552,0.00253485560318811,-0.001571980007534,0.00962417969611717,-0.00968830537577592
"2015-04-01 23:00:00",0.0204206006184071,-0.00801566904794981,-0.00854327433924729,0.0176767971799974,0.010695289116748,-0.00177405828137811,0,0.0104439877753473,0.0127123140312699,-0.0216179290398006
"2015-04-02 17:00:00",0.0135994868666249,-0.00801566904794981,0.0106100952668812,-0.00668810406487541,-0.00711746776886413,-0.00422795027020939,-0.00126662461519267,0.00481435954291687,0.00731727960419715,0.00804565323766582
"2015-04-05 23:00:00",0.0111552980282581,-0.00801566904794981,0.0137809749981126,-0.00519389595510145,-0.00711746776886413,0.00565351049889173,-0.00126662461519267,0.0125477968657313,0.016056584663275,0.0154537439018405
"2015-04-06 23:00:00",0.0255080562588614,-0.00801566904794981,-0.0106312672212379,0.0215918859296167,-0.00711746776886413,-0.00229098650511084,-0.00126662461519267,0.000427055622272299,0.00302445596045775,-0.00383044390714282
"2015-04-07 23:00:00",0.0257777275857642,-0.0058332030650643,0.00629576452871727,0.00865265665802895,0.00722024797348708,0.00271522893571596,0,-0.00608705669846721,-0.00614421785409025,-0.00558033583053508
"2015-04-08 23:00:00",-0.0151533179654639,0.000471050057777589,-0.0173581380137653,-0.0298774409676916,-0.00722024797348708,-0.00393112695009457,0,-0.00542073071580695,-0.00141020201452058,-0.00619396779932302
"2015-04-09 23:00:00",-0.0142836410277836,-0.00188553302513839,-0.0200061087311026,-0.011949461644158,0,-0.00243624026093503,0,-0.00717427573237739,-0.0104653901217011,-0.0071501753869736
"2015-04-10 17:00:00",0.000312929855925681,0.0164951389621653,-0.0176025854567715,0.0128164087013563,-0.00727275932907978,0.00449732921477253,-0.00127469743200059,0.00713586025654234,0.0108363516484591,-0.00125995327989958
"2015-04-12 23:00:00",0.0131574444117852,0.0164951389621653,-0.01777283543634,0.0148383058359993,-0.00727275932907978,-0.00241093342872212,-0.00127469743200059,0.00211411635503556,0.0108363516484591,-0.00593897984807779
"2015-04-13 23:00:00",0.0090694295959759,0.0164951389621653,0.00777435056313291,0.00333831058066814,-0.00727275932907978,-0.00345176073742692,-0.00127469743200059,-0.00505965551087062,0.0108363516484591,-0.00492812449697588
"2015-04-14 23:00:00",0.015556379708435,0.0164951389621653,0.00797819343985284,0.009303412083562,-0.0147061473896954,-0.0120329339602696,-0.00383877630716567,-0.00618613474295859,-0.00554367412586121,-0.00383420843892068
"2015-04-15 23:00:00",0.0387943970470421,0.0164951389621653,0.017859222270994,0.0331099683336182,0.0219789067187752,0.00485516409314179,0,0.00366987388375328,0.00188293644978632,0.00429596510136854
"2015-04-16 23:00:00",0.018791393438061,-0.0125513243889301,0.0243809168266141,0.0157438226554492,0.0143887374520995,0.0205825727335123,0,0.00320099592125977,0.00518449273263322,0.00217398550657677
"2015-04-17 17:00:00",-0.000868477657886224,-0.0108057998239559,0.00823179458892043,0.00231723764576408,-0.00716848947861237,0.0050957342498581,-0.00256739550524587,0.00156538934151662,0.00478041973749033,0.00101291141739779
