"Index" "CRB.Open" "CRB.High" "CRB.Low" "CRB.Close" "CRB.Volume" "CRB.Adjusted"
2013-01-01 0.045 0.045 0.045 0.045 0 0.045
2013-01-02 0.045 0.045 0.045 0.045 0 0.045
2013-01-03 0.045 0.045 0.045 0.045 0 0.045
2013-01-04 0.045 0.045 0.045 0.045 0 0.045
2013-01-07 0.045 0.045 0.045 0.045 4000 0.045
2013-01-08 0.045 0.045 0.045 0.045 0 0.045
2013-01-09 0.045 0.045 0.045 0.045 0 0.045
2013-01-10 0.045 0.045 0.045 0.045 0 0.045
2013-01-11 0.045 0.045 0.045 0.045 0 0.045
2013-01-14 0.045 0.045 0.045 0.045 0 0.045
2013-01-15 0.045 0.045 0.045 0.045 0 0.045
2013-01-16 0.06 0.06 0.06 0.06 1e+05 0.06
2013-01-17 0.06 0.06 0.06 0.06 0 0.06
2013-01-18 0.06 0.06 0.06 0.06 0 0.06
2013-01-21 0.06 0.06 0.06 0.06 0 0.06
2013-01-22 0.06 0.06 0.06 0.06 0 0.06
2013-01-23 0.06 0.06 0.06 0.06 0 0.06
2013-01-24 0.06 0.06 0.06 0.06 0 0.06
2013-01-25 0.06 0.06 0.06 0.06 0 0.06
2013-01-28 0.06 0.06 0.06 0.06 0 0.06
2013-01-29 0.06 0.06 0.06 0.06 0 0.06
2013-01-30 0.06 0.06 0.06 0.06 0 0.06
2013-01-31 0.06 0.06 0.06 0.06 0 0.06
2013-02-01 0.06 0.06 0.06 0.06 0 0.06
2013-02-04 0.045 0.045 0.045 0.045 13000 0.045
2013-02-05 0.045 0.045 0.045 0.045 0 0.045
2013-02-06 0.045 0.045 0.045 0.045 0 0.045
2013-02-07 0.045 0.045 0.045 0.045 2000 0.045
2013-02-08 0.045 0.045 0.045 0.045 0 0.045
2013-02-11 0.045 0.045 0.045 0.045 0 0.045
2013-02-12 0.045 0.045 0.045 0.045 15500 0.045
2013-02-13 0.045 0.045 0.045 0.045 0 0.045
2013-02-14 0.045 0.045 0.045 0.045 0 0.045
2013-02-15 0.05 0.05 0.05 0.05 32000 0.05
2013-02-18 0.05 0.05 0.05 0.05 0 0.05
2013-02-19 0.05 0.05 0.05 0.05 30000 0.05
2013-02-20 0.05 0.05 0.05 0.05 0 0.05
2013-02-21 0.05 0.05 0.05 0.05 2500 0.05
2013-02-22 0.05 0.05 0.05 0.05 0 0.05
2013-02-25 0.05 0.05 0.05 0.05 0 0.05
2013-02-26 0.05 0.05 0.05 0.05 0 0.05
2013-02-27 0.05 0.05 0.05 0.05 0 0.05
2013-02-28 0.05 0.05 0.05 0.05 0 0.05
2013-03-01 0.05 0.05 0.05 0.05 0 0.05
2013-03-04 0.05 0.05 0.05 0.05 3000 0.05
2013-03-05 0.05 0.05 0.05 0.05 0 0.05
2013-03-06 0.05 0.05 0.05 0.05 1000 0.05
2013-03-07 0.05 0.05 0.05 0.05 0 0.05
2013-03-08 0.05 0.05 0.05 0.05 0 0.05
2013-03-11 0.05 0.05 0.05 0.05 0 0.05
2013-03-12 0.045 0.045 0.045 0.045 3000 0.045
2013-03-13 0.045 0.045 0.045 0.045 0 0.045
2013-03-14 0.045 0.045 0.045 0.045 0 0.045
2013-03-15 0.045 0.045 0.045 0.045 0 0.045
2013-03-18 0.045 0.045 0.045 0.045 0 0.045
2013-03-19 0.05 0.05 0.05 0.05 25000 0.05
2013-03-20 0.05 0.05 0.05 0.05 0 0.05
2013-03-21 0.05 0.05 0.05 0.05 12000 0.05
2013-03-22 0.05 0.05 0.05 0.05 0 0.05
2013-03-25 0.05 0.05 0.05 0.05 0 0.05
2013-03-26 0.05 0.05 0.05 0.05 0 0.05
2013-03-27 0.045 0.045 0.045 0.045 2000 0.045
2013-03-28 0.045 0.045 0.045 0.045 0 0.045
2013-03-29 0.045 0.045 0.045 0.045 0 0.045
2013-04-01 0.045 0.045 0.045 0.045 97000 0.045
2013-04-02 0.045 0.045 0.045 0.045 0 0.045
2013-04-03 0.04 0.04 0.04 0.04 5000 0.04
2013-04-04 0.04 0.04 0.04 0.04 0 0.04
2013-04-05 0.035 0.035 0.035 0.035 5000 0.035
2013-04-08 0.035 0.035 0.035 0.035 0 0.035
2013-04-09 0.035 0.035 0.035 0.035 0 0.035
2013-04-10 0.035 0.035 0.035 0.035 0 0.035
2013-04-11 0.035 0.035 0.035 0.035 0 0.035
2013-04-12 0.035 0.035 0.035 0.035 0 0.035
2013-04-15 0.035 0.035 0.035 0.035 0 0.035
2013-04-16 0.035 0.035 0.035 0.035 45000 0.035
2013-04-17 0.035 0.035 0.035 0.035 0 0.035
2013-04-18 0.035 0.035 0.035 0.035 0 0.035
2013-04-19 0.035 0.035 0.035 0.035 0 0.035
2013-04-22 0.035 0.035 0.035 0.035 0 0.035
2013-04-23 0.035 0.035 0.035 0.035 0 0.035
2013-04-24 0.035 0.035 0.035 0.035 0 0.035
2013-04-25 0.035 0.035 0.035 0.035 0 0.035
2013-04-26 0.035 0.035 0.035 0.035 0 0.035
2013-04-29 0.035 0.035 0.035 0.035 0 0.035
2013-04-30 0.035 0.035 0.035 0.035 0 0.035
2013-05-01 0.035 0.035 0.035 0.035 0 0.035
2013-05-02 0.035 0.035 0.035 0.035 0 0.035
2013-05-03 0.035 0.035 0.035 0.035 0 0.035
2013-05-06 0.035 0.035 0.035 0.035 0 0.035
2013-05-07 0.035 0.035 0.035 0.035 0 0.035
2013-05-08 0.035 0.035 0.035 0.035 0 0.035
2013-05-09 0.035 0.035 0.035 0.035 0 0.035
2013-05-10 0.035 0.035 0.035 0.035 0 0.035
2013-05-13 0.035 0.035 0.035 0.035 0 0.035
2013-05-14 0.035 0.035 0.035 0.035 7500 0.035
2013-05-15 0.035 0.035 0.035 0.035 0 0.035
2013-05-16 0.035 0.035 0.035 0.035 0 0.035
2013-05-17 0.035 0.035 0.035 0.035 0 0.035
2013-05-20 0.035 0.035 0.035 0.035 0 0.035
2013-05-21 0.035 0.035 0.035 0.035 10000 0.035
2013-05-22 0.035 0.035 0.035 0.035 0 0.035
2013-05-23 0.035 0.035 0.035 0.035 2500 0.035
2013-05-24 0.035 0.035 0.035 0.035 0 0.035
2013-05-27 0.045 0.045 0.045 0.045 75000 0.045
2013-05-28 0.045 0.045 0.04 0.04 2e+05 0.04
2013-05-29 0.04 0.04 0.04 0.04 0 0.04
2013-05-30 0.04 0.04 0.04 0.04 0 0.04
2013-05-31 0.04 0.04 0.04 0.04 0 0.04
2013-06-03 0.035 0.035 0.035 0.035 10000 0.035
2013-06-04 0.035 0.035 0.035 0.035 0 0.035
2013-06-05 0.035 0.035 0.035 0.035 0 0.035
2013-06-06 0.04 0.04 0.04 0.04 1000 0.04
2013-06-07 0.04 0.04 0.04 0.04 0 0.04
2013-06-10 0.04 0.04 0.04 0.04 0 0.04
2013-06-11 0.04 0.04 0.04 0.04 0 0.04
2013-06-12 0.035 0.035 0.035 0.035 25000 0.035
2013-06-13 0.035 0.035 0.035 0.035 0 0.035
2013-06-14 0.035 0.035 0.035 0.035 0 0.035
2013-06-17 0.035 0.035 0.035 0.035 0 0.035
2013-06-18 0.035 0.035 0.035 0.035 0 0.035
2013-06-19 0.035 0.035 0.03 0.03 30000 0.03
2013-06-20 0.03 0.03 0.03 0.03 0 0.03
2013-06-21 0.03 0.03 0.025 0.03 56000 0.03
2013-06-24 0.03 0.03 0.03 0.03 0 0.03
2013-06-25 0.03 0.03 0.03 0.03 0 0.03
2013-06-26 0.03 0.03 0.03 0.03 0 0.03
2013-06-27 0.03 0.03 0.03 0.03 0 0.03
2013-06-28 0.03 0.03 0.03 0.03 0 0.03
2013-07-01 0.03 0.03 0.03 0.03 0 0.03
2013-07-02 0.03 0.03 0.03 0.03 0 0.03
2013-07-03 0.03 0.03 0.03 0.03 0 0.03
2013-07-04 0.03 0.03 0.03 0.03 0 0.03
2013-07-05 0.03 0.03 0.03 0.03 0 0.03
2013-07-08 0.03 0.03 0.03 0.03 0 0.03
2013-07-09 0.03 0.03 0.03 0.03 0 0.03
2013-07-10 0.03 0.03 0.03 0.03 0 0.03
2013-07-11 0.04 0.04 0.04 0.04 88000 0.04
2013-07-12 0.04 0.04 0.04 0.04 0 0.04
2013-07-15 0.04 0.04 0.04 0.04 0 0.04
2013-07-16 0.04 0.04 0.04 0.04 0 0.04
2013-07-17 0.04 0.04 0.04 0.04 0 0.04
2013-07-18 0.04 0.04 0.04 0.04 0 0.04
2013-07-19 0.04 0.04 0.04 0.04 4500 0.04
2013-07-22 0.04 0.04 0.04 0.04 0 0.04
2013-07-23 0.04 0.04 0.04 0.04 0 0.04
2013-07-24 0.04 0.04 0.04 0.04 0 0.04
2013-07-25 0.04 0.04 0.04 0.04 51000 0.04
2013-07-26 0.04 0.04 0.04 0.04 0 0.04
2013-07-29 0.04 0.04 0.04 0.04 0 0.04
2013-07-30 0.04 0.04 0.04 0.04 0 0.04
2013-07-31 0.04 0.04 0.04 0.04 0 0.04
2013-08-01 0.04 0.04 0.04 0.04 0 0.04
2013-08-02 0.04 0.04 0.04 0.04 0 0.04
2013-08-05 0.04 0.04 0.04 0.04 0 0.04
2013-08-06 0.04 0.04 0.04 0.04 6500 0.04
2013-08-07 0.04 0.04 0.04 0.04 0 0.04
2013-08-08 0.04 0.04 0.04 0.04 0 0.04
2013-08-09 0.04 0.04 0.04 0.04 0 0.04
2013-08-12 0.04 0.04 0.04 0.04 0 0.04
2013-08-13 0.04 0.04 0.04 0.04 0 0.04
2013-08-14 0.04 0.04 0.04 0.04 0 0.04
2013-08-15 0.04 0.04 0.04 0.04 0 0.04
2013-08-16 0.04 0.04 0.04 0.04 0 0.04
2013-08-19 0.04 0.04 0.04 0.04 0 0.04
2013-08-20 0.04 0.04 0.04 0.04 0 0.04
2013-08-21 0.04 0.04 0.04 0.04 0 0.04
2013-08-22 0.04 0.04 0.04 0.04 0 0.04
2013-08-23 0.05 0.05 0.05 0.05 60000 0.05
2013-08-26 0.05 0.05 0.05 0.05 0 0.05
2013-08-27 0.05 0.05 0.05 0.05 0 0.05
2013-08-28 0.045 0.045 0.045 0.045 2700 0.045
2013-08-29 0.045 0.045 0.045 0.045 0 0.045
2013-08-30 0.045 0.045 0.045 0.045 7000 0.045
2013-09-02 0.045 0.045 0.045 0.045 0 0.045
2013-09-03 0.045 0.045 0.045 0.045 0 0.045
2013-09-04 0.045 0.045 0.045 0.045 0 0.045
2013-09-05 0.045 0.045 0.045 0.045 0 0.045
2013-09-06 0.045 0.045 0.045 0.045 0 0.045
2013-09-09 0.045 0.045 0.045 0.045 0 0.045
2013-09-10 0.045 0.045 0.045 0.045 0 0.045
2013-09-11 0.045 0.045 0.045 0.045 0 0.045
2013-09-12 0.045 0.045 0.045 0.045 0 0.045
2013-09-13 0.045 0.045 0.045 0.045 0 0.045
2013-09-16 0.045 0.045 0.045 0.045 0 0.045
2013-09-17 0.045 0.045 0.045 0.045 0 0.045
2013-09-18 0.045 0.045 0.045 0.045 0 0.045
