"Index" "USD.MXN"
2013-08-23 13.0277
2013-08-24 12.9567
2013-08-25 12.9567
2013-08-26 13.0455
2013-08-27 13.2558
2013-08-28 13.2802
2013-08-29 13.3059
2013-08-30 13.3442
2013-08-31 13.3798
2013-09-01 13.3798
2013-09-02 13.317
2013-09-03 13.3779
2013-09-04 13.3562
2013-09-05 13.3649
2013-09-06 13.3149
2013-09-07 13.1629
2013-09-08 13.1629
2013-09-09 13.1703
2013-09-10 13.097
2013-09-11 13.0811
2013-09-12 13.0732
2013-09-13 13.0787
2013-09-14 13.0424
2013-09-15 13.0424
2013-09-16 12.9325
2013-09-17 12.9391
2013-09-18 12.9051
2013-09-19 12.6586
2013-09-20 12.7501
2013-09-21 12.8578
2013-09-22 12.8578
2013-09-23 12.8354
2013-09-24 12.8477
2013-09-25 12.9656
2013-09-26 13.0155
2013-09-27 13.1184
2013-09-28 13.1427
2013-09-29 13.1427
2013-09-30 13.1858
2013-10-01 13.1082
2013-10-02 13.168
2013-10-03 13.1554
2013-10-04 13.141
2013-10-05 13.0838
2013-10-06 13.0838
2013-10-07 13.1307
2013-10-08 13.1374
2013-10-09 13.1859
2013-10-10 13.1379
2013-10-11 13.0626
2013-10-12 12.9956
2013-10-13 12.9956
2013-10-14 13.0188
2013-10-15 12.9841
2013-10-16 12.9411
2013-10-17 12.8209
2013-10-18 12.7956
2013-10-19 12.8566
2013-10-20 12.8566
2013-10-21 12.8843
2013-10-22 12.9427
2013-10-23 12.9126
2013-10-24 12.9802
2013-10-25 12.9491
2013-10-26 12.881
2013-10-27 12.881
2013-10-28 12.8647
2013-10-29 12.9011
2013-10-30 12.9013
2013-10-31 12.969
2013-11-01 13.0448
2013-11-02 13.0606
2013-11-03 13.0606
2013-11-04 13.0234
2013-11-05 13.0517
2013-11-06 13.138
2013-11-07 13.1738
2013-11-08 13.2252
2013-11-09 13.1698
2013-11-10 13.1697
2013-11-11 13.1823
2013-11-12 13.2242
2013-11-13 13.1581
2013-11-14 13.0307
2013-11-15 12.9603
2013-11-16 12.9348
2013-11-17 12.9346
2013-11-18 12.9033
2013-11-19 12.9027
2013-11-20 12.9842
2013-11-21 13.0937
2013-11-22 13.0288
2013-11-23 12.9686
2013-11-24 12.9684
2013-11-25 13.0041
2013-11-26 13.0636
2013-11-27 13.0826
2013-11-28 13.1047
2013-11-29 13.0846
2013-11-30 13.1073
2013-12-01 13.1073
2013-12-02 13.1493
2013-12-03 13.2162
2013-12-04 13.1149
2013-12-05 13.0426
2013-12-06 13.0435
2013-12-07 12.9326
2013-12-08 12.9328
2013-12-09 12.8808
2013-12-10 12.8465
2013-12-11 12.89
2013-12-12 13.025
2013-12-13 12.9663
2013-12-14 12.8833
2013-12-15 12.8829
2013-12-16 12.9169
2013-12-17 12.9429
2013-12-18 12.9654
2013-12-19 12.9376
2013-12-20 12.9854
2013-12-21 12.9793
2013-12-22 12.9792
2013-12-23 12.972
2013-12-24 13.0034
2013-12-25 13.0254
2013-12-26 13.0375
2013-12-27 13.0754
2013-12-28 13.0568
2013-12-29 13.0567
2013-12-30 13.0697
2013-12-31 13.0819
2014-01-01 13.0952
2014-01-02 13.0899
2014-01-03 13.1188
2014-01-04 13.1035
2014-01-05 13.1035
2014-01-06 13.1106
2014-01-07 13.072
2014-01-08 13.0389
2014-01-09 13.1302
2014-01-10 13.0641
2014-01-11 12.9688
2014-01-12 12.9686
2014-01-13 12.9962
2014-01-14 13.0949
2014-01-15 13.1306
2014-01-16 13.2453
2014-01-17 13.2719
2014-01-18 13.245
2014-01-19 13.2448
2014-01-20 13.2457
2014-01-21 13.2671
2014-01-22 13.2872
2014-01-23 13.3489
2014-01-24 13.4517
2014-01-25 13.4586
2014-01-26 13.4582
2014-01-27 13.4364
2014-01-28 13.315
2014-01-29 13.2658
2014-01-30 13.378
2014-01-31 13.3688
2014-02-01 13.3576
2014-02-02 13.357
2014-02-03 13.39
2014-02-04 13.4496
2014-02-05 13.3353
2014-02-06 13.2587
2014-02-07 13.289
2014-02-08 13.2823
2014-02-09 13.2824
2014-02-10 13.2956
2014-02-11 13.3043
2014-02-12 13.2979
2014-02-13 13.335
2014-02-14 13.2606
2014-02-15 13.2387
2014-02-16 13.2386
2014-02-17 13.2217
2014-02-18 13.2154
2014-02-19 13.2649
2014-02-20 13.326
2014-02-21 13.2823
2014-02-22 13.2614
2014-02-23 13.2613
2014-02-24 13.2577
2014-02-25 13.2503
2014-02-26 13.2597
2014-02-27 13.3264
2014-02-28 13.2559
2014-03-01 13.2489
2014-03-02 13.2486
2014-03-03 13.3037
2014-03-04 13.296
2014-03-05 13.2676
2014-03-06 13.2086
2014-03-07 13.1664
2014-03-08 13.1916
2014-03-09 13.1917
2014-03-10 13.2132
2014-03-11 13.2317
2014-03-12 13.2836
2014-03-13 13.2371
2014-03-14 13.2688
2014-03-15 13.2111
2014-03-16 13.2111
2014-03-17 13.2062
2014-03-18 13.1757
2014-03-19 13.1736
2014-03-20 13.2833
2014-03-21 13.2439
2014-03-22 13.2329
2014-03-23 13.2329
2014-03-24 13.2084
2014-03-25 13.1659
2014-03-26 13.1217
2014-03-27 13.1169
2014-03-28 13.0724
2014-03-29 13.0727
2014-03-30 13.0727
2014-03-31 13.0621
2014-04-01 13.0537
2014-04-02 13.0718
2014-04-03 13.1136
2014-04-04 13.0879
2014-04-05 13.0048
2014-04-06 13.0048
2014-04-07 13.0214
2014-04-08 12.9946
2014-04-09 13.0445
2014-04-10 13.0067
2014-04-11 13.0587
2014-04-12 13.0424
2014-04-13 13.0424
2014-04-14 13.0651
2014-04-15 13.0569
2014-04-16 13.0709
2014-04-17 13.0612
2014-04-18 13.0538
