"Index" "NOB.Open" "NOB.High" "NOB.Low" "NOB.Close" "NOB.Volume" "NOB.Adjusted"
2013-03-05 0.045 0.045 0.04 0.04 115000 0.04
2013-03-06 0.045 0.045 0.045 0.045 10000 0.045
2013-03-07 0.05 0.05 0.05 0.05 61000 0.05
2013-03-08 0.05 0.05 0.05 0.05 36500 0.05
2013-03-11 0.055 0.075 0.055 0.075 185000 0.075
2013-03-12 0.06 0.06 0.05 0.05 741000 0.05
2013-03-13 0.045 0.05 0.045 0.05 469000 0.05
2013-03-14 0.05 0.05 0.05 0.05 380000 0.05
2013-03-15 0.05 0.055 0.05 0.05 1421500 0.05
2013-03-18 0.05 0.05 0.05 0.05 121800 0.05
2013-03-19 0.045 0.045 0.045 0.045 2e+05 0.045
2013-03-20 0.045 0.05 0.045 0.05 70000 0.05
2013-03-21 0.05 0.05 0.05 0.05 0 0.05
2013-03-22 0.05 0.05 0.05 0.05 0 0.05
2013-03-25 0.05 0.05 0.045 0.045 6600 0.045
2013-03-26 0.045 0.045 0.045 0.045 0 0.045
2013-03-27 0.045 0.045 0.04 0.045 352000 0.045
2013-03-28 0.045 0.045 0.045 0.045 30000 0.045
2013-03-29 0.045 0.045 0.045 0.045 0 0.045
2013-04-01 0.045 0.045 0.045 0.045 0 0.045
2013-04-02 0.04 0.04 0.035 0.035 258300 0.035
2013-04-03 0.035 0.04 0.035 0.04 66000 0.04
2013-04-04 0.04 0.04 0.04 0.04 0 0.04
2013-04-05 0.04 0.04 0.04 0.04 0 0.04
2013-04-08 0.04 0.04 0.04 0.04 9000 0.04
2013-04-09 0.04 0.04 0.04 0.04 20500 0.04
2013-04-10 0.045 0.045 0.04 0.04 101200 0.04
2013-04-11 0.04 0.04 0.04 0.04 0 0.04
2013-04-12 0.035 0.035 0.035 0.035 43000 0.035
2013-04-15 0.035 0.035 0.035 0.035 0 0.035
2013-04-16 0.04 0.04 0.04 0.04 12500 0.04
2013-04-17 0.035 0.035 0.035 0.035 6300 0.035
2013-04-18 0.035 0.035 0.035 0.035 15000 0.035
2013-04-19 0.035 0.035 0.035 0.035 0 0.035
2013-04-22 0.04 0.045 0.03 0.045 136400 0.045
2013-04-23 0.045 0.05 0.045 0.05 476500 0.05
2013-04-24 0.05 0.05 0.045 0.05 308500 0.05
2013-04-25 0.05 0.05 0.05 0.05 0 0.05
