"Index" "USD.NOK"
2013-09-26 5.9965
2013-09-27 5.9871
2013-09-28 5.989
2013-09-29 5.989
2013-09-30 6.0071
2013-10-01 6.0007
2013-10-02 6.0071
2013-10-03 5.9843
2013-10-04 5.9596
2013-10-05 5.971
2013-10-06 5.971
2013-10-07 5.975
2013-10-08 5.9656
2013-10-09 5.9887
2013-10-10 6.027
2013-10-11 6.0169
2013-10-12 5.9996
2013-10-13 5.9996
2013-10-14 5.9914
2013-10-15 6
2013-10-16 6.0151
2013-10-17 5.9617
2013-10-18 5.92
2013-10-19 5.9014
2013-10-20 5.9014
2013-10-21 5.9137
2013-10-22 5.9171
2013-10-23 5.908
2013-10-24 5.9025
2013-10-25 5.8946
2013-10-26 5.8933
2013-10-27 5.8933
2013-10-28 5.8902
2013-10-29 5.9011
2013-10-30 5.8912
2013-10-31 5.9229
2013-11-01 5.9567
2013-11-02 5.9714
2013-11-03 5.9714
2013-11-04 5.9579
2013-11-05 5.9693
2013-11-06 5.9695
2013-11-07 5.9873
2013-11-08 6.0875
2013-11-09 6.1356
2013-11-10 6.1355
2013-11-11 6.1442
2013-11-12 6.1768
2013-11-13 6.1966
2013-11-14 6.1777
2013-11-15 6.142
2013-11-16 6.107
2013-11-17 6.107
2013-11-18 6.1145
2013-11-19 6.1081
2013-11-20 6.0934
2013-11-21 6.1182
2013-11-22 6.0848
2013-11-23 6.0649
2013-11-24 6.065
2013-11-25 6.0945
2013-11-26 6.1026
2013-11-27 6.0918
2013-11-28 6.0991
2013-11-29 6.1062
2013-11-30 6.1281
2013-12-01 6.128
2013-12-02 6.1282
2013-12-03 6.1123
2013-12-04 6.1207
2013-12-05 6.1585
2013-12-06 6.1593
2013-12-07 6.1515
2013-12-08 6.1514
2013-12-09 6.1457
2013-12-10 6.1249
2013-12-11 6.1152
2013-12-12 6.158
2013-12-13 6.1953
2013-12-14 6.1792
2013-12-15 6.1791
2013-12-16 6.1636
2013-12-17 6.1408
2013-12-18 6.1085
2013-12-19 6.1407
2013-12-20 6.1579
2013-12-21 6.1631
2013-12-22 6.1631
2013-12-23 6.154
2013-12-24 6.1546
2013-12-25 6.1465
2013-12-26 6.1489
2013-12-27 6.1252
2013-12-28 6.1467
2013-12-29 6.1466
2013-12-30 6.1211
2013-12-31 6.0758
2014-01-01 6.0619
2014-01-02 6.1125
2014-01-03 6.1545
2014-01-04 6.1511
2014-01-05 6.151
2014-01-06 6.1669
2014-01-07 6.1678
2014-01-08 6.1851
2014-01-09 6.1953
2014-01-10 6.1699
2014-01-11 6.1442
2014-01-12 6.144
2014-01-13 6.1343
2014-01-14 6.1092
2014-01-15 6.1105
2014-01-16 6.1517
2014-01-17 6.1762
2014-01-18 6.1554
2014-01-19 6.1552
2014-01-20 6.1717
2014-01-21 6.1805
2014-01-22 6.1677
2014-01-23 6.1351
2014-01-24 6.1183
2014-01-25 6.143
2014-01-26 6.1432
2014-01-27 6.1536
2014-01-28 6.147
2014-01-29 6.154
2014-01-30 6.2064
2014-01-31 6.2636
2014-02-01 6.2803
2014-02-02 6.2803
2014-02-03 6.2748
2014-02-04 6.2913
2014-02-05 6.2684
2014-02-06 6.2247
2014-02-07 6.2021
2014-02-08 6.1767
2014-02-09 6.1767
2014-02-10 6.1562
2014-02-11 6.125
2014-02-12 6.1252
2014-02-13 6.1064
2014-02-14 6.0968
2014-02-15 6.0778
2014-02-16 6.0779
2014-02-17 6.0769
2014-02-18 6.0673
2014-02-19 6.0449
2014-02-20 6.0903
2014-02-21 6.0946
2014-02-22 6.0771
2014-02-23 6.0772
2014-02-24 6.0555
2014-02-25 6.0314
2014-02-26 6.0484
2014-02-27 6.0523
2014-02-28 6.0196
2014-03-01 6.002
2014-03-02 6.002
2014-03-03 6.0271
2014-03-04 6.0295
2014-03-05 6.0055
2014-03-06 5.989
2014-03-07 5.9746
2014-03-08 5.9871
2014-03-09 5.9869
2014-03-10 5.9744
2014-03-11 5.9561
2014-03-12 5.9617
2014-03-13 5.9411
2014-03-14 5.9742
2014-03-15 5.975
2014-03-16 5.975
2014-03-17 5.9622
2014-03-18 5.959
2014-03-19 5.9741
2014-03-20 6.0558
2014-03-21 6.0632
2014-03-22 6.053
2014-03-23 6.053
2014-03-24 6.0495
2014-03-25 6.0287
2014-03-26 6.0392
2014-03-27 6.0274
2014-03-28 6.0025
2014-03-29 6.0069
2014-03-30 6.0069
2014-03-31 5.9977
2014-04-01 5.98
2014-04-02 5.9749
2014-04-03 5.9859
2014-04-04 6.0015
2014-04-05 5.9997
2014-04-06 5.9997
2014-04-07 5.9985
2014-04-08 5.9809
2014-04-09 5.9628
2014-04-10 5.9289
2014-04-11 5.9323
2014-04-12 5.9374
2014-04-13 5.9374
2014-04-14 5.9563
2014-04-15 5.9625
2014-04-16 5.96
2014-04-17 5.9761
2014-04-18 5.9869
2014-04-19 5.9876
2014-04-20 5.9876
2014-04-21 5.9877
2014-04-22 5.988
2014-04-23 5.9873
2014-04-24 5.9939
2014-04-25 5.999
2014-04-26 6.0218
2014-04-27 6.0218
2014-04-28 6.0077
2014-04-29 5.9974
2014-04-30 5.9822
2014-05-01 5.943
2014-05-02 5.9481
2014-05-03 5.9361
2014-05-04 5.9361
2014-05-05 5.948
2014-05-06 5.9349
2014-05-07 5.9156
2014-05-08 5.893
2014-05-09 5.9021
2014-05-10 5.9101
2014-05-11 5.9101
2014-05-12 5.9149
2014-05-13 5.9227
2014-05-14 5.9212
2014-05-15 5.9346
2014-05-16 5.9438
2014-05-17 5.935
2014-05-18 5.935
2014-05-19 5.9332
2014-05-20 5.9393
2014-05-21 5.9548
2014-05-22 5.9478
2014-05-23 5.9572
2014-05-24 5.9608
2014-05-25 5.9608
2014-05-26 5.9622
2014-05-27 5.9575
2014-05-28 5.9592
2014-05-29 5.9628
2014-05-30 5.9729
2014-05-31 5.9738
2014-06-01 5.9738
2014-06-02 5.9892
2014-06-03 5.9979
2014-06-04 6.0017
2014-06-05 5.9979
2014-06-06 5.9704
2014-06-07 5.9458
2014-06-08 5.9458
2014-06-09 5.9562
2014-06-10 5.9731
2014-06-11 5.9877
2014-06-12 5.996
2014-06-13 5.9935
2014-06-14 5.994
2014-06-15 5.994
2014-06-16 5.9951
2014-06-17 5.9949
2014-06-18 6.0126
2014-06-19 6.0626
2014-06-20 6.1287
2014-06-21 6.119
2014-06-22 6.119
2014-06-23 6.1233
2014-06-24 6.109
2014-06-25 6.1267
2014-06-26 6.1366
2014-06-27 6.1328
2014-06-28 6.1265
2014-06-29 6.1265
2014-06-30 6.1384
2014-07-01 6.1508
2014-07-02 6.1706
2014-07-03 6.1884
2014-07-04 6.1954
2014-07-05 6.1897
2014-07-06 6.1898
2014-07-07 6.1803
2014-07-08 6.173
2014-07-09 6.177
2014-07-10 6.1594
2014-07-11 6.171
2014-07-12 6.1788
2014-07-13 6.1788
2014-07-14 6.177
2014-07-15 6.1948
2014-07-16 6.2067
2014-07-17 6.1967
2014-07-18 6.1975
2014-07-19 6.1899
2014-07-20 6.1896
2014-07-21 6.1976
2014-07-22 6.193
2014-07-23 6.1897
2014-07-24 6.2038
2014-07-25 6.208
2014-07-26 6.2235
2014-07-27 6.2235
2014-07-28 6.2229
2014-07-29 6.2364
2014-07-30 6.255
2014-07-31 6.272
2014-08-01 6.2827
2014-08-02 6.2655
2014-08-03 6.2655
2014-08-04 6.2707
2014-08-05 6.2695
2014-08-06 6.2833
2014-08-07 6.2592
2014-08-08 6.2447
2014-08-09 6.2419
2014-08-10 6.2437
2014-08-11 6.2079
2014-08-12 6.182
2014-08-13 6.169
2014-08-14 6.1555
2014-08-15 6.1498
2014-08-16 6.1348
2014-08-17 6.1348
2014-08-18 6.1459
2014-08-19 6.1583
2014-08-20 6.1747
2014-08-21 6.1712
2014-08-22 6.1503
2014-08-23 6.1673
2014-08-24 6.1673
2014-08-25 6.1781
2014-08-26 6.1734
2014-08-27 6.1796
2014-08-28 6.1795
2014-08-29 6.1843
2014-08-30 6.1937
2014-08-31 6.1973
2014-09-01 6.1932
2014-09-02 6.1935
2014-09-03 6.2052
2014-09-04 6.2328
2014-09-05 6.2747
2014-09-06 6.2821
2014-09-07 6.2821
2014-09-08 6.3015
2014-09-09 6.3427
2014-09-10 6.3467
2014-09-11 6.3545
2014-09-12 6.3745
2014-09-13 6.362
2014-09-14 6.362
2014-09-15 6.3822
2014-09-16 6.3988
2014-09-17 6.4078
2014-09-18 6.3881
2014-09-19 6.3375
2014-09-20 6.3549
2014-09-21 6.3549
2014-09-22 6.3493
2014-09-23 6.3439
2014-09-24 6.366
2014-09-25 6.4018
2014-09-26 6.4183
2014-09-27 6.4579
2014-09-28 6.4579
2014-09-29 6.4541
2014-09-30 6.4362
2014-10-01 6.4434
2014-10-02 6.445
2014-10-03 6.4831
2014-10-04 6.5268
2014-10-05 6.5268
2014-10-06 6.5116
2014-10-07 6.4782
2014-10-08 6.4684
2014-10-09 6.4405
2014-10-10 6.5009
2014-10-11 6.5109
2014-10-12 6.5109
2014-10-13 6.4974
2014-10-14 6.5252
2014-10-15 6.5838
2014-10-16 6.5735
2014-10-17 6.548
2014-10-18 6.5439
2014-10-19 6.5439
2014-10-20 6.5573
2014-10-21 6.5583
2014-10-22 6.5909
2014-10-23 6.5961
2014-10-24 6.5826
2014-10-25 6.5976
2014-10-26 6.5976
2014-10-27 6.5946
2014-10-28 6.6025
2014-10-29 6.638
2014-10-30 6.7136
2014-10-31 6.729
2014-11-01 6.75
2014-11-02 6.75
2014-11-03 6.778
2014-11-04 6.8261
2014-11-05 6.8669
2014-11-06 6.8387
2014-11-07 6.8556
2014-11-08 6.8073
2014-11-09 6.8073
2014-11-10 6.7878
2014-11-11 6.8164
2014-11-12 6.7908
2014-11-13 6.792
2014-11-14 6.7856
2014-11-15 6.7496
2014-11-16 6.7495
2014-11-17 6.7597
2014-11-18 6.7547
2014-11-19 6.7607
2014-11-20 6.7799
2014-11-21 6.7724
2014-11-22 6.8057
2014-11-23 6.8059
2014-11-24 6.7883
2014-11-25 6.8053
2014-11-26 6.8159
2014-11-27 6.8703
2014-11-28 6.9714
2014-11-29 7.0317
2014-11-30 7.0315
2014-12-01 6.9963
2014-12-02 6.9792
2014-12-03 7.0304
2014-12-04 7.0486
2014-12-05 7.0999
2014-12-06 7.1404
2014-12-07 7.1409
2014-12-08 7.1561
2014-12-09 7.1418
2014-12-10 7.1462
2014-12-11 7.2105
2014-12-12 7.3372
2014-12-13 7.3678
2014-12-14 7.3678
2014-12-15 7.3911
2014-12-16 7.4881
