"Index" "SMC.Open" "SMC.High" "SMC.Low" "SMC.Close" "SMC.Volume" "SMC.Adjusted"
2013-04-25 0.8 0.83 0.79 0.82 373500 0.0541
2013-04-26 0.82 0.83 0.82 0.83 299800 0.0548
2013-04-29 0.82 0.9 0.82 0.9 716600 0.0594
2013-04-30 0.9 0.93 0.88 0.89 570000 0.0587
2013-05-01 0.89 0.9 0.86 0.9 329200 0.0594
2013-05-02 0.9 0.9 0.86 0.87 143800 0.0574
2013-05-03 0.9 0.9 0.84 0.85 152400 0.0561
2013-05-06 0.84 0.86 0.84 0.84 718400 0.0554
2013-05-07 0.86 0.86 0.81 0.82 518700 0.0541
2013-05-08 0.82 0.85 0.81 0.83 2594700 0.0548
2013-05-09 0.82 0.84 0.81 0.81 1195300 0.0534
2013-05-10 0.79 0.82 0.79 0.82 1514400 0.0541
2013-05-13 0.79 0.81 0.79 0.79 26400 0.0521
2013-05-14 0.79 0.83 0.79 0.82 953000 0.0541
2013-05-15 0.83 0.83 0.82 0.82 1679700 0.0541
2013-05-16 0.82 0.84 0.79 0.83 1601300 0.0548
2013-05-17 0.82 0.83 0.8 0.81 2553400 0.0534
2013-05-20 0.81 0.81 0.81 0.81 0 0.0534
2013-05-21 0.8 0.83 0.8 0.82 756900 0.0541
2013-05-22 0.83 0.85 0.83 0.83 346600 0.0548
2013-05-23 0.84 0.85 0.82 0.85 1078600 0.0561
2013-05-24 0.83 0.88 0.83 0.87 437200 0.0574
2013-05-27 0.85 0.89 0.85 0.86 94200 0.0567
2013-05-28 0.86 1.01 0.86 0.92 2521500 0.0607
2013-05-29 0.92 0.99 0.92 0.98 1314400 0.0647
2013-05-30 1.01 1.07 1 1.05 1087000 0.0693
2013-05-31 1.05 1.05 1.01 1.05 734200 0.0693
2013-06-03 1.06 1.1 1.05 1.1 1177600 0.0726
2013-06-04 1.09 1.1 1.02 1.06 4905900 0.0699
2013-06-05 1.07 1.07 1.02 1.06 675200 0.0699
2013-06-06 1.06 1.06 1.02 1.06 491400 0.0699
2013-06-07 1.03 1.03 1 1.01 282200 0.0666
2013-06-10 1.01 1.03 1 1.01 180400 0.0666
2013-06-11 0.97 1.01 0.94 0.94 1084400 0.062
2013-06-12 0.96 0.96 0.92 0.92 166400 0.0607
2013-06-13 0.92 0.94 0.91 0.92 123400 0.0607
2013-06-14 0.95 0.97 0.91 0.93 338500 0.0614
2013-06-17 0.93 0.94 0.88 0.92 632700 0.0607
2013-06-18 0.91 0.93 0.9 0.92 146300 0.0607
2013-06-19 0.91 0.91 0.86 0.87 257100 0.0574
2013-06-20 0.84 0.84 0.78 0.78 221300 0.0515
2013-06-21 0.82 0.85 0.795 0.85 2137900 0.0561
2013-06-24 0.83 0.84 0.76 0.8 265500 0.0528
2013-06-25 0.81 0.81 0.77 0.79 149800 0.0927
2013-06-26 0.77 0.775 0.705 0.75 690100 0.088
2013-06-27 0.78 0.79 0.71 0.74 510500 0.0868
2013-06-28 0.72 0.84 0.72 0.79 481100 0.0927
2013-07-01 0.79 0.79 0.79 0.79 0 0.0927
2013-07-02 0.82 0.82 0.76 0.8 593300 0.0938
2013-07-03 0.8 0.85 0.8 0.8 857400 0.0938
2013-07-04 0.8 0.81 0.78 0.79 58800 0.0927
2013-07-05 0.79 0.8 0.74 0.77 189900 0.0903
2013-07-08 0.77 0.8 0.74 0.74 603500 0.0868
2013-07-09 0.75 0.78 0.72 0.72 255700 0.0844
2013-07-10 0.75 0.76 0.72 0.73 420200 0.0856
2013-07-11 0.77 0.79 0.75 0.75 179500 0.088
2013-07-12 0.77 0.82 0.74 0.81 486700 0.095
2013-07-15 0.8 0.84 0.8 0.81 184000 0.095
2013-07-16 0.82 0.85 0.81 0.84 924600 0.0985
2013-07-17 0.84 0.91 0.83 0.9 4331000 0.1056
2013-07-18 0.92 0.94 0.88 0.89 795000 0.1044
2013-07-19 0.9 0.95 0.9 0.94 256200 0.1102
2013-07-22 0.97 1.04 0.97 1.04 911700 0.122
2013-07-23 1.01 1.06 0.97 1.06 2126000 0.1243
2013-07-24 1.04 1.05 0.95 0.98 309800 0.1149
2013-07-25 0.99 0.99 0.96 0.98 239800 0.1149
2013-07-26 0.97 0.97 0.91 0.94 566400 0.1102
2013-07-29 0.92 0.94 0.895 0.91 445700 0.1067
2013-07-30 0.92 0.92 0.89 0.895 121300 0.105
2013-07-31 0.9 0.94 0.89 0.91 1156100 0.1067
2013-08-01 0.94 0.94 0.87 0.88 2252300 0.1032
2013-08-02 0.9 0.91 0.9 0.9 86500 0.1056
2013-08-05 0.9 0.9 0.9 0.9 0 0.1056
2013-08-06 0.86 0.91 0.84 0.88 151600 0.1032
2013-08-07 0.86 0.87 0.84 0.87 271100 0.102
2013-08-08 0.86 0.94 0.85 0.91 217400 0.1067
2013-08-09 0.9 1 0.89 0.99 309900 0.1161
2013-08-12 0.99 1.04 0.99 1.02 404300 0.1196
2013-08-13 1.02 1.04 0.95 1.04 579100 0.122
2013-08-14 1.01 1.08 1.01 1.07 695500 0.1255
2013-08-15 1.05 1.07 1.02 1.04 353100 0.122
2013-08-16 1.02 1.06 1.02 1.05 215100 0.1231
2013-08-19 1.02 1.06 1 1.06 272200 0.1243
2013-08-20 1.06 1.08 1.05 1.06 1929300 0.1243
2013-08-21 1.06 1.08 1.02 1.05 1587000 0.1231
2013-08-22 1.06 1.09 1.01 1.08 5377600 0.1267
2013-08-23 1.07 1.13 1.05 1.13 1474000 0.1325
2013-08-26 1.12 1.15 1.1 1.13 804700 0.1325
2013-08-27 1.13 1.17 1.05 1.1 1964700 0.129
2013-08-28 1.09 1.11 1.07 1.09 823200 0.1278
2013-08-29 1.07 1.1 1.06 1.09 363800 0.1278
2013-08-30 1.06 1.1 1.06 1.08 124000 0.1267
2013-09-02 1.08 1.08 1.08 1.08 0 0.1267
2013-09-03 1.09 1.11 1.08 1.11 114800 0.1302
2013-09-04 1.08 1.08 1.05 1.07 200900 0.1255
2013-09-05 1.07 1.07 1.02 1.04 197800 0.122
2013-09-06 1.04 1.1 1.04 1.09 214900 0.1278
2013-09-09 1.09 1.1 1.08 1.08 118000 0.1267
2013-09-10 1.08 1.08 1.05 1.06 494100 0.1243
2013-09-11 1.09 1.15 1.05 1.05 4608900 0.1231
2013-09-12 1.05 1.08 1.02 1.03 1720000 0.1208
2013-09-13 1.04 1.085 1.04 1.07 1197700 0.1255
2013-09-16 1.05 1.08 1.05 1.07 1382700 0.1255
2013-09-17 1.08 1.08 1.02 1.02 630700 0.1196
2013-09-18 1.03 1.14 1.01 1.1 1378600 0.129
2013-09-19 1.02 1.07 1 1.01 6765100 0.1185
2013-09-20 1.01 1.02 0.95 0.97 3693600 0.1138
2013-09-23 0.97 0.98 0.92 0.93 390900 0.1091
2013-09-24 0.93 0.93 0.89 0.93 789200 0.1091
2013-09-25 0.95 0.98 0.94 0.95 1051100 0.1114
2013-09-26 0.97 0.98 0.94 0.95 357500 0.1114
2013-09-27 0.95 1 0.95 0.99 2726800 0.1161
2013-09-30 0.97 0.99 0.95 0.98 542600 0.1149
2013-10-01 0.98 0.98 0.91 0.93 342200 0.1091
2013-10-02 0.93 0.94 0.92 0.94 141400 0.1102
2013-10-03 0.94 0.96 0.91 0.94 577100 0.1102
2013-10-04 0.92 0.93 0.89 0.93 280900 0.1091
2013-10-07 0.91 0.93 0.91 0.93 471500 0.1091
2013-10-08 0.92 0.93 0.89 0.9 668900 0.1056
2013-10-09 0.87 0.9 0.87 0.87 468900 0.102
2013-10-10 0.86 0.88 0.86 0.87 944200 0.102
2013-10-11 0.86 0.86 0.8 0.82 1213900 0.0962
2013-10-14 0.82 0.82 0.82 0.82 0 0.0962
2013-10-15 0.81 0.88 0.79 0.87 391200 0.178
2013-10-16 0.88 0.88 0.82 0.82 506000 0.1678
2013-10-17 0.86 0.89 0.85 0.87 534300 0.178
2013-10-18 0.88 0.88 0.83 0.84 634100 0.1719
2013-10-21 0.85 0.86 0.84 0.85 56600 0.1739
2013-10-22 0.87 0.92 0.87 0.91 1109400 0.1862
2013-10-23 0.89 0.89 0.82 0.83 545600 0.1698
2013-10-24 0.84 0.89 0.84 0.89 1309700 0.1821
2013-10-25 0.86 0.89 0.86 0.88 404000 0.1801
2013-10-28 0.88 0.91 0.88 0.9 1274000 0.1842
2013-10-29 0.9 0.9 0.86 0.87 524300 0.178
2013-10-30 0.88 0.89 0.82 0.87 241700 0.1958
2013-10-31 0.85 0.85 0.81 0.81 332700 0.1823
2013-11-01 0.82 0.82 0.78 0.8 209800 0.1801
2013-11-04 0.8 0.81 0.8 0.8 402400 0.1801
2013-11-05 0.82 0.82 0.79 0.8 1840100 0.1801
2013-11-06 0.8 0.8 0.77 0.78 271700 0.1756
2013-11-07 0.76 0.78 0.75 0.78 228400 0.1756
2013-11-08 0.76 0.79 0.73 0.77 147900 0.1733
2013-11-11 0.75 0.77 0.74 0.75 76700 0.1688
2013-11-12 0.75 0.76 0.75 0.76 190400 0.1711
2013-11-13 0.75 0.78 0.75 0.77 100900 0.1733
2013-11-14 0.78 0.84 0.775 0.84 789200 0.1891
2013-11-15 0.84 0.84 0.78 0.79 159500 0.1778
2013-11-18 0.77 0.8 0.77 0.79 117300 0.1778
2013-11-19 0.79 0.79 0.74 0.76 210100 0.1711
2013-11-20 0.75 0.78 0.73 0.74 178000 0.1666
2013-11-21 0.72 0.78 0.72 0.78 249500 0.1756
2013-11-22 0.78 0.79 0.71 0.71 233500 0.1598
2013-11-25 0.72 0.73 0.68 0.7 269400 0.1576
2013-11-26 0.71 0.71 0.69 0.7 103500 0.1576
2013-11-27 0.7 0.71 0.68 0.7 170300 0.1576
2013-11-28 0.69 0.69 0.68 0.68 98400 0.1531
2013-11-29 0.7 0.74 0.7 0.72 914800 0.1621
2013-12-02 0.7 0.7 0.67 0.68 202800 0.1531
2013-12-03 0.67 0.68 0.63 0.63 476100 0.1418
2013-12-04 0.65 0.66 0.6 0.64 1335800 0.1441
2013-12-05 0.62 0.65 0.62 0.65 339400 0.1463
2013-12-06 0.64 0.66 0.63 0.64 171700 0.1441
2013-12-09 0.65 0.68 0.65 0.68 185900 0.1531
2013-12-10 0.71 0.72 0.68 0.71 391100 0.1598
2013-12-11 0.69 0.71 0.67 0.7 467300 0.1576
2013-12-12 0.69 0.69 0.66 0.69 300700 0.1553
2013-12-13 0.7 0.7 0.68 0.69 256300 0.1553
2013-12-16 0.73 0.75 0.67 0.7 2536600 0.1576
2013-12-17 0.71 0.72 0.68 0.71 200500 0.1598
2013-12-18 0.7 0.755 0.69 0.75 595000 0.1688
2013-12-19 0.7 0.74 0.685 0.74 368700 0.1666
2013-12-20 0.72 0.76 0.7 0.74 2536600 0.1666
2013-12-23 0.74 0.74 0.71 0.71 143600 0.1598
2013-12-24 0.72 0.73 0.7 0.73 239900 0.1643
2013-12-25 0.73 0.73 0.73 0.73 0 0.1643
2013-12-26 0.73 0.73 0.73 0.73 0 0.1643
2013-12-27 0.72 0.74 0.72 0.73 85100 0.1643
2013-12-30 0.75 0.75 0.71 0.71 366800 0.1598
2013-12-31 0.71 0.73 0.695 0.72 320200 0.1621
2014-01-01 0.72 0.72 0.72 0.72 0 0.1621
2014-01-02 0.74 0.78 0.72 0.76 538400 0.1711
2014-01-03 0.79 0.8 0.76 0.76 152600 0.1711
2014-01-06 0.78 0.8 0.74 0.74 225000 0.1666
2014-01-07 0.73 0.74 0.71 0.74 127300 0.1666
2014-01-08 0.74 0.75 0.72 0.72 156800 0.1621
2014-01-09 0.73 0.73 0.72 0.72 373400 0.1621
2014-01-10 0.74 0.76 0.7 0.76 1075600 0.1711
2014-01-13 0.75 0.8 0.73 0.79 757700 0.1778
2014-01-14 0.79 0.79 0.74 0.76 278900 0.3071
2014-01-15 0.76 0.77 0.75 0.75 237300 0.3031
2014-01-16 0.75 0.78 0.75 0.76 236000 0.3071
2014-01-17 0.78 0.83 0.76 0.82 933400 0.3314
2014-01-20 0.8 0.8 0.77 0.79 236800 0.3193
2014-01-21 0.77 0.82 0.76 0.81 309900 0.3273
2014-01-22 0.82 0.825 0.77 0.79 387300 0.3193
2014-01-23 0.8 0.85 0.795 0.8 553800 0.3233
2014-01-24 0.8 0.84 0.75 0.78 273500 0.3152
2014-01-27 0.78 0.78 0.73 0.74 254000 0.2991
2014-01-28 0.74 0.78 0.74 0.76 427800 0.3071
2014-01-29 0.77 0.8 0.76 0.79 807200 0.3193
2014-01-30 0.77 0.78 0.76 0.76 101900 0.3071
2014-01-31 0.78 0.78 0.73 0.76 286600 0.3071
2014-02-03 0.76 0.77 0.72 0.74 399100 0.2991
2014-02-04 0.75 0.75 0.71 0.73 899300 0.295
2014-02-05 0.74 0.76 0.71 0.71 391900 0.2869
2014-02-06 0.71 0.72 0.69 0.72 679700 0.291
2014-02-07 0.7 0.74 0.7 0.73 655000 0.295
2014-02-10 0.74 0.76 0.73 0.74 701100 0.2991
2014-02-11 0.75 0.77 0.72 0.74 3776600 0.2991
2014-02-12 0.74 0.77 0.74 0.75 2408200 0.3031
2014-02-13 0.75 0.82 0.75 0.8 1558500 0.3233
2014-02-14 0.83 0.93 0.82 0.93 3096000 0.3758
2014-02-17 0.93 0.93 0.93 0.93 0 0.3758
2014-02-18 0.91 0.94 0.87 0.88 793900 0.3556
2014-02-19 0.89 0.92 0.82 0.83 580500 0.3354
2014-02-20 0.85 0.92 0.85 0.89 432200 0.3597
2014-02-21 0.89 0.93 0.87 0.9 602000 0.3637
2014-02-24 0.91 0.95 0.9 0.9 355800 0.3637
2014-02-25 0.9 0.92 0.89 0.89 776100 0.3597
2014-02-26 0.88 0.91 0.88 0.9 417200 0.3637
2014-02-27 0.91 0.93 0.88 0.88 301200 0.3556
2014-02-28 0.89 0.91 0.88 0.88 174600 0.3556
2014-03-03 0.92 0.93 0.88 0.9 295600 0.3637
2014-03-04 0.9 0.93 0.89 0.93 225800 0.3758
2014-03-05 0.93 0.96 0.92 0.94 333300 0.3799
2014-03-06 0.94 0.96 0.94 0.95 273000 0.3839
2014-03-07 0.94 0.94 0.92 0.92 282000 0.3718
2014-03-10 0.92 0.92 0.89 0.92 268700 0.3718
2014-03-11 0.93 0.95 0.91 0.93 345600 0.3758
2014-03-12 0.95 0.97 0.92 0.95 356500 0.3839
2014-03-13 0.945 1.01 0.945 1.01 808200 0.4082
2014-03-14 1.02 1.06 0.97 1 541000 0.4041
2014-03-17 0.99 0.99 0.9 0.92 545800 0.3718
2014-03-18 0.91 0.92 0.88 0.9 748100 0.3637
2014-03-19 0.88 0.9 0.78 0.82 991100 0.3314
2014-03-20 0.85 0.86 0.81 0.81 593100 0.3273
2014-03-21 0.83 0.87 0.81 0.83 5397000 0.3354
2014-03-24 0.84 0.84 0.75 0.79 1574800 0.3193
2014-03-25 0.78 0.82 0.75 0.75 666300 0.3031
2014-03-26 0.79 0.79 0.75 0.75 637600 0.3031
2014-03-27 0.77 0.79 0.76 0.79 186300 0.3193
2014-03-28 0.78 0.82 0.78 0.79 317000 0.3193
2014-03-31 0.79 0.79 0.77 0.78 424500 0.3152
2014-04-01 0.78 0.81 0.78 0.78 147900 0.3152
2014-04-02 0.8 0.83 0.8 0.83 117900 0.3354
2014-04-03 0.81 0.82 0.8 0.82 115900 0.3314
2014-04-04 0.83 0.83 0.79 0.82 216900 0.3314
2014-04-07 0.82 0.84 0.79 0.81 304700 0.3273
2014-04-08 0.84 0.85 0.83 0.83 154100 0.3354
2014-04-09 0.85 0.86 0.83 0.84 432800 0.3395
2014-04-10 0.83 0.85 0.8 0.8 322700 0.3233
2014-04-11 0.81 0.83 0.78 0.79 233800 0.3193
2014-04-14 0.8 0.82 0.78 0.79 421100 0.3193
2014-04-15 0.78 0.79 0.75 0.78 197200 0.3152
2014-04-16 0.78 0.8 0.75 0.75 377400 0.3031
2014-04-17 0.75 0.76 0.73 0.73 218100 0.295
2014-04-18 0.73 0.73 0.73 0.73 0 0.295
2014-04-21 0.75 0.75 0.72 0.74 209000 0.2991
2014-04-22 0.75 0.79 0.74 0.76 539500 0.3071
2014-04-23 0.78 0.82 0.77 0.82 448500 0.3314
2014-04-24 0.8 0.82 0.76 0.79 356400 0.557
2014-04-25 0.77 0.81 0.77 0.8 704400 0.5641
2014-04-28 0.8 0.8 0.77 0.77 71700 0.5429
2014-04-29 0.77 0.8 0.77 0.8 466500 0.5641
2014-04-30 0.79 0.81 0.75 0.76 529900 0.5359
2014-05-01 0.75 0.79 0.74 0.79 587300 0.557
2014-05-02 0.78 0.8 0.77 0.78 71900 0.55
2014-05-05 0.77 0.79 0.77 0.79 381600 0.557
2014-05-06 0.77 0.79 0.77 0.79 26200 0.557
2014-05-07 0.78 0.78 0.74 0.76 155600 0.5359
2014-05-08 0.75 0.77 0.73 0.77 379200 0.5429
2014-05-09 0.75 0.77 0.75 0.77 127400 0.5429
2014-05-12 0.77 0.78 0.76 0.76 80800 0.5359
2014-05-13 0.78 0.8 0.76 0.79 656500 0.557
2014-05-14 0.78 0.81 0.78 0.79 709800 0.557
2014-05-15 0.78 0.8 0.78 0.8 112900 0.5641
2014-05-16 0.79 0.82 0.77 0.78 202900 0.55
2014-05-19 0.78 0.78 0.78 0.78 0 0.55
2014-05-20 0.78 0.8 0.77 0.78 108400 0.55
2014-05-21 1.03 1.06 0.98 1.04 13085900 0.7333
2014-05-22 1.04 1.12 1.04 1.12 4310600 0.7897
2014-05-23 1.11 1.12 1.05 1.06 2587700 0.7474
2014-05-26 1.05 1.08 1.04 1.05 912500 0.7403
2014-05-27 1.02 1.06 0.99 0.99 809000 0.698
2014-05-28 0.99 0.99 0.96 0.97 489100 0.6839
2014-05-29 0.98 0.99 0.96 0.96 1533700 0.6769
2014-05-30 0.99 1 0.96 1 416800 0.7051
2014-06-02 1.02 1.03 0.99 1.03 636900 0.7262
2014-06-03 1 1.01 0.99 1.01 257400 0.7121
2014-06-04 1 1 0.97 0.97 362800 0.6839
2014-06-05 0.97 1.03 0.97 1.02 518700 0.7192
2014-06-06 1.02 1.03 1.01 1.03 160700 0.7262
2014-06-09 1 1.02 0.99 0.99 189000 0.698
2014-06-10 1 1.09 1 1.09 1784100 0.7685
2014-06-11 1.06 1.14 1.06 1.12 2132100 0.7897
2014-06-12 1.1 1.18 1.1 1.18 3636200 0.832
2014-06-13 1.18 1.18 1.12 1.18 637700 0.832
2014-06-16 1.2 1.25 1.15 1.23 1126400 0.8672
2014-06-17 1.21 1.25 1.2 1.25 395900 0.8813
2014-06-18 1.26 1.27 1.24 1.25 493400 0.8813
2014-06-19 1.26 1.34 1.26 1.32 1425100 0.9307
2014-06-20 1.3 1.33 1.29 1.29 2924000 0.9096
2014-06-23 1.23 1.37 1.23 1.34 548700 0.9448
2014-06-24 1.33 1.38 1.2 1.24 712200 1.1834
2014-06-25 1.21 1.3 1.21 1.27 187000 1.212
2014-06-26 1.28 1.32 1.23 1.3 250200 1.2407
2014-06-27 1.31 1.31 1.27 1.27 111500 1.212
2014-06-30 1.21 1.38 1.21 1.38 365200 1.317
2014-07-01 1.38 1.38 1.38 1.38 0 1.317
2014-07-02 1.33 1.36 1.31 1.35 718200 1.2884
2014-07-03 1.34 1.37 1.31 1.32 273700 1.2597
2014-07-04 1.31 1.33 1.31 1.31 45900 1.2502
2014-07-07 1.31 1.35 1.3 1.31 290500 1.2502
2014-07-08 1.33 1.38 1.31 1.35 906900 1.2884
2014-07-09 1.38 1.42 1.35 1.4 1134500 1.3361
2014-07-10 1.42 1.52 1.4 1.4 902800 1.3361
2014-07-11 1.4 1.49 1.39 1.48 428300 1.4124
2014-07-14 1.41 1.47 1.41 1.41 160800 1.3456
2014-07-15 1.41 1.44 1.36 1.36 436300 1.2979
2014-07-16 1.37 1.39 1.33 1.33 437800 1.2693
2014-07-17 1.31 1.43 1.31 1.42 382100 1.3552
2014-07-18 1.39 1.4 1.36 1.36 174700 1.2979
2014-07-21 1.35 1.41 1.35 1.4 248600 1.3361
2014-07-22 1.38 1.4 1.35 1.38 473000 1.317
2014-07-23 1.37 1.44 1.35 1.35 283300 1.2884
2014-07-24 1.36 1.37 1.32 1.37 318100 1.3075
2014-07-25 1.35 1.4 1.34 1.38 411900 1.317
2014-07-28 1.43 1.46 1.41 1.44 490300 1.3743
2014-07-29 1.42 1.44 1.39 1.39 113200 1.3265
2014-07-30 1.39 1.43 1.39 1.42 327500 1.3552
2014-07-31 1.4 1.41 1.36 1.4 765600 1.3361
2014-08-01 1.4 1.42 1.38 1.4 595000 1.3361
2014-08-04 1.4 1.4 1.4 1.4 0 1.3361
2014-08-05 1.36 1.38 1.34 1.36 369300 1.2979
2014-08-06 1.37 1.46 1.37 1.46 643100 1.3934
2014-08-07 1.45 1.46 1.42 1.45 436400 1.3838
2014-08-08 1.45 1.52 1.45 1.47 1671900 1.4029
2014-08-11 0.75 0.75 0.65 0.65 12500 0.6203
2014-08-12 0.65 0.65 0.45 0.65 144500 0.6203
2014-08-13 0.5 0.5 0.5 0.5 2500 0.4772
2014-08-14 0.46 0.46 0.38 0.39 852300 0.3722
2014-08-15 0.37 0.4 0.35 0.385 163700 0.3674
2014-08-18 0.38 0.38 0.33 0.335 280700 0.3197
2014-08-19 0.345 0.39 0.34 0.39 1197200 0.3722
2014-08-20 0.36 0.4 0.355 0.4 148100 0.3817
2014-08-21 9300 9400 9400 9400 5500 8970.8855
2014-08-22 9300 9700 9700 9700 28400 9257.1903
2014-08-25 9700 9700 9700 9700 21000 9257.1903
2014-08-26 10000 9800 9800 9800 1600 9352.6253
2014-08-27 10000 10000 10000 10000 1100 9543.4952
2014-08-28 10000 9800 9800 9800 8200 9352.6253
2014-08-29 9600 9800 9800 9800 9700 9352.6253
2014-09-01 9800 9800 9800 9800 0 9352.6253
2014-09-02 9800 9800 9800 9800 0 9352.6253
2014-09-03 10000 10000 10000 10000 5300 9543.4952
2014-09-04 10000 10000 9800 9800 3100 9352.6253
2014-09-05 10000 10000 9800 9800 4800 9352.6253
2014-09-08 9700 9900 9700 9900 126500 9448.0602
2014-09-09 9700 9700 9600 9600 160900 9161.7554
2014-09-10 9500 9800 9500 9800 3100 9352.6253
2014-09-11 9600 9700 9700 9700 15200 9257.1903
2014-09-12 9700 9600 9600 9600 23800 9161.7554
2014-09-15 9700 10000 10000 10000 45200 9543.4952
2014-09-16 10100 10100 10000 10000 30400 9543.4952
2014-09-17 10100 10000 10000 10000 24600 9543.4952
2014-09-18 10000 10000 10000 10000 24400 9543.4952
2014-09-19 10600 10600 10200 10200 7300 9734.3651
2014-09-22 10000 10300 10000 10300 33900 9829.8
2014-09-23 10300 10400 10300 10400 11700 9925.235
