"Index" "SG.Open" "SG.High" "SG.Low" "SG.Close" "SG.Volume" "SG.Adjusted"
2013-01-01 0.055 0.055 0.055 0.055 0 0.55
2013-01-02 0.055 0.055 0.055 0.055 0 0.55
2013-01-03 0.055 0.055 0.055 0.055 0 0.55
2013-01-04 0.055 0.055 0.055 0.055 0 0.55
2013-01-07 0.055 0.055 0.055 0.055 0 0.55
2013-01-08 0.055 0.055 0.055 0.055 0 0.55
2013-01-09 0.055 0.055 0.055 0.055 0 0.55
2013-01-10 0.055 0.055 0.055 0.055 0 0.55
2013-01-11 0.055 0.055 0.055 0.055 0 0.55
2013-01-14 0.055 0.055 0.055 0.055 0 0.55
2013-01-15 0.055 0.055 0.055 0.055 0 0.55
2013-01-16 0.055 0.055 0.055 0.055 0 0.55
2013-01-17 0.055 0.055 0.055 0.055 0 0.55
2013-01-18 0.055 0.055 0.055 0.055 0 0.55
2013-01-21 0.055 0.055 0.055 0.055 0 0.55
2013-01-22 0.055 0.055 0.055 0.055 0 0.55
2013-01-23 0.055 0.055 0.055 0.055 0 0.55
2013-01-24 0.055 0.055 0.055 0.055 0 0.55
2013-01-25 0.055 0.055 0.055 0.055 0 0.55
2013-01-28 0.055 0.055 0.055 0.055 0 0.55
2013-01-29 0.055 0.055 0.055 0.055 100 0.55
2013-01-30 0.055 0.055 0.055 0.055 0 0.55
2013-01-31 0.055 0.055 0.055 0.055 0 0.55
2013-02-01 0.055 0.055 0.055 0.055 0 0.55
2013-02-04 0.055 0.055 0.055 0.055 0 0.55
2013-02-05 0.055 0.055 0.055 0.055 0 0.55
2013-02-06 0.055 0.055 0.055 0.055 0 0.55
2013-02-07 0.055 0.055 0.055 0.055 0 0.55
2013-02-08 0.055 0.055 0.055 0.055 0 0.55
2013-02-11 0.055 0.055 0.055 0.055 0 0.55
2013-02-12 0.055 0.055 0.055 0.055 0 0.55
2013-02-13 0.055 0.055 0.055 0.055 0 0.55
2013-02-14 0.05 0.05 0.05 0.05 200 0.5
2013-02-15 0.05 0.05 0.05 0.05 0 0.5
2013-02-18 0.05 0.05 0.05 0.05 0 0.5
2013-02-19 0.05 0.05 0.05 0.05 0 0.5
2013-02-20 0.05 0.05 0.05 0.05 0 0.5
2013-02-21 0.05 0.05 0.05 0.05 0 0.5
2013-02-22 0.05 0.05 0.05 0.05 0 0.5
2013-02-25 0.05 0.05 0.05 0.05 100 0.5
2013-02-26 0.05 0.05 0.05 0.05 0 0.5
2013-02-27 0.05 0.05 0.05 0.05 0 0.5
2013-02-28 0.05 0.05 0.05 0.05 0 0.5
2013-03-01 0.05 0.05 0.05 0.05 0 0.5
2013-03-04 0.05 0.05 0.05 0.05 0 0.5
2013-03-05 0.05 0.05 0.05 0.05 0 0.5
2013-03-06 0.045 0.045 0.045 0.045 1000 0.45
2013-03-07 0.045 0.045 0.045 0.045 0 0.45
2013-03-08 0.045 0.045 0.045 0.045 0 0.45
2013-03-11 0.045 0.045 0.045 0.045 0 0.45
2013-03-12 0.045 0.045 0.045 0.045 0 0.45
2013-03-13 0.045 0.045 0.045 0.045 0 0.45
2013-03-14 0.045 0.045 0.045 0.045 0 0.45
2013-03-15 0.04 0.04 0.04 0.04 1000 0.4
2013-03-18 0.04 0.04 0.04 0.04 0 0.4
2013-03-19 0.04 0.04 0.04 0.04 0 0.4
2013-03-20 0.04 0.04 0.04 0.04 0 0.4
2013-03-21 0.04 0.04 0.04 0.04 0 0.4
2013-03-22 0.04 0.04 0.04 0.04 0 0.4
2013-03-25 0.04 0.04 0.04 0.04 0 0.4
2013-03-26 0.04 0.04 0.04 0.04 0 0.4
2013-03-27 0.04 0.04 0.04 0.04 0 0.4
2013-03-28 0.04 0.04 0.04 0.04 0 0.4
2013-03-29 0.04 0.04 0.04 0.04 0 0.4
2013-04-01 0.04 0.04 0.04 0.04 0 0.4
2013-04-02 0.04 0.04 0.04 0.04 1000 0.4
2013-04-03 0.04 0.04 0.04 0.04 0 0.4
2013-04-04 0.04 0.04 0.04 0.04 0 0.4
2013-04-05 0.04 0.04 0.04 0.04 0 0.4
2013-04-08 0.04 0.04 0.04 0.04 0 0.4
2013-04-09 0.04 0.04 0.04 0.04 0 0.4
2013-04-10 0.04 0.04 0.04 0.04 0 0.4
2013-04-11 0.04 0.04 0.04 0.04 0 0.4
2013-04-12 0.04 0.04 0.04 0.04 0 0.4
2013-04-15 0.04 0.04 0.04 0.04 0 0.4
2013-04-16 0.04 0.04 0.04 0.04 0 0.4
2013-04-17 0.04 0.04 0.04 0.04 0 0.4
2013-04-18 0.04 0.04 0.04 0.04 0 0.4
2013-04-19 0.04 0.04 0.04 0.04 0 0.4
2013-04-22 0.04 0.04 0.04 0.04 0 0.4
2013-04-23 0.04 0.04 0.04 0.04 0 0.4
2013-04-24 0.04 0.04 0.04 0.04 0 0.4
