"Index" "SD.Open" "SD.High" "SD.Low" "SD.Close" "SD.Volume" "SD.Adjusted"
2013-07-16 4.86 4.95 4.85 4.93 6029800 4.93
2013-07-17 4.95 5.23 4.93 5.17 20676600 5.17
2013-07-18 5.22 5.51 5.2 5.51 16944400 5.51
2013-07-19 5.51 5.73 5.43 5.66 12870400 5.66
2013-07-22 5.69 5.75 5.55 5.58 10964900 5.58
2013-07-23 5.64 5.65 5.53 5.55 5414400 5.55
2013-07-24 5.54 5.54 5.29 5.36 9105000 5.36
2013-07-25 5.35 5.49 5.31 5.43 4925700 5.43
2013-07-26 5.45 5.49 5.32 5.35 6442900 5.35
2013-07-29 5.32 5.42 5.26 5.36 5132200 5.36
2013-07-30 5.35 5.48 5.35 5.48 4780500 5.48
2013-07-31 5.46 5.52 5.38 5.42 5944200 5.42
2013-08-01 5.48 5.58 5.46 5.54 8248100 5.54
2013-08-02 5.55 5.7 5.51 5.62 7669200 5.62
2013-08-05 5.58 5.82 5.56 5.82 11915600 5.82
2013-08-06 5.85 5.86 5.68 5.78 13405400 5.78
2013-08-07 5.87 5.9 5.23 5.26 29147500 5.26
2013-08-08 5.31 5.41 5.22 5.38 9418600 5.38
2013-08-09 5.4 5.44 5.28 5.3 6791200 5.3
2013-08-12 5.29 5.29 5.1 5.15 15670800 5.15
2013-08-13 5.16 5.17 5.06 5.07 12688800 5.07
2013-08-14 5.1 5.24 5.06 5.21 8686500 5.21
2013-08-15 5.16 5.35 5.12 5.28 7701800 5.28
2013-08-16 5.25 5.31 5.16 5.21 5775000 5.21
2013-08-19 5.2 5.21 5.07 5.07 6851000 5.07
2013-08-20 5.12 5.2 5.06 5.16 6726400 5.16
2013-08-21 5.17 5.24 5.1 5.12 6520200 5.12
2013-08-22 5.14 5.17 5.08 5.16 6583700 5.16
2013-08-23 5.17 5.33 5.15 5.27 9641000 5.27
2013-08-26 5.29 5.41 5.28 5.33 7914400 5.33
2013-08-27 5.3 5.35 5.15 5.18 6575700 5.18
2013-08-28 5.21 5.3 5.13 5.2 6991500 5.2
2013-08-29 5.2 5.27 5.15 5.18 5450900 5.18
2013-08-30 5.21 5.28 5.14 5.15 4796600 5.15
2013-09-03 5.2 5.27 5.15 5.25 7424000 5.25
2013-09-04 5.23 5.32 5.22 5.25 7047900 5.25
2013-09-05 5.25 5.4 5.25 5.39 6534300 5.39
2013-09-06 5.4 5.6 5.39 5.55 9370600 5.55
2013-09-09 5.58 5.7 5.53 5.6 9638600 5.6
2013-09-10 5.62 5.62 5.42 5.45 8524700 5.45
2013-09-11 5.42 5.52 5.4 5.49 5383000 5.49
2013-09-12 5.48 5.56 5.44 5.47 4236300 5.47
2013-09-13 5.45 5.54 5.45 5.5 5333400 5.5
2013-09-16 5.58 5.63 5.49 5.51 7105100 5.51
2013-09-17 5.5 5.88 5.49 5.84 16259400 5.84
2013-09-18 5.84 5.95 5.68 5.81 11900900 5.81
2013-09-19 5.87 5.98 5.79 5.8 9923400 5.8
2013-09-20 5.85 5.87 5.61 5.72 11757900 5.72
2013-09-23 5.69 5.75 5.62 5.7 6587100 5.7
2013-09-24 5.78 5.88 5.65 5.86 11085800 5.86
2013-09-25 5.85 5.93 5.78 5.83 8627300 5.83
2013-09-26 5.83 5.99 5.78 5.99 11792200 5.99
2013-09-27 5.95 5.99 5.86 5.93 7783300 5.93
2013-09-30 5.81 5.94 5.78 5.86 9747900 5.86
2013-10-01 5.88 6.18 5.86 6.17 16133300 6.17
2013-10-02 6.16 6.2 6.05 6.19 10077700 6.19
2013-10-03 6.2 6.25 5.96 6.05 10386300 6.05
2013-10-04 6.05 6.15 6.05 6.08 8698600 6.08
