"Index" "USD.IDR"
2013-08-22 10805.05
2013-08-23 10799.2
2013-08-24 10781.75
2013-08-25 10973.7
2013-08-26 10857.95
2013-08-27 10899.3
2013-08-28 10940.95
2013-08-29 10959
2013-08-30 10923.05
2013-08-31 10911.15
2013-09-01 10923.05
2013-09-02 10977.05
2013-09-03 11037.55
2013-09-04 11111.2
2013-09-05 11123.55
2013-09-06 11123.55
2013-09-07 11173.25
2013-09-08 11185.75
2013-09-09 11167.05
2013-09-10 11236.05
2013-09-11 11344.3
2013-09-12 11389.55
2013-09-13 11402.6
2013-09-14 11409.1
2013-09-15 11402.6
2013-09-16 11325.05
2013-09-17 11441.7
2013-09-18 11481.15
2013-09-19 11318.7
2013-09-20 11350.8
2013-09-21 11350.8
2013-09-22 11331.5
2013-09-23 11396.1
2013-09-24 11494.3
2013-09-25 11520.8
2013-09-26 11481.15
2013-09-27 11534.1
2013-09-28 11534.1
2013-09-29 11534.1
2013-09-30 11574.1
2013-10-01 11534.1
2013-10-02 11534.1
2013-10-03 11534.1
2013-10-04 11534.1
2013-10-05 11326.5
2013-10-06 11244.85
2013-10-07 11487.8
2013-10-08 11520.8
2013-10-09 11534.1
2013-10-10 11514.2
2013-10-11 11415.55
2013-10-12 11415.55
2013-10-13 10955.5
2013-10-14 11242.7
2013-10-15 11363.7
2013-10-16 11350.8
2013-10-17 11337.9
2013-10-18 11325.05
2013-10-19 11325.05
2013-10-20 11261.5
2013-10-21 11180.05
2013-10-22 11312.3
2013-10-23 11274
2013-10-24 11185.75
2013-10-25 11037.55
2013-10-26 11013.25
2013-10-27 10737.95
2013-10-28 10929.6
2013-10-29 11086.5
2013-10-30 11167.05
2013-10-31 11261.35
2013-11-01 11325.05
2013-11-02 11337.9
2013-11-03 11337.9
2013-11-04 11350.8
2013-11-05 11350.8
2013-11-06 11396.1
2013-11-07 11389.55
2013-11-08 11402.6
2013-11-09 11402.6
2013-11-10 11409.1
2013-11-11 11494.3
2013-11-12 11601
2013-11-13 11614.45
2013-11-14 11547.4
2013-11-15 11601
2013-11-16 11621.25
2013-11-17 11614.45
2013-11-18 11561.1
2013-11-19 11601
2013-11-20 11641.5
2013-11-21 11695.95
2013-11-22 11709.65
2013-11-23 11695.95
2013-11-24 11695.95
2013-11-25 11723.4
2013-11-26 11771.7
2013-11-27 11764.75
2013-11-28 11793.05
2013-11-29 11821.95
2013-11-30 11801.2
2013-12-01 11794.8
2013-12-02 11800.9
2013-12-03 11710.6
2013-12-04 11850
2013-12-05 11934.25
2013-12-06 11884.5
2013-12-07 11864.4
2013-12-08 11850.7
2013-12-09 11870.65
2013-12-10 11926.1
2013-12-11 11933.45
2013-12-12 11997.6
2013-12-13 12004.8
2013-12-14 12019.2
2013-12-15 12019.2
2013-12-16 11983.2
2013-12-17 11976.05
2013-12-18 12012
2013-12-19 12099.2
2013-12-20 12128.55
2013-12-21 12150.7
2013-12-22 12169.5
2013-12-23 12143.3
2013-12-24 12158.1
2013-12-25 12180.3
2013-12-26 12172.9
2013-12-27 12150.7
2013-12-28 12150.7
2013-12-29 12143.3
2013-12-30 12202.55
2013-12-31 12180.3
2014-01-01 12158.1
2014-01-02 12106.5
2014-01-03 12121.2
2014-01-04 12106.5
2014-01-05 12106.5
2014-01-06 12158.1
2014-01-07 12121.2
2014-01-08 12070
2014-01-09 12055.45
2014-01-10 11954.55
2014-01-11 11820.3
2014-01-12 11820.3
2014-01-13 11891.95
2014-01-14 11820.35
2014-01-15 11848.3
2014-01-16 11897.7
2014-01-17 11883.55
2014-01-18 11862.4
2014-01-19 12090
2014-01-20 11911.9
2014-01-21 11997.6
2014-01-22 12026.45
2014-01-23 12055.45
2014-01-24 12113.85
2014-01-25 12128.55
2014-01-26 12129.5
2014-01-27 12187.7
2014-01-28 12143.3
2014-01-29 12113.9
2014-01-30 12165.5
2014-01-31 12165.5
2014-02-01 12165.5
2014-02-02 12165.5
2014-02-03 12106.55
2014-02-04 12062.75
2014-02-05 12033.7
2014-02-06 11990.4
2014-02-07 11983.2
2014-02-08 12012
2014-02-09 12010.5
2014-02-10 12019.25
2014-02-11 11997.6
2014-02-12 11933.2
2014-02-13 11890.65
2014-02-14 11695.9
2014-02-15 11695.9
2014-02-16 11825
2014-02-17 11627.9
2014-02-18 11764.8
2014-02-19 11737.1
2014-02-20 11757.85
2014-02-21 11730.7
2014-02-22 11689.05
2014-02-23 11689.05
2014-02-24 11621.15
2014-02-25 11621.15
2014-02-26 11627.9
2014-02-27 11641.45
2014-02-28 11587.5
2014-03-01 11580.8
2014-03-02 11580.8
2014-03-03 11600.95
2014-03-04 11600.95
2014-03-05 11574.1
2014-03-06 11461.35
2014-03-07 11422.05
2014-03-08 11396
2014-03-09 11396
2014-03-10 11415.55
2014-03-11 11415.55
2014-03-12 11454.75
2014-03-13 11402.5
2014-03-14 11370.1
2014-03-15 11305.8
2014-03-16 11305.8
2014-03-17 11286.7
2014-03-18 11299.45
2014-03-19 11331.45
2014-03-20 11441.7
2014-03-21 11428.55
2014-03-22 11409
2014-03-23 11410.5
2014-03-24 11376.55
2014-03-25 11383.05
2014-03-26 11409
2014-03-27 11428.55
2014-03-28 11376.55
2014-03-29 11318.65
2014-03-30 11312.2
2014-03-31 11286.7
2014-04-01 11286.7
2014-04-02 11305.8
2014-04-03 11325.05
2014-04-04 11318.6
2014-04-05 11318.6
2014-04-06 11320
2014-04-07 11312.2
2014-04-08 11286.7
2014-04-09 11286.7
2014-04-10 11396.05
2014-04-11 11415.55
2014-04-12 11402.5
2014-04-13 11415
2014-04-14 11435.15
2014-04-15 11441.7
2014-04-16 11435.1
2014-04-17 11422.05
2014-04-18 11448.2
2014-04-19 11454.75
2014-04-20 11454.75
2014-04-21 11441.7
2014-04-22 11507.5
2014-04-23 11607.65
2014-04-24 11621.15
2014-04-25 11580.8
2014-04-26 11560.7
2014-04-27 11560.7
2014-04-28 11580.8
2014-04-29 11574.1
2014-04-30 11547.35
2014-05-01 11547.35
2014-05-02 11527.35
2014-05-03 11514.1
2014-05-04 11514.1
2014-05-05 11514.1
2014-05-06 11514.1
2014-05-07 11554
2014-05-08 11574.1
2014-05-09 11520.75
2014-05-10 11520.75
2014-05-11 11547.35
2014-05-12 11514.1
2014-05-13 11520.75
2014-05-14 11435.1
2014-05-15 11409
