"Index" "M6J.Open" "M6J.High" "M6J.Low" "M6J.Close" "M6J.Volume" "M6J.Adjusted"
2013-02-19 0.073 0.073 0.073 0.073 0 0.073
2013-02-20 0.085 0.085 0.085 0.085 0 0.085
2013-02-21 0.069 0.069 0.069 0.069 0 0.069
2013-02-22 0.078 0.078 0.078 0.078 0 0.078
2013-02-25 0.072 0.072 0.072 0.072 0 0.072
2013-02-26 0.069 0.069 0.069 0.069 0 0.069
2013-02-27 0.069 0.069 0.069 0.069 0 0.069
2013-02-28 0.069 0.069 0.069 0.069 0 0.069
2013-03-01 0.062 0.062 0.062 0.062 0 0.062
2013-03-04 0.075 0.075 0.075 0.075 0 0.075
2013-03-05 0.075 0.075 0.075 0.075 0 0.075
2013-03-06 0.082 0.082 0.082 0.082 0 0.082
2013-03-07 0.075 0.075 0.075 0.075 0 0.075
2013-03-08 0.081 0.081 0.081 0.081 0 0.081
2013-03-11 0.082 0.082 0.082 0.082 0 0.082
2013-03-12 0.079 0.079 0.079 0.079 0 0.079
2013-03-13 0.084 0.084 0.084 0.084 0 0.084
2013-03-14 0.086 0.086 0.086 0.086 0 0.086
2013-03-15 0.098 0.098 0.098 0.098 0 0.098
2013-03-18 0.099 0.099 0.099 0.099 0 0.099
2013-03-19 0.094 0.094 0.094 0.094 0 0.094
2013-03-20 0.091 0.091 0.091 0.091 0 0.091
2013-03-21 0.082 0.082 0.082 0.082 0 0.082
2013-03-22 0.082 0.082 0.082 0.082 0 0.082
