"Index" "KRU.Open" "KRU.High" "KRU.Low" "KRU.Close" "KRU.Volume" "KRU.Adjusted"
2013-01-02 47.119999 48.869999 46.950001 48.869999 6200 48.064104
2013-01-03 48.869999 48.869999 48.869999 48.869999 0 48.064104
2013-01-04 50.279999 50.279999 50.279999 50.279999 200 49.450853
2013-01-07 49.18 49.41 49.18 49.330002 4000 48.516522
2013-01-08 49.330002 49.330002 49.330002 49.330002 0 48.516522
2013-01-09 49.27 49.439999 49.27 49.349998 2400 48.536188
2013-01-10 49.189999 49.189999 49.07 49.099998 1700 48.290311
2013-01-11 47.869999 48.18 47.599998 48.02 20800 47.228123
2013-01-14 47.66 48.619999 47.66 48.59 1400 47.788723
2013-01-15 48.549999 49.07 48.549999 49.07 26200 48.260807
2013-01-16 49.360001 49.360001 49.360001 49.360001 300 48.546026
2013-01-17 50.400002 50.639999 50.220001 50.52 1800 49.686896
2013-01-18 50.060001 50.060001 49.779999 49.98 800 49.1558
2013-01-22 50.509998 50.889999 50.509998 50.889999 4300 50.050794
2013-01-23 50.889999 50.889999 50.619999 50.619999 2300 49.785246
2013-01-24 50.349998 50.349998 49.900002 50.119999 7700 49.293491
2013-01-25 50.099998 50.099998 49.75 49.75 1800 48.929594
2013-01-28 50.310001 50.619999 50.310001 50.459999 2100 49.627885
2013-01-29 51.009998 51.009998 50.209999 50.209999 700 49.382007
2013-01-30 50.209999 50.209999 50.209999 50.209999 0 49.382007
2013-01-31 50.209999 50.209999 50.209999 50.209999 0 49.382007
2013-02-01 51 51.5 51 51.5 400 50.650735
2013-02-04 50.360001 50.400002 50.360001 50.400002 1000 49.568876
2013-02-05 51.369999 51.389999 51.279999 51.389999 2500 50.542549
2013-02-06 51.009998 51.27 50.57 51.27 1300 50.424528
2013-02-07 51.27 51.27 51.27 51.27 0 50.424528
2013-02-08 51.27 51.27 51.27 51.27 0 50.424528
2013-02-11 51.27 51.27 51.27 51.27 0 50.424528
2013-02-12 52.810001 53.509998 52.810001 53.509998 1300 52.627587
2013-02-13 53.389999 53.389999 53.389999 53.389999 500 52.509567
2013-02-14 53.389999 53.389999 53.389999 53.389999 0 52.509567
2013-02-15 53.389999 53.389999 53.389999 53.389999 0 52.509567
2013-02-19 53.799999 53.799999 53.799999 53.799999 200 52.912806
2013-02-20 52.98 53.029999 52.98 53.029999 1000 52.155503
2013-02-21 51.91 52.189999 51.91 52.189999 600 51.329355
2013-02-22 52.189999 52.189999 52.189999 52.189999 0 51.329355
2013-02-25 51.189999 51.189999 51 51 200 50.15898
2013-02-26 51 51 51 51 0 50.15898
2013-02-27 51 51 51 51 0 50.15898
2013-02-28 51 51 51 51 0 50.15898
2013-03-01 52.09 52.299999 52.09 52.299999 600 51.437542
2013-03-04 52.580002 52.580002 52.580002 52.580002 500 51.712927
2013-03-05 54.02 54.02 53.32 53.32 1100 52.440722
2013-03-06 53.75 53.779999 53.740002 53.779999 1400 52.893135
2013-03-07 53.849998 54.650002 53.849998 54.580002 3600 53.679946
2013-03-08 55.200001 55.380001 54.75 55.27 3700 54.358566
2013-03-11 56.310001 56.310001 55.34 55.34 800 54.427412
2013-03-12 55.369999 55.369999 55.02 55.02 300 54.112689
2013-03-13 55.330002 55.330002 55.330002 55.330002 200 54.417578
2013-03-14 56.830002 56.830002 56.779999 56.830002 300 55.892842
2013-03-15 56.830002 56.830002 56.830002 56.830002 0 55.892842
2013-03-18 56.830002 56.830002 56.830002 56.830002 0 55.892842
2013-03-19 56.66 56.66 56.610001 56.610001 500 55.676469
2013-03-20 57.209999 57.209999 57.209999 57.209999 200 56.318306
2013-03-21 56.830002 56.830002 56.830002 56.830002 400 55.944231
2013-03-22 57.07 57.07 57.07 57.07 900 56.180489
2013-03-25 57.549999 57.549999 57.549999 57.549999 100 56.653007
2013-03-26 57.549999 57.549999 57.549999 57.549999 0 56.653007
2013-03-27 57.549999 57.549999 57.549999 57.549999 0 56.653007
2013-03-28 57.549999 57.549999 57.549999 57.549999 0 56.653007
2013-04-01 55.369999 55.369999 55.369999 55.369999 200 54.506985
2013-04-02 55.650002 55.650002 54.639999 54.639999 1100 53.788363
2013-04-03 53.990002 53.990002 53.490002 53.490002 4800 52.65629
2013-04-04 53.490002 53.490002 53.490002 53.490002 300 52.65629
2013-04-05 53.490002 53.490002 53.490002 53.490002 0 52.65629
2013-04-08 53.689999 53.689999 53.689999 53.689999 200 52.853169
2013-04-09 53.5 54.77 53.5 54 900 53.158339
2013-04-10 54 54 54 54 0 53.158339
2013-04-11 55.48 55.48 55.48 55.48 100 54.615271
2013-04-12 54.549999 54.549999 54.549999 54.549999 200 53.699766
2013-04-15 53.860001 53.860001 50.93 50.93 1400 50.136189
2013-04-16 50.93 50.93 50.93 50.93 0 50.136189
2013-04-17 50.02 50.02 50.02 50.02 100 49.240373
2013-04-18 50 50 50 50 200 49.220684
2013-04-19 50.66 50.66 50.66 50.66 100 49.870397
2013-04-22 50.66 50.66 50.66 50.66 0 49.870397
2013-04-23 50.66 50.66 50.66 50.66 0 49.870397
2013-04-24 53.200001 53.200001 53.200001 53.200001 200 52.370809
2013-04-25 53.200001 53.200001 53.200001 53.200001 0 52.370809
2013-04-26 52.759998 52.759998 52.759998 52.759998 100 51.937664
2013-04-29 52.759998 52.759998 52.759998 52.759998 0 51.937664
2013-04-30 52.790001 53 52.790001 53 700 52.173925
2013-05-01 53 53 53 53 0 52.173925
2013-05-02 52.029999 52.040001 52.029999 52.040001 400 51.228889
2013-05-03 52 53.720001 52 53.389999 1000 52.557846
2013-05-06 54.27 54.27 54.27 54.27 200 53.424131
2013-05-07 55.689999 56.080002 55.689999 56.080002 700 55.205921
2013-05-08 56.080002 56.080002 56.080002 56.080002 0 55.205921
2013-05-09 55.669998 55.669998 55.669998 55.669998 200 54.802308
2013-05-10 55.669998 55.669998 55.669998 55.669998 0 54.802308
2013-05-13 55.669998 55.669998 55.669998 55.669998 0 54.802308
2013-05-14 55.669998 55.669998 55.669998 55.669998 0 54.802308
2013-05-15 58.419998 58.43 57.639999 57.639999 2100 56.741604
2013-05-16 58.099998 58.099998 58.099998 58.099998 200 57.194434
2013-05-17 58.98 58.98 58.98 58.98 100 58.060719
2013-05-20 59.599998 59.599998 59.599998 59.599998 100 58.671054
2013-05-21 59.599998 59.599998 59.599998 59.599998 0 58.671054
2013-05-22 62.27 62.27 58.400002 58.400002 2000 57.489761
2013-05-23 57.209999 57.349998 57.209999 57.349998 600 56.456123
2013-05-24 57.349998 57.349998 57.349998 57.349998 0 56.456123
2013-05-28 57.349998 57.349998 57.349998 57.349998 0 56.456123
2013-05-29 57.349998 57.349998 57.349998 57.349998 0 56.456123
2013-05-30 57.349998 57.349998 57.349998 57.349998 0 56.456123
2013-05-31 57.349998 57.349998 57.349998 57.349998 0 56.456123
2013-06-03 58 58 57.119999 57.119999 1900 56.229709
2013-06-04 58.169998 58.169998 58.169998 58.169998 100 57.263342
2013-06-05 56.490002 56.490002 56.490002 56.490002 200 55.609531
2013-06-06 56.490002 56.490002 56.490002 56.490002 0 55.609531
2013-06-07 56.490002 56.490002 56.490002 56.490002 0 55.609531
2013-06-10 58.84 58.900002 58.84 58.900002 200 57.981967
2013-06-11 58.009998 58.990002 58.009998 58.650002 400 57.735864
2013-06-12 58.5 58.5 56.959999 57.099998 500 56.21002
2013-06-13 57.099998 57.099998 57.099998 57.099998 0 56.21002
2013-06-14 57.400002 57.400002 57.400002 57.400002 1000 56.505347
2013-06-17 57.93 57.93 56.830002 56.830002 400 55.944231
2013-06-18 57.869999 57.869999 57.869999 57.869999 200 56.968019
2013-06-19 57.869999 57.869999 57.869999 57.869999 0 56.968019
2013-06-20 56.849998 56.849998 56.849998 56.849998 100 55.963916
2013-06-21 58.200001 58.869999 57.490002 58.799999 1800 57.883524
2013-06-24 58.009998 58.240002 57.919998 58.200001 1200 57.292877
2013-06-25 59.599998 61.290001 59.599998 61.23 1700 60.275649
2013-06-26 63 63.009998 60.91 61.48 4200 60.654492
2013-06-27 62 63.150002 61.529999 63.139999 13600 62.292202
2013-06-28 63.700001 63.73 62.529999 63.549999 1800 62.696697
2013-07-01 64.5 66.5 64.230003 66.050003 2900 65.163133
2013-07-02 66.690002 67.620003 66.25 66.68 2400 65.784671
2013-07-03 67.220001 67.25 64.580002 67.25 4700 66.347017
2013-07-05 68.82 70.900002 68.75 70.900002 88400 69.948009
2013-07-08 72.449997 72.5 71.220001 71.269997 63100 70.313036
2013-07-09 72.660004 72.660004 69.900002 72 51200 71.033237
2013-07-10 72.199997 72.199997 69.980003 70.480003 46200 69.53365
2013-07-11 71.279999 76.599998 68.25 68.459999 44300 67.540769
2013-07-12 68.510002 70.400002 68.449997 70.07 18300 69.129152
2013-07-15 70.790001 71.519997 70.07 71.379997 21500 70.42156
2013-07-16 71.18 71.989998 68.349998 70 30300 69.060092
2013-07-17 70 71.449997 70 71.080002 19800 70.125592
2013-07-18 71.68 74.199997 71.639999 73.650002 15800 72.661084
2013-07-19 74.970001 74.970001 73.010002 74.699997 10700 73.696981
2013-07-22 75.800003 76.120003 74.389999 75.800003 9600 74.782217
2013-07-23 77.010002 77.300003 75.080002 76.949997 21900 75.91677
2013-07-24 77.879997 78.699997 77.349998 77.529999 14400 76.488984
2013-07-25 77.900002 78.529999 76.360001 76.720001 24400 75.689862
2013-07-26 76.959999 79.739998 75 75.93 10500 74.910469
2013-07-29 76 76 73.860001 74.540001 14500 73.539133
2013-07-30 74.489998 75.959999 74.419998 74.440002 6200 73.440477
2013-07-31 75.589996 77.610001 75.099998 75.099998 10300 74.091611
2013-08-01 77.650002 78.5 77.459999 78.419998 5900 77.367033
2013-08-02 78.589996 78.589996 76.800003 77.919998 6700 76.873746
2013-08-05 77.269997 78.43 77.150002 78.150002 4400 77.100661
2013-08-06 78.379997 78.449997 76.5 76.599998 15700 75.571471
2013-08-07 76.599998 76.599998 74.510002 75.360001 7600 74.348122
2013-08-08 76.5 76.699997 74.900002 75.779999 5200 74.762481
2013-08-09 75.099998 75.910004 74.779999 74.970001 7000 73.96336
2013-08-12 74.129997 75.480003 74.129997 75.080002 12400 74.071883
2013-08-13 75.830002 75.830002 74.370003 75.510002 4200 74.49611
2013-08-14 75.370003 76.419998 75.370003 75.790001 5500 74.772349
2013-08-15 75 75 73.510002 73.75 6700 72.75974
2013-08-16 73.360001 75.580002 73.110001 74.529999 6800 73.529265
2013-08-19 74.25 74.25 72.830002 72.889999 4900 71.911287
2013-08-20 72.529999 75.449997 72.5 75.449997 6100 74.43691
2013-08-21 75.300003 75.300003 74 75.300003 2100 74.288931
2013-08-22 74.989998 76.550003 74.989998 75.419998 7000 74.407314
2013-08-23 75.5 75.879997 74.68 75.879997 7300 74.861137
2013-08-26 75.730003 76.080002 74.370003 74.410004 11000 73.410881
2013-08-27 72.720001 72.730003 69.169998 69.389999 16300 68.458282
2013-08-28 69.239998 70.510002 68.830002 69.980003 15500 69.040364
2013-08-29 69.610001 71.07 69.610001 70.559998 14400 69.61257
2013-08-30 69.75 69.75 68.139999 68.139999 17900 67.225066
2013-09-03 68.949997 70.779999 66.32 67.879997 14400 66.968555
2013-09-04 67.940002 69.089996 67.669998 68.230003 10000 67.313862
2013-09-05 69.169998 69.699997 68.970001 69.459999 2600 68.527342
2013-09-06 69.650002 70.080002 67.050003 68.849998 14700 67.925532
2013-09-09 69.059998 70.080002 68.449997 69.919998 7500 68.981164
2013-09-10 70.489998 71.190002 70.489998 71.190002 8900 70.234116
2013-09-11 71.389999 71.389999 70.099998 70.550003 8800 69.60271
2013-09-12 70.080002 70.349998 69.550003 69.730003 4500 68.793721
2013-09-13 69.519997 70.080002 69.5 70.080002 6100 69.13902
2013-09-16 70.349998 70.699997 70.18 70.18 11400 69.237675
2013-09-17 70.07 71.779999 70.07 71.779999 12000 70.81619
2013-09-18 72.199997 72.559998 71.639999 72.559998 700 71.585716
2013-09-19 68.900002 69.519997 68.139999 69.010002 6600 68.083387
2013-09-20 69.489998 71.080002 69.419998 70.82 6800 69.869081
2013-09-23 70.029999 70.029999 68.529999 70.010002 7000 69.06996
