"Index" "USD.HKD"
2013-09-25 7.7537
2013-09-26 7.7541
2013-09-27 7.7544
2013-09-28 7.7543
2013-09-29 7.7543
2013-09-30 7.7546
2013-10-01 7.7549
2013-10-02 7.7544
2013-10-03 7.7545
2013-10-04 7.7544
2013-10-05 7.7547
2013-10-06 7.7547
2013-10-07 7.7544
2013-10-08 7.7541
2013-10-09 7.7543
2013-10-10 7.7545
2013-10-11 7.7543
2013-10-12 7.7542
2013-10-13 7.7542
2013-10-14 7.7544
2013-10-15 7.7545
2013-10-16 7.7545
2013-10-17 7.7543
2013-10-18 7.7537
2013-10-19 7.7531
2013-10-20 7.7531
2013-10-21 7.753
2013-10-22 7.7527
2013-10-23 7.7528
2013-10-24 7.7532
2013-10-25 7.7536
2013-10-26 7.7537
2013-10-27 7.7537
2013-10-28 7.7534
2013-10-29 7.7534
2013-10-30 7.7532
2013-10-31 7.7532
2013-11-01 7.7527
2013-11-02 7.7521
2013-11-03 7.7521
2013-11-04 7.7521
2013-11-05 7.7517
2013-11-06 7.7517
2013-11-07 7.7516
2013-11-08 7.7517
2013-11-09 7.7517
2013-11-10 7.7517
2013-11-11 7.7525
2013-11-12 7.7529
2013-11-13 7.7531
2013-11-14 7.7535
2013-11-15 7.7537
2013-11-16 7.754
2013-11-17 7.754
2013-11-18 7.7529
2013-11-19 7.7521
2013-11-20 7.7517
2013-11-21 7.752
2013-11-22 7.7526
2013-11-23 7.7531
2013-11-24 7.7531
2013-11-25 7.7528
2013-11-26 7.7525
2013-11-27 7.7524
2013-11-28 7.7527
2013-11-29 7.7527
2013-11-30 7.7527
2013-12-01 7.7527
2013-12-02 7.7525
2013-12-03 7.7523
2013-12-04 7.7529
2013-12-05 7.7536
2013-12-06 7.7544
2013-12-07 7.7545
2013-12-08 7.7545
2013-12-09 7.7539
2013-12-10 7.7533
2013-12-11 7.7539
2013-12-12 7.7539
2013-12-13 7.7535
2013-12-14 7.7538
2013-12-15 7.7539
2013-12-16 7.7534
2013-12-17 7.753
2013-12-18 7.7524
2013-12-19 7.7532
2013-12-20 7.7544
2013-12-21 7.7546
2013-12-22 7.7545
2013-12-23 7.7541
2013-12-24 7.7544
2013-12-25 7.7546
2013-12-26 7.7552
2013-12-27 7.7549
2013-12-28 7.7549
2013-12-29 7.755
2013-12-30 7.7546
2013-12-31 7.7541
2014-01-01 7.7538
2014-01-02 7.754
2014-01-03 7.7544
2014-01-04 7.754
2014-01-05 7.754
2014-01-06 7.7545
2014-01-07 7.7544
2014-01-08 7.7544
2014-01-09 7.7544
2014-01-10 7.7545
2014-01-11 7.7544
2014-01-12 7.7544
2014-01-13 7.7545
2014-01-14 7.7543
2014-01-15 7.7543
2014-01-16 7.7547
2014-01-17 7.7554
2014-01-18 7.7553
2014-01-19 7.7553
2014-01-20 7.7562
2014-01-21 7.7568
2014-01-22 7.7574
2014-01-23 7.7583
2014-01-24 7.7619
2014-01-25 7.7627
2014-01-26 7.7627
2014-01-27 7.7639
2014-01-28 7.7646
2014-01-29 7.7639
2014-01-30 7.7657
2014-01-31 7.7662
2014-02-01 7.7636
2014-02-02 7.7636
2014-02-03 7.7647
2014-02-04 7.7645
2014-02-05 7.7626
2014-02-06 7.7598
2014-02-07 7.7589
2014-02-08 7.7587
2014-02-09 7.7587
2014-02-10 7.7573
2014-02-11 7.7568
2014-02-12 7.7559
2014-02-13 7.7563
2014-02-14 7.7558
2014-02-15 7.7554
2014-02-16 7.7554
2014-02-17 7.7553
2014-02-18 7.7553
2014-02-19 7.7552
2014-02-20 7.7556
2014-02-21 7.7557
2014-02-22 7.7554
2014-02-23 7.7554
2014-02-24 7.7574
2014-02-25 7.7605
2014-02-26 7.7599
2014-02-27 7.7605
2014-02-28 7.7612
2014-03-01 7.7602
2014-03-02 7.7602
2014-03-03 7.7603
2014-03-04 7.7608
2014-03-05 7.7608
2014-03-06 7.7607
2014-03-07 7.7606
2014-03-08 7.7609
2014-03-09 7.7609
2014-03-10 7.761
2014-03-11 7.7614
2014-03-12 7.7639
2014-03-13 7.7647
2014-03-14 7.7655
2014-03-15 7.7672
2014-03-16 7.7672
2014-03-17 7.7657
2014-03-18 7.7663
2014-03-19 7.7652
