"Index" "XPT.USD"
2013-08-27 1551.1
2013-08-28 1533.94
2013-08-29 1537.64
2013-08-30 1514.51
2013-08-31 1521.5
2013-09-01 1521.5
2013-09-02 1516.5
2013-09-03 1524.5
2013-09-04 1535.86
2013-09-05 1499.41
2013-09-06 1485.36
2013-09-07 1485.36
2013-09-08 1485.36
2013-09-09 1497.04
2013-09-10 1486.2
2013-09-11 1475.97
2013-09-12 1475.97
2013-09-13 1475.97
2013-09-14 1475.97
2013-09-15 1475.97
2013-09-16 1456.25
2013-09-17 1437.75
2013-09-18 1423.88
2013-09-19 1423.88
2013-09-20 1461.58
2013-09-21 1433
2013-09-22 1433
2013-09-23 1432.73
2013-09-24 1427.5
2013-09-25 1428.32
2013-09-26 1425.5
2013-09-27 1411.93
2013-09-28 1421.5
2013-09-29 1421.5
2013-09-30 1416.06
2013-10-01 1402.5
2013-10-02 1384.39
2013-10-03 1391.18
2013-10-04 1376.74
2013-10-05 1389
2013-10-06 1389
2013-10-07 1391.06
2013-10-08 1398.64
2013-10-09 1401.5
2013-10-10 1387.6
2013-10-11 1385.25
2013-10-12 1371.5
2013-10-13 1371.5
2013-10-14 1370.64
2013-10-15 1378.47
2013-10-16 1379.32
2013-10-17 1402.1
2013-10-18 1430.87
2013-10-19 1438.75
2013-10-20 1438.75
2013-10-21 1438.37
2013-10-22 1436
2013-10-23 1450.06
2013-10-24 1436.91
2013-10-25 1436.91
2013-10-26 1454.5
2013-10-27 1454.5
2013-10-28 1452.46
2013-10-29 1452.46
2013-10-30 1452.46
2013-10-31 1452.46
2013-11-01 1452.46
2013-11-02 1452.46
2013-11-03 1452.46
2013-11-04 1454.5
2013-11-05 1454.5
2013-11-06 1454.5
2013-11-07 1454.5
2013-11-08 1454.5
2013-11-09 1454.5
2013-11-10 1446.25
2013-11-11 1442.08
2013-11-12 1442.08
2013-11-13 1442.08
2013-11-14 1442.08
2013-11-15 1442.08
2013-11-16 1442.08
2013-11-17 1442.08
2013-11-18 1442.08
2013-11-19 1442.08
2013-11-20 1442.08
2013-11-21 1442.08
2013-11-22 1442.08
2013-11-23 1442.08
2013-11-24 1442.08
2013-11-25 1382.66
2013-11-26 1382.66
2013-11-27 1382.66
2013-11-28 1355.83
2013-11-29 1359.62
2013-11-30 1363
2013-12-01 1366.35
2013-12-02 1367.5
2013-12-03 1348.99
2013-12-04 1360.04
2013-12-05 1365.98
2013-12-06 1362.68
2013-12-07 1359
2013-12-08 1359
2013-12-09 1358
2013-12-10 1371.3
2013-12-11 1389.35
2013-12-12 1385.49
2013-12-13 1365.64
2013-12-14 1363.25
2013-12-15 1363.25
2013-12-16 1363.64
2013-12-17 1363.7
2013-12-18 1354.2
2013-12-19 1335.02
2013-12-20 1319.19
2013-12-21 1333.5
2013-12-22 1333.5
2013-12-23 1335.72
2013-12-24 1326.98
2013-12-25 1334
2013-12-26 1341.95
2013-12-27 1355.27
2013-12-28 1378
2013-12-29 1378
2013-12-30 1377
