"Index" "USD.ZAR"
2013-09-25 9.8954
2013-09-26 9.9833
2013-09-27 10.0509
2013-09-28 10.0873
2013-09-29 10.0873
2013-09-30 10.094
2013-10-01 10.0527
2013-10-02 10.0963
2013-10-03 10.0375
2013-10-04 10.0124
2013-10-05 9.9874
2013-10-06 9.9874
2013-10-07 10.0057
2013-10-08 9.9834
2013-10-09 9.9825
2013-10-10 9.9507
2013-10-11 9.9007
2013-10-12 9.8914
2013-10-13 9.8914
2013-10-14 9.9248
2013-10-15 9.9294
2013-10-16 9.9374
2013-10-17 9.8443
2013-10-18 9.8051
2013-10-19 9.7904
2013-10-20 9.7904
2013-10-21 9.8167
2013-10-22 9.8097
2013-10-23 9.7701
2013-10-24 9.7738
2013-10-25 9.7968
2013-10-26 9.8269
2013-10-27 9.8269
2013-10-28 9.8202
2013-10-29 9.8604
2013-10-30 9.887
2013-10-31 9.9726
2013-11-01 10.1003
2013-11-02 10.1901
2013-11-03 10.1901
2013-11-04 10.1644
2013-11-05 10.184
2013-11-06 10.231
2013-11-07 10.269
2013-11-08 10.296
2013-11-09 10.3291
2013-11-10 10.3288
2013-11-11 10.353
2013-11-12 10.3944
2013-11-13 10.3469
2013-11-14 10.2872
2013-11-15 10.1933
2013-11-16 10.1607
2013-11-17 10.1606
2013-11-18 10.1424
2013-11-19 10.1435
2013-11-20 10.1573
2013-11-21 10.1557
2013-11-22 10.1174
2013-11-23 10.0696
2013-11-24 10.0694
2013-11-25 10.0767
2013-11-26 10.1106
2013-11-27 10.1664
2013-11-28 10.218
2013-11-29 10.1984
2013-11-30 10.1753
2013-12-01 10.1746
2013-12-02 10.2092
2013-12-03 10.3145
2013-12-04 10.3904
2013-12-05 10.4529
2013-12-06 10.4251
2013-12-07 10.3223
2013-12-08 10.3214
2013-12-09 10.3448
2013-12-10 10.353
2013-12-11 10.365
2013-12-12 10.3948
2013-12-13 10.369
2013-12-14 10.2926
2013-12-15 10.2926
2013-12-16 10.3046
2013-12-17 10.3146
2013-12-18 10.3382
2013-12-19 10.3681
2013-12-20 10.3962
2013-12-21 10.3556
2013-12-22 10.3556
2013-12-23 10.3415
2013-12-24 10.345
2013-12-25 10.3445
2013-12-26 10.3493
2013-12-27 10.4092
2013-12-28 10.5372
2013-12-29 10.5376
2013-12-30 10.4958
2013-12-31 10.4761
2014-01-01 10.5223
2014-01-02 10.5807
2014-01-03 10.6463
2014-01-04 10.6884
2014-01-05 10.6892
2014-01-06 10.6724
