"Index" "A47.Open" "A47.High" "A47.Low" "A47.Close" "A47.Volume" "A47.Adjusted"
2013-07-11 1 1 1 1 0 1
2013-07-12 1 1 1 1 0 1
2013-07-15 0.8 0.9 0.52 0.52 4000 0.52
2013-07-16 0.505 0.549 0.505 0.549 0 0.549
2013-07-17 0.488 0.488 0.488 0.488 0 0.488
2013-07-18 0.378 0.378 0.289 0.289 0 0.289
2013-07-19 0.308 0.308 0.308 0.308 0 0.308
2013-07-22 0.327 0.327 0.327 0.327 0 0.327
2013-07-23 0.4 0.4 0.4 0.4 0 0.4
2013-07-24 0.361 0.396 0.361 0.396 0 0.396
2013-07-25 0.404 0.455 0.404 0.455 0 0.455
2013-07-26 0.461 0.461 0.427 0.427 0 0.427
2013-07-29 0.394 0.394 0.394 0.394 0 0.394
2013-07-30 0.414 0.414 0.414 0.414 0 0.414
2013-07-31 0.396 0.396 0.396 0.396 0 0.396
2013-08-01 0.38 0.38 0.38 0.38 0 0.38
2013-08-02 0.38 0.38 0.38 0.38 0 0.38
2013-08-05 0.38 0.38 0.38 0.38 0 0.38
2013-08-06 0.36 0.36 0.36 0.36 0 0.36
2013-08-07 0.38 0.38 0.38 0.38 0 0.38
2013-08-08 0.358 0.358 0.358 0.358 0 0.358
2013-08-09 0.356 0.361 0.356 0.361 0 0.361
2013-08-12 0.338 0.4 0.338 0.4 20000 0.4
2013-08-13 0.314 0.314 0.314 0.314 0 0.314
2013-08-14 0.258 0.258 0.258 0.258 0 0.258
2013-08-15 0.323 0.323 0.323 0.323 0 0.323
2013-08-16 0.31 0.348 0.31 0.324 0 0.324
2013-08-19 0.341 0.341 0.341 0.341 0 0.341
2013-08-20 0.276 0.276 0.276 0.276 0 0.276
2013-08-21 0.255 0.255 0.255 0.255 0 0.255
2013-08-22 0.28 0.28 0.26 0.26 0 0.26
2013-08-23 0.27 0.27 0.262 0.266 0 0.266
2013-08-26 0.256 0.256 0.256 0.256 0 0.256
2013-08-27 0.259 0.259 0.259 0.259 0 0.259
2013-08-28 0.249 0.249 0.249 0.249 0 0.249
2013-08-29 0.247 0.247 0.247 0.247 0 0.247
2013-08-30 0.262 0.266 0.262 0.266 0 0.266
2013-09-02 0.268 0.268 0.268 0.268 0 0.268
2013-09-03 0.269 0.269 0.269 0.269 0 0.269
2013-09-04 0.287 0.301 0.287 0.301 0 0.301
2013-09-05 0.28 0.286 0.278 0.278 0 0.278
2013-09-06 0.278 0.278 0.278 0.278 0 0.278
2013-09-09 0.266 0.266 0.266 0.266 0 0.266
2013-09-10 0.271 0.271 0.271 0.271 0 0.271
2013-09-11 0.272 0.272 0.272 0.272 0 0.272
2013-09-12 0.27 0.27 0.27 0.27 0 0.27
2013-09-13 0.26 0.26 0.254 0.254 0 0.254
2013-09-16 0.269 0.269 0.269 0.269 0 0.269
2013-09-17 0.278 0.278 0.278 0.278 0 0.278
2013-09-18 0.246 0.246 0.246 0.246 0 0.246
2013-09-19 0.246 0.246 0.246 0.246 0 0.246
2013-09-20 0.252 0.266 0.252 0.266 0 0.266
2013-09-23 0.243 0.243 0.243 0.243 0 0.243
2013-09-24 0.249 0.249 0.249 0.249 0 0.249
2013-09-25 0.245 0.245 0.245 0.245 0 0.245
2013-09-26 0.253 0.253 0.253 0.253 0 0.253
2013-09-27 0.244 0.244 0.244 0.244 0 0.244
2013-09-30 0.234 0.234 0.234 0.234 0 0.234
2013-10-01 0.226 0.226 0.226 0.226 0 0.226
2013-10-02 0.212 0.212 0.212 0.212 0 0.212
2013-10-03 0.185 0.185 0.185 0.185 0 0.185
2013-10-04 0.188 0.188 0.188 0.188 0 0.188
2013-10-07 0.189 0.189 0.179 0.186 0 0.186
2013-10-08 0.18 0.18 0.18 0.18 0 0.18
2013-10-09 0.186 0.186 0.18 0.18 0 0.18
2013-10-10 0.186 0.19 0.186 0.19 0 0.19
2013-10-11 0.188 0.194 0.186 0.186 0 0.186
2013-10-14 0.184 0.184 0.184 0.184 0 0.184
2013-10-15 0.199 0.199 0.199 0.199 0 0.199
2013-10-16 0.193 0.198 0.193 0.198 0 0.198
2013-10-17 0.187 0.187 0.187 0.187 0 0.187
2013-10-18 0.204 0.204 0.197 0.197 0 0.197
2013-10-21 0.194 0.194 0.194 0.194 0 0.194
2013-10-22 0.191 0.191 0.191 0.191 0 0.191
2013-10-23 0.176 0.176 0.176 0.176 0 0.176
2013-10-24 0.179 0.179 0.179 0.179 0 0.179
2013-10-25 0.182 0.182 0.176 0.176 0 0.176
2013-10-28 0.181 0.181 0.181 0.181 0 0.181
2013-10-29 0.173 0.173 0.13 0.13 0 0.13
2013-10-30 0.134 0.134 0.134 0.134 0 0.134
2013-10-31 0.156 0.156 0.156 0.156 0 0.156
2013-11-01 0.164 0.17 0.16 0.17 0 0.17
2013-11-04 0.17 0.17 0.17 0.17 0 0.17
2013-11-05 0.14 0.14 0.14 0.14 0 0.14
2013-11-06 0.15 0.15 0.15 0.15 0 0.15
2013-11-07 0.136 0.138 0.136 0.138 0 0.138
2013-11-08 0.129 0.129 0.129 0.129 0 0.129
2013-11-11 0.146 0.146 0.146 0.146 0 0.146
2013-11-12 0.138 0.138 0.138 0.138 0 0.138
2013-11-13 0.134 0.134 0.134 0.134 0 0.134
2013-11-14 0.14 0.14 0.14 0.14 0 0.14
2013-11-15 0.134 0.134 0.134 0.134 0 0.134
2013-11-18 0.139 0.139 0.139 0.139 0 0.139
2013-11-19 0.138 0.138 0.138 0.138 0 0.138
2013-11-20 0.134 0.134 0.134 0.134 0 0.134
2013-11-21 0.134 0.134 0.134 0.134 0 0.134
2013-11-22 0.133 0.14 0.133 0.133 0 0.133
2013-11-25 0.134 0.134 0.134 0.134 0 0.134
2013-11-26 0.133 0.133 0.133 0.133 0 0.133
2013-11-27 0.128 0.128 0.127 0.127 0 0.127
2013-11-28 0.132 0.132 0.12 0.12 20000 0.12
2013-11-29 0.132 0.132 0.132 0.132 0 0.132
2013-12-02 0.132 0.132 0.132 0.132 0 0.132
2013-12-03 0.133 0.133 0.133 0.133 0 0.133
2013-12-04 0.126 0.126 0.126 0.126 0 0.126
2013-12-05 0.123 0.123 0.123 0.123 0 0.123
2013-12-06 0.119 0.119 0.119 0.119 0 0.119
2013-12-09 0.108 0.108 0.108 0.108 0 0.108
2013-12-10 0.134 0.134 0.134 0.134 0 0.134
2013-12-11 0.128 0.128 0.128 0.128 0 0.128
2013-12-12 0.143 0.143 0.143 0.143 0 0.143
2013-12-13 0.154 0.154 0.154 0.154 0 0.154
2013-12-16 0.154 0.154 0.154 0.154 0 0.154
2013-12-17 0.154 0.154 0.154 0.154 0 0.154
2013-12-18 0.16 0.16 0.15 0.15 0 0.15
2013-12-19 0.162 0.162 0.162 0.162 0 0.162
2013-12-20 0.147 0.147 0.147 0.147 0 0.147
2013-12-23 0.144 0.144 0.144 0.144 0 0.144
2013-12-24 0.144 0.144 0.144 0.144 0 0.144
2013-12-25 0.144 0.144 0.144 0.144 0 0.144
2013-12-26 0.144 0.144 0.144 0.144 0 0.144
2013-12-27 0.183 0.183 0.183 0.183 0 0.183
2013-12-30 0.183 0.183 0.183 0.183 0 0.183
2013-12-31 0.183 0.183 0.183 0.183 0 0.183
2014-01-01 0.183 0.183 0.183 0.183 0 0.183
2014-01-02 0.237 0.237 0.237 0.237 0 0.237
2014-01-03 0.287 0.287 0.287 0.287 0 0.287
2014-01-06 0.31 0.31 0.31 0.31 0 0.31
2014-01-07 0.292 0.292 0.292 0.292 0 0.292
2014-01-08 0.279 0.279 0.279 0.279 0 0.279
2014-01-09 0.215 0.215 0.215 0.215 0 0.215
2014-01-10 0.265 0.265 0.265 0.265 0 0.265
2014-01-13 0.264 0.264 0.264 0.264 0 0.264
2014-01-14 0.257 0.257 0.257 0.257 0 0.257
2014-01-15 0.257 0.257 0.257 0.257 0 0.257
2014-01-16 0.258 0.28 0.258 0.28 0 0.28
2014-01-17 0.265 0.265 0.265 0.265 0 0.265
2014-01-20 0.293 0.293 0.292 0.292 0 0.292
2014-01-21 0.292 0.297 0.292 0.297 0 0.297
2014-01-22 0.31 0.31 0.31 0.31 0 0.31
2014-01-23 0.296 0.308 0.294 0.308 0 0.308
2014-01-24 0.286 0.286 0.282 0.283 0 0.283
2014-01-27 0.282 0.289 0.282 0.289 0 0.289
2014-01-28 0.279 0.282 0.279 0.282 0 0.282
2014-01-29 0.279 0.283 0.279 0.283 0 0.283
2014-01-30 0.287 0.287 0.28 0.281 0 0.281
2014-01-31 0.281 0.281 0.281 0.281 0 0.281
2014-02-03 0.257 0.257 0.256 0.256 0 0.256
2014-02-04 0.234 0.241 0.227 0.227 0 0.227
2014-02-05 0.223 0.223 0.223 0.223 0 0.223
2014-02-06 0.245 0.245 0.221 0.221 0 0.221
2014-02-07 0.221 0.222 0.221 0.221 0 0.221
2014-02-10 0.217 0.217 0.217 0.217 0 0.217
2014-02-11 0.235 0.235 0.235 0.235 0 0.235
2014-02-12 0.279 0.28 0.279 0.28 0 0.28
2014-02-13 0.261 0.261 0.261 0.261 0 0.261
2014-02-14 0.257 0.264 0.257 0.264 0 0.264
2014-02-17 0.252 0.252 0.252 0.252 0 0.252
2014-02-18 0.252 0.252 0.252 0.252 0 0.252
2014-02-19 0.284 0.284 0.277 0.277 0 0.277
2014-02-20 0.28 0.28 0.28 0.28 0 0.28
2014-02-21 0.27 0.27 0.256 0.256 0 0.256
2014-02-24 0.257 0.257 0.257 0.257 0 0.257
2014-02-25 0.263 0.263 0.263 0.263 0 0.263
2014-02-26 0.263 0.263 0.263 0.263 0 0.263
2014-02-27 0.279 0.28 0.279 0.28 0 0.28
2014-02-28 0.3 0.305 0.298 0.304 0 0.304
2014-03-03 0.32 0.32 0.32 0.32 0 0.32
2014-03-04 0.299 0.299 0.299 0.299 0 0.299
2014-03-05 0.298 0.298 0.298 0.298 0 0.298
2014-03-06 0.314 0.314 0.297 0.297 0 0.297
2014-03-07 0.311 0.311 0.297 0.304 0 0.304
2014-03-10 0.303 0.303 0.303 0.303 0 0.303
2014-03-11 0.304 0.304 0.286 0.286 0 0.286
2014-03-12 0.289 0.289 0.289 0.289 0 0.289
2014-03-13 0.288 0.288 0.279 0.279 0 0.279
2014-03-14 0.297 0.297 0.285 0.285 0 0.285
2014-03-17 0.292 0.292 0.292 0.292 0 0.292
2014-03-18 0.274 0.274 0.26 0.26 0 0.26
2014-03-19 0.259 0.259 0.259 0.259 0 0.259
2014-03-20 0.268 0.269 0.255 0.255 0 0.255
2014-03-21 0.262 0.262 0.262 0.262 0 0.262
2014-03-24 0.254 0.254 0.254 0.254 0 0.254
2014-03-25 0.272 0.272 0.272 0.272 0 0.272
2014-03-26 0.269 0.269 0.269 0.269 0 0.269
2014-03-27 0.24 0.255 0.24 0.255 0 0.255
2014-03-28 0.248 0.256 0.248 0.248 0 0.248
2014-03-31 0.255 0.255 0.24 0.24 0 0.24
2014-04-01 0.24 0.24 0.24 0.24 0 0.24
2014-04-02 0.232 0.233 0.232 0.233 0 0.233
2014-04-03 0.23 0.23 0.23 0.23 0 0.23
2014-04-04 0.23 0.241 0.23 0.241 0 0.241
2014-04-07 0.249 0.249 0.229 0.229 0 0.229
2014-04-08 0.237 0.237 0.237 0.237 0 0.237
2014-04-09 0.24 0.24 0.225 0.225 0 0.225
2014-04-10 0.239 0.239 0.239 0.239 0 0.239
2014-04-11 0.238 0.238 0.217 0.227 0 0.227
2014-04-14 0.232 0.232 0.225 0.225 0 0.225
2014-04-15 0.218 0.218 0.218 0.218 0 0.218
2014-04-16 0.23 0.23 0.225 0.225 0 0.225
2014-04-17 0.21 0.214 0.203 0.203 0 0.203
2014-04-18 0.203 0.203 0.203 0.203 0 0.203
2014-04-21 0.203 0.203 0.203 0.203 0 0.203
2014-04-22 0.209 0.209 0.209 0.209 0 0.209
2014-04-23 0.2 0.2 0.199 0.199 0 0.199
2014-04-24 0.196 0.196 0.196 0.196 0 0.196
2014-04-25 0.192 0.192 0.192 0.192 0 0.192
2014-04-28 0.21 0.21 0.21 0.21 0 0.21
2014-04-29 0.174 0.174 0.174 0.174 0 0.174
2014-04-30 0.189 0.189 0.189 0.189 0 0.189
2014-05-01 0.189 0.189 0.189 0.189 0 0.189
2014-05-02 0.202 0.202 0.181 0.181 0 0.181
2014-05-05 0.188 0.188 0.188 0.188 0 0.188
2014-05-06 0.187 0.187 0.187 0.187 0 0.187
2014-05-07 0.17 0.17 0.17 0.17 0 0.17
2014-05-08 0.192 0.192 0.192 0.192 0 0.192
2014-05-09 0.182 0.186 0.182 0.186 0 0.186
2014-05-12 0.184 0.184 0.184 0.184 0 0.184
2014-05-13 0.155 0.17 0.155 0.17 3000 0.17
2014-05-14 0.172 0.172 0.168 0.168 0 0.168
2014-05-15 0.161 0.162 0.161 0.162 0 0.162
2014-05-16 0.161 0.161 0.154 0.154 0 0.154
2014-05-19 0.154 0.154 0.154 0.154 0 0.154
2014-05-20 0.181 0.181 0.181 0.181 0 0.181
2014-05-21 0.182 0.182 0.182 0.182 0 0.182
2014-05-22 0.184 0.184 0.184 0.184 0 0.184
2014-05-23 0.167 0.167 0.163 0.163 0 0.163
2014-05-26 0.148 0.148 0.148 0.148 0 0.148
2014-05-27 0.148 0.148 0.148 0.148 0 0.148
2014-05-28 0.162 0.163 0.162 0.163 0 0.163
2014-05-29 0.185 0.185 0.17 0.185 0 0.185
2014-05-30 0.17 0.17 0.17 0.17 0 0.17
2014-06-02 0.173 0.174 0.173 0.174 0 0.174
2014-06-03 0.174 0.174 0.174 0.174 0 0.174
2014-06-04 0.162 0.162 0.162 0.162 0 0.162
2014-06-05 0.163 0.164 0.163 0.164 0 0.164
2014-06-06 0.162 0.162 0.162 0.162 0 0.162
2014-06-09 0.166 0.166 0.166 0.166 0 0.166
2014-06-10 0.163 0.163 0.163 0.163 0 0.163
2014-06-11 0.16 0.163 0.159 0.163 0 0.163
2014-06-12 0.163 0.163 0.163 0.163 0 0.163
2014-06-13 0.17 0.185 0.17 0.185 0 0.185
2014-06-16 0.164 0.164 0.164 0.164 0 0.164
2014-06-17 0.181 0.181 0.181 0.181 0 0.181
2014-06-18 0.167 0.17 0.167 0.17 0 0.17
2014-06-19 0.172 0.172 0.171 0.171 0 0.171
2014-06-20 0.169 0.17 0.169 0.17 0 0.17
2014-06-23 0.166 0.166 0.166 0.166 0 0.166
2014-06-24 0.164 0.164 0.164 0.164 0 0.164
2014-06-25 0.185 0.185 0.169 0.169 0 0.169
2014-06-26 0.169 0.169 0.169 0.169 0 0.169
2014-06-27 0.16 0.164 0.16 0.163 0 0.163
2014-06-30 0.157 0.157 0.157 0.157 0 0.157
2014-07-01 0.169 0.169 0.169 0.169 0 0.169
2014-07-02 0.162 0.162 0.155 0.155 0 0.155
2014-07-03 0.148 0.151 0.148 0.151 0 0.151
2014-07-04 0.166 0.166 0.166 0.166 0 0.166
2014-07-07 0.167 0.167 0.167 0.167 0 0.167
2014-07-08 0.162 0.162 0.162 0.162 0 0.162
2014-07-09 0.148 0.148 0.148 0.148 0 0.148
2014-07-10 0.147 0.147 0.147 0.147 0 0.147
2014-07-11 0.15 0.15 0.144 0.148 0 0.148
2014-07-14 0.148 0.148 0.133 0.133 0 0.133
2014-07-15 0.133 0.133 0.133 0.133 0 0.133
2014-07-16 0.15 0.15 0.15 0.15 0 0.15
2014-07-17 0.141 0.141 0.139 0.139 0 0.139
2014-07-18 0.156 0.156 0.156 0.156 0 0.156
2014-07-21 0.141 0.149 0.141 0.149 0 0.149
2014-07-22 0.156 0.156 0.156 0.156 0 0.156
2014-07-23 0.157 0.157 0.157 0.157 0 0.157
2014-07-24 0.149 0.149 0.149 0.149 0 0.149
2014-07-25 0.149 0.149 0.149 0.149 0 0.149
2014-07-28 0.153 0.153 0.153 0.153 0 0.153
2014-07-29 0.15 0.15 0.149 0.149 0 0.149
2014-07-30 0.154 0.154 0.154 0.154 0 0.154
2014-07-31 0.15 0.15 0.15 0.15 0 0.15
2014-08-01 0.15 0.15 0.15 0.15 0 0.15
2014-08-04 0.15 0.15 0.15 0.15 0 0.15
2014-08-05 0.145 0.145 0.145 0.145 0 0.145
2014-08-06 0.147 0.147 0.143 0.143 0 0.143
2014-08-07 0.143 0.143 0.143 0.143 0 0.143
2014-08-08 0.139 0.139 0.135 0.135 0 0.135
2014-08-11 0.135 0.136 0.135 0.136 0 0.136
2014-08-12 0.136 0.136 0.136 0.136 0 0.136
2014-08-13 0.136 0.136 0.136 0.136 0 0.136
2014-08-14 0.139 0.139 0.139 0.139 0 0.139
2014-08-15 0.136 0.147 0.136 0.147 0 0.147
2014-08-18 0.136 0.137 0.136 0.137 0 0.137
2014-08-19 0.13 0.13 0.13 0.13 0 0.13
2014-08-20 0.121 0.121 0.121 0.121 0 0.121
2014-08-21 0.14 0.14 0.129 0.129 0 0.129
2014-08-22 0.144 0.144 0.118 0.129 0 0.129
2014-08-25 0.129 0.129 0.129 0.129 0 0.129
2014-08-26 0.141 0.141 0.141 0.141 0 0.141
2014-08-27 0.138 0.152 0.138 0.152 0 0.152
2014-08-28 0.152 0.152 0.152 0.152 0 0.152
2014-08-29 0.141 0.145 0.141 0.142 0 0.142
2014-09-01 0.138 0.138 0.138 0.138 0 0.138
2014-09-02 0.138 0.138 0.138 0.138 0 0.138
2014-09-03 0.138 0.138 0.138 0.138 0 0.138
2014-09-04 0.134 0.134 0.134 0.134 0 0.134
2014-09-05 0.14 0.14 0.136 0.136 0 0.136
2014-09-08 0.136 0.136 0.136 0.136 0 0.136
2014-09-09 0.137 0.137 0.137 0.137 0 0.137
2014-09-10 0.14 0.14 0.14 0.14 0 0.14
2014-09-11 0.137 0.137 0.136 0.136 0 0.136
2014-09-12 0.135 0.135 0.135 0.135 0 0.135
2014-09-15 0.144 0.144 0.144 0.144 0 0.144
2014-09-16 0.145 0.145 0.144 0.144 0 0.144
