"Index" "USD.SGD"
2013-09-25 1.255
2013-09-26 1.2549
2013-09-27 1.2556
2013-09-28 1.2565
2013-09-29 1.2565
2013-09-30 1.2561
2013-10-01 1.2529
2013-10-02 1.2513
2013-10-03 1.2488
2013-10-04 1.2471
2013-10-05 1.2466
2013-10-06 1.2466
2013-10-07 1.2478
2013-10-08 1.2489
2013-10-09 1.2509
2013-10-10 1.2506
2013-10-11 1.2475
2013-10-12 1.2458
2013-10-13 1.2458
2013-10-14 1.2452
2013-10-15 1.243
2013-10-16 1.2436
2013-10-17 1.2418
2013-10-18 1.2386
2013-10-19 1.2391
2013-10-20 1.2391
2013-10-21 1.241
2013-10-22 1.2397
2013-10-23 1.238
2013-10-24 1.2376
2013-10-25 1.2368
2013-10-26 1.2357
2013-10-27 1.2357
2013-10-28 1.2368
2013-10-29 1.2393
2013-10-30 1.2392
2013-10-31 1.2396
2013-11-01 1.2426
2013-11-02 1.243
2013-11-03 1.243
2013-11-04 1.243
2013-11-05 1.2424
2013-11-06 1.2431
2013-11-07 1.2432
2013-11-08 1.2447
2013-11-09 1.2469
2013-11-10 1.2468
2013-11-11 1.248
2013-11-12 1.2497
2013-11-13 1.2487
2013-11-14 1.2471
2013-11-15 1.2473
2013-11-16 1.2466
2013-11-17 1.2467
2013-11-18 1.2463
2013-11-19 1.2448
2013-11-20 1.2441
2013-11-21 1.2488
2013-11-22 1.2506
2013-11-23 1.25
2013-11-24 1.25
2013-11-25 1.2518
2013-11-26 1.2516
2013-11-27 1.2534
2013-11-28 1.2552
2013-11-29 1.2553
2013-11-30 1.2551
2013-12-01 1.2551
2013-12-02 1.2548
2013-12-03 1.2551
2013-12-04 1.2544
2013-12-05 1.2544
2013-12-06 1.2529
2013-12-07 1.2495
2013-12-08 1.2495
2013-12-09 1.2501
2013-12-10 1.2496
2013-12-11 1.2502
2013-12-12 1.2537
2013-12-13 1.2561
2013-12-14 1.2552
2013-12-15 1.2552
2013-12-16 1.2554
2013-12-17 1.2567
2013-12-18 1.2583
2013-12-19 1.2645
2013-12-20 1.2668
2013-12-21 1.2662
2013-12-22 1.2662
2013-12-23 1.2664
2013-12-24 1.2678
2013-12-25 1.2687
2013-12-26 1.2685
2013-12-27 1.2677
2013-12-28 1.2687
2013-12-29 1.2687
2013-12-30 1.2685
2013-12-31 1.2647
2014-01-01 1.2624
2014-01-02 1.266
2014-01-03 1.2666
2014-01-04 1.2672
2014-01-05 1.2672
2014-01-06 1.2681
2014-01-07 1.2702
2014-01-08 1.2712
2014-01-09 1.2719
2014-01-10 1.2689
2014-01-11 1.264
2014-01-12 1.264
2014-01-13 1.2647
2014-01-14 1.2672
2014-01-15 1.2717
2014-01-16 1.2733
2014-01-17 1.2733
2014-01-18 1.2761
2014-01-19 1.2761
2014-01-20 1.2761
2014-01-21 1.2778
2014-01-22 1.2784
2014-01-23 1.2799
2014-01-24 1.2792
2014-01-25 1.2786
2014-01-26 1.2786
2014-01-27 1.277
2014-01-28 1.2748
2014-01-29 1.2744
2014-01-30 1.276
2014-01-31 1.2765
2014-02-01 1.2767
2014-02-02 1.2767
2014-02-03 1.2763
2014-02-04 1.2706
2014-02-05 1.2687
2014-02-06 1.2685
2014-02-07 1.2682
2014-02-08 1.2683
2014-02-09 1.2683
2014-02-10 1.2694
2014-02-11 1.2685
2014-02-12 1.266
2014-02-13 1.2666
2014-02-14 1.2626
2014-02-15 1.2592
2014-02-16 1.2593
2014-02-17 1.2593
2014-02-18 1.2607
2014-02-19 1.2617
2014-02-20 1.265
2014-02-21 1.2661
2014-02-22 1.2677
2014-02-23 1.2678
2014-02-24 1.266
2014-02-25 1.2635
2014-02-26 1.265
2014-02-27 1.2662
2014-02-28 1.2664
2014-03-01 1.2678
2014-03-02 1.2678
2014-03-03 1.2687
2014-03-04 1.2698
2014-03-05 1.2699
2014-03-06 1.2659
2014-03-07 1.2651
2014-03-08 1.2686
2014-03-09 1.2686
2014-03-10 1.2685
2014-03-11 1.2671
2014-03-12 1.2681
2014-03-13 1.266
2014-03-14 1.2659
2014-03-15 1.2652
2014-03-16 1.2652
2014-03-17 1.2652
2014-03-18 1.2645
2014-03-19 1.2661
2014-03-20 1.2754
2014-03-21 1.2756
2014-03-22 1.2741
2014-03-23 1.2741
2014-03-24 1.2723
2014-03-25 1.269
2014-03-26 1.2675
