"Index" "MJC.Open" "MJC.High" "MJC.Low" "MJC.Close" "MJC.Volume" "MJC.Adjusted"
2013-04-09 2.55 2.55 2.55 2.55 0 2.09688
2013-04-10 2.42 2.5 2.42 2.43 209000 1.99821
2013-04-11 2.43 2.5 2.43 2.5 173200 2.05577
2013-04-12 2.5 2.55 2.45 2.55 364900 2.09688
2013-04-15 2.53 2.53 2.5 2.5 98100 2.05577
2013-04-16 2.46 2.53 2.46 2.5 66900 2.05577
2013-04-17 2.5 2.52 2.5 2.5 129300 2.05577
2013-04-18 2.55 2.6 2.5 2.5 495400 2.05577
2013-04-19 2.51 2.63 2.5 2.55 132800 2.09688
2013-04-22 2.52 2.63 2.52 2.63 11500 2.16267
2013-04-23 2.52 2.55 2.5 2.5 423800 2.05577
2013-04-24 2.48 2.48 2.41 2.41 310600 1.98176
2013-04-25 2.5 2.5 2.41 2.5 315300 2.05577
2013-04-26 2.41 2.46 2.4 2.46 470000 2.02288
2013-04-29 2.46 2.46 2.46 2.46 0 2.02288
2013-04-30 2.41 2.42 2.4 2.4 384600 1.97354
2013-05-01 2.4 2.4 2.4 2.4 0 1.97354
2013-05-02 2.42 2.42 2.4 2.4 205500 1.97354
2013-05-03 2.41 2.41 2.4 2.41 120100 1.98176
2013-05-06 2.4 2.41 2.4 2.41 292200 1.98176
2013-05-07 2.4 2.41 2.4 2.4 2055900 1.97354
2013-05-08 2.4 2.4 2.4 2.4 289900 1.97354
2013-05-09 2.4 2.4 2.4 2.4 84300 1.97354
2013-05-10 2.42 2.5 2.4 2.4 2147100 1.97354
