"Index" "USD.ILS"
2013-09-26 3.558
2013-09-27 3.5621
2013-09-28 3.5621
2013-09-29 3.557
2013-09-30 3.5406
2013-10-01 3.5259
2013-10-02 3.5341
2013-10-03 3.5432
2013-10-04 3.5476
2013-10-05 3.5476
2013-10-06 3.543
2013-10-07 3.548
2013-10-08 3.5555
2013-10-09 3.5635
2013-10-10 3.5589
2013-10-11 3.5467
2013-10-12 3.5461
2013-10-13 3.546
2013-10-14 3.539
2013-10-15 3.541
2013-10-16 3.5515
2013-10-17 3.5373
2013-10-18 3.5293
2013-10-19 3.5293
2013-10-20 3.5316
2013-10-21 3.5365
2013-10-22 3.5249
2013-10-23 3.5158
2013-10-24 3.5204
2013-10-25 3.526
2013-10-26 3.5295
2013-10-27 3.5276
2013-10-28 3.5284
2013-10-29 3.5221
2013-10-30 3.5164
2013-10-31 3.5213
2013-11-01 3.5295
2013-11-02 3.5306
2013-11-03 3.5318
2013-11-04 3.533
2013-11-05 3.5333
2013-11-06 3.5316
2013-11-07 3.5344
2013-11-08 3.537
2013-11-09 3.5318
2013-11-10 3.533
2013-11-11 3.534
2013-11-12 3.5325
2013-11-13 3.5298
2013-11-14 3.5251
2013-11-15 3.5204
2013-11-16 3.5232
2013-11-17 3.5233
2013-11-18 3.5227
2013-11-19 3.5216
2013-11-20 3.5403
2013-11-21 3.5648
2013-11-22 3.5611
2013-11-23 3.56
2013-11-24 3.5607
2013-11-25 3.5573
2013-11-26 3.5431
2013-11-27 3.5412
2013-11-28 3.5355
2013-11-29 3.5236
2013-11-30 3.5202
2013-12-01 3.52
2013-12-02 3.5245
2013-12-03 3.5239
2013-12-04 3.5227
2013-12-05 3.5212
2013-12-06 3.5101
2013-12-07 3.5077
2013-12-08 3.5042
2013-12-09 3.5
2013-12-10 3.4936
2013-12-11 3.5006
2013-12-12 3.5076
2013-12-13 3.503
2013-12-14 3.4997
2013-12-15 3.5001
2013-12-16 3.5049
2013-12-17 3.5088
2013-12-18 3.5087
2013-12-19 3.5139
2013-12-20 3.5122
2013-12-21 3.5178
2013-12-22 3.516
2013-12-23 3.502
2013-12-24 3.4877
2013-12-25 3.488
2013-12-26 3.4912
2013-12-27 3.4871
2013-12-28 3.4892
2013-12-29 3.4893
2013-12-30 3.4836
2013-12-31 3.4726
2014-01-01 3.4706
2014-01-02 3.482
2014-01-03 3.4989
2014-01-04 3.5028
2014-01-05 3.5038
2014-01-06 3.5037
2014-01-07 3.5025
2014-01-08 3.5069
2014-01-09 3.5031
2014-01-10 3.4926
2014-01-11 3.4952
2014-01-12 3.4953
2014-01-13 3.4865
2014-01-14 3.4862
2014-01-15 3.4853
2014-01-16 3.489
2014-01-17 3.4916
2014-01-18 3.4913
2014-01-19 3.4935
2014-01-20 3.4914
2014-01-21 3.4924
2014-01-22 3.49
2014-01-23 3.4882
2014-01-24 3.4883
2014-01-25 3.4941
2014-01-26 3.4944
2014-01-27 3.4929
2014-01-28 3.4968
2014-01-29 3.4936
2014-01-30 3.4903
2014-01-31 3.5042
2014-02-01 3.5165
2014-02-02 3.5164
2014-02-03 3.5209
2014-02-04 3.5309
2014-02-05 3.5381
2014-02-06 3.5359
2014-02-07 3.5298
2014-02-08 3.5287
2014-02-09 3.5256
2014-02-10 3.5248
2014-02-11 3.5184
2014-02-12 3.5183
2014-02-13 3.5131
2014-02-14 3.5089
2014-02-15 3.5111
2014-02-16 3.5063
2014-02-17 3.5103
2014-02-18 3.5093
2014-02-19 3.5072
2014-02-20 3.5113
2014-02-21 3.5081
2014-02-22 3.5089
2014-02-23 3.5077
2014-02-24 3.508
2014-02-25 3.5184
2014-02-26 3.5189
2014-02-27 3.5146
2014-02-28 3.4957
2014-03-01 3.4904
2014-03-02 3.4912
2014-03-03 3.4903
2014-03-04 3.4893
2014-03-05 3.4876
2014-03-06 3.4782
2014-03-07 3.4599
2014-03-08 3.4643
2014-03-09 3.135
2014-03-10 3.4687
2014-03-11 3.4726
2014-03-12 3.4701
2014-03-13 3.4716
2014-03-14 3.4672
2014-03-15 3.464
2014-03-16 3.4645
2014-03-17 3.4607
2014-03-18 3.4604
2014-03-19 3.4617
2014-03-20 3.4764
2014-03-21 3.4779
2014-03-22 3.4779
2014-03-23 3.477
2014-03-24 3.4805
2014-03-25 3.4798
2014-03-26 3.4856
2014-03-27 3.498
2014-03-28 3.4999
2014-03-29 3.5003
2014-03-30 3.4977
2014-03-31 3.4915
2014-04-01 3.4809
2014-04-02 3.4749
2014-04-03 3.4738
2014-04-04 3.4785
2014-04-05 3.4785
2014-04-06 3.4787
2014-04-07 3.4848
2014-04-08 3.4815
2014-04-09 3.4787
2014-04-10 3.4694
2014-04-11 3.4648
2014-04-12 3.4679
2014-04-13 3.468
2014-04-14 3.4698
2014-04-15 3.4679
2014-04-16 3.4712
2014-04-17 3.4761
2014-04-18 3.4788
2014-04-19 3.4804
2014-04-20 3.4805
2014-04-21 3.4807
2014-04-22 3.4844
2014-04-23 3.4849
2014-04-24 3.4813
2014-04-25 3.4752
2014-04-26 3.4725
2014-04-27 3.4732
2014-04-28 3.4769
2014-04-29 3.472
2014-04-30 3.4662
2014-05-01 3.4585
2014-05-02 3.4573
2014-05-03 3.4591
2014-05-04 3.4593
