"Index" "USD.DKK"
2013-09-25 5.5261
2013-09-26 5.5224
2013-09-27 5.5213
2013-09-28 5.515
2013-09-29 5.5154
2013-09-30 5.5208
2013-10-01 5.5092
2013-10-02 5.507
2013-10-03 5.4831
2013-10-04 5.4848
2013-10-05 5.5023
2013-10-06 5.5019
2013-10-07 5.4966
2013-10-08 5.4956
2013-10-09 5.5092
2013-10-10 5.5185
2013-10-11 5.5069
2013-10-12 5.5078
2013-10-13 5.5067
2013-10-14 5.4984
2013-10-15 5.5125
2013-10-16 5.5152
2013-10-17 5.4829
2013-10-18 5.4533
2013-10-19 5.4496
2013-10-20 5.4498
2013-10-21 5.4542
2013-10-22 5.4418
2013-10-23 5.4157
2013-10-24 5.4074
2013-10-25 5.4041
2013-10-26 5.4042
2013-10-27 5.4026
2013-10-28 5.405
2013-10-29 5.4165
2013-10-30 5.4252
2013-10-31 5.4558
2013-11-01 5.5121
2013-11-02 5.5303
2013-11-03 5.5309
2013-11-04 5.5244
2013-11-05 5.5285
2013-11-06 5.5226
2013-11-07 5.5377
2013-11-08 5.5685
2013-11-09 5.5798
2013-11-10 5.5789
2013-11-11 5.5729
2013-11-12 5.5619
2013-11-13 5.5507
2013-11-14 5.5407
2013-11-15 5.5397
2013-11-16 5.5265
2013-11-17 5.5267
2013-11-18 5.5237
2013-11-19 5.5185
2013-11-20 5.5194
2013-11-21 5.5484
2013-11-22 5.5225
2013-11-23 5.5011
2013-11-24 5.5037
2013-11-25 5.5136
2013-11-26 5.5069
2013-11-27 5.4922
2013-11-28 5.4882
2013-11-29 5.4823
2013-11-30 5.4885
2013-12-01 5.4887
2013-12-02 5.4976
2013-12-03 5.4993
2013-12-04 5.492
2013-12-05 5.4779
2013-12-06 5.4556
2013-12-07 5.4431
2013-12-08 5.4399
2013-12-09 5.4386
2013-12-10 5.4237
2013-12-11 5.4175
2013-12-12 5.4168
2013-12-13 5.43
2013-12-14 5.4297
2013-12-15 5.4299
2013-12-16 5.4223
2013-12-17 5.4211
2013-12-18 5.4222
2013-12-19 5.4574
2013-12-20 5.4636
2013-12-21 5.4567
2013-12-22 5.456
2013-12-23 5.451
2013-12-24 5.4535
2013-12-25 5.4556
2013-12-26 5.4516
2013-12-27 5.4214
2013-12-28 5.4278
2013-12-29 5.4274
2013-12-30 5.4178
2013-12-31 5.4127
2014-01-01 5.4229
2014-01-02 5.4407
2014-01-03 5.4696
2014-01-04 5.4891
2014-01-05 5.489
2014-01-06 5.4821
2014-01-07 5.4752
2014-01-08 5.4848
2014-01-09 5.49
2014-01-10 5.4761
2014-01-11 5.4587
2014-01-12 5.4582
2014-01-13 5.4608
2014-01-14 5.4581
2014-01-15 5.477
2014-01-16 5.482
2014-01-17 5.4925
2014-01-18 5.511
2014-01-19 5.5109
2014-01-20 5.5085
2014-01-21 5.5089
2014-01-22 5.5047
2014-01-23 5.4818
2014-01-24 5.4525
2014-01-25 5.4559
2014-01-26 5.4566
2014-01-27 5.4551
2014-01-28 5.4605
2014-01-29 5.4635
2014-01-30 5.4841
2014-01-31 5.5154
2014-02-01 5.532
2014-02-02 5.5323
2014-02-03 5.5271
2014-02-04 5.5211
2014-02-05 5.5193
2014-02-06 5.5072
2014-02-07 5.4892
2014-02-08 5.4731
2014-02-09 5.4816
2014-02-10 5.4737
2014-02-11 5.4634
2014-02-12 5.4813
2014-02-13 5.4697
2014-02-14 5.4506
2014-02-15 5.4495
2014-02-16 5.4433
2014-02-17 5.4443
2014-02-18 5.4357
2014-02-19 5.4252
2014-02-20 5.438
2014-02-21 5.4384
2014-02-22 5.4316
2014-02-23 5.432
2014-02-24 5.432
2014-02-25 5.43
2014-02-26 5.4391
2014-02-27 5.4536
2014-02-28 5.425
2014-03-01 5.4073
2014-03-02 5.4099
2014-03-03 5.4201
2014-03-04 5.43
2014-03-05 5.4345
2014-03-06 5.4182
2014-03-07 5.3804
2014-03-08 5.3775
2014-03-09 5.3778
2014-03-10 5.3769
2014-03-11 5.3826
2014-03-12 5.3793
2014-03-13 5.3624
2014-03-14 5.3761
2014-03-15 5.3638
2014-03-16 5.3638
2014-03-17 5.3652
2014-03-18 5.3616
2014-03-19 5.3656
2014-03-20 5.4078
2014-03-21 5.4139
2014-03-22 5.4106
2014-03-23 5.4105
2014-03-24 5.4108
2014-03-25 5.4007
2014-03-26 5.408
2014-03-27 5.4229
2014-03-28 5.4323
2014-03-29 5.4294
2014-03-30 5.429
2014-03-31 5.4228
2014-04-01 5.4151
2014-04-02 5.4146
2014-04-03 5.43
2014-04-04 5.4462
2014-04-05 5.4475
2014-04-06 5.4508
2014-04-07 5.4419
2014-04-08 5.4227
2014-04-09 5.4085
2014-04-10 5.3847
2014-04-11 5.3754
2014-04-12 5.3775
2014-04-13 5.3951
2014-04-14 5.3965
2014-04-15 5.4059
2014-04-16 5.4014
2014-04-17 5.3972
2014-04-18 5.4042
2014-04-19 5.4048
2014-04-20 5.4049
2014-04-21 5.4064
2014-04-22 5.41
2014-04-23 5.4023
2014-04-24 5.4011
2014-04-25 5.3944
2014-04-26 5.3965
2014-04-27 5.3961
2014-04-28 5.3912
2014-04-29 5.3921
2014-04-30 5.3961
2014-05-01 5.3805
2014-05-02 5.3852
2014-05-03 5.3801
2014-05-04 5.3806
2014-05-05 5.3793
2014-05-06 5.3668
2014-05-07 5.3606
2014-05-08 5.3691
2014-05-09 5.4064
2014-05-10 5.4251
2014-05-11 5.4252
2014-05-12 5.4243
2014-05-13 5.4342
2014-05-14 5.4438
2014-05-15 5.4483
2014-05-16 5.4452
2014-05-17 5.4508
2014-05-18 5.4509
2014-05-19 5.4445
2014-05-20 5.4479
2014-05-21 5.4546
2014-05-22 5.461
2014-05-23 5.4728
2014-05-24 5.4766
2014-05-25 5.4792
2014-05-26 5.4742
2014-05-27 5.4708
2014-05-28 5.4808
2014-05-29 5.4863
2014-05-30 5.4814
2014-05-31 5.4742
2014-06-01 5.474
2014-06-02 5.4822
2014-06-03 5.4829
2014-06-04 5.4822
2014-06-05 5.4836
2014-06-06 5.4674
2014-06-07 5.4691
2014-06-08 5.4691
2014-06-09 5.4774
2014-06-10 5.4994
2014-06-11 5.5123
2014-06-12 5.51
2014-06-13 5.5053
2014-06-14 5.5078
2014-06-15 5.5078
2014-06-16 5.5049
2014-06-17 5.4994
2014-06-18 5.4992
2014-06-19 5.4791
2014-06-20 5.4814
2014-06-21 5.4822
2014-06-22 5.4855
2014-06-23 5.4835
2014-06-24 5.4798
2014-06-25 5.4748
2014-06-26 5.4744
2014-06-27 5.4723
2014-06-28 5.4626
2014-06-29 5.4645
2014-06-30 5.4574
2014-07-01 5.4473
2014-07-02 5.4563
2014-07-03 5.4677
2014-07-04 5.4835
2014-07-05 5.4853
2014-07-06 5.4853
2014-07-07 5.4852
2014-07-08 5.4802
2014-07-09 5.4742
2014-07-10 5.4717
2014-07-11 5.4803
2014-07-12 5.4789
2014-07-13 5.479
2014-07-14 5.4768
2014-07-15 5.4824
2014-07-16 5.5045
2014-07-17 5.5123
2014-07-18 5.5152
2014-07-19 5.5131
2014-07-20 5.5117
2014-07-21 5.5122
2014-07-22 5.5245
2014-07-23 5.5382
2014-07-24 5.5382
2014-07-25 5.544
2014-07-26 5.5524
2014-07-27 5.552
2014-07-28 5.5505
2014-07-29 5.5535
2014-07-30 5.5652
2014-07-31 5.568
2014-08-01 5.5633
2014-08-02 5.5533
2014-08-03 5.5534
2014-08-04 5.5548
2014-08-05 5.5646
2014-08-06 5.5785
2014-08-07 5.5749
2014-08-08 5.5699
2014-08-09 5.5596
2014-08-10 5.5599
2014-08-11 5.5663
2014-08-12 5.5786
2014-08-13 5.5778
2014-08-14 5.5766
2014-08-15 5.5732
2014-08-16 5.5638
2014-08-17 5.5641
2014-08-18 5.5714
2014-08-19 5.588
2014-08-20 5.6075
2014-08-21 5.6205
2014-08-22 5.619
2014-08-23 5.6298
2014-08-24 5.6469
2014-08-25 5.6486
2014-08-26 5.6505
2014-08-27 5.6562
2014-08-28 5.6491
2014-08-29 5.6573
2014-08-30 5.6723
2014-08-31 5.6724
2014-09-01 5.673
2014-09-02 5.6754
2014-09-03 5.6684
2014-09-04 5.6941
2014-09-05 5.7505
2014-09-06 5.7483
2014-09-07 5.7482
2014-09-08 5.7539
2014-09-09 5.7726
2014-09-10 5.7582
2014-09-11 5.7597
2014-09-12 5.7555
