"Index" "BFR.Open" "BFR.High" "BFR.Low" "BFR.Close" "BFR.Volume" "BFR.Adjusted"
2013-04-24 4.15 4.32 4.15 4.32 50600 4.32
2013-04-25 4.35 4.35 4.23 4.29 52700 4.29
2013-04-26 4.24 4.34 4.24 4.29 50000 4.29
2013-04-29 4.28 4.5 4.28 4.45 72600 4.45
2013-04-30 4.41 4.5 4.3 4.49 37800 4.49
2013-05-01 4.46 4.48 4.33 4.34 23300 4.34
2013-05-02 4.36 4.36 4.12 4.29 54700 4.29
2013-05-03 4.28 4.33 4.04 4.15 77600 4.15
2013-05-06 4.08 4.26 4 4.25 79900 4.25
2013-05-07 4.21 4.31 4.11 4.29 52700 4.29
2013-05-08 4.26 4.36 4.26 4.28 26000 4.28
2013-05-09 4.33 4.37 4.21 4.25 18400 4.25
2013-05-10 4.22 4.22 4.15 4.15 22400 4.15
2013-05-13 4.14 4.41 4.05 4.24 51600 4.24
2013-05-14 4.25 4.25 4.14 4.16 24500 4.16
2013-05-15 4.15 4.29 4.13 4.26 75500 4.26
2013-05-16 4.23 4.25 4.16 4.19 32300 4.19
2013-05-17 4.18 4.21 4.16 4.16 23800 4.16
2013-05-20 4.16 4.26 4.16 4.24 31600 4.24
2013-05-21 4.25 4.26 4.18 4.25 22500 4.25
2013-05-22 4.22 4.23 4.15 4.16 30800 4.16
2013-05-23 4.14 4.14 4.06 4.09 33500 4.09
2013-05-24 4.06 4.11 4.03 4.07 52500 4.07
2013-05-28 4.08 4.12 4 4.05 78800 4.05
2013-05-29 4.04 4.09 3.97 4.09 27900 4.09
2013-05-30 4.07 4.16 4.01 4.15 38300 4.15
2013-05-31 4.11 4.11 4.04 4.07 18700 4.07
2013-06-03 4.02 4.18 4.02 4.17 46600 4.17
2013-06-04 4.13 4.17 4.09 4.17 26400 4.17
2013-06-05 4.2 4.24 4.1 4.16 63200 4.16
2013-06-06 4.12 4.16 4.04 4.11 13600 4.11
2013-06-07 4.08 4.19 4.05 4.08 19200 4.08
2013-06-10 4.08 4.2 4.03 4.2 56700 4.2
2013-06-11 4.11 4.15 4 4.14 13300 4.14
2013-06-12 4.09 4.14 4 4.05 41900 4.05
2013-06-13 4 4.1 3.99 4.07 12100 4.07
2013-06-14 4.12 4.16 3.96 3.98 19200 3.98
2013-06-17 3.93 4.05 3.93 4.05 31200 4.05
2013-06-18 4.02 4.05 3.92 4.04 32700 4.04
2013-06-19 4 4.04 3.9 4 25800 4
2013-06-20 3.95 4 3.9 3.93 10100 3.93
2013-06-21 3.93 3.96 3.61 3.79 71600 3.79
2013-06-24 3.76 3.8 3.53 3.71 60100 3.71
2013-06-25 3.71 3.75 3.61 3.66 20300 3.66
2013-06-26 3.72 3.82 3.65 3.73 29200 3.73
2013-06-27 3.8 3.81 3.76 3.77 7100 3.77
2013-06-28 3.78 3.78 3.65 3.72 18000 3.72
2013-07-01 3.75 3.81 3.67 3.76 24500 3.76
2013-07-02 3.62 3.82 3.61 3.78 48800 3.78
2013-07-03 3.75 3.97 3.72 3.92 19500 3.92
2013-07-05 3.95 3.95 3.75 3.82 12500 3.82
2013-07-08 4.2 4.2 3.91 3.99 122400 3.99
2013-07-09 3.99 4 3.9 3.96 11100 3.96
2013-07-10 3.9 3.95 3.72 3.93 16000 3.93
2013-07-11 3.94 3.99 3.87 3.96 13700 3.96
2013-07-12 3.91 3.95 3.85 3.9 24600 3.9
2013-07-15 3.9 4.05 3.88 3.99 35600 3.99
2013-07-16 4.04 4.17 4 4.13 45300 4.13
2013-07-17 4.1 4.17 4 4.07 54400 4.07
2013-07-18 4.03 4.21 4.03 4.13 37000 4.13
2013-07-19 4.15 4.15 4 4.04 9000 4.04
2013-07-22 4.04 4.1 4 4.06 31600 4.06
2013-07-23 4.09 4.22 4.04 4.21 61700 4.21
2013-07-24 4.2 4.28 4.1 4.22 59300 4.22
2013-07-25 4.1 4.18 4.1 4.18 6200 4.18
2013-07-26 4.12 4.26 4.04 4.07 17100 4.07
2013-07-29 4.06 4.14 3.96 4.1 31200 4.1
2013-07-30 4.07 4.07 4 4.01 29100 4.01
2013-07-31 4 4.13 3.95 4.05 116900 4.05
2013-08-01 4.04 4.26 3.96 4.2 106300 4.2
2013-08-02 4.19 4.3 4.17 4.25 60400 4.25
2013-08-05 4.2 4.29 4.14 4.22 38800 4.22
2013-08-06 4.15 4.26 4.12 4.14 26800 4.14
2013-08-07 4.08 4.21 4.08 4.16 28200 4.16
2013-08-08 4.18 4.38 4.12 4.15 40900 4.15
2013-08-09 4.14 4.31 4.14 4.31 58700 4.31
2013-08-12 4.32 4.49 4.3 4.4 172200 4.4
2013-08-13 4.44 4.72 4.36 4.7 417400 4.7
2013-08-14 4.76 5.15 4.76 5.15 503900 5.15
2013-08-15 5.24 5.24 4.75 5.06 289900 5.06
2013-08-16 5.14 5.14 4.8 4.89 255000 4.89
2013-08-19 4.79 5.1 4.4 4.98 119600 4.98
2013-08-20 4.95 5.1 4.83 4.93 140700 4.93
2013-08-21 4.97 5.1 4.84 4.91 149600 4.91
2013-08-22 4.92 5.39 4.9 5.32 299300 5.32
2013-08-23 5.32 5.52 5.26 5.29 567300 5.29
2013-08-26 5.27 5.35 5.07 5.13 220700 5.13
2013-08-27 5.04 5.13 4.89 4.94 66100 4.94
2013-08-28 4.89 5.14 4.85 4.93 351900 4.93
2013-08-29 4.95 5.06 4.87 4.94 66800 4.94
2013-08-30 4.99 4.99 4.83 4.87 34400 4.87
2013-09-03 4.94 5.02 4.85 4.93 146500 4.93
2013-09-04 4.91 5.05 4.83 4.93 87200 4.93
2013-09-05 4.98 5.24 4.88 5.19 70200 5.19
2013-09-06 5.15 5.3 4.99 5.23 154000 5.23
2013-09-09 5.35 5.79 5.26 5.71 373900 5.71
2013-09-10 5.87 6.22 5.81 6.08 566800 6.08
2013-09-11 5.95 6.12 5.78 6.1 212900 6.1
2013-09-12 6.1 6.21 5.83 5.96 262000 5.96
2013-09-13 5.96 6.06 5.81 6.02 87500 6.02
2013-09-16 6.12 6.38 6.12 6.31 266400 6.31
2013-09-17 6.35 6.46 6.15 6.21 304500 6.21
2013-09-18 6.28 6.42 6.02 6.38 170800 6.38
2013-09-19 6.36 6.49 6.27 6.36 264300 6.36
2013-09-20 6.36 6.38 6.15 6.3 225900 6.3
2013-09-23 6.35 6.65 6.18 6.53 444100 6.53
2013-09-24 6.56 6.87 6.48 6.52 359200 6.52
2013-09-25 6.49 6.54 6.22 6.25 316500 6.25
2013-09-26 6.2 6.84 6.14 6.63 299400 6.63
2013-09-27 6.54 6.79 6.48 6.49 171100 6.49
2013-09-30 6.58 6.67 6.05 6.63 358800 6.63
2013-10-01 6.58 6.92 6.22 6.67 360700 6.67
2013-10-02 6.7 6.89 6.64 6.66 133800 6.66
2013-10-03 6.66 6.82 6.35 6.57 389800 6.57
2013-10-04 6.56 6.67 6.35 6.42 139700 6.42
2013-10-07 6.29 6.84 6.22 6.79 306900 6.79
2013-10-08 6.88 7.07 6.8 6.9 397000 6.9
2013-10-09 6.9 7.29 6.82 7.24 381100 7.24
2013-10-10 7.54 7.69 7.42 7.54 423300 7.54
2013-10-11 7.6 7.93 7.57 7.88 434900 7.88
2013-10-14 7.96 8.99 7.9 8.95 596000 8.95
2013-10-15 8.9 9.37 8.24 8.28 984000 8.28
2013-10-16 8.4 8.61 7.41 8.12 903700 8.12
2013-10-17 8.05 8.29 7.86 8.17 322400 8.17
2013-10-18 8.26 8.92 8.12 8.6 545500 8.6
2013-10-21 8.88 9.15 8.71 9 493100 9
2013-10-22 9.1 9.29 8.12 8.48 618400 8.48
2013-10-23 8.41 8.48 7.48 7.76 751000 7.76
2013-10-24 7.93 8.44 7.63 8.31 574500 8.31
2013-10-25 8.35 8.35 7.81 8.04 263600 8.04
2013-10-28 8.02 8.3 7.7 7.76 316100 7.76
2013-10-29 7.69 7.74 7.12 7.25 557000 7.25
2013-10-30 7.19 7.69 7.12 7.47 331200 7.47
2013-10-31 7.56 7.56 7.12 7.25 172600 7.25
2013-11-01 7.21 7.27 6.87 6.97 245900 6.97
2013-11-04 6.97 7.15 6.85 6.94 212100 6.94
2013-11-05 6.94 7.54 6.88 7.42 376900 7.42
2013-11-06 7.49 7.52 7.01 7.06 141800 7.06
2013-11-07 7.09 7.29 6.86 6.9 214900 6.9
2013-11-08 6.88 7.15 6.83 6.92 401900 6.92
2013-11-11 6.91 7.34 6.88 7.18 243400 7.18
2013-11-12 7.14 7.28 7 7.03 127300 7.03
2013-11-13 6.95 7.24 6.92 7.02 137800 7.02
2013-11-14 7.01 7.44 7 7.4 202200 7.4
2013-11-15 7.44 7.98 7.27 7.85 351300 7.85
2013-11-18 7.9 7.98 7.45 7.51 228900 7.51
2013-11-19 7.4 7.42 6.98 7.01 183900 7.01
2013-11-20 7.1 7.64 7.1 7.4 343300 7.4
2013-11-21 7.47 7.84 7.4 7.71 196400 7.71
2013-11-22 7.74 8.32 7.59 8.25 311800 8.25
2013-11-25 8.3 8.72 8.08 8.44 440400 8.44
2013-11-26 8.51 9.05 8.46 8.82 983200 8.82
2013-11-27 8.92 9.09 8.62 9.02 354100 9.02
2013-11-29 9.16 9.25 9.05 9.15 194700 9.15
2013-12-02 9.16 9.21 8.6 8.88 490200 8.88
2013-12-03 8.84 8.99 8.09 8.34 396700 8.34
2013-12-04 8.24 8.24 7.72 7.95 225100 7.95
2013-12-05 7.97 7.97 7.65 7.74 103200 7.74
2013-12-06 8.44 8.44 7.76 7.92 245000 7.92
2013-12-09 7.97 8.09 7.67 7.83 225900 7.83
2013-12-10 7.86 7.86 7.52 7.63 129800 7.63
2013-12-11 7.63 7.63 7.18 7.28 281600 7.28
2013-12-12 7.23 7.33 7.07 7.22 137100 7.22
2013-12-13 7.32 7.4 7.11 7.13 148300 7.13
2013-12-16 7.09 7.76 7.06 7.38 330000 7.38
2013-12-17 7.5 7.53 7.21 7.5 192800 7.5
2013-12-18 7.46 7.73 7.31 7.69 304800 7.69
2013-12-19 7.85 7.97 7.45 7.5 432900 7.5
2013-12-20 7.5 7.73 7.13 7.15 175400 7.15
2013-12-23 7.09 7.64 6.85 7.48 343400 7.48
2013-12-24 7.34 7.49 7.05 7.08 202300 7.08
2013-12-26 7.07 7.28 6.95 7.09 82100 7.09
2013-12-27 7.08 7.11 6.84 6.93 257700 6.93
2013-12-30 6.89 7.13 6.86 6.91 196700 6.91
2013-12-31 6.86 7.1 6.83 6.96 194800 6.96
2014-01-02 6.95 7.01 6.63 6.64 186000 6.64
2014-01-03 6.72 6.75 6.57 6.57 88300 6.57
2014-01-06 6.57 6.71 6.38 6.38 232400 6.38
2014-01-07 6.39 6.71 6.36 6.6 154800 6.6
2014-01-08 6.58 6.73 6.53 6.54 117800 6.54
2014-01-09 6.6 6.83 6.5 6.67 181500 6.67
2014-01-10 6.72 6.79 6.5 6.58 156700 6.58
2014-01-13 6.82 6.84 6.38 6.43 328600 6.43
2014-01-14 6.38 6.67 6.35 6.5 139100 6.5
2014-01-15 6.53 6.67 6.49 6.57 385000 6.57
2014-01-16 6.55 6.69 6.45 6.55 221900 6.55
2014-01-17 6.55 6.75 6.53 6.64 112000 6.64
2014-01-21 6.9 7.02 6.76 6.85 293100 6.85
2014-01-22 6.98 7.02 6.75 6.8 239300 6.8
2014-01-23 6.89 6.89 6.16 6.22 591900 6.22
2014-01-24 6.14 6.47 5.78 6.3 602800 6.3
2014-01-27 6.19 6.97 5.76 6.82 635800 6.82
2014-01-28 6.8 7 6.51 6.62 266700 6.62
2014-01-29 6.6 6.62 6.1 6.3 212100 6.3
2014-01-30 6.38 6.42 6.03 6.09 152900 6.09
2014-01-31 6 6.07 5.8 5.82 242800 5.82
2014-02-03 5.75 5.75 5.47 5.56 280200 5.56
2014-02-04 5.59 5.74 5.53 5.56 135100 5.56
2014-02-05 5.64 5.75 5.5 5.56 232000 5.56
2014-02-06 5.62 5.96 5.62 5.84 148700 5.84
2014-02-07 5.88 6.16 5.88 6.09 174500 6.09
2014-02-10 6.12 6.16 5.76 5.79 149800 5.79
2014-02-11 5.79 5.86 5.52 5.78 365500 5.78
2014-02-12 5.75 6.47 5.75 6.45 371400 6.45
2014-02-13 6.37 6.85 6.23 6.7 189600 6.7
2014-02-14 6.84 7.39 6.72 7.38 646700 7.38
2014-02-18 7.38 7.49 7 7.18 484400 7.18
2014-02-19 7.19 7.22 7.01 7.04 114600 7.04
2014-02-20 7.03 7.2 6.93 7.06 301700 7.06
2014-02-21 7.06 7.26 6.95 7.02 253200 7.02
2014-02-24 7.09 7.29 6.89 7.25 208400 7.25
2014-02-25 7.27 7.32 6.93 6.98 169300 6.98
2014-02-26 7 7.16 6.85 6.97 136100 6.97
2014-02-27 7 7.05 6.86 6.96 254300 6.96
2014-02-28 7.11 7.13 6.92 7 152500 7
2014-03-03 6.83 7.05 6.81 6.95 122000 6.95
2014-03-04 7.03 7.25 7.01 7.22 158400 7.22
2014-03-05 7.25 7.35 7.11 7.35 127900 7.35
2014-03-06 7.4 7.77 7.36 7.66 235500 7.66
2014-03-07 7.66 7.87 7.38 7.47 132100 7.47
2014-03-10 7.46 7.46 7.1 7.2 116100 7.2
2014-03-11 7.25 7.64 7.12 7.17 89400 7.17
2014-03-12 7.07 7.13 6.85 6.95 100700 6.95
2014-03-13 7.02 7.08 6.83 6.92 63900 6.92
2014-03-14 6.98 7.21 6.94 7.01 73300 7.01
2014-03-17 7.03 7.3 7.01 7.29 138000 7.29
2014-03-18 7.3 7.64 7.23 7.56 275000 7.56
2014-03-19 7.49 7.59 7.21 7.21 123800 7.21
2014-03-20 6.6 7.47 6.6 7.3 168300 7.3
2014-03-21 7.36 7.63 6.74 7.4 159000 7.4
2014-03-24 7.46 7.51 7.32 7.42 71300 7.42
2014-03-25 7.42 7.77 7.4 7.65 212200 7.65
2014-03-26 7.72 7.78 7.51 7.61 125300 7.61
2014-03-27 7.68 7.84 7.59 7.84 175800 7.84
2014-03-28 7.81 8.23 7.81 8.09 255900 8.09
2014-03-31 8.23 8.81 8.21 8.37 387800 8.37
2014-04-01 8.46 8.69 8.26 8.67 219800 8.67
2014-04-02 8.75 9 8.64 9 215800 9
2014-04-03 8.84 8.97 8.68 8.97 309300 8.97
2014-04-04 9.1 9.15 8.8 9.09 308500 9.09
2014-04-07 9.1 9.28 8.89 9.23 169300 9.23
2014-04-08 9.24 9.69 9.07 9.61 317900 9.61
2014-04-09 9.7 9.73 9.43 9.59 244100 9.59
2014-04-10 9.59 9.64 9.41 9.5 123500 9.5
2014-04-11 9.42 9.42 8.87 9.06 297400 9.06
2014-04-14 9.14 9.4 8.84 9.06 363100 9.06
2014-04-15 9.07 9.07 8.51 8.88 249100 8.88
2014-04-16 8.92 9.01 8.59 8.9 151600 8.9
2014-04-17 8.91 9.05 8.65 8.84 67800 8.84
2014-04-21 8.85 9 8.69 8.82 87000 8.82
2014-04-22 8.82 9.55 8.82 9.32 245000 9.32
2014-04-23 9.16 9.61 9.01 9.45 222400 9.45
2014-04-24 9.53 9.83 9.52 9.65 208000 9.65
2014-04-25 9.56 9.82 9.04 9.23 314000 9.23
2014-04-28 9.12 9.57 8.88 9.08 274000 9.08
2014-04-29 9.13 9.45 9.07 9.38 231100 9.38
2014-04-30 9.35 9.84 9.07 9.8 183200 9.8
2014-05-01 9.83 9.93 9.62 9.66 111100 9.66
2014-05-02 9.69 9.97 9.69 9.88 135900 9.88
2014-05-05 9.86 10.43 9.84 10.13 242600 10.13
2014-05-06 10.13 10.2 9.85 9.9 101900 9.9
2014-05-07 9.9 10.44 9.9 10.03 185500 10.03
2014-05-08 10.04 10.27 9.51 9.78 150100 9.78
2014-05-09 9.8 9.84 9.3 9.71 188400 9.71
2014-05-12 9.71 9.99 9.55 9.63 190600 9.63
2014-05-13 9.78 9.86 9.5 9.53 183800 9.53
2014-05-14 9.55 9.69 9.25 9.25 134900 9.25
2014-05-15 9.24 9.32 8.79 8.8 256600 8.8
2014-05-16 8.83 9.06 8.73 8.92 104000 8.92
2014-05-19 8.82 9.11 8.72 8.9 93200 8.9
2014-05-20 8.9 9.08 8.71 8.96 130100 8.96
2014-05-21 8.97 9.11 8.8 8.87 119600 8.87
2014-05-22 8.89 9.1 8.88 8.99 149700 8.99
2014-05-23 9.05 9.24 8.91 9 222500 9
2014-05-27 9.06 9.2 8.62 8.91 286500 8.91
2014-05-28 8.94 9.09 8.6 8.9 199600 8.9
2014-05-29 9.06 9.7 9.06 9.36 591500 9.36
2014-05-30 9.33 9.75 9.27 9.6 490300 9.6
2014-06-02 9.75 9.76 9.2 9.41 278500 9.41
2014-06-03 9.38 9.99 9.37 9.86 381200 9.86
2014-06-04 9.87 10 9.66 10 224700 10
2014-06-05 10.12 10.42 9.87 10.33 365900 10.33
2014-06-06 10.35 10.65 10.13 10.26 260700 10.26
2014-06-09 10.38 11.04 10.23 10.95 617500 10.95
2014-06-10 10.86 11.55 10.85 11.33 738800 11.33
2014-06-11 11.25 11.68 10.64 10.66 674300 10.66
2014-06-12 10.72 11.14 10.39 10.59 344100 10.59
2014-06-13 10.63 10.87 10.38 10.85 227800 10.85
2014-06-16 10.88 10.99 9.66 9.82 985600 9.82
2014-06-17 10.3 10.3 9.4 10.12 575700 10.12
2014-06-18 10.08 10.32 9.41 10.18 746600 10.18
2014-06-19 9.99 10.23 9.76 9.8 387800 9.8
2014-06-20 9.8 11.19 9.72 10.98 544600 10.98
2014-06-23 11.13 11.9 10.85 11.71 633700 11.71
2014-06-24 11.71 11.95 11.39 11.45 555800 11.45
2014-06-25 11.45 12.04 11.45 11.91 513700 11.91
2014-06-26 12 12.08 10.95 11.79 724900 11.79
2014-06-27 11.8 11.87 11.31 11.8 273000 11.8
2014-06-30 11.8 11.8 11.14 11.64 504300 11.64
2014-07-01 11.75 12.43 11.75 12.09 235500 12.09
2014-07-02 12.1 12.36 11.71 12.28 195600 12.28
2014-07-03 12.3 12.84 12.07 12.66 184600 12.66
2014-07-07 12.45 12.62 12.21 12.5 248400 12.5
2014-07-08 12.44 12.91 12.35 12.59 194200 12.59
2014-07-09 12.69 13.7 12.64 13.49 389400 13.49
2014-07-10 13.24 14.11 13.11 13.83 387000 13.83
2014-07-11 13.91 14.16 13.5 13.96 360100 13.96
2014-07-14 14.01 14.15 13.51 13.88 660800 13.88
2014-07-15 13.92 13.95 13.19 13.29 343300 13.29
2014-07-16 13.36 13.37 12.56 13.31 486700 13.31
2014-07-17 13.33 13.49 12.81 12.94 209700 12.94
2014-07-18 13.16 14.12 13.16 14.02 412000 14.02
2014-07-21 14.19 14.2 13.25 13.39 307200 13.39
2014-07-22 13.31 13.71 12.63 13.2 425300 13.2
2014-07-23 13.28 13.28 12.64 12.85 380600 12.85
2014-07-24 13.06 13.65 12.93 13.13 496200 13.13
2014-07-25 13.18 13.22 12.3 12.48 388400 12.48
2014-07-28 12.54 12.73 11.58 11.97 682900 11.97
2014-07-29 11.99 12.66 11.37 12.4 746700 12.4
2014-07-30 13.34 14.85 13.23 13.93 1245600 13.93
2014-07-31 13.04 13.23 11.59 12.9 835800 12.9
2014-08-01 12.75 13.3 12.02 13.11 784600 13.11
2014-08-04 13.37 13.88 12.58 12.92 635100 12.92
2014-08-05 12.57 12.8 11.51 11.69 449200 11.69
2014-08-06 11.75 11.97 11.09 11.76 764900 11.76
2014-08-07 11.7 12.22 11.3 11.9 463700 11.9
2014-08-08 11.91 12.14 11.58 11.96 274700 11.96
2014-08-11 11.96 11.98 11.44 11.45 181600 11.45
2014-08-12 11.47 11.73 11.11 11.36 346900 11.36
2014-08-13 11.42 11.58 10.92 11.44 444000 11.44
2014-08-14 11.44 11.58 11 11.13 718600 11.13
2014-08-15 11.23 11.23 10.55 11 694100 11
2014-08-18 11.02 11.4 11 11.17 289300 11.17
2014-08-19 11.27 11.27 10.77 10.94 207200 10.94
2014-08-20 10.74 10.9 9.79 10.22 670300 10.22
2014-08-21 10.35 10.49 10.07 10.11 294400 10.11
2014-08-22 9.96 10.37 9.79 10.31 327700 10.31
2014-08-25 10.35 10.72 10.15 10.5 288200 10.5
2014-08-26 10.5 10.5 10.14 10.14 208900 10.14
2014-08-27 10.17 10.64 10.03 10.49 405900 10.49
2014-08-28 10.48 10.65 10.25 10.38 314200 10.38
2014-08-29 10.42 10.74 10.37 10.59 276200 10.59
2014-09-02 10.4 11.08 10.4 10.78 411300 10.78
2014-09-03 10.92 11.8 10.7 11.64 593800 11.64
2014-09-04 11.6 11.9 11.2 11.24 338900 11.24
2014-09-05 11.25 11.9 11.21 11.75 275500 11.75
2014-09-08 11.88 12.02 11.49 11.55 330500 11.55
2014-09-09 11.45 11.66 11.25 11.58 236600 11.58
2014-09-10 11.58 11.88 11.49 11.75 255900 11.75
2014-09-11 11.79 12.04 11.76 11.88 166500 11.88
2014-09-12 11.8 13 11.8 12.69 493800 12.69
2014-09-15 12.69 12.75 12.01 12.04 374900 12.04
2014-09-16 12.04 13.3 11.87 13.14 788800 13.14
2014-09-17 13.24 13.24 12.43 12.68 345800 12.68
2014-09-18 12.62 12.99 12.62 12.86 157700 12.86
2014-09-19 12.87 13 12.49 12.65 247600 12.65
2014-09-22 12.49 13 12.48 13 176100 13
2014-09-23 12.93 13.04 12.7 12.86 198600 12.86
2014-09-24 12.91 13.09 12.57 13.01 220100 13.01
2014-09-25 12.83 12.91 12.62 12.71 218000 12.71
2014-09-26 12.77 13.14 12.5 13.01 256900 13.01
2014-09-29 13.1 13.14 12.7 12.78 223700 12.78
2014-09-30 12.75 12.98 12.5 12.92 160600 12.92
2014-10-01 12.79 13.11 12.18 12.31 389400 12.31
2014-10-02 12.3 12.36 11.15 11.62 665300 11.62
2014-10-03 11.75 11.76 11.2 11.25 292800 11.25
2014-10-06 11.53 11.72 11.15 11.18 244200 11.18
2014-10-07 11.19 11.34 10.89 10.91 266800 10.91
2014-10-08 10.99 11.19 10.64 11.11 294800 11.11
2014-10-09 11.06 11.16 10.52 10.63 191700 10.63
2014-10-10 10.63 10.73 9.74 10.1 604600 10.1
2014-10-13 10.09 10.37 9.97 10.03 135500 10.03
2014-10-14 10.02 10.51 9.56 10.24 207300 10.24
2014-10-15 9.81 10.08 8.99 9.88 329600 9.88
2014-10-16 9.74 10.36 9.53 10.16 399900 10.16
2014-10-17 10.3 11.16 10.3 10.81 338700 10.81
2014-10-20 10.66 11.51 10.66 11.27 248700 11.27
2014-10-21 11.24 11.59 10.64 11.17 282800 11.17
2014-10-22 11.28 11.52 11.03 11.09 175100 11.09
2014-10-23 11.06 11.66 11.06 11.55 214600 11.55
2014-10-24 11.6 11.92 11.34 11.74 213600 11.74
2014-10-27 11.53 11.78 10.89 11.5 270200 11.5
2014-10-28 11.83 12.24 11.67 12.1 177400 12.1
2014-10-29 12.23 12.23 11.71 11.77 182400 11.77
2014-10-30 11.92 12.44 11.81 12.44 298400 12.44
2014-10-31 12.48 13.29 12.48 13.22 487500 13.22
2014-11-03 13.19 13.8 12.74 13.39 559000 13.39
2014-11-04 13.44 13.59 12.71 13.11 483400 13.11
2014-11-05 13.11 13.4 12.84 13.34 163600 13.34
