"Index" "USD.BRL"
2013-09-26 2.2304
2013-09-27 2.2491
2013-09-28 2.2519
2013-09-29 2.2466
2013-09-30 2.2389
2013-10-01 2.2193
2013-10-02 2.2122
2013-10-03 2.1974
2013-10-04 2.2073
2013-10-05 2.2137
2013-10-06 2.2125
2013-10-07 2.2093
2013-10-08 2.2044
2013-10-09 2.2077
2013-10-10 2.1969
2013-10-11 2.1801
2013-10-12 2.1783
2013-10-13 2.1845
2013-10-14 2.179
2013-10-15 2.1803
2013-10-16 2.1767
2013-10-17 2.1737
2013-10-18 2.1626
2013-10-19 2.1711
2013-10-20 2.1711
2013-10-21 2.1698
2013-10-22 2.1735
2013-10-23 2.1772
2013-10-24 2.1952
2013-10-25 2.1967
2013-10-26 2.1878
2013-10-27 2.1873
2013-10-28 2.1852
2013-10-29 2.1806
2013-10-30 2.1861
2013-10-31 2.1986
2013-11-01 2.2425
2013-11-02 2.2567
2013-11-03 2.2567
2013-11-04 2.2476
2013-11-05 2.2603
2013-11-06 2.2827
2013-11-07 2.2904
2013-11-08 2.3111
2013-11-09 2.308
2013-11-10 2.3143
2013-11-11 2.3223
2013-11-12 2.3324
2013-11-13 2.3309
2013-11-14 2.3279
2013-11-15 2.3154
2013-11-16 2.319
2013-11-17 2.3189
2013-11-18 2.2908
2013-11-19 2.2657
2013-11-20 2.2712
2013-11-21 2.2876
2013-11-22 2.2977
2013-11-23 2.2787
2013-11-24 2.2858
2013-11-25 2.2854
2013-11-26 2.2906
2013-11-27 2.3044
2013-11-28 2.3265
2013-11-29 2.324
2013-11-30 2.3358
2013-12-01 2.3358
2013-12-02 2.3437
2013-12-03 2.3599
2013-12-04 2.3779
2013-12-05 2.3802
2013-12-06 2.3511
2013-12-07 2.3263
2013-12-08 2.3268
2013-12-09 2.3248
2013-12-10 2.3148
2013-12-11 2.3195
2013-12-12 2.3401
2013-12-13 2.334
2013-12-14 2.3318
2013-12-15 2.3302
2013-12-16 2.3279
2013-12-17 2.3251
2013-12-18 2.3253
2013-12-19 2.3412
2013-12-20 2.3682
2013-12-21 2.3877
2013-12-22 2.3877
2013-12-23 2.3766
2013-12-24 2.3571
2013-12-25 2.3574
2013-12-26 2.3573
2013-12-27 2.3515
2013-12-28 2.3385
2013-12-29 2.3385
2013-12-30 2.3557
2013-12-31 2.3621
2014-01-01 2.3652
2014-01-02 2.3774
2014-01-03 2.3827
2014-01-04 2.3765
2014-01-05 2.3765
2014-01-06 2.378
2014-01-07 2.373
2014-01-08 2.378
2014-01-09 2.3954
2014-01-10 2.3819
2014-01-11 2.3585
2014-01-12 2.3585
2014-01-13 2.3561
2014-01-14 2.3579
2014-01-15 2.3534
2014-01-16 2.3625
2014-01-17 2.3584
2014-01-18 2.342
2014-01-19 2.3526
2014-01-20 2.3491
2014-01-21 2.3513
2014-01-22 2.3633
2014-01-23 2.3794
2014-01-24 2.4017
2014-01-25 2.4059
2014-01-26 2.3982
2014-01-27 2.4061
2014-01-28 2.4212
2014-01-29 2.4313
2014-01-30 2.4274
2014-01-31 2.4148
2014-02-01 2.4195
2014-02-02 2.4168
2014-02-03 2.419
2014-02-04 2.4281
2014-02-05 2.4075
2014-02-06 2.3953
2014-02-07 2.3829
2014-02-08 2.3777
2014-02-09 2.3802
2014-02-10 2.3907
2014-02-11 2.4072
2014-02-12 2.4086
2014-02-13 2.4192
2014-02-14 2.3915
2014-02-15 2.3902
2014-02-16 2.3891
2014-02-17 2.3865
2014-02-18 2.3893
2014-02-19 2.3931
2014-02-20 2.3868
2014-02-21 2.367
2014-02-22 2.3456
2014-02-23 2.3456
2014-02-24 2.3425
2014-02-25 2.3382
2014-02-26 2.3444
2014-02-27 2.3435
2014-02-28 2.3276
2014-03-01 2.3384
2014-03-02 2.3384
2014-03-03 2.3401
2014-03-04 2.3433
2014-03-05 2.3363
2014-03-06 2.3173
2014-03-07 2.3303
2014-03-08 2.3405
2014-03-09 2.3406
2014-03-10 2.3388
2014-03-11 2.3502
2014-03-12 2.3628
2014-03-13 2.3554
2014-03-14 2.3623
2014-03-15 2.3455
2014-03-16 2.3455
2014-03-17 2.351
2014-03-18 2.3479
2014-03-19 2.3344
2014-03-20 2.3426
2014-03-21 2.3255
2014-03-22 2.3259
2014-03-23 2.3248
2014-03-24 2.3247
2014-03-25 2.3182
2014-03-26 2.3102
2014-03-27 2.2883
2014-03-28 2.2598
2014-03-29 2.2611
2014-03-30 2.2611
2014-03-31 2.2631
2014-04-01 2.2682
2014-04-02 2.2639
2014-04-03 2.2741
2014-04-04 2.2661
2014-04-05 2.2359
2014-04-06 2.2751
2014-04-07 2.2327
2014-04-08 2.2127
2014-04-09 2.2033
2014-04-10 2.1901
2014-04-11 2.2083
2014-04-12 2.2113
2014-04-13 2.2189
2014-04-14 2.2155
2014-04-15 2.2211
2014-04-16 2.2364
2014-04-17 2.2429
2014-04-18 2.2345
2014-04-19 2.2335
2014-04-20 2.2332
