"Index" "KG.Open" "KG.High" "KG.Low" "KG.Close" "KG.Volume" "KG.Adjusted"
2013-01-01 0.108 0.108 0.108 0.108 0 0.108
2013-01-02 0.108 0.108 0.108 0.108 0 0.108
2013-01-03 0.108 0.108 0.108 0.108 0 0.108
2013-01-04 0.108 0.108 0.108 0.108 0 0.108
2013-01-07 0.108 0.108 0.108 0.108 0 0.108
2013-01-08 0.108 0.108 0.108 0.108 0 0.108
2013-01-09 0.102 0.102 0.102 0.102 500 0.102
2013-01-10 0.102 0.103 0.102 0.103 7000 0.103
2013-01-11 0.103 0.103 0.103 0.103 0 0.103
2013-01-14 0.103 0.103 0.103 0.103 0 0.103
2013-01-15 0.103 0.103 0.103 0.103 0 0.103
2013-01-16 0.104 0.104 0.104 0.104 3000 0.104
2013-01-17 0.108 0.108 0.104 0.108 6600 0.108
2013-01-18 0.108 0.108 0.108 0.108 0 0.108
2013-01-21 0.108 0.108 0.108 0.108 0 0.108
2013-01-22 0.108 0.108 0.108 0.108 17000 0.108
2013-01-23 0.108 0.108 0.108 0.108 0 0.108
2013-01-24 0.108 0.108 0.108 0.108 0 0.108
2013-01-25 0.108 0.108 0.108 0.108 0 0.108
2013-01-28 0.108 0.108 0.108 0.108 0 0.108
2013-01-29 0.108 0.108 0.108 0.108 0 0.108
2013-01-30 0.108 0.108 0.108 0.108 0 0.108
2013-01-31 0.108 0.108 0.108 0.108 0 0.108
2013-02-01 0.108 0.108 0.108 0.108 0 0.108
2013-02-04 0.108 0.108 0.108 0.108 0 0.108
2013-02-05 0.108 0.108 0.108 0.108 0 0.108
2013-02-06 0.108 0.108 0.108 0.108 0 0.108
2013-02-07 0.108 0.108 0.108 0.108 0 0.108
2013-02-08 0.108 0.108 0.108 0.108 0 0.108
2013-02-11 0.108 0.108 0.108 0.108 0 0.108
2013-02-12 0.108 0.108 0.108 0.108 0 0.108
2013-02-13 0.108 0.108 0.108 0.108 0 0.108
2013-02-14 0.108 0.108 0.108 0.108 0 0.108
2013-02-15 0.108 0.108 0.108 0.108 0 0.108
2013-02-18 0.108 0.108 0.108 0.108 0 0.108
2013-02-19 0.108 0.108 0.108 0.108 0 0.108
