"Index" "USD.TND"
2013-09-26 1.6502
2013-09-27 1.65
2013-09-28 1.65
2013-09-29 1.6491
2013-09-30 1.6501
2013-10-01 1.6473
2013-10-02 1.6467
2013-10-03 1.6421
2013-10-04 1.6432
2013-10-05 1.6419
2013-10-06 1.6419
2013-10-07 1.6473
2013-10-08 1.6465
2013-10-09 1.6477
2013-10-10 1.6483
2013-10-11 1.6459
2013-10-12 1.6458
2013-10-13 1.6508
2013-10-14 1.6451
2013-10-15 1.6495
2013-10-16 1.6501
2013-10-17 1.6427
2013-10-18 1.6386
2013-10-19 1.6401
2013-10-20 1.6401
2013-10-21 1.6404
2013-10-22 1.6381
2013-10-23 1.6316
2013-10-24 1.6299
2013-10-25 1.6289
2013-10-26 1.6249
2013-10-27 1.625
2013-10-28 1.629
2013-10-29 1.6311
2013-10-30 1.6332
2013-10-31 1.6407
2013-11-01 1.6536
2013-11-02 1.6557
2013-11-03 1.6557
2013-11-04 1.6551
2013-11-05 1.6581
2013-11-06 1.6569
2013-11-07 1.66
2013-11-08 1.6679
2013-11-09 1.6679
2013-11-10 1.6742
2013-11-11 1.6692
2013-11-12 1.6684
2013-11-13 1.6661
2013-11-14 1.6644
2013-11-15 1.6666
2013-11-16 1.6666
2013-11-17 1.6657
2013-11-18 1.6654
2013-11-19 1.6675
2013-11-20 1.6724
2013-11-21 1.6819
2013-11-22 1.676
2013-11-23 1.669
2013-11-24 1.678
2013-11-25 1.6748
2013-11-26 1.6724
2013-11-27 1.6698
2013-11-28 1.6691
2013-11-29 1.6674
2013-11-30 1.6654
2013-12-01 1.6654
2013-12-02 1.6726
2013-12-03 1.6713
2013-12-04 1.6705
2013-12-05 1.6688
2013-12-06 1.6666
2013-12-07 1.6651
2013-12-08 1.6685
2013-12-09 1.6651
2013-12-10 1.6654
2013-12-11 1.6661
2013-12-12 1.6669
2013-12-13 1.6701
2013-12-14 1.6746
2013-12-15 1.6746
2013-12-16 1.6677
2013-12-17 1.6627
2013-12-18 1.6567
2013-12-19 1.6584
2013-12-20 1.6543
2013-12-21 1.651
2013-12-22 1.651
2013-12-23 1.6519
2013-12-24 1.6528
2013-12-25 1.6555
2013-12-26 1.6531
2013-12-27 1.6478
2013-12-28 1.6476
2013-12-29 1.6476
2013-12-30 1.6435
2013-12-31 1.6428
2014-01-01 1.6443
2014-01-02 1.6515
2014-01-03 1.6556
2014-01-04 1.655
2014-01-05 1.655
2014-01-06 1.6561
2014-01-07 1.6555
2014-01-08 1.6567
2014-01-09 1.6584
2014-01-10 1.6572
2014-01-11 1.6575
2014-01-12 1.6575
2014-01-13 1.6551
2014-01-14 1.6536
2014-01-15 1.6559
2014-01-16 1.6538
2014-01-17 1.6529
2014-01-18 1.6636
2014-01-19 1.652
2014-01-20 1.6545
2014-01-21 1.6489
2014-01-22 1.6434
2014-01-23 1.6325
2014-01-24 1.6241
2014-01-25 1.6242
2014-01-26 1.624
2014-01-27 1.6237
2014-01-28 1.6194
2014-01-29 1.6115
2014-01-30 1.6078
2014-01-31 1.6059
2014-02-01 1.6059
2014-02-02 1.6055
2014-02-03 1.6069
2014-02-04 1.6072
2014-02-05 1.6064
2014-02-06 1.6039
2014-02-07 1.5992
2014-02-08 1.595
2014-02-09 1.5965
2014-02-10 1.5957
2014-02-11 1.593
2014-02-12 1.5952
2014-02-13 1.5919
2014-02-14 1.5859
2014-02-15 1.5859
2014-02-16 1.5855
2014-02-17 1.5848
2014-02-18 1.5827
2014-02-19 1.5806
2014-02-20 1.5824
2014-02-21 1.5831
2014-02-22 1.5818
2014-02-23 1.5818
2014-02-24 1.5825
2014-02-25 1.5821
2014-02-26 1.584
2014-02-27 1.587
2014-02-28 1.5809
2014-03-01 1.5751
2014-03-02 1.5751
2014-03-03 1.5803
2014-03-04 1.5831
2014-03-05 1.5837
2014-03-06 1.5787
