"Index" "BOB.Open" "BOB.High" "BOB.Low" "BOB.Close" "BOB.Volume" "BOB.Adjusted"
2013-01-01 0.02 0.02 0.02 0.02 0 0.4
2013-01-02 0.02 0.02 0.02 0.02 6100 0.4
2013-01-03 0.015 0.015 0.015 0.015 151100 0.3
2013-01-04 0.015 0.015 0.015 0.015 49500 0.3
2013-01-07 0.015 0.015 0.015 0.015 17300 0.3
2013-01-08 0.015 0.015 0.01 0.01 10600 0.2
2013-01-09 0.015 0.015 0.015 0.015 400 0.3
2013-01-10 0.015 0.015 0.01 0.01 14700 0.2
2013-01-11 0.01 0.01 0.01 0.01 700 0.2
2013-01-14 0.01 0.01 0.01 0.01 0 0.2
2013-01-15 0.01 0.01 0.01 0.01 6100 0.2
2013-01-16 0.01 0.015 0.01 0.01 137000 0.2
2013-01-17 0.01 0.01 0.005 0.005 8700 0.1
2013-01-18 0.005 0.005 0.005 0.005 0 0.1
2013-01-21 0.005 0.005 0.005 0.005 0 0.1
2013-01-22 0.005 0.005 0.005 0.005 0 0.1
2013-01-23 0.1 0.17 0.1 0.17 103200 0.17
2013-01-24 0.15 0.3 0.15 0.3 111000 0.3
2013-01-25 0.23 0.35 0.185 0.35 16000 0.35
2013-01-28 0.26 0.29 0.245 0.29 30000 0.29
2013-01-29 0.3 0.3 0.25 0.29 7200 0.29
2013-01-30 0.29 0.29 0.29 0.29 0 0.29
2013-01-31 0.22 0.285 0.22 0.28 116500 0.28
2013-02-01 0.21 0.21 0.2 0.2 23500 0.2
2013-02-04 0.2 0.2 0.2 0.2 30500 0.2
2013-02-05 0.2 0.2 0.2 0.2 0 0.2
2013-02-06 0.2 0.2 0.2 0.2 600 0.2
2013-02-07 0.195 0.195 0.115 0.115 6500 0.115
2013-02-08 0.12 0.15 0.12 0.13 7300 0.13
2013-02-11 0.12 0.15 0.12 0.15 1500 0.15
2013-02-12 0.15 0.15 0.15 0.15 0 0.15
2013-02-13 0.15 0.15 0.12 0.15 24000 0.15
