"Index" "IN.Open" "IN.High" "IN.Low" "IN.Close" "IN.Volume" "IN.Adjusted"
2013-05-31 0.01 0.015 0.01 0.015 93700 0.015
2013-06-03 0.015 0.015 0.015 0.015 0 0.015
2013-06-04 0.015 0.015 0.015 0.015 0 0.015
2013-06-05 0.015 0.015 0.015 0.015 0 0.015
2013-06-06 0.015 0.015 0.015 0.015 0 0.015
2013-06-07 0.015 0.015 0.015 0.015 0 0.015
2013-06-10 0.015 0.015 0.015 0.015 0 0.015
2013-06-11 0.015 0.015 0.015 0.015 0 0.015
2013-06-12 0.005 0.005 0.005 0.005 1900 0.005
2013-06-13 0.005 0.005 0.005 0.005 0 0.005
2013-06-14 0.005 0.005 0.005 0.005 0 0.005
2013-06-17 0.01 0.01 0.01 0.01 2000 0.01
2013-06-18 0.01 0.01 0.01 0.01 0 0.01
2013-06-19 0.01 0.01 0.01 0.01 0 0.01
2013-06-20 0.015 0.015 0.015 0.015 20000 0.015
2013-06-21 0.01 0.015 0.01 0.015 124000 0.015
2013-06-24 0.015 0.015 0.015 0.015 0 0.015
2013-06-25 0.015 0.015 0.015 0.015 0 0.015
2013-06-26 0.015 0.015 0.015 0.015 0 0.015
2013-06-27 0.015 0.015 0.015 0.015 0 0.015
2013-06-28 0.015 0.015 0.015 0.015 0 0.015
2013-07-01 0.015 0.015 0.015 0.015 0 0.015
2013-07-02 0.015 0.015 0.015 0.015 0 0.015
2013-07-03 0.015 0.015 0.015 0.015 0 0.015
2013-07-04 0.015 0.015 0.015 0.015 0 0.015
2013-07-05 0.015 0.015 0.015 0.015 0 0.015
