"Index" "RL.Open" "RL.High" "RL.Low" "RL.Close" "RL.Volume" "RL.Adjusted"
2013-01-02 152.75 152.789993 149.25 152.100006 1483700 147.234872
2013-01-03 152.75 158.679993 152.75 157.210007 1618700 152.181422
2013-01-04 157.100006 159.610001 156.470001 159.389999 1102700 154.291685
2013-01-07 159.759995 162.839996 159.559998 161.520004 1447900 156.353558
2013-01-08 161.559998 163.600006 161.050003 162.25 965000 157.060204
2013-01-09 163.860001 165.699997 161.860001 165.580002 1262700 160.283691
2013-01-10 163.740005 167.990005 163.179993 167.479996 1140900 162.122911
2013-01-11 167.339996 167.850006 165 165.929993 1140000 160.622487
2013-01-14 166.020004 167.490005 165.619995 166.339996 631200 161.019376
2013-01-15 165.850006 167.740005 165.460007 166.949997 743300 161.609865
2013-01-16 166.100006 166.910004 165.809998 166.75 760200 161.416265
2013-01-17 167.070007 168.550003 165.020004 168.059998 771000 162.684361
2013-01-18 168.210007 168.789993 166.570007 167.699997 635600 162.335875
2013-01-22 168.110001 168.110001 163.449997 165.320007 1007700 160.032013
2013-01-23 161.960007 164.479996 160.910004 164.190002 1494100 158.938153
2013-01-24 164.559998 165.889999 163.789993 165.380005 738200 160.090091
2013-01-25 164.839996 170.320007 164.839996 170.080002 952900 164.639752
2013-01-28 169.979996 170.130005 168.020004 168.830002 566600 163.429735
2013-01-29 168.5 168.710007 166.710007 167.949997 603300 162.577879
2013-01-30 167.800003 168.100006 166.419998 167.419998 987700 162.064833
2013-01-31 165.399994 166.940002 163.759995 166.479996 1413600 161.154897
2013-02-01 165.789993 167.199997 161.059998 161.539993 2181600 156.372908
2013-02-04 161.600006 164.460007 160.710007 162.380005 1039400 157.186051
2013-02-05 162.860001 165.149994 162.860001 164.910004 1487700 159.635124
2013-02-06 175.009995 179.899994 173.990005 174.630005 3722100 169.044217
2013-02-07 174.139999 178.100006 173.160004 178.059998 1681000 172.364497
2013-02-08 176.740005 179.110001 176.660004 177.559998 1457000 171.88049
2013-02-11 177.5 178.449997 176.199997 177.009995 893000 171.348079
2013-02-12 177.360001 178.339996 176.529999 176.789993 522200 171.135115
2013-02-13 176.990005 177.759995 175.320007 175.630005 557800 170.012231
2013-02-14 175.320007 175.410004 173.229996 174.860001 835300 169.266856
2013-02-15 175.820007 177.440002 175.119995 176.070007 903900 170.438159
2013-02-19 176.289993 177.619995 175.559998 177.039993 633600 171.377119
2013-02-20 176.070007 176.979996 173.270004 173.509995 618700 167.960032
2013-02-21 172.490005 173.059998 170.110001 170.619995 567100 165.162473
2013-02-22 170.880005 172.179993 170.360001 171.119995 614100 165.64648
2013-02-25 171.960007 173.779999 168.869995 168.880005 617200 163.478139
2013-02-26 170.080002 172.639999 168.470001 170.119995 585200 164.678466
2013-02-27 170.529999 173.770004 170.380005 173.309998 483100 167.766432
2013-02-28 173.089996 174.789993 172.110001 173.470001 503100 167.921318
2013-03-01 172.550003 174.649994 171.630005 174.169998 685200 168.598924
2013-03-04 173.229996 174.809998 172.759995 174.399994 670000 168.821563
2013-03-05 175 177.210007 174.509995 177.089996 630300 171.425522
2013-03-06 176.429993 178.380005 176.429993 177.419998 606400 171.744968
2013-03-07 177.809998 178.690002 176.779999 177.179993 603000 171.51264
2013-03-08 178 178 176.270004 177.460007 319600 171.783697
2013-03-11 176.869995 177.440002 176.289993 176.5 451700 170.854398
2013-03-12 175.850006 176.580002 174.350006 174.410004 426900 168.831253
2013-03-13 175.070007 175.570007 172.649994 173.029999 879100 167.495389
2013-03-14 173.660004 174.220001 172.610001 173.160004 671700 167.621236
