"Index" "XPD.USD"
2013-09-18 703.683
2013-09-19 734.119
2013-09-20 720
2013-09-21 720
2013-09-22 720.405
2013-09-23 716.526
2013-09-24 720.142
2013-09-25 722.774
2013-09-26 722.716
2013-09-27 730.5
2013-09-28 730.5
2013-09-29 729.834
2013-09-30 722.444
2013-10-01 717.424
2013-10-02 719.269
2013-10-03 702.532
2013-10-04 699.655
2013-10-05 699.655
2013-10-06 702
2013-10-07 703.75
2013-10-08 713
2013-10-09 702.885
2013-10-10 708
2013-10-11 714.5
2013-10-12 714.5
2013-10-13 711.302
2013-10-14 714.389
2013-10-15 705.099
2013-10-16 716.895
2013-10-17 738
2013-10-18 741.5
2013-10-19 741.5
2013-10-20 745.5
2013-10-21 752.5
2013-10-22 753.5
2013-10-23 744.5
2013-10-24 744.5
2013-10-25 743.5
2013-10-26 743.5
2013-10-27 742.583
2013-10-28 742.583
2013-10-29 742.583
2013-10-30 742.583
2013-10-31 742.583
2013-11-01 742.583
2013-11-02 742.583
2013-11-03 740.185
2013-11-04 740.185
2013-11-05 740.185
2013-11-06 740.185
2013-11-07 740.185
2013-11-08 740.185
2013-11-09 758.65
2013-11-10 757.5
2013-11-11 757.5
2013-11-12 757.5
2013-11-13 757.5
2013-11-14 757.5
2013-11-15 757.5
2013-11-16 757.5
2013-11-17 757.5
2013-11-18 757.5
2013-11-19 757.5
2013-11-20 757.5
2013-11-21 757.5
2013-11-22 757.5
2013-11-23 757.5
2013-11-24 716.16
2013-11-25 716.16
2013-11-26 716.16
2013-11-27 717.13
2013-11-28 720.5
2013-11-29 721.5
2013-11-30 718.376
2013-12-01 717
2013-12-02 713.032
2013-12-03 716.791
2013-12-04 726.5
2013-12-05 734.84
2013-12-06 736.5
2013-12-07 736.5
2013-12-08 734.95
2013-12-09 735.478
2013-12-10 738.232
2013-12-11 735.64
2013-12-12 717.465
2013-12-13 716.45
2013-12-14 716.45
2013-12-15 716.195
2013-12-16 717.5
2013-12-17 700.11
2013-12-18 698.332
2013-12-19 696.688
2013-12-20 698.71
2013-12-21 698.71
2013-12-22 699.75
2013-12-23 695.67
2013-12-24 697
2013-12-25 695.55
2013-12-26 699.266
2013-12-27 712
2013-12-28 712
2013-12-29 714.157
2013-12-30 711.065
2013-12-31 714.5
2014-01-01 718.5
2014-01-02 718.5
2014-01-03 718.5
2014-01-04 718.5
2014-01-05 730.449
2014-01-06 730.449
2014-01-07 730.449
2014-01-08 730.449
2014-01-09 730.449
2014-01-10 730.449
2014-01-11 730.449
2014-01-12 745.001
2014-01-13 745.001
2014-01-14 745.001
2014-01-15 745.001
2014-01-16 745.001
2014-01-17 745.001
2014-01-18 745.001
2014-01-19 749.329
2014-01-20 749.329
2014-01-21 749.329
2014-01-22 749.329
2014-01-23 749.329
2014-01-24 749.329
2014-01-25 749.329
2014-01-26 735.83
2014-01-27 735.83
2014-01-28 735.83
2014-01-29 735.83
2014-01-30 707.374
2014-01-31 705
2014-02-01 704.15
2014-02-02 703.872
2014-02-03 702.827
2014-02-04 702.752
2014-02-05 708.361
2014-02-06 710.217
2014-02-07 709.5
2014-02-08 709.5
2014-02-09 710.238
2014-02-10 716.25
2014-02-11 718.5
2014-02-12 728.707
2014-02-13 732.037
2014-02-14 738.185
2014-02-15 738.185
2014-02-16 740.304
2014-02-17 741.744
2014-02-18 739.575
2014-02-19 733.555
2014-02-20 737.5
2014-02-21 740.5
2014-02-22 740.07
2014-02-23 740
2014-02-24 741.811
2014-02-25 737.729
2014-02-26 731.38
2014-02-27 743.058
2014-02-28 742.5
2014-03-01 742.5
2014-03-02 745.724
2014-03-03 749.165
2014-03-04 763.642
2014-03-05 771.238
2014-03-06 780.5
2014-03-07 782.25
2014-03-08 782.25
2014-03-09 779.925
2014-03-10 774.948
2014-03-11 768.5
