"Index" "N3L.Open" "N3L.High" "N3L.Low" "N3L.Close" "N3L.Volume" "N3L.Adjusted"
2013-02-25 0.324 0.324 0.324 0.324 0 0.324
2013-02-26 0.323 0.323 0.323 0.323 0 0.323
2013-02-27 0.338 0.338 0.338 0.338 0 0.338
2013-02-28 0.36 0.36 0.36 0.36 0 0.36
2013-03-01 0.39 0.39 0.39 0.39 0 0.39
2013-03-04 0.386 0.386 0.386 0.386 0 0.386
2013-03-05 0.396 0.396 0.396 0.396 0 0.396
2013-03-06 0.401 0.401 0.401 0.401 0 0.401
2013-03-07 0.394 0.394 0.394 0.394 0 0.394
2013-03-08 0.402 0.402 0.402 0.402 0 0.402
2013-03-11 0.383 0.383 0.383 0.383 0 0.383
2013-03-12 0.382 0.382 0.382 0.382 0 0.382
2013-03-13 0.382 0.382 0.382 0.382 0 0.382
2013-03-14 0.385 0.385 0.385 0.385 0 0.385
2013-03-15 0.387 0.387 0.387 0.387 0 0.387
2013-03-18 0.394 0.394 0.394 0.394 0 0.394
2013-03-19 0.392 0.392 0.392 0.392 0 0.392
2013-03-20 0.391 0.391 0.391 0.391 0 0.391
2013-03-21 0.39 0.39 0.39 0.39 0 0.39
2013-03-22 0.393 0.393 0.393 0.393 0 0.393
2013-03-25 0.391 0.391 0.391 0.391 0 0.391
2013-03-26 0.385 0.385 0.385 0.385 0 0.385
2013-03-27 0.386 0.386 0.386 0.386 0 0.386
2013-03-28 0.386 0.386 0.386 0.386 0 0.386
2013-03-29 0.386 0.386 0.386 0.386 0 0.386
2013-04-01 0.386 0.386 0.386 0.386 0 0.386
2013-04-02 0.381 0.381 0.381 0.381 0 0.381
2013-04-03 0.379 0.379 0.379 0.379 0 0.379
2013-04-04 0.378 0.378 0.378 0.378 0 0.378
2013-04-05 0.379 0.379 0.379 0.379 0 0.379
2013-04-08 0.38 0.38 0.38 0.38 0 0.38
2013-04-09 0.371 0.371 0.371 0.371 0 0.371
2013-04-10 0.366 0.366 0.366 0.366 0 0.366
2013-04-11 0.372 0.372 0.372 0.372 0 0.372
2013-04-12 0.366 0.366 0.366 0.366 0 0.366
2013-04-15 0.371 0.371 0.371 0.371 0 0.371
2013-04-16 0.377 0.377 0.377 0.377 0 0.377
2013-04-17 0.369 0.369 0.369 0.369 0 0.369
2013-04-18 0.37 0.37 0.37 0.37 0 0.37
2013-04-19 0.371 0.371 0.371 0.371 0 0.371
2013-04-22 0.349 0.349 0.349 0.349 0 0.349
2013-04-23 0.353 0.353 0.353 0.353 0 0.353
2013-04-24 0.354 0.354 0.354 0.354 0 0.354
2013-04-25 0.366 0.366 0.366 0.366 0 0.366
2013-04-26 0.37 0.37 0.37 0.37 0 0.37
2013-04-29 0.362 0.362 0.362 0.362 0 0.362
2013-04-30 0.36 0.36 0.36 0.36 0 0.36
2013-05-01 0.36 0.36 0.36 0.36 0 0.36
2013-05-02 0.36 0.36 0.36 0.36 0 0.36
2013-05-03 0.356 0.356 0.356 0.356 0 0.356
2013-05-06 0.359 0.359 0.359 0.359 0 0.359
2013-05-07 0.359 0.359 0.359 0.359 0 0.359
2013-05-08 0.357 0.357 0.357 0.357 0 0.357
2013-05-09 0.357 0.357 0.357 0.357 0 0.357
2013-05-10 0.369 0.369 0.369 0.369 0 0.369
2013-05-13 0.358 0.358 0.358 0.358 0 0.358
2013-05-14 0.362 0.362 0.362 0.362 0 0.362
2013-05-15 0.351 0.351 0.351 0.351 0 0.351
2013-05-16 0.351 0.351 0.351 0.351 0 0.351
2013-05-17 0.352 0.352 0.352 0.352 0 0.352
2013-05-20 0.352 0.352 0.352 0.352 0 0.352
2013-05-21 0.355 0.355 0.355 0.355 0 0.355
2013-05-22 0.343 0.343 0.343 0.343 0 0.343
2013-05-23 0.331 0.331 0.331 0.331 0 0.331
2013-05-24 0.33 0.33 0.33 0.33 0 0.33
2013-05-27 0.334 0.334 0.334 0.334 0 0.334
2013-05-28 0.333 0.333 0.333 0.333 0 0.333
2013-05-29 0.33 0.33 0.33 0.33 0 0.33
2013-05-30 0.336 0.336 0.336 0.336 0 0.336
2013-05-31 0.33 0.33 0.33 0.33 0 0.33
2013-06-03 0.331 0.331 0.331 0.331 0 0.331
2013-06-04 0.337 0.337 0.337 0.337 0 0.337
2013-06-05 0.331 0.331 0.331 0.331 0 0.331
2013-06-06 0.338 0.338 0.338 0.338 0 0.338
2013-06-07 0.338 0.338 0.338 0.338 0 0.338
2013-06-10 0.327 0.327 0.327 0.327 0 0.327
2013-06-11 0.326 0.326 0.326 0.326 0 0.326
2013-06-12 0.315 0.315 0.315 0.315 0 0.315
2013-06-13 0.32 0.32 0.32 0.32 0 0.32
2013-06-14 0.315 0.315 0.315 0.315 0 0.315
2013-06-17 0.333 0.333 0.333 0.333 0 0.333
2013-06-18 0.349 0.349 0.349 0.349 0 0.349
2013-06-19 0.322 0.322 0.322 0.322 0 0.322
2013-06-20 0.329 0.329 0.329 0.329 0 0.329
2013-06-21 0.319 0.319 0.319 0.319 0 0.319
2013-06-24 0.32 0.32 0.32 0.32 0 0.32
2013-06-25 0.316 0.316 0.316 0.316 0 0.316
2013-06-26 0.316 0.316 0.316 0.316 0 0.316
2013-06-27 0.315 0.315 0.315 0.315 0 0.315
2013-06-28 0.313 0.313 0.313 0.313 0 0.313
2013-07-01 0.313 0.313 0.313 0.313 0 0.313
2013-07-02 0.312 0.312 0.312 0.312 0 0.312
2013-07-03 0.319 0.319 0.319 0.319 0 0.319
2013-07-04 0.32 0.32 0.32 0.32 0 0.32
2013-07-05 0.321 0.321 0.321 0.321 0 0.321
2013-07-08 0.323 0.323 0.323 0.323 0 0.323
2013-07-09 0.32 0.32 0.32 0.32 0 0.32
2013-07-10 0.321 0.321 0.321 0.321 0 0.321
2013-07-11 0.32 0.32 0.32 0.32 0 0.32
2013-07-12 0.322 0.322 0.322 0.322 0 0.322
2013-07-15 0.321 0.321 0.321 0.321 0 0.321
2013-07-16 0.321 0.321 0.321 0.321 0 0.321
2013-07-17 0.32 0.32 0.32 0.32 0 0.32
