"Index" "GOC.Open" "GOC.High" "GOC.Low" "GOC.Close" "GOC.Volume" "GOC.Adjusted"
2014-07-11 0.158 0.158 0.158 0.158 0 0.158
2014-07-14 0.159 0.159 0.159 0.159 0 0.159
2014-07-15 0.156 0.156 0.156 0.156 0 0.156
2014-07-16 0.156 0.156 0.156 0.156 0 0.156
2014-07-17 0.157 0.157 0.157 0.157 0 0.157
2014-07-18 0.169 0.169 0.169 0.169 0 0.169
2014-07-21 0.174 0.174 0.174 0.174 0 0.174
2014-07-22 0.181 0.181 0.181 0.181 0 0.181
2014-07-23 0.22 0.22 0.22 0.22 0 0.22
2014-07-24 0.192 0.192 0.192 0.192 0 0.192
2014-07-25 0.175 0.175 0.175 0.175 0 0.175
2014-07-28 0.171 0.171 0.171 0.171 0 0.171
2014-07-29 0.187 0.187 0.187 0.187 0 0.187
2014-07-30 0.197 0.197 0.197 0.197 0 0.197
2014-07-31 0.194 0.194 0.194 0.194 0 0.194
2014-08-01 0.19 0.19 0.19 0.19 0 0.19
2014-08-04 0.188 0.188 0.188 0.188 0 0.188
2014-08-05 0.188 0.188 0.188 0.188 0 0.188
2014-08-06 0.171 0.171 0.171 0.171 0 0.171
2014-08-07 0.17 0.17 0.17 0.17 0 0.17
2014-08-08 0.183 0.183 0.183 0.183 0 0.183
2014-08-11 0.186 0.186 0.186 0.186 0 0.186
2014-08-12 0.183 0.183 0.183 0.183 0 0.183
2014-08-13 0.184 0.184 0.184 0.184 0 0.184
2014-08-14 0.184 0.184 0.184 0.184 0 0.184
2014-08-15 0.191 0.191 0.191 0.191 0 0.191
2014-08-18 0.188 0.188 0.188 0.188 0 0.188
2014-08-19 0.191 0.191 0.191 0.191 0 0.191
2014-08-20 0.191 0.191 0.191 0.191 0 0.191
2014-08-21 0.208 0.208 0.208 0.208 0 0.208
2014-08-22 0.202 0.202 0.202 0.202 0 0.202
2014-08-25 0.196 0.196 0.196 0.196 0 0.196
2014-08-26 0.188 0.188 0.188 0.188 0 0.188
2014-08-27 0.187 0.187 0.187 0.187 0 0.187
2014-08-28 0.191 0.191 0.191 0.191 0 0.191
2014-08-29 0.184 0.184 0.184 0.184 0 0.184
2014-09-01 0.188 0.188 0.188 0.188 0 0.188
2014-09-02 0.188 0.188 0.188 0.188 0 0.188
2014-09-03 0.177 0.177 0.177 0.177 0 0.177
2014-09-04 0.184 0.184 0.184 0.184 0 0.184
2014-09-05 0.188 0.188 0.188 0.188 0 0.188
2014-09-08 0.184 0.184 0.184 0.184 0 0.184
2014-09-09 0.186 0.186 0.186 0.186 0 0.186
2014-09-10 0.182 0.182 0.182 0.182 0 0.182
2014-09-11 0.183 0.183 0.183 0.183 0 0.183
2014-09-12 0.177 0.177 0.177 0.177 0 0.177
2014-09-15 0.176 0.176 0.176 0.176 0 0.176
2014-09-16 0.188 0.188 0.188 0.188 0 0.188
2014-09-17 0.186 0.186 0.186 0.186 0 0.186
2014-09-18 0.179 0.179 0.179 0.179 0 0.179
2014-09-19 0.176 0.176 0.176 0.176 0 0.176
2014-09-22 0.177 0.177 0.177 0.177 0 0.177
2014-09-23 0.176 0.176 0.176 0.176 0 0.176
2014-09-24 0.168 0.168 0.168 0.168 0 0.168
2014-09-25 0.162 0.162 0.162 0.162 0 0.162
2014-09-26 0.154 0.16 0.154 0.16 0 0.16
2014-09-29 0.158 0.164 0.158 0.164 0 0.164
2014-09-30 0.158 0.167 0.158 0.167 0 0.167
2014-10-01 0.158 0.172 0.158 0.172 0 0.172
2014-10-02 0.163 0.171 0.163 0.171 0 0.171
2014-10-03 0.171 0.171 0.171 0.171 0 0.171
2014-10-06 0.148 0.161 0.148 0.161 0 0.161
2014-10-07 0.148 0.157 0.148 0.157 0 0.157
2014-10-08 0.148 0.163 0.148 0.163 0 0.163
2014-10-09 0.155 0.164 0.154 0.164 0 0.164
2014-10-10 0.147 0.157 0.147 0.153 0 0.153
2014-10-13 0.143 0.144 0.143 0.144 0 0.144
2014-10-14 0.143 0.149 0.143 0.149 0 0.149
2014-10-15 0.125 0.136 0.124 0.136 0 0.136
2014-10-16 0.123 0.133 0.123 0.133 0 0.133
2014-10-17 0.12 0.133 0.12 0.133 0 0.133
2014-10-20 0.131 0.134 0.131 0.133 0 0.133
2014-10-21 0.123 0.137 0.123 0.137 0 0.137
2014-10-22 0.132 0.145 0.132 0.145 0 0.145
2014-10-23 0.133 0.142 0.132 0.142 0 0.142
2014-10-24 0.133 0.142 0.133 0.142 0 0.142
