"Index" "MGN.Open" "MGN.High" "MGN.Low" "MGN.Close" "MGN.Volume" "MGN.Adjusted"
2013-05-29 0.64 0.64 0.6 0.62 27300 0.62
2013-05-30 0.63 0.68 0.619 0.656 52700 0.656
2013-05-31 0.65 0.685 0.584 0.68 49000 0.68
2013-06-03 0.689 0.77 0.689 0.76 90100 0.76
2013-06-04 0.75 0.77 0.74 0.741 64400 0.741
2013-06-05 0.76 0.77 0.759 0.76 10900 0.76
2013-06-06 0.789 0.8 0.771 0.771 9900 0.771
2013-06-07 0.74 0.79 0.7 0.77 28600 0.77
2013-06-10 0.733 0.773 0.72 0.722 14300 0.722
2013-06-11 0.71 0.748 0.7 0.72 3100 0.72
2013-06-12 0.76 0.76 0.7 0.705 10500 0.705
2013-06-13 0.705 0.72 0.7 0.712 6300 0.712
2013-06-14 0.7 0.7 0.67 0.67 35400 0.67
2013-06-17 0.65 0.7 0.65 0.68 11700 0.68
2013-06-18 0.68 0.69 0.671 0.69 1200 0.69
2013-06-19 0.68 0.73 0.65 0.71 13800 0.71
2013-06-20 0.65 0.68 0.65 0.679 19600 0.679
2013-06-21 0.655 0.685 0.655 0.685 21500 0.685
2013-06-24 0.7 0.7 0.61 0.638 19100 0.638
2013-06-25 0.64 0.7 0.61 0.67 30100 0.67
2013-06-26 0.64 0.67 0.61 0.635 10600 0.635
2013-06-27 0.6 0.645 0.59 0.62 27800 0.62
2013-06-28 0.62 0.67 0.53 0.53 222300 0.53
2013-07-01 0.51 0.58 0.51 0.578 44900 0.578
