"Index" "DAC.Open" "DAC.High" "DAC.Low" "DAC.Close" "DAC.Volume" "DAC.Adjusted"
2013-09-23 3.97 4.05 3.81 3.9 39900 3.9
2013-09-24 3.9 3.94 3.83 3.85 23100 3.85
2013-09-25 3.88 3.88 3.67 3.75 30100 3.75
2013-09-26 3.8 3.88 3.76 3.8 12600 3.8
2013-09-27 3.76 3.93 3.75 3.93 15600 3.93
2013-09-30 3.92 4.07 3.84 3.97 36600 3.97
2013-10-01 3.96 4 3.91 4 9200 4
2013-10-02 3.92 4.02 3.92 3.98 9900 3.98
2013-10-03 4 4.07 3.91 3.94 19100 3.94
2013-10-04 3.93 4 3.82 3.99 8500 3.99
2013-10-07 4 4 3.8 3.9 21300 3.9
2013-10-08 3.96 4.02 3.82 3.86 9300 3.86
2013-10-09 3.95 3.99 3.91 3.94 5400 3.94
