"Index" "GNF.Open" "GNF.High" "GNF.Low" "GNF.Close" "GNF.Volume" "GNF.Adjusted"
2014-03-11 3.4 3.5 3.4 3.5 500 3.5
2014-03-12 3.5 3.5 3.5 3.5 500 3.5
2014-03-13 3.5 3.5 3.5 3.5 0 3.5
2014-03-14 3.5 3.5 3.5 3.5 0 3.5
2014-03-17 3.5 3.5 3.5 3.5 0 3.5
2014-03-18 3.5 3.5 3.5 3.5 0 3.5
2014-03-19 3.5 3.5 3.5 3.5 0 3.5
2014-03-20 3.5 3.5 3.5 3.5 0 3.5
2014-03-21 3.3 3.5 3.25 3.3 5000 3.3
2014-03-24 3.25 3.25 3.1 3.1 17900 3.1
2014-03-25 3.2 3.3 3.15 3.3 15700 3.3
2014-03-26 3.24 3.25 3.24 3.25 300 3.25
2014-03-27 3.25 3.3 3.25 3.3 2300 3.3
2014-03-28 3.3 3.3 3.3 3.3 0 3.3
2014-03-31 3.25 3.25 3.25 3.25 1300 3.25
2014-04-01 3.25 3.25 3.25 3.25 0 3.25
2014-04-02 3.25 3.35 3.25 3.35 1100 3.35
2014-04-03 3.25 3.25 3.25 3.25 1000 3.25
2014-04-04 3.25 3.25 3.19 3.19 8600 3.19
2014-04-07 3.18 3.18 3.18 3.18 400 3.18
2014-04-08 3.18 3.18 3.18 3.18 0 3.18
2014-04-09 3.2 3.2 3.15 3.15 4500 3.15
2014-04-10 3.2 3.2 3.15 3.15 5000 3.15
2014-04-11 3.15 3.15 3.15 3.15 0 3.15
2014-04-14 3.29 3.39 3.29 3.39 3500 3.39
2014-04-15 3.2 3.39 3.2 3.39 1500 3.39
2014-04-16 3.39 3.39 3.39 3.39 0 3.39
2014-04-17 3.3 3.3 3.3 3.3 7300 3.3
2014-04-18 3.3 3.3 3.3 3.3 0 3.3
2014-04-21 3.25 3.25 3.25 3.25 200 3.25
2014-04-22 3.25 3.25 3.25 3.25 0 3.25
2014-04-23 3.2 3.2 3.1 3.11 1051900 3.11
2014-04-24 3.2 3.35 3.2 3.34 2100 3.34
2014-04-25 3.34 3.34 3.34 3.34 0 3.34
2014-04-28 3.17 3.17 3.17 3.17 1000 3.17
2014-04-29 3.17 3.17 3.17 3.17 0 3.17
2014-04-30 3.17 3.17 3.17 3.17 0 3.17
2014-05-01 3.22 3.25 3.22 3.25 6400 3.25
2014-05-02 3.27 3.27 3.27 3.27 100 3.27
2014-05-05 3.27 3.27 3.27 3.27 500 3.27
2014-05-06 3.27 3.27 3.25 3.25 1000 3.25
2014-05-07 3.25 3.25 3.25 3.25 200 3.25
2014-05-08 3.25 3.25 3.25 3.25 0 3.25
2014-05-09 3.2 3.21 3.2 3.2 1100 3.2
2014-05-12 3.2 3.2 3.2 3.2 0 3.2
2014-05-13 3.2 3.2 3.2 3.2 5500 3.2
2014-05-14 3.2 3.2 3.18 3.18 4200 3.18
2014-05-15 3.19 3.19 3.19 3.19 3000 3.19
2014-05-16 3.19 3.19 3.19 3.19 0 3.19
2014-05-19 3.19 3.19 3.19 3.19 0 3.19
2014-05-20 3.19 3.19 3.19 3.19 0 3.19
2014-05-21 3.19 3.19 3.19 3.19 0 3.19
2014-05-22 3.18 3.18 3.18 3.18 2000 3.18
2014-05-23 3.2 3.2 3.2 3.2 500 3.2
2014-05-26 3.2 3.2 3.2 3.2 0 3.2
2014-05-27 3.2 3.2 3.2 3.2 0 3.2
2014-05-28 3.2 3.2 3.2 3.2 0 3.2
2014-05-29 3.15 3.22 3.05 3.05 22900 3.05
2014-05-30 3 3 3 3 11300 3
2014-06-02 3 3 3 3 0 3
2014-06-03 3 3 3 3 0 3
2014-06-04 3 3 3 3 0 3
2014-06-05 3 3 3 3 0 3
2014-06-06 3.05 3.06 3 3 38500 3
2014-06-09 3 3 3 3 3000 3
2014-06-10 3 3 3 3 0 3
2014-06-11 3 3 2.95 2.95 6000 2.95
2014-06-12 2.95 2.95 2.95 2.95 0 2.95
2014-06-13 2.91 2.91 2.9 2.9 2200 2.9
2014-06-16 3 3 3 3 7000 3
2014-06-17 3.04 3.05 3.04 3.05 10000 3.05
2014-06-18 3 3.01 3 3 41400 3
2014-06-19 3 3 3 3 0 3
2014-06-20 3 3 3 3 0 3
2014-06-23 3 3 3 3 0 3
2014-06-24 2.9 2.9 2.89 2.9 3400 2.9
2014-06-25 2.9 2.9 2.9 2.9 0 2.9
2014-06-26 3 3 3 3 43600 3
2014-06-27 3 3 3 3 0 3
2014-06-30 3 3 3 3 0 3
2014-07-01 3 3 3 3 0 3
2014-07-02 3.1 3.11 2.95 3 74900 3
2014-07-03 3 3 2.7 2.85 14600 2.85
2014-07-04 2.85 2.85 2.85 2.85 0 2.85
2014-07-07 2.89 2.89 2.89 2.89 3000 2.89
2014-07-08 2.88 2.88 2.88 2.88 3500 2.88
2014-07-09 2.88 2.88 2.88 2.88 4500 2.88
2014-07-10 3 3 3 3 6600 3
2014-07-11 2.85 3 2.85 3 4100 3
2014-07-14 3 3 3 3 26000 3
2014-07-15 3 3 3 3 0 3
2014-07-16 3 3 3 3 0 3
2014-07-17 3 3 3 3 0 3
2014-07-18 3 3 3 3 0 3
2014-07-21 2.9 2.92 2.8 2.92 1900 2.92
2014-07-22 2.92 2.92 2.92 2.92 0 2.92
2014-07-23 3 3 2.8 2.8 8800 2.8
2014-07-24 2.9 3.1 2.9 3.1 5000 3.1
2014-07-25 2.9 2.9 2.9 2.9 1800 2.9
2014-07-28 2.9 2.9 2.85 2.85 12400 2.85
2014-07-29 2.85 2.85 2.8 2.8 15000 2.8
2014-07-30 3.05 3.05 3.05 3.05 3400 3.05
2014-07-31 3.05 3.05 3.05 3.05 0 3.05
2014-08-01 3.05 3.05 3.05 3.05 0 3.05
2014-08-04 3.05 3.05 3.05 3.05 0 3.05
2014-08-05 3.05 3.05 3.05 3.05 0 3.05
2014-08-06 3.05 3.05 3.05 3.05 0 3.05
2014-08-07 2.91 2.91 2.85 2.85 2600 2.85
2014-08-08 3 3 3 3 1000 3
2014-08-11 2.9 2.9 2.85 2.85 1800 2.85
2014-08-12 2.8 2.8 2.75 2.75 2500 2.75
2014-08-13 2.75 2.75 2.75 2.75 0 2.75
2014-08-14 2.75 2.75 2.75 2.75 200 2.75
2014-08-15 2.75 2.75 2.75 2.75 0 2.75
2014-08-18 2.75 2.75 2.75 2.75 0 2.75
2014-08-19 2.8 2.99 2.8 2.8 39900 2.8
2014-08-20 2.8 2.8 2.8 2.8 400 2.8
2014-08-21 2.8 2.8 2.8 2.8 0 2.8
2014-08-22 2.8 2.8 2.8 2.8 0 2.8
2014-08-25 2.8 2.8 2.8 2.8 0 2.8
2014-08-26 2.8 2.8 2.8 2.8 0 2.8
2014-08-27 2.75 2.75 2.75 2.75 156700 2.75
2014-08-28 2.75 2.75 2.75 2.75 0 2.75
2014-08-29 2.75 2.75 2.75 2.75 0 2.75
2014-09-01 2.75 2.75 2.75 2.75 0 2.75
2014-09-02 2.75 2.75 2.75 2.75 0 2.75
2014-09-03 2.75 2.75 2.75 2.75 0 2.75
2014-09-04 2.75 2.75 2.75 2.75 700 2.75
2014-09-05 2.75 2.75 2.75 2.75 0 2.75
2014-09-08 2.7 2.7 2.65 2.65 3300 2.65
2014-09-09 2.65 2.65 2.65 2.65 0 2.65
2014-09-10 2.65 2.65 2.6 2.6 3500 2.6
2014-09-11 2.6 2.6 2.6 2.6 0 2.6
2014-09-12 2.6 2.6 2.6 2.6 0 2.6
2014-09-15 2.48 2.48 2.48 2.48 1000 2.48
2014-09-16 2.48 2.48 2.48 2.48 0 2.48
2014-09-17 2.4 2.4 1.93 2 10600 2
2014-09-18 2 2 1.82 1.82 1100 1.82
2014-09-19 1.91 1.91 1.9 1.9 800 1.9
2014-09-22 1.9 1.9 1.9 1.9 300 1.9
2014-09-23 1.9 1.9 1.75 1.75 14400 1.75
2014-09-24 1.75 1.75 1.75 1.75 0 1.75
2014-09-25 1.92 1.92 1.9 1.9 10500 1.9
2014-09-26 2.01 2.01 2 2 2500 2
2014-09-29 2.15 2.25 2.15 2.25 2900 2.25
2014-09-30 2 2 2 2 1700 2
2014-10-01 2 2 2 2 0 2
2014-10-02 2 2 2 2 0 2
2014-10-03 2 2 2 2 200 2
2014-10-06 1.66 1.66 1.66 1.66 4500 1.66
2014-10-07 1.67 1.67 1.66 1.66 3600 1.66
2014-10-08 1.66 1.66 1.66 1.66 0 1.66
2014-10-09 1.66 1.66 1.66 1.66 0 1.66
2014-10-10 1.66 1.66 1.66 1.66 0 1.66
2014-10-13 1.66 1.66 1.66 1.66 0 1.66
2014-10-14 1.7 1.7 1.66 1.66 5000 1.66
2014-10-15 1.66 1.66 1.66 1.66 0 1.66
2014-10-16 1.66 1.66 1.66 1.66 0 1.66
2014-10-17 1.66 1.66 1.66 1.66 0 1.66
2014-10-20 1.66 1.66 1.66 1.66 1500 1.66
2014-10-21 1.66 1.66 1.66 1.66 0 1.66
2014-10-22 1.66 1.66 1.66 1.66 0 1.66
2014-10-23 1.91 1.91 1.91 1.91 9000 1.91
2014-10-24 1.91 1.91 1.91 1.91 0 1.91
2014-10-27 1.7 1.7 1.7 1.7 9700 1.7
2014-10-28 1.7 1.7 1.7 1.7 0 1.7
2014-10-29 1.7 1.7 1.7 1.7 0 1.7
2014-10-30 1.59 1.6 1.56 1.56 96600 1.56
2014-10-31 1.56 1.56 1.56 1.56 0 1.56
2014-11-03 1.56 1.56 1.56 1.56 0 1.56
2014-11-04 1.56 1.56 1.56 1.56 0 1.56
2014-11-05 1.56 1.56 1.56 1.56 800 1.56
2014-11-06 1.56 1.56 1.56 1.56 5000 1.56
2014-11-07 1.56 1.56 1.56 1.56 0 1.56
2014-11-10 1.56 1.56 1.56 1.56 0 1.56
2014-11-11 1.56 1.56 1.56 1.56 0 1.56
2014-11-12 1.56 1.56 1.56 1.56 3000 1.56
2014-11-13 1.56 1.56 1.56 1.56 200 1.56
2014-11-14 1.56 1.56 1.56 1.56 0 1.56
2014-11-17 1.64 1.65 1.64 1.65 5000 1.65
2014-11-18 1.65 1.65 1.65 1.65 0 1.65
2014-11-19 1.65 1.65 1.65 1.65 0 1.65
2014-11-20 1.65 1.65 1.65 1.65 0 1.65
2014-11-21 1.51 1.51 1.51 1.51 400 1.51
