"Index" "CIL.Open" "CIL.High" "CIL.Low" "CIL.Close" "CIL.Volume" "CIL.Adjusted"
2015-08-20 34.459999 34.509998 34.439999 34.439999 1500 34.439999
2015-08-21 33.880001 33.880001 33.529999 33.529999 400 33.529999
2015-08-24 33.07 33.07 33.07 33.07 200 33.07
2015-08-25 33.299999 33.299999 33.299999 33.299999 100 33.299999
2015-08-26 32.830002 32.830002 32.830002 32.830002 200 32.830002
2015-08-27 33.77 33.970001 33.77 33.869999 700 33.869999
2015-08-28 33.869999 33.869999 33.869999 33.869999 0 33.869999
2015-08-31 33.630001 33.630001 33.57 33.59 500 33.59
2015-09-01 32.630001 32.639999 32.630001 32.639999 600 32.639999
2015-09-02 32.639999 32.639999 32.639999 32.639999 0 32.639999
2015-09-03 32.639999 32.639999 32.639999 32.639999 0 32.639999
2015-09-04 32.639999 32.639999 32.639999 32.639999 0 32.639999
2015-09-08 32.639999 32.639999 32.639999 32.639999 0 32.639999
2015-09-09 32.639999 32.639999 32.639999 32.639999 0 32.639999
2015-09-10 33.279999 33.380001 33.279999 33.380001 200 33.380001
2015-09-11 33.380001 33.380001 33.380001 33.380001 0 33.380001
2015-09-14 33.380001 33.380001 33.380001 33.380001 0 33.380001
2015-09-15 33.380001 33.380001 33.380001 33.380001 0 33.380001
2015-09-16 33.380001 33.380001 33.380001 33.380001 0 33.380001
2015-09-17 34.240002 34.25 34.240002 34.25 200 34.25
2015-09-18 34.25 34.25 34.25 34.25 0 34.25
2015-09-21 34.25 34.25 34.25 34.25 0 34.25
2015-09-22 34.25 34.25 34.25 34.25 0 34.25
2015-09-23 34.25 34.25 34.25 34.25 0 34.25
2015-09-24 34.25 34.25 34.25 34.25 0 34.25
2015-09-25 34.25 34.25 34.25 34.25 0 34.25
2015-09-28 34.25 34.25 34.25 34.25 0 34.25
2015-09-29 34.25 34.25 34.25 34.25 0 34.25
2015-09-30 32.360001 32.360001 32.360001 32.360001 100 32.360001
2015-10-01 32.360001 32.360001 32.360001 32.360001 0 32.360001
2015-10-02 33.060001 33.060001 33.060001 33.060001 100 33.060001
2015-10-05 33.060001 33.060001 33.060001 33.060001 0 33.060001
2015-10-06 33.060001 33.060001 33.060001 33.060001 0 33.060001
2015-10-07 33.060001 33.060001 33.060001 33.060001 0 33.060001
2015-10-08 34.009998 34.009998 34.009998 34.009998 300 34.009998
2015-10-09 34.279999 34.279999 34.279999 34.279999 100 34.279999
2015-10-12 34.25 34.25 34.25 34.25 500 34.25
2015-10-13 34.02 34.02 34.02 34.02 100 34.02
2015-10-14 33.990002 33.990002 33.990002 33.990002 200 33.990002
2015-10-15 34.41 34.41 34.41 34.41 100 34.41
2015-10-16 34.521999 34.549999 34.521999 34.549999 200 34.549999
2015-10-19 34.34 34.34 34.34 34.34 200 34.34
2015-10-20 34.34 34.34 34.34 34.34 0 34.34
2015-10-21 34.34 34.34 34.34 34.34 0 34.34
2015-10-22 34.34 34.34 34.34 34.34 0 34.34
2015-10-23 35.080002 35.080002 35.060001 35.07 300 35.07
2015-10-26 34.970001 34.970001 34.970001 34.970001 100 34.970001
2015-10-27 34.970001 34.970001 34.970001 34.970001 0 34.970001
2015-10-28 34.970001 34.970001 34.970001 34.970001 0 34.970001
2015-10-29 34.970001 34.970001 34.970001 34.970001 0 34.970001
2015-10-30 34.970001 34.970001 34.970001 34.970001 0 34.970001
