"Index" "LPE.Open" "LPE.High" "LPE.Low" "LPE.Close" "LPE.Volume" "LPE.Adjusted"
2014-05-12 71.97 71.97 71.97 71.97 0 71.97
2014-05-13 72.23 72.23 72.23 72.23 0 72.23
2014-05-14 72.25 72.25 72.25 72.25 0 72.25
2014-05-15 72.05 72.05 72.05 72.05 0 72.05
2014-05-16 72.17 72.17 72.17 72.17 0 72.17
2014-05-19 71.95 71.95 71.95 71.95 0 71.95
2014-05-20 72.25 72.25 72.25 72.25 0 72.25
2014-05-21 71.95 71.95 71.95 71.95 0 71.95
2014-05-22 72.37 72.37 72.37 72.37 0 72.37
2014-05-23 72.27 72.27 72.27 72.27 0 72.27
2014-05-26 71.53 71.53 71.53 71.53 0 71.53
2014-05-27 71.55 71.55 71.55 71.55 0 71.55
2014-05-28 72.25 72.25 72.25 72.25 0 72.25
2014-05-29 72.18 72.18 72.18 72.18 0 72.18
2014-05-30 72.05 72.05 72.05 72.05 0 72.05
2014-06-02 71.97 71.97 71.97 71.97 0 71.97
2014-06-03 72.66 72.66 72.66 72.66 0 72.66
2014-06-04 72.45 72.45 72.45 72.45 0 72.45
2014-06-05 72.45 72.45 72.45 72.45 0 72.45
2014-06-06 72.78 72.78 72.78 72.78 0 72.78
2014-06-09 71.76 71.76 71.76 71.76 0 71.76
2014-06-10 72.45 72.45 72.45 72.45 0 72.45
2014-06-11 72.45 72.45 72.45 72.45 0 72.45
2014-06-12 71.95 71.95 71.95 71.95 0 71.95
2014-06-13 72.25 72.25 72.25 72.25 0 72.25
2014-06-16 72.25 72.25 72.25 72.25 0 72.25
2014-06-17 71.79 71.79 71.79 71.79 0 71.79
2014-06-18 71.95 71.95 71.95 71.95 0 71.95
2014-06-19 72.21 72.21 72.21 72.21 0 72.21
2014-06-20 72.15 72.15 72.15 72.15 0 72.15
2014-06-23 72.15 72.15 72.15 72.15 0 72.15
2014-06-24 72.25 72.25 72.25 72.25 0 72.25
2014-06-25 72.25 72.25 72.25 72.25 0 72.25
2014-06-26 70.75 70.75 70.75 70.75 0 70.75
2014-06-27 71.45 71.45 71.45 71.45 0 71.45
2014-06-30 72.27 72.27 72.27 72.27 0 72.27
2014-07-01 72.01 72.01 72.01 72.01 0 72.01
2014-07-02 72.45 72.45 72.45 72.45 0 72.45
2014-07-03 72.45 72.45 72.45 72.45 0 72.45
2014-07-04 71.97 71.97 71.97 71.97 0 71.97
2014-07-07 72.45 72.45 72.45 72.45 0 72.45
2014-07-08 72.48 72.48 72.48 72.48 0 72.48
2014-07-09 72.36 72.36 72.36 72.36 0 72.36
2014-07-10 72.25 72.25 72.25 72.25 0 72.25
2014-07-11 71.69 71.69 71.69 71.69 0 71.69
2014-07-14 70.75 70.75 70.75 70.75 0 70.75
2014-07-15 69.86 69.86 69.86 69.86 0 69.86
2014-07-16 69.95 69.95 69.95 69.95 0 69.95
2014-07-17 69.77 69.77 69.77 69.77 0 69.77
2014-07-18 69.87 69.87 69.87 69.87 0 69.87
2014-07-21 69.75 69.75 69.75 69.75 0 69.75
2014-07-22 69.85 69.85 69.85 69.85 0 69.85
2014-07-23 68.95 68.95 68.95 68.95 0 68.95
2014-07-24 68.96 68.96 68.96 68.96 0 68.96
2014-07-25 69.72 69.72 69.72 69.72 0 69.72
2014-07-28 69.76 69.76 69.76 69.76 0 69.76
2014-07-29 70.19 70.19 70.19 70.19 0 70.19
2014-07-30 70.76 70.76 70.76 70.76 0 70.76
2014-07-31 69.7 69.7 69.7 69.7 0 69.7
2014-08-01 69.27 69.27 69.27 69.27 0 69.27
2014-08-04 68.28 68.28 68.28 68.28 0 68.28
2014-08-05 67.79 67.79 67.79 67.79 0 67.79
2014-08-06 68 68 68 68 0 68
2014-08-07 68.5 68.5 68.5 68.5 0 68.5
2014-08-08 67.25 67.25 67.25 67.25 0 67.25
2014-08-11 67.25 67.25 67.25 67.25 0 67.25
2014-08-12 67.76 67.76 67.76 67.76 0 67.76
2014-08-13 68.54 68.54 68.54 68.54 0 68.54
2014-08-14 68.86 68.86 68.86 68.86 0 68.86
2014-08-15 68.86 68.86 68.86 68.86 0 68.86
2014-08-18 68.75 68.75 68.75 68.75 0 68.75
2014-08-19 68.9 68.9 68.9 68.9 0 68.9
2014-08-20 68.75 68.75 68.75 68.75 0 68.75
2014-08-21 68.29 68.29 68.29 68.29 0 68.29
2014-08-22 68.03 68.03 68.03 68.03 0 68.03
2014-08-25 68.37 68.37 68.37 68.37 0 68.37
2014-08-26 68.4 68.4 68.4 68.4 0 68.4
2014-08-27 68.5 68.5 68.5 68.5 0 68.5
2014-08-28 68.5 68.5 68.5 68.5 0 68.5
2014-08-29 68.28 68.28 68.28 68.28 0 68.28
2014-09-01 68.32 68.32 68.32 68.32 0 68.32
2014-09-02 69.07 69.07 69.07 69.07 0 69.07
2014-09-03 69.45 69.45 69.45 69.45 0 69.45
2014-09-04 69.65 69.65 69.65 69.65 0 69.65
2014-09-05 69.35 69.35 69.35 69.35 0 69.35
2014-09-08 69.36 69.36 69.36 69.36 0 69.36
2014-09-09 69.15 69.15 69.15 69.15 0 69.15
2014-09-10 69.15 69.15 69.15 69.15 0 69.15
2014-09-11 68.82 68.82 68.82 68.82 0 68.82
2014-09-12 68.97 68.97 68.97 68.97 0 68.97
2014-09-15 68.33 68.33 68.33 68.33 0 68.33
2014-09-16 68.45 68.45 68.45 68.45 0 68.45
2014-09-17 68.24 68.24 68.24 68.24 0 68.24
2014-09-18 68.41 68.41 68.41 68.41 0 68.41
2014-09-19 68.35 68.35 68.35 68.35 0 68.35
2014-09-22 68.45 68.45 68.45 68.45 0 68.45
2014-09-23 67.55 67.55 67.55 67.55 0 67.55
2014-09-24 68.16 68.16 68.16 68.16 0 68.16
2014-09-25 68.75 68.75 68.75 68.75 0 68.75
2014-09-26 67.8 67.95 67.8 67.95 0 67.95
2014-09-29 67.96 68.44 67.96 68.17 0 68.17
2014-09-30 67.75 67.75 67.75 67.75 0 67.75
2014-10-01 67.55 67.55 67.5 67.5 0 67.5
2014-10-02 67.25 67.307 67.25 67.307 0 67.307
2014-10-03 67.307 67.307 67.307 67.307 0 67.307
2014-10-06 65.86 66.131 65.8 65.8 0 65.8
2014-10-07 65.8 65.8 64.75 64.75 0 64.75
2014-10-08 64.75 64.75 64.532 64.532 0 64.532
2014-10-09 64.25 64.25 63.75 63.75 0 63.75
2014-10-10 62.25 62.25 61 61 0 61
2014-10-13 60.35 60.35 60.35 60.35 0 60.35
2014-10-14 61.02 61.02 61.02 61.02 0 61.02
2014-10-15 61 61 61 61 0 61
2014-10-16 60.396 60.396 60 60 0 60
2014-10-17 59.25 60.455 59.25 60.455 0 60.455
2014-10-20 60.268 60.637 60.26 60.637 0 60.637
2014-10-21 60.579 60.855 60.579 60.774 0 60.774
2014-10-22 60.81 61.455 60.81 61.455 0 61.455
2014-10-23 61.21 61.504 61.21 61.504 0 61.504
2014-10-24 61.35 61.45 61.079 61.079 0 61.079
2014-10-27 60.837 61.033 60.585 60.585 0 60.585
