"Index" "USD.HUF"
2013-08-31 227.778
2013-09-01 227.7955
2013-09-02 227.567
2013-09-03 228.546
2013-09-04 228.9385
2013-09-05 229.0235
2013-09-06 229.0235
2013-09-07 227.603
2013-09-08 228.1795
2013-09-09 227.3715
2013-09-10 226.1705
2013-09-11 225.5535
2013-09-12 225.865
2013-09-13 226.303
2013-09-14 226.083
2013-09-15 225.351
2013-09-16 224.1015
2013-09-17 223.6955
2013-09-18 222.3795
2013-09-19 218.7645
2013-09-20 220.192
2013-09-21 221.001
2013-09-22 220.772
2013-09-23 220.9905
2013-09-24 221.7705
2013-09-25 222.0455
2013-09-26 221.867
2013-09-27 221.5725
2013-09-28 221.006
2013-09-29 220.8875
2013-09-30 220.719
2013-10-01 219.216
2013-10-02 218.8485
2013-10-03 217.835
2013-10-04 218.0805
2013-10-05 218.814
2013-10-06 218.7105
2013-10-07 218.3065
2013-10-08 217.608
2013-10-09 218.509
2013-10-10 218.6915
2013-10-11 217.603
2013-10-12 217.7725
2013-10-13 217.774
2013-10-14 217.845
2013-10-15 218.6615
2013-10-16 218.6625
2013-10-17 216.6885
2013-10-18 215.0295
2013-10-19 214.842
2013-10-20 214.8455
2013-10-21 214.838
2013-10-22 214.0505
2013-10-23 212.229
2013-10-24 212.0875
2013-10-25 211.9045
2013-10-26 211.7255
2013-10-27 211.885
2013-10-28 211.913
2013-10-29 212.868
2013-10-30 213.763
2013-10-31 215.394
2013-11-01 218.8615
2013-11-02 220.778
2013-11-03 220.756
2013-11-04 219.635
2013-11-05 219.831
2013-11-06 219.9055
2013-11-07 220.208
2013-11-08 221.502
2013-11-09 221.604
2013-11-10 221.9805
2013-11-11 222.185
2013-11-12 222.776
2013-11-13 222.4625
2013-11-14 221.5865
2013-11-15 221.428
2013-11-16 220.969
2013-11-17 221.071
2013-11-18 220.3365
2013-11-19 219.8145
2013-11-20 219.832
2013-11-21 221.4455
2013-11-22 220.7505
2013-11-23 220.249
2013-11-24 220.1895
