"Index" "R6.Open" "R6.High" "R6.Low" "R6.Close" "R6.Volume" "R6.Adjusted"
2013-03-12 403.99 403.99 403.99 403.99 0 403.99
2013-03-13 398.08 398.08 398.08 398.08 0 398.08
2013-03-14 398.85 398.85 398.85 398.85 0 398.85
2013-03-15 392.67 392.67 392.67 392.67 0 392.67
2013-03-18 392.67 392.67 392.67 392.67 0 392.67
2013-03-19 387.48 387.48 387.48 387.48 0 387.48
2013-03-20 391.19 391.19 391.19 391.19 0 391.19
2013-03-21 391.6 391.6 391.6 391.6 0 391.6
2013-03-22 392.8 392.8 392.8 392.8 0 392.8
2013-03-25 394.71 394.71 394.71 394.71 0 394.71
2013-03-26 401.44 401.44 401.44 401.44 0 401.44
2013-03-27 405.18 405.18 405.18 405.18 0 405.18
2013-03-28 405.18 405.18 405.18 405.18 0 405.18
2013-03-29 405.18 405.18 405.18 405.18 0 405.18
2013-04-01 404.14 404.14 404.14 404.14 0 404.14
2013-04-02 406.24 406.24 406.24 406.24 0 406.24
2013-04-03 402.74 402.74 402.74 402.74 0 402.74
2013-04-04 401.39 401.39 401.39 401.39 0 401.39
