"Index" "PM.Open" "PM.High" "PM.Low" "PM.Close" "PM.Volume" "PM.Adjusted"
2013-01-02 84.699997 86.769997 84.330002 86.739998 6499100 76.612989
2013-01-03 86.940002 87.32 85.400002 85.860001 5817000 75.835733
2013-01-04 86 86.650002 85.870003 86.519997 4205800 76.418673
2013-01-07 86.169998 86.699997 85.910004 86.25 3980800 76.180199
2013-01-08 86.220001 86.559998 85.970001 86.089996 4426100 76.038876
2013-01-09 86.349998 86.660004 85.510002 85.830002 4776300 75.809236
2013-01-10 86.379997 87.290001 86.32 87.290001 5312800 77.098779
2013-01-11 88.529999 89.830002 88.529999 89.230003 8106000 78.812283
2013-01-14 89.339996 89.660004 88.769997 89.07 4521100 78.67096
2013-01-15 88.650002 89.309998 88.550003 88.919998 4439700 78.538472
2013-01-16 88.440002 88.779999 87.900002 88.339996 3400400 78.026186
2013-01-17 88.660004 89.389999 88.470001 89.139999 4568300 78.732787
2013-01-18 89.410004 89.980003 88.900002 89.980003 5443600 79.47472
2013-01-22 89.93 90.290001 89.25 90.029999 5937000 79.518878
2013-01-23 89.730003 90 88.540001 88.839996 4865200 78.46781
2013-01-24 89.120003 90 88.760002 89.760002 4403600 79.280404
2013-01-25 89.830002 90 89 89.419998 4499700 78.980096
2013-01-28 89.309998 89.400002 88.879997 89 4549700 78.609133
2013-01-29 88.639999 89.559998 88.550003 88.910004 4972700 78.529644
2013-01-30 88.440002 88.669998 87.400002 87.650002 6468300 77.416749
2013-01-31 87.809998 89.019997 87.650002 88.160004 5045200 77.867207
2013-02-01 88.919998 88.970001 87.660004 88.129997 5420400 77.840704
2013-02-04 87.529999 88.050003 86.800003 87.330002 5808700 77.134109
2013-02-05 87.43 88.139999 87.309998 87.959999 4546200 77.690554
2013-02-06 87.75 87.919998 87.360001 87.690002 3920500 77.45208
2013-02-07 87.150002 90 86.849998 89.82 7478500 79.333397
2013-02-08 89.639999 90.849998 89.639999 90.449997 4366500 79.889841
2013-02-11 90.400002 90.82 90.239998 90.349998 3283400 79.801518
2013-02-12 90.629997 90.730003 90.010002 90.139999 3638500 79.616036
2013-02-13 90.43 91.470001 90.43 90.989998 3852800 80.366796
2013-02-14 90.860001 90.989998 89.849998 90.010002 5268700 79.501216
2013-02-15 90.059998 91 89.400002 89.989998 5235600 79.483547
2013-02-19 90.370003 91.400002 90.089996 91.309998 4428500 80.649435
2013-02-20 91.279999 92.790001 90.75 92.089996 4866700 81.338368
2013-02-21 91.610001 93.610001 91.349998 93.129997 5990900 82.256948
2013-02-22 93.220001 93.480003 92.629997 93.419998 4070600 82.513091
2013-02-25 93.279999 93.57 91.550003 91.559998 6398900 80.870248
2013-02-26 92.029999 92.589996 91.160004 91.599998 5150100 80.905578
2013-02-27 91.360001 91.82 90.730003 91.43 4801300 80.755428
2013-02-28 91.68 92.25 91.379997 91.75 6038900 81.038067
2013-03-01 91.690002 92.669998 91.139999 91.440002 4554100 80.764262
2013-03-04 91.480003 92.57 91.470001 92.360001 4116200 81.576849
2013-03-05 92.5 92.919998 91.919998 92.279999 4552800 81.506188
2013-03-06 92.339996 92.629997 91.410004 91.599998 4083800 80.905578
2013-03-07 91.400002 91.959999 91.400002 91.809998 3178600 81.09106
2013-03-08 91.870003 91.919998 90.910004 91.110001 3946700 80.472788
2013-03-11 90.900002 91.550003 90.82 91.209999 3249400 80.561112
2013-03-12 91.379997 91.419998 90.300003 90.889999 4420000 80.278473
2013-03-13 90.839996 90.900002 90.040001 90.550003 4122500 79.978171
2013-03-14 90.93 91.599998 90.830002 91.309998 5079000 80.649435
2013-03-15 90.980003 91.629997 90.239998 91.370003 9899400 80.702435
2013-03-18 90.540001 90.93 90.25 90.360001 4503000 79.810352
2013-03-19 90.589996 91.220001 90.290001 90.809998 3717900 80.207811
2013-03-20 91 91.709999 90.989998 91.419998 4184500 80.746593
2013-03-21 91.120003 91.540001 90.879997 91.050003 4008600 80.419796
2013-03-22 91 91.970001 90.849998 91.620003 13665900 80.923247
2013-03-25 91.989998 92.629997 91.779999 91.989998 14448600 81.250045
