"Index" "USD.INR"
2013-08-28 67.8787
2013-08-29 67.5527
2013-08-30 67.0462
2013-08-31 66.767
2013-09-01 66.767
2013-09-02 66.5317
2013-09-03 67.7187
2013-09-04 67.4744
2013-09-05 66.3278
2013-09-06 65.5295
2013-09-07 64.719
2013-09-08 64.719
2013-09-09 64.7007
2013-09-10 64.0505
2013-09-11 63.6032
2013-09-12 63.4746
2013-09-13 63.5776
2013-09-14 63.303
2013-09-15 63.303
2013-09-16 62.872
2013-09-17 63.174
2013-09-18 63.0377
2013-09-19 61.5694
2013-09-20 62.0453
2013-09-21 62.424
2013-09-22 62.424
2013-09-23 62.4669
2013-09-24 62.6003
2013-09-25 62.4595
2013-09-26 61.8906
2013-09-27 62.1277
2013-09-28 62.852
2013-09-29 62.852
2013-09-30 62.6648
2013-10-01 62.3543
2013-10-02 62.3392
2013-10-03 61.7239
2013-10-04 61.2896
2013-10-05 61.161
2013-10-06 61.161
2013-10-07 61.3963
2013-10-08 61.519
2013-10-09 61.6477
2013-10-10 61.3489
2013-10-11 60.7492
2013-10-12 60.6495
2013-10-13 60.6495
2013-10-14 60.8982
2013-10-15 61.2103
2013-10-16 61.341
2013-10-17 60.9157
2013-10-18 60.8221
2013-10-19 60.932
2013-10-20 60.932
2013-10-21 61.1736
2013-10-22 61.2235
2013-10-23 61.1559
2013-10-24 61.194
2013-10-25 61.199
2013-10-26 61.1375
2013-10-27 61.1375
2013-10-28 61.2171
2013-10-29 61.2353
2013-10-30 61.0697
2013-10-31 61.2417
2013-11-01 61.8698
2013-11-02 61.968
2013-11-03 61.968
2013-11-04 61.913
2013-11-05 61.796
2013-11-06 62.1371
2013-11-07 62.4762
2013-11-08 62.829
2013-11-09 63.221
2013-11-10 63.221
2013-11-11 63.4079
2013-11-12 63.7763
2013-11-13 63.6292
2013-11-14 63.1881
2013-11-15 63.0162
2013-11-16 62.674
2013-11-17 62.674
2013-11-18 62.4808
2013-11-19 62.1122
2013-11-20 62.3125
2013-11-21 62.7426
2013-11-22 62.7542
2013-11-23 62.383
2013-11-24 62.383
2013-11-25 62.323
2013-11-26 62.215
2013-11-27 62.2558
2013-11-28 62.2898
2013-11-29 62.2324
2013-11-30 62.256
2013-12-01 62.256
2013-12-02 62.1134
2013-12-03 62.2013
2013-12-04 62.0779
2013-12-05 61.5343
2013-12-06 61.3342
2013-12-07 60.996
2013-12-08 60.996
2013-12-09 60.8611
2013-12-10 60.9196
2013-12-11 61.1743
2013-12-12 61.706
2013-12-13 62.0425
2013-12-14 62.1
2013-12-15 62.1
2013-12-16 61.8607
2013-12-17 61.6436
2013-12-18 61.6876
2013-12-19 62.0853
2013-12-20 62.0779
2013-12-21 61.945
2013-12-22 61.945
2013-12-23 61.802
2013-12-24 61.6771
2013-12-25 61.653
2013-12-26 61.8167
2013-12-27 61.8442
2013-12-28 61.853
2013-12-29 61.853
2013-12-30 61.8488
2013-12-31 61.7071
2014-01-01 61.687
2014-01-02 61.9183
2014-01-03 62.2232
2014-01-04 62.1675
2014-01-05 62.1675
2014-01-06 62.2358
2014-01-07 62.2071
2014-01-08 62.0176
2014-01-09 61.9233
2014-01-10 61.5683
2014-01-11 61.2065
2014-01-12 61.2065
2014-01-13 61.1952
2014-01-14 61.2516
2014-01-15 61.3274
2014-01-16 61.2949
2014-01-17 61.2688
2014-01-18 61.429
2014-01-19 61.429
2014-01-20 61.3941
2014-01-21 61.539
2014-01-22 61.7247
2014-01-23 61.7898
2014-01-24 62.273
2014-01-25 62.658
2014-01-26 62.658
2014-01-27 62.9484
2014-01-28 62.8762
2014-01-29 62.5107
2014-01-30 62.6796
2014-01-31 62.534
2014-02-01 62.482
2014-02-02 62.482
2014-02-03 62.6214
2014-02-04 62.5657
2014-02-05 62.3444
2014-02-06 62.2381
2014-02-07 62.0886
2014-02-08 61.945
2014-02-09 61.945
2014-02-10 62.1243
2014-02-11 62.1269
2014-02-12 61.8807
2014-02-13 61.9927
2014-02-14 61.9058
2014-02-15 61.6725
2014-02-16 61.6725
2014-02-17 61.7207
2014-02-18 61.9024
2014-02-19 62.0871
2014-02-20 62.1565
2014-02-21 61.9377
2014-02-22 61.852
2014-02-23 61.852
2014-02-24 61.8765
2014-02-25 61.7713
2014-02-26 61.8607
2014-02-27 61.9742
2014-02-28 61.8697
2014-03-01 61.824
2014-03-02 61.824
2014-03-03 61.9369
2014-03-04 61.9388
2014-03-05 61.6509
2014-03-06 61.1038
2014-03-07 60.9659
2014-03-08 61.132
2014-03-09 61.132
2014-03-10 61.0614
2014-03-11 60.8598
2014-03-12 61.0781
2014-03-13 61.0584
2014-03-14 61.3757
2014-03-15 61.331
2014-03-16 61.331
2014-03-17 61.2162
2014-03-18 61.13
2014-03-19 61.1192
2014-03-20 61.3191
2014-03-21 61.0904
2014-03-22 61.0095
2014-03-23 61.0095
2014-03-24 60.8135
2014-03-25 60.4962
2014-03-26 60.1765
2014-03-27 60.1565
2014-03-28 59.9416
2014-03-29 59.8105
2014-03-30 59.8105
2014-03-31 59.9356
2014-04-01 59.923
2014-04-02 59.7823
2014-04-03 60.1438
2014-04-04 60.18
2014-04-05 59.899
2014-04-06 59.899
2014-04-07 60.1558
2014-04-08 60.243
2014-04-09 60.1663
2014-04-10 60.2272
2014-04-11 60.4156
2014-04-12 60.452
2014-04-13 60.452
2014-04-14 60.5142
2014-04-15 60.4375
2014-04-16 60.3379
2014-04-17 60.3448
2014-04-18 60.3058
2014-04-19 60.279
2014-04-20 60.279
2014-04-21 60.4432
2014-04-22 60.7231
2014-04-23 61.0597
2014-04-24 61.1277
2014-04-25 60.9248
2014-04-26 60.736
2014-04-27 60.736
2014-04-28 60.698
2014-04-29 60.4607
2014-04-30 60.2562
2014-05-01 60.1512
2014-05-02 60.1036
2014-05-03 60.004
2014-05-04 60.004
2014-05-05 60.069
2014-05-06 60.0471
2014-05-07 59.9425
2014-05-08 59.8494
2014-05-09 59.8423
2014-05-10 59.756
2014-05-11 59.756
2014-05-12 59.6128
2014-05-13 59.51
2014-05-14 59.3447
2014-05-15 59.3218
2014-05-16 58.8525
2014-05-17 58.4605
2014-05-18 58.4605
2014-05-19 58.4078
2014-05-20 58.5359
2014-05-21 58.6496
2014-05-22 58.3693
2014-05-23 58.2918
2014-05-24 58.303
2014-05-25 58.303
2014-05-26 58.4826
2014-05-27 58.7391
2014-05-28 58.8472
2014-05-29 58.7938
2014-05-30 58.9841
2014-05-31 59.2285
2014-06-01 59.2285
2014-06-02 59.1487
2014-06-03 59.2095
2014-06-04 59.26
2014-06-05 59.1072
2014-06-06 58.9477
2014-06-07 58.852
2014-06-08 58.852
2014-06-09 58.991
2014-06-10 59.1655
2014-06-11 59.2444
2014-06-12 59.2287
2014-06-13 59.5141
2014-06-14 59.663
2014-06-15 59.663
2014-06-16 60.0195
2014-06-17 60.2404
2014-06-18 60.216
2014-06-19 59.9624
2014-06-20 60.182
2014-06-21 60.1235
2014-06-22 60.1235
2014-06-23 60.1727
2014-06-24 60.1321
2014-06-25 60.1993
2014-06-26 60.1491
2014-06-27 60.0849
2014-06-28 59.9935
