"Index" "USD.THB"
2013-08-26 31.9355
2013-08-27 32.1363
2013-08-28 32.221
2013-08-29 32.1698
2013-08-30 32.1289
2013-08-31 32.1565
2013-09-01 32.1565
2013-09-02 32.083
2013-09-03 32.0965
2013-09-04 32.1925
2013-09-05 32.2604
2013-09-06 32.3343
2013-09-07 32.239
2013-09-08 32.239
2013-09-09 32.2071
2013-09-10 32.1183
2013-09-11 32.0377
2013-09-12 31.739
2013-09-13 31.8283
2013-09-14 31.8445
2013-09-15 31.8445
2013-09-16 31.7082
2013-09-17 31.7563
2013-09-18 31.6398
2013-09-19 31.0472
2013-09-20 31.0308
2013-09-21 31.117
2013-09-22 31.117
2013-09-23 31.1567
2013-09-24 31.2881
2013-09-25 31.3244
2013-09-26 31.2236
2013-09-27 31.2679
2013-09-28 31.331
2013-09-29 31.331
2013-09-30 31.3217
2013-10-01 31.2028
2013-10-02 31.275
2013-10-03 31.2434
2013-10-04 31.2964
2013-10-05 31.299
2013-10-06 31.299
2013-10-07 31.3557
2013-10-08 31.368
2013-10-09 31.4228
2013-10-10 31.4187
2013-10-11 31.3117
2013-10-12 31.2865
2013-10-13 31.2865
2013-10-14 31.3141
2013-10-15 31.275
2013-10-16 31.2625
2013-10-17 31.0871
2013-10-18 31.0412
2013-10-19 31.0495
2013-10-20 31.0495
2013-10-21 31.1028
2013-10-22 31.1068
2013-10-23 31.1107
2013-10-24 31.1517
2013-10-25 31.096
2013-10-26 31.022
2013-10-27 31.022
2013-10-28 31.0608
2013-10-29 31.0583
2013-10-30 31.0673
2013-10-31 31.1172
2013-11-01 31.1997
2013-11-02 31.202
2013-11-03 31.202
2013-11-04 31.2666
2013-11-05 31.2781
2013-11-06 31.2747
2013-11-07 31.3048
2013-11-08 31.4021
2013-11-09 31.4691
2013-11-10 31.469
2013-11-11 31.6143
2013-11-12 31.6063
2013-11-13 31.5831
2013-11-14 31.5406
2013-11-15 31.5908
2013-11-16 31.5962
2013-11-17 31.596
2013-11-18 31.5819
2013-11-19 31.5959
2013-11-20 31.6644
2013-11-21 31.7929
2013-11-22 31.8237
2013-11-23 31.8175
2013-11-24 31.8175
2013-11-25 31.9608
2013-11-26 32.0476
2013-11-27 32.1043
2013-11-28 32.1331
2013-11-29 32.0911
2013-11-30 32.0598
2013-12-01 32.06
2013-12-02 32.1747
2013-12-03 32.189
2013-12-04 32.2156
2013-12-05 32.2369
2013-12-06 32.276
2013-12-07 32.1205
2013-12-08 32.12
2013-12-09 32.1595
2013-12-10 32.092
2013-12-11 32.0505
2013-12-12 32.104
2013-12-13 32.072
2013-12-14 32.054
2013-12-15 32.054
2013-12-16 32.0313
2013-12-17 32.0756
2013-12-18 32.2345
2013-12-19 32.4197
2013-12-20 32.5711
2013-12-21 32.611
2013-12-22 32.611
2013-12-23 32.6834
2013-12-24 32.7242
2013-12-25 32.7095
2013-12-26 32.8225
2013-12-27 32.8457
2013-12-28 32.831
2013-12-29 32.831
2013-12-30 32.8637
2013-12-31 32.7765
2014-01-01 32.7185
2014-01-02 32.908
2014-01-03 32.9964
2014-01-04 33.0134
2014-01-05 33.0135
2014-01-06 33.0756
2014-01-07 33.0935
2014-01-08 33.0568
2014-01-09 33.0263
2014-01-10 33.0215
2014-01-11 33.0234
2014-01-12 33.0245
2014-01-13 33.0031
2014-01-14 32.8185
2014-01-15 32.8414
2014-01-16 32.8397
2014-01-17 32.8028
2014-01-18 32.806
2014-01-19 32.806
2014-01-20 32.8496
2014-01-21 32.8595
2014-01-22 32.8973
2014-01-23 32.9142
2014-01-24 32.8687
2014-01-25 32.8501
2014-01-26 32.85
2014-01-27 32.9045
2014-01-28 32.9065
2014-01-29 32.9101
2014-01-30 32.9809
2014-01-31 33.014
2014-02-01 33.0286
2014-02-02 33.0285
2014-02-03 32.9421
2014-02-04 32.8232
2014-02-05 32.7648
2014-02-06 32.7982
2014-02-07 32.8071
2014-02-08 32.7913
2014-02-09 32.791
2014-02-10 32.8012
2014-02-11 32.7747
2014-02-12 32.612
2014-02-13 32.5707
2014-02-14 32.426
2014-02-15 32.3418
2014-02-16 32.3425
2014-02-17 32.2947
2014-02-18 32.4193
2014-02-19 32.5571
2014-02-20 32.5968
2014-02-21 32.5491
2014-02-22 32.5305
2014-02-23 32.5305
2014-02-24 32.5694
2014-02-25 32.551
2014-02-26 32.561
2014-02-27 32.5987
2014-02-28 32.603
2014-03-01 32.5641
2014-03-02 32.565
2014-03-03 32.5583
2014-03-04 32.4579
2014-03-05 32.3329
2014-03-06 32.2911
2014-03-07 32.2898
2014-03-08 32.3059
2014-03-09 32.3045
2014-03-10 32.3846
2014-03-11 32.323
2014-03-12 32.4045
2014-03-13 32.3527
2014-03-14 32.3108
2014-03-15 32.28
2014-03-16 32.28
2014-03-17 32.2495
2014-03-18 32.1514
2014-03-19 32.1536
2014-03-20 32.3694
2014-03-21 32.3881
2014-03-22 32.385
2014-03-23 32.385
2014-03-24 32.4477
2014-03-25 32.5366
2014-03-26 32.5836
2014-03-27 32.5503
2014-03-28 32.5047
2014-03-29 32.5005
2014-03-30 32.5005
2014-03-31 32.4408
2014-04-01 32.3747
2014-04-02 32.3986
2014-04-03 32.4749
2014-04-04 32.5097
2014-04-05 32.465
2014-04-06 32.465
2014-04-07 32.4799
2014-04-08 32.3579
2014-04-09 32.2361
2014-04-10 32.2267
2014-04-11 32.2945
2014-04-12 32.2925
2014-04-13 32.2925
2014-04-14 32.2882
2014-04-15 32.2997
2014-04-16 32.2703
2014-04-17 32.2027
2014-04-18 32.1876
2014-04-19 32.19
2014-04-20 32.19
2014-04-21 32.2303
2014-04-22 32.3046
2014-04-23 32.3557
2014-04-24 32.3537
2014-04-25 32.3113
2014-04-26 32.25
2014-04-27 32.25
2014-04-28 32.2496
2014-04-29 32.2692
2014-04-30 32.3315
2014-05-01 32.3662
2014-05-02 32.3831
2014-05-03 32.4005
2014-05-04 32.4005
2014-05-05 32.351
2014-05-06 32.358
2014-05-07 32.3766
2014-05-08 32.4649
2014-05-09 32.5799
2014-05-10 32.626
2014-05-11 32.626
2014-05-12 32.6221
2014-05-13 32.614
2014-05-14 32.4752
2014-05-15 32.4609
2014-05-16 32.5014
2014-05-17 32.509
2014-05-18 32.509
2014-05-19 32.4806
2014-05-20 32.537
2014-05-21 32.501
2014-05-22 32.4897
2014-05-23 32.5598
2014-05-24 32.545
2014-05-25 32.545
2014-05-26 32.5782
2014-05-27 32.6085
2014-05-28 32.672
2014-05-29 32.7593
2014-05-30 32.8201
2014-05-31 32.8315
2014-06-01 32.8315
2014-06-02 32.8646
2014-06-03 32.6975
2014-06-04 32.6669
2014-06-05 32.6623
2014-06-06 32.5512
2014-06-07 32.48
2014-06-08 32.48
2014-06-09 32.4484
2014-06-10 32.4739
2014-06-11 32.4853
2014-06-12 32.4639
2014-06-13 32.404
2014-06-14 32.3785
2014-06-15 32.3785
2014-06-16 32.3687
2014-06-17 32.4472
2014-06-18 32.489
2014-06-19 32.4415
2014-06-20 32.4642
2014-06-21 32.4615
2014-06-22 32.4615
2014-06-23 32.4536
2014-06-24 32.4447
2014-06-25 32.46
2014-06-26 32.4697
2014-06-27 32.4685
2014-06-28 32.455
2014-06-29 32.455
2014-06-30 32.4487
2014-07-01 32.4058
2014-07-02 32.3813
2014-07-03 32.3983
2014-07-04 32.3894
2014-07-05 32.365
2014-07-06 32.3735
2014-07-07 32.3998
2014-07-08 32.3931
2014-07-09 32.2784
2014-07-10 32.1829
2014-07-11 32.1758
2014-07-12 32.1405
2014-07-13 32.1405
2014-07-14 32.1391
2014-07-15 32.1483
2014-07-16 32.1311
2014-07-17 32.1516
2014-07-18 32.1636
2014-07-19 32.1314
2014-07-20 32.1365
2014-07-21 31.989
2014-07-22 31.8225
2014-07-23 31.784
2014-07-24 31.8289
2014-07-25 31.8477
2014-07-26 31.843
2014-07-27 31.843
2014-07-28 31.8127
2014-07-29 31.8207
2014-07-30 31.9016
2014-07-31 32.0739
2014-08-01 32.2022
2014-08-02 32.1435
2014-08-03 32.1435
2014-08-04 32.1585
2014-08-05 32.1568
2014-08-06 32.2023
2014-08-07 32.2424
2014-08-08 32.1877
2014-08-09 32.1265
2014-08-10 32.1355
2014-08-11 32.109
2014-08-12 32.0861
2014-08-13 31.9949
2014-08-14 31.8795
2014-08-15 31.8718
2014-08-16 31.873
2014-08-17 31.873
2014-08-18 31.841
2014-08-19 31.8638
2014-08-20 31.9449
2014-08-21 32.0075
2014-08-22 31.9397
2014-08-23 31.9405
2014-08-24 31.9405
2014-08-25 31.9867
2014-08-26 31.9351
2014-08-27 31.9117
2014-08-28 31.9218
2014-08-29 31.9457
2014-08-30 32.0689
2014-08-31 31.945
2014-09-01 31.967
2014-09-02 32.0707
2014-09-03 32.0726
2014-09-04 32.0332
2014-09-05 32.0597
2014-09-06 31.993
2014-09-07 31.993
2014-09-08 32.0221
2014-09-09 32.0975
2014-09-10 32.1531
2014-09-11 32.1732
2014-09-12 32.2138
2014-09-13 32.2485
2014-09-14 32.2485
2014-09-15 32.273
2014-09-16 32.2481
2014-09-17 32.2332
2014-09-18 32.2901
2014-09-19 32.2236
2014-09-20 32.196
2014-09-21 32.196
2014-09-22 32.2196
2014-09-23 32.2396
2014-09-24 32.2331
2014-09-25 32.2698
2014-09-26 32.3138
2014-09-27 32.343
2014-09-28 32.343
2014-09-29 32.371
2014-09-30 32.4028
2014-10-01 32.4484
2014-10-02 32.4174
2014-10-03 32.5261
2014-10-04 32.6445
2014-10-05 32.6445
2014-10-06 32.6304
2014-10-07 32.5951
2014-10-08 32.6107
2014-10-09 32.4458
2014-10-10 32.4425
2014-10-11 32.468
2014-10-12 32.468
2014-10-13 32.4277
2014-10-14 32.4648
2014-10-15 32.4896
2014-10-16 32.442
2014-10-17 32.4119
2014-10-18 32.43
2014-10-19 32.43
2014-10-20 32.3266
2014-10-21 32.2604
2014-10-22 32.3144
2014-10-23 32.348
2014-10-24 32.4055
2014-10-25 32.406
2014-10-26 32.406
2014-10-27 32.4243
2014-10-28 32.4388
2014-10-29 32.4726
2014-10-30 32.5541
2014-10-31 32.5605
2014-11-01 32.6055
2014-11-02 32.6055
2014-11-03 32.6419
2014-11-04 32.6799
2014-11-05 32.7714
2014-11-06 32.8188
2014-11-07 32.8534
2014-11-08 32.7732
2014-11-09 32.7735
2014-11-10 32.7893
2014-11-11 32.8491
2014-11-12 32.8466
2014-11-13 32.8176
2014-11-14 32.8376
2014-11-15 32.7968
2014-11-16 32.7965
2014-11-17 32.7904
2014-11-18 32.7714
2014-11-19 32.8085
2014-11-20 32.8287
2014-11-21 32.7773
2014-11-22 32.7669
2014-11-23 32.767
2014-11-24 32.8064
2014-11-25 32.8125
2014-11-26 32.781
2014-11-27 32.7705
2014-11-28 32.8273
2014-11-29 32.8529
2014-11-30 32.8525
2014-12-01 32.8608
2014-12-02 32.8201
2014-12-03 32.8672
2014-12-04 32.8948
2014-12-05 32.9452
2014-12-06 33.0337
2014-12-07 33.034
2014-12-08 33.0494
2014-12-09 32.9395
2014-12-10 32.8281
2014-12-11 32.8195
2014-12-12 32.8038
2014-12-13 32.8289
2014-12-14 32.829
2014-12-15 32.8976
2014-12-16 32.9723
2014-12-17 32.9702
2014-12-18 32.9014
2014-12-19 32.8601
2014-12-20 32.866
2014-12-21 32.866
2014-12-22 32.8753
2014-12-23 32.9076
2014-12-24 32.8894
2014-12-25 32.872
2014-12-26 32.9125
2014-12-27 32.9108
2014-12-28 32.911
2014-12-29 32.9463
2014-12-30 32.9204
2014-12-31 32.886
2015-01-01 32.8855
