"Index" "XAU.USD"
2013-08-21 1368.14
2013-08-22 1367.925
2013-08-23 1381.575
2013-08-24 1397.78
2013-08-25 1397.78
2013-08-26 1396.38
2013-08-27 1409.185
2013-08-28 1420.71
2013-08-29 1410.7
2013-08-30 1401.005
2013-08-31 1395.29
2013-09-01 1395.29
2013-09-02 1390.78
2013-09-03 1397.735
2013-09-04 1403.045
2013-09-05 1385.375
2013-09-06 1376.11
2013-09-07 1391.87
2013-09-08 1391.87
2013-09-09 1387.825
2013-09-10 1374.095
2013-09-11 1364.155
2013-09-12 1345.695
2013-09-13 1318.855
2013-09-14 1326.31
2013-09-15 1326.31
2013-09-16 1321.755
2013-09-17 1314.005
2013-09-18 1308.39
2013-09-19 1365.57
2013-09-20 1353.19
2013-09-21 1326
2013-09-22 1326
2013-09-23 1324.37
2013-09-24 1321.13
2013-09-25 1326.68
2013-09-26 1330.88
2013-09-27 1329.835
2013-09-28 1336.75
2013-09-29 1336.75
2013-09-30 1335.645
2013-10-01 1315.47
2013-10-02 1298.77
2013-10-03 1313.32
2013-10-04 1314.565
2013-10-05 1310.91
2013-10-06 1310.91
2013-10-07 1316.705
2013-10-08 1323.62
2013-10-09 1312.375
2013-10-10 1301.385
2013-10-11 1281.91
2013-10-12 1272.13
2013-10-13 1272.13
2013-10-14 1276.35
2013-10-15 1270.41
2013-10-16 1279.58
2013-10-17 1300.445
2013-10-18 1317.51
2013-10-19 1315.76
2013-10-20 1315.76
2013-10-21 1317.33
2013-10-22 1323.165
2013-10-23 1335.91
2013-10-24 1339.905
2013-10-25 1345.61
2013-10-26 1350.775
2013-10-27 1350.775
2013-10-28 1352.05
2013-10-29 1349.75
2013-10-30 1347.33
2013-10-31 1333.04
2013-11-01 1319.21
2013-11-02 1316.205
2013-11-03 1316.205
2013-11-04 1315.66
2013-11-05 1313.595
2013-11-06 1315.265
2013-11-07 1314.195
2013-11-08 1302.23
2013-11-09 1288.715
2013-11-10 1288.725
2013-11-11 1285.01
2013-11-12 1279.02
2013-11-13 1272.42
2013-11-14 1284.74
2013-11-15 1286.945
2013-11-16 1290.395
2013-11-17 1290.445
2013-11-18 1283.595
2013-11-19 1274.57
2013-11-20 1268.235
