"Index" "USD.EGP"
2013-09-24 6.8929
2013-09-25 6.8917
2013-09-26 6.8916
2013-09-27 6.8917
2013-09-28 6.891
2013-09-29 6.8845
2013-09-30 6.8931
2013-10-01 6.8914
2013-10-02 6.8916
2013-10-03 6.8909
2013-10-04 6.8914
2013-10-05 6.8896
2013-10-06 6.9094
2013-10-07 6.896
2013-10-08 6.8906
2013-10-09 6.8906
2013-10-10 6.8904
2013-10-11 6.8899
2013-10-12 6.8923
2013-10-13 6.8886
2013-10-14 6.8907
2013-10-15 6.8903
2013-10-16 6.8904
2013-10-17 6.8901
2013-10-18 6.8902
2013-10-19 6.891
2013-10-20 6.8974
2013-10-21 6.8939
2013-10-22 6.8899
2013-10-23 6.8895
2013-10-24 6.8895
2013-10-25 6.8897
2013-10-26 6.8882
2013-10-27 6.8864
2013-10-28 6.8882
2013-10-29 6.8899
2013-10-30 6.8891
2013-10-31 6.8888
2013-11-01 6.8882
2013-11-02 6.8924
2013-11-03 6.9012
2013-11-04 6.8935
2013-11-05 6.8893
2013-11-06 6.8892
2013-11-07 6.8889
2013-11-08 6.8886
2013-11-09 6.8885
2013-11-10 6.9165
2013-11-11 6.9005
2013-11-12 6.8887
2013-11-13 6.8888
2013-11-14 6.8889
2013-11-15 6.8882
2013-11-16 6.8893
2013-11-17 6.8642
2013-11-18 6.8825
2013-11-19 6.8882
2013-11-20 6.888
2013-11-21 6.8878
2013-11-22 6.8875
2013-11-23 6.8873
2013-11-24 6.891
2013-11-25 6.8889
2013-11-26 6.8873
2013-11-27 6.8872
2013-11-28 6.8866
2013-11-29 6.8838
2013-11-30 6.8815
2013-12-01 6.8821
2013-12-02 6.8875
2013-12-03 6.8872
2013-12-04 6.8872
2013-12-05 6.8872
2013-12-06 6.8871
2013-12-07 6.8855
2013-12-08 6.8696
2013-12-09 6.8799
2013-12-10 6.8869
2013-12-11 6.8868
2013-12-12 6.8873
2013-12-13 6.8867
2013-12-14 6.882
2013-12-15 6.8842
2013-12-16 6.8822
2013-12-17 6.8867
2013-12-18 6.8917
2013-12-19 6.9019
2013-12-20 6.9074
2013-12-21 6.9083
2013-12-22 6.8981
2013-12-23 6.9038
2013-12-24 6.9144
2013-12-25 6.9165
2013-12-26 6.9133
2013-12-27 6.921
2013-12-28 6.9363
2013-12-29 6.9359
2013-12-30 6.9526
2013-12-31 6.9456
2014-01-01 6.9554
2014-01-02 6.9527
2014-01-03 6.9583
2014-01-04 6.9576
2014-01-05 6.9573
2014-01-06 6.966
2014-01-07 6.9578
2014-01-08 6.9583
2014-01-09 6.9601
2014-01-10 6.9627
2014-01-11 6.9579
2014-01-12 6.9573
2014-01-13 6.9465
2014-01-14 6.9609
2014-01-15 6.9666
2014-01-16 6.9614
2014-01-17 6.9621
2014-01-18 6.9604
2014-01-19 6.9781
2014-01-20 6.9756
2014-01-21 6.9624
2014-01-22 6.9617
2014-01-23 6.9618
2014-01-24 6.9621
2014-01-25 6.9625
2014-01-26 6.9836
2014-01-27 6.9687
2014-01-28 6.9615
2014-01-29 6.9621
2014-01-30 6.9625
2014-01-31 6.9624
2014-02-01 6.9757
2014-02-02 6.9666
2014-02-03 6.9717
2014-02-04 6.9613
2014-02-05 6.9618
2014-02-06 6.962
2014-02-07 6.9614
2014-02-08 6.9514
2014-02-09 6.9645
2014-02-10 6.9546
2014-02-11 6.9615
2014-02-12 6.9612
2014-02-13 6.9613
2014-02-14 6.9614
2014-02-15 6.9624
2014-02-16 6.9613
2014-02-17 6.9603
2014-02-18 6.9613
2014-02-19 6.9614
2014-02-20 6.9612
2014-02-21 6.9614
2014-02-22 6.9609
2014-02-23 6.9446
2014-02-24 6.9552
2014-02-25 6.9609
2014-02-26 6.9611
2014-02-27 6.9601
2014-02-28 6.9608
2014-03-01 6.964
2014-03-02 6.9587
2014-03-03 6.9634
2014-03-04 6.9606
2014-03-05 6.9608
2014-03-06 6.9604
2014-03-07 6.9601
2014-03-08 6.9569
2014-03-09 6.9663
2014-03-10 6.9651
2014-03-11 6.9604
2014-03-12 6.9603
2014-03-13 6.9607
2014-03-14 6.9604
2014-03-15 6.9606
2014-03-16 6.9463
2014-03-17 6.9557
2014-03-18 6.9603
2014-03-19 6.9601
2014-03-20 6.9596
2014-03-21 6.96
2014-03-22 6.96
2014-03-23 6.9598
2014-03-24 6.9601
2014-03-25 6.9603
2014-03-26 6.9613
2014-03-27 6.9652
2014-03-28 6.9678
2014-03-29 6.9672
2014-03-30 6.9574
2014-03-31 6.9637
2014-04-01 6.9676
2014-04-02 6.9698
2014-04-03 6.9733
2014-04-04 6.9726
2014-04-05 6.9681
2014-04-06 6.971
2014-04-07 6.9732
2014-04-08 6.9748
2014-04-09 6.9751
2014-04-10 6.9748
2014-04-11 6.9753
2014-04-12 6.9769
2014-04-13 6.9818
2014-04-14 6.9841
2014-04-15 6.9805
2014-04-16 6.9821
2014-04-17 6.9871
2014-04-18 7.0013
2014-04-19 6.991
2014-04-20 7.004
2014-04-21 7.0006
2014-04-22 6.9943
2014-04-23 6.9928
2014-04-24 6.9951
2014-04-25 6.9954
2014-04-26 6.9951
2014-04-27 6.9952
2014-04-28 6.998
2014-04-29 6.9999
2014-04-30 7.0034
2014-05-01 7.0017
2014-05-02 7.0076
2014-05-03 7.0063
2014-05-04 7.0051
2014-05-05 7.0104
2014-05-06 7.0149
2014-05-07 7.0218
2014-05-08 7.0368
2014-05-09 7.0453
2014-05-10 7.0445
2014-05-11 7.0452
2014-05-12 7.0503
2014-05-13 7.0552
2014-05-14 7.0729
2014-05-15 7.1086
2014-05-16 7.1128
2014-05-17 7.1143
2014-05-18 7.1114
2014-05-19 7.1126
2014-05-20 7.117
2014-05-21 7.1235
2014-05-22 7.1286
2014-05-23 7.1331
2014-05-24 7.1321
2014-05-25 7.1305
2014-05-26 7.1402
2014-05-27 7.1452
2014-05-28 7.148
2014-05-29 7.1487
2014-05-30 7.1506
2014-05-31 7.1517
