"Index" "SEK.Open" "SEK.High" "SEK.Low" "SEK.Close" "SEK.Volume" "SEK.Adjusted"
2014-05-09 8.35 8.35 7.81 7.81 100 7.1
2014-05-12 7.81 7.81 7.8 7.8 100 7.09
2014-05-13 7.8 7.8 7.8 7.8 0 7.09
2014-05-14 8.2 8.2 7.64 7.79 300 7.08
2014-05-15 7.79 7.79 7.79 7.79 0 7.08
2014-05-16 7.79 7.79 7.79 7.79 0 7.08
2014-05-19 7.8 7.8 7.5 7.5 5000 6.82
2014-05-20 7.8 7.8 7.5 7.5 1100 6.82
2014-05-21 7.5 7.5 7.5 7.5 100 6.82
2014-05-22 7.79 7.79 7.79 7.79 0 7.08
2014-05-23 7.79 7.79 7.79 7.79 0 7.08
2014-05-26 7.75 7.75 7.5 7.5 500 6.82
2014-05-27 7.75 7.75 7.5 7.5 1600 6.82
2014-05-28 7.5 7.5 7.5 7.5 0 6.82
2014-05-29 7.79 7.8 7.79 7.8 200 7.09
2014-05-30 8.05 8.05 8 8.05 1700 7.32
2014-06-02 8.08 8.08 8.08 8.08 100 7.34
2014-06-03 8.08 8.08 8.06 8.08 100 7.34
2014-06-04 8.08 8.08 8.08 8.08 0 7.34
2014-06-05 8.08 8.08 8.08 8.08 0 7.34
2014-06-06 8.4 8.4 8.4 8.4 100 7.63
2014-06-09 8.4 8.4 8.4 8.4 0 7.63
2014-06-10 8.52 8.52 8.15 8.39 200 7.62
2014-06-11 8.4 8.4 8.2 8.37 100 7.61
2014-06-12 8.4 8.4 8.2 8.2 600 7.45
2014-06-13 8.35 8.35 8.1 8.1 100 7.36
2014-06-16 8.1 8.1 8.1 8.1 0 7.36
2014-06-17 8.1 8.1 8.1 8.1 0 7.36
2014-06-18 8.15 8.26 8.1 8.1 200 7.36
2014-06-19 8.1 8.1 8.1 8.1 0 7.36
2014-06-20 8.25 8.25 8 8 300 7.27
2014-06-23 7.6 7.89 7.6 7.79 600 7.08
2014-06-24 8 8 8 8 300 7.27
2014-06-25 8.2 8.2 8 8 0 7.27
2014-06-26 8.15 8.15 8 8 100 7.27
2014-06-27 8 8 8 8 0 7.57
2014-06-30 7.77 8 7.5 7.75 1000 7.34
2014-07-01 7.75 7.75 7.75 7.75 0 7.34
2014-07-02 7.5 7.5 7.07 7.5 1200 7.1
2014-07-03 7.5 7.5 7.5 7.5 0 7.1
2014-07-04 7.5 7.5 7.5 7.5 0 7.1
2014-07-07 7.7 7.7 7.5 7.5 200 7.1
2014-07-08 7.5 7.5 7.5 7.5 0 7.1
2014-07-09 7.5 7.5 7.22 7.22 3700 6.83
2014-07-10 7.51 7.51 7.48 7.5 1500 7.1
2014-07-11 7.5 7.5 7.5 7.5 500 7.1
2014-07-14 7.5 7.5 7.5 7.5 0 7.1
2014-07-15 7.5 7.5 7.3 7.3 700 6.91
2014-07-16 7.51 7.51 7.5 7.51 500 7.11
2014-07-17 7.51 7.51 7.3 7.5 300 7.1
2014-07-18 7.5 7.5 7.5 7.5 0 7.1
2014-07-21 7.5 7.5 7.5 7.5 300 7.1
2014-07-22 7.5 7.5 7.5 7.5 2800 7.1
2014-07-23 7.5 7.5 7.5 7.5 0 7.1
2014-07-24 7.5 7.5 7.5 7.5 0 7.1
2014-07-25 7.5 7.5 7.5 7.5 0 7.1
2014-07-28 7.5 7.5 7.5 7.5 0 7.1
2014-07-29 7.5 7.5 7.5 7.5 0 7.1
2014-07-30 7.85 7.85 7.5 7.5 500 7.1
2014-07-31 7.5 7.5 7.5 7.5 0 7.1
2014-08-01 7.5 7.5 7.5 7.5 0 7.1
2014-08-04 7.5 7.5 7 7.14 800 6.76
2014-08-05 7.3 7.3 7.3 7.3 200 6.91
2014-08-06 7.3 7.3 7.3 7.3 0 6.91
2014-08-07 7.3 7.3 7.3 7.3 0 6.91
2014-08-08 7.3 7.3 7.3 7.3 0 6.91
2014-08-11 7.3 7.3 7.3 7.3 0 6.91
2014-08-12 7.3 7.3 7.3 7.3 0 6.91
2014-08-13 7.3 7.3 7.3 7.3 0 6.91
2014-08-14 7.9 7.9 7.7 7.7 200 7.29
2014-08-15 7.7 7.7 7.7 7.7 0 7.29
2014-08-18 7.8 7.8 7.6 7.8 200 7.38
2014-08-19 7.8 7.8 7.52 7.52 200 7.12
2014-08-20 7.52 7.79 7.52 7.79 0 7.37
2014-08-21 7.79 7.79 7.5 7.5 600 7.1
2014-08-22 7.75 7.75 7.5 7.5 500 7.1
2014-08-25 7.5 7.5 7.5 7.5 0 7.1
2014-08-26 7.5 7.77 7.5 7.77 0 7.36
2014-08-27 7.8 7.8 7.5 7.5 1400 7.1
2014-08-28 7.5 7.5 7.5 7.5 0 7.1
2014-08-29 7.55 7.65 7.55 7.65 100 7.24
2014-09-01 7.66 7.75 7.66 7.75 100 7.34
2014-09-02 7.75 7.75 7.65 7.75 0 7.34
2014-09-03 7.75 7.75 7.6 7.74 800 7.33
2014-09-04 7.74 7.74 7.74 7.74 0 7.33
2014-09-05 7.7 7.7 7.5 7.5 5400 7.1
2014-09-08 7.68 7.7 7.5 7.7 100 7.29
2014-09-09 7.7 7.7 7.5 7.5 500 7.1
2014-09-10 7.7 7.7 7.5 7.5 600 7.1
2014-09-11 7.5 7.5 7.5 7.5 100 7.1
2014-09-12 7.58 7.58 7.5 7.5 500 7.1
2014-09-15 7.6 7.6 7.5 7.5 500 7.1
2014-09-16 7.52 7.65 7.52 7.65 0 7.24
2014-09-17 7.65 7.65 7.65 7.65 0 7.24
2014-09-18 7.65 7.65 7.65 7.65 0 7.24
2014-09-19 7.65 7.65 7.65 7.65 0 7.24
2014-09-22 7.9 7.9 7.75 7.75 0 7.34
2014-09-23 7.75 7.75 7.75 7.75 0 7.34
2014-09-24 7.75 7.75 7.75 7.75 0 7.34
2014-09-25 7.9 7.9 7.5 7.5 400 7.1
2014-09-26 7.7 7.7 7.2 7.5 200 7.1
2014-09-29 7.69 7.69 7.5 7.5 600 7.1
2014-09-30 7.67 7.67 7.5 7.5 0 7.1
2014-10-01 7.7 7.7 7.5 7.5 200 7.1
2014-10-02 7.89 7.89 7.35 7.5 400 7.1
2014-10-03 7.5 7.5 7.5 7.5 0 7.1
2014-10-06 7.5 7.5 7.5 7.5 0 7.1
2014-10-07 7.6 7.6 7.52 7.52 200 7.12
2014-10-08 7.6 7.6 7.2 7.29 300 6.9
2014-10-09 7.3 7.34 7.1 7.2 3200 6.82
2014-10-10 7.2 7.2 7.2 7.2 0 6.82
2014-10-13 7.3 7.44 7.2 7.21 500 6.83
2014-10-14 7.4 7.4 7.1 7.1 400 6.72
2014-10-15 7.05 7.1 7.05 7.1 300 6.72
2014-10-16 7.01 7.01 7 7 100 6.63
2014-10-17 7.2 7.2 7 7 0 6.63
2014-10-20 7.2 7.2 7 7 200 6.63
2014-10-21 7.15 7.15 7 7 200 6.63
2014-10-22 7 7 7 7 0 6.63
2014-10-23 7 7 7 7 0 6.63
2014-10-24 7.15 7.15 6.7 6.9 200 6.53
2014-10-27 6.9 6.9 6.9 6.9 0 6.53
2014-10-28 7.15 7.4 7.15 7.4 1000 7.01
2014-10-29 7.4 7.4 7.4 7.4 0 7.01
2014-10-30 7.4 7.4 7.4 7.4 0 7.01
