"Index" "MEO.Open" "MEO.High" "MEO.Low" "MEO.Close" "MEO.Volume" "MEO.Adjusted"
2013-01-01 0.005 0.005 0.005 0.005 0 0.005
2013-01-02 0.005 0.005 0.005 0.005 0 0.005
2013-01-03 0.005 0.005 0.005 0.005 0 0.005
2013-01-04 0.005 0.005 0.005 0.005 0 0.005
2013-01-07 0.005 0.005 0.005 0.005 0 0.005
2013-01-08 0.005 0.005 0.005 0.005 0 0.005
2013-01-09 0.005 0.005 0.005 0.005 0 0.005
2013-01-10 0.005 0.005 0.005 0.005 0 0.005
2013-01-11 0.005 0.005 0.005 0.005 0 0.005
2013-01-14 0.005 0.005 0.005 0.005 0 0.005
2013-01-15 0.005 0.005 0.005 0.005 0 0.005
2013-01-16 0.005 0.005 0.005 0.005 0 0.005
2013-01-17 0.005 0.005 0.005 0.005 0 0.005
2013-01-18 0.005 0.005 0.005 0.005 0 0.005
2013-01-21 0.005 0.005 0.005 0.005 0 0.005
2013-01-22 0.005 0.005 0.005 0.005 0 0.005
2013-01-23 0.005 0.005 0.005 0.005 0 0.005
2013-01-24 0.005 0.005 0.005 0.005 0 0.005
2013-01-25 0.005 0.005 0.005 0.005 0 0.005
2013-01-28 0.005 0.005 0.005 0.005 0 0.005
2013-01-29 0.005 0.005 0.005 0.005 0 0.005
2013-01-30 0.005 0.005 0.005 0.005 0 0.005
2013-01-31 0.005 0.005 0.005 0.005 0 0.005
2013-02-01 0.005 0.005 0.005 0.005 0 0.005
2013-02-04 0.005 0.005 0.005 0.005 0 0.005
2013-02-05 0.005 0.005 0.005 0.005 0 0.005
2013-02-06 0.005 0.005 0.005 0.005 0 0.005
2013-02-07 0.005 0.005 0.005 0.005 0 0.005
2013-02-08 0.005 0.005 0.005 0.005 0 0.005
2013-02-11 0.005 0.005 0.005 0.005 0 0.005
2013-02-12 0.005 0.005 0.005 0.005 0 0.005
2013-02-13 0.005 0.005 0.005 0.005 0 0.005
2013-02-14 0.005 0.005 0.005 0.005 0 0.005
2013-02-15 0.005 0.005 0.005 0.005 0 0.005
2013-02-18 0.005 0.005 0.005 0.005 0 0.005
2013-02-19 0.005 0.005 0.005 0.005 0 0.005
2013-02-20 0.005 0.005 0.005 0.005 0 0.005
2013-02-21 0.005 0.005 0.005 0.005 0 0.005
2013-02-22 0.005 0.005 0.005 0.005 0 0.005
2013-02-25 0.005 0.005 0.005 0.005 0 0.005
2013-02-26 0.005 0.005 0.005 0.005 0 0.005
2013-02-27 0.005 0.005 0.005 0.005 0 0.005
2013-02-28 0.005 0.005 0.005 0.005 0 0.005
2013-03-01 0.005 0.005 0.005 0.005 0 0.005
2013-03-04 0.005 0.005 0.005 0.005 0 0.005
2013-03-05 0.005 0.005 0.005 0.005 0 0.005
2013-03-06 0.005 0.005 0.005 0.005 0 0.005
2013-03-07 0.005 0.005 0.005 0.005 0 0.005
