"Index" "CNH.Open" "CNH.High" "CNH.Low" "CNH.Close" "CNH.Volume" "CNH.Adjusted"
2013-04-04 40.1 40.65 39.57 40.63 517100 37.8809
2013-04-05 39.83 40.73 39.77 40.61 220500 37.8623
2013-04-08 40.75 40.94 40.25 40.92 240600 38.1513
2013-04-09 40.88 41.365 40.47 41.06 288800 38.2818
2013-04-10 40.96 42.04 40.96 42 421700 39.1582
2013-04-11 42 42.28 41.78 42.23 285300 39.3727
2013-04-12 41.29 41.48 41.11 41.35 281400 38.5522
2013-04-15 40.71 40.91 40.15 40.17 534900 37.4521
2013-04-16 40.69 40.78 39.97 40.39 165400 37.6572
2013-04-17 39.73 39.88 38.61 39.07 804100 36.4265
2013-04-18 39.28 40.09 38.89 40.05 668200 37.3402
2013-04-19 40.71 41.5 40.68 41.44 326800 38.6361
2013-04-22 41.48 41.98 41.04 41.93 245800 39.093
2013-04-23 42.25 42.85 42.03 42.8 190300 39.9041
2013-04-24 42.55 42.84 42.22 42.56 285300 39.6803
2013-04-25 43.04 43.73 42.9645 43.72 497300 40.7619
2013-04-26 43.55 44.13 43.38 44.1 247000 41.1161
2013-04-29 43.9 45.74 43.86 45.37 710900 42.3002
2013-04-30 42.55 43.15 40.79 41.13 2163800 38.3471
2013-05-01 40.89 41.38 40.54 41.14 354000 38.3564
2013-05-02 41.23 41.67 41.008 41.51 369300 38.7014
2013-05-03 41.99 42.5 41.84 42.33 489800 39.4659
2013-05-06 41.98 42.42 41.77 42.32 297200 39.4566
2013-05-07 42.25 42.58 41.93 42.52 308700 39.6431
2013-05-08 42.38 42.82 42.23 42.79 374000 39.8948
2013-05-09 42.49 42.83 42.33 42.65 259400 39.951
2013-05-10 42.98 43.13 42.8 42.86 379900 40.1477
2013-05-13 42.71 42.7899 42.46 42.61 322500 39.9135
2013-05-14 42.65 43.56 42.45 43.46 345600 40.7097
2013-05-15 42.34 42.85 42.01 42.48 418800 39.7917
2013-05-16 42.35 43.04 42.255 42.72 192100 40.0166
2013-05-17 43.1 43.32 42.72 42.92 242000 40.2039
2013-05-20 43.25 44.1 43.25 44.08 268100 41.2905
2013-05-21 44.18 44.7 44.15 44.6 273400 41.7776
2013-05-22 44.95 45.39 43.87 43.88 639900 41.1031
2013-05-23 43.06 43.57 42.83 43.31 225600 40.5692
2013-05-24 43 43.12 42.59 42.75 181000 40.0447
2013-05-27 42.75 42.75 42.75 42.75 0 40.0447
2013-05-28 44.5 44.6399 43.36 43.46 358700 40.7097
2013-05-29 43.45 43.76 43.1 43.63 218700 40.869
2013-05-30 43.69 44.31 43.62 43.76 242200 40.9907
2013-05-31 43.6 43.85 43.33 43.35 184700 40.6067
2013-06-03 43.61 43.94 43.25 43.66 250400 40.8971
2013-06-04 43.65 43.886 42.84 43.1 148300 40.3725
2013-06-05 43.91 44.25 43.03 43.17 346200 40.4381
2013-06-06 44.51 44.68 43.87 44.26 456400 41.4591
2013-06-07 43.94 44.76 43.77 44.68 227300 41.8525
2013-06-10 44.12 44.66 43.78 44.57 369500 41.7495
2013-06-11 43.52 43.76 43.17 43.41 258400 40.6629
2013-06-12 43.6 43.6 42 42.1 332700 39.4358
2013-06-13 42.17 42.85 42.11 42.75 159700 40.0447
2013-06-14 42.47 43.07 41.96 42.12 338800 39.4545
2013-06-17 43.36 43.74 42.43 42.71 311100 40.0072
2013-06-18 42.96 43.58 42.96 43.39 241800 40.6442
2013-06-19 43.3 43.31 42.66 42.67 157600 39.9697
2013-06-20 41.88 41.88 40.79 41.7 308700 39.0611
2013-06-21 41.69 42.06 40.5 40.62 343400 38.0494
2013-06-24 40.18 41.28 40.18 40.39 261400 37.834
2013-06-25 41.3 41.5299 40.94 41.08 197100 38.4803
2013-06-26 41.46 41.935 41.34 41.72 225800 39.0798
2013-06-27 42.04 42.57 41.9 42.12 268800 39.4545
2013-06-28 41.88 42.03 41.36 41.66 293900 39.0236
2013-07-01 41.93 42.54 41.86 42.29 176000 39.6138
2013-07-02 42.15 42.32 41.92 42.24 175900 39.5669
2013-07-03 41.44 41.76 41.32 41.57 140800 38.9393
2013-07-04 41.57 41.57 41.57 41.57 0 38.9393
2013-07-05 41.61 41.96 41.025 41.79 232100 39.1454
2013-07-08 41.51 42.25 41.24 41.78 264400 39.136
