"Index" "RI.Open" "RI.High" "RI.Low" "RI.Close" "RI.Volume" "RI.Adjusted"
2014-11-03 48.65 48.65 48.65 48.65 0 47.01
2014-11-04 48.65 48.65 48.65 48.65 0 47.01
2014-11-05 48.65 48.65 48.65 48.65 0 47.01
2014-11-06 48.65 48.65 48.65 48.65 0 47.01
2014-11-07 48.65 48.65 48.65 48.65 0 47.01
2014-11-10 48.65 48.65 48.65 48.65 0 47.01
2014-11-11 48.65 48.65 48.65 48.65 0 47.01
2014-11-12 48.65 48.65 48.65 48.65 0 47.01
2014-11-13 48.65 48.65 48.65 48.65 0 47.82
2014-11-14 48.65 48.65 48.65 48.65 0 47.82
2014-11-17 48.65 48.65 48.65 48.65 0 47.82
2014-11-18 48.65 48.65 48.65 48.65 0 47.82
2014-11-19 48.65 48.65 48.65 48.65 0 47.82
2014-11-20 48.65 48.65 48.65 48.65 0 47.82
2014-11-21 48.65 48.65 48.65 48.65 0 47.82
2014-11-24 48.65 48.65 48.65 48.65 0 47.82
2014-11-25 48.65 48.65 48.65 48.65 0 47.82
2014-11-26 48.65 48.65 48.65 48.65 0 47.82
2014-11-27 48.65 48.65 48.65 48.65 0 47.82
2014-11-28 48.65 48.65 48.65 48.65 0 47.82
2014-12-01 48.65 48.65 48.65 48.65 0 47.82
2014-12-02 48.65 48.65 48.65 48.65 0 47.82
2014-12-03 48.65 48.65 48.65 48.65 0 47.82
2014-12-04 48.65 48.65 48.65 48.65 0 47.82
2014-12-05 48.65 48.65 48.65 48.65 0 47.82
2014-12-08 48.65 48.65 48.65 48.65 0 47.82
2014-12-09 48.65 48.65 48.65 48.65 0 47.82
2014-12-10 48.65 48.65 48.65 48.65 0 47.82
2014-12-11 48.65 48.65 48.65 48.65 0 47.82
2014-12-12 48.65 48.65 48.65 48.65 0 47.82
2014-12-15 48.65 48.65 48.65 48.65 0 47.82
2014-12-16 48.65 48.65 48.65 48.65 0 47.82
2014-12-17 48.65 48.65 48.65 48.65 0 47.82
2014-12-18 48.65 48.65 48.65 48.65 0 47.82
2014-12-19 48.65 48.65 48.65 48.65 0 47.82
2014-12-22 48.65 48.65 48.65 48.65 0 47.82
