"Index" "EN.Open" "EN.High" "EN.Low" "EN.Close" "EN.Volume" "EN.Adjusted"
2014-11-03 32 32 32 32 0 30.57
2014-11-04 32 32 32 32 0 30.57
2014-11-05 32 32 32 32 0 30.57
2014-11-06 32 32 32 32 0 30.57
2014-11-07 32 32 32 32 0 30.57
2014-11-10 32 32 32 32 0 30.57
2014-11-11 32 32 32 32 0 30.57
2014-11-12 32 32 32 32 0 30.57
2014-11-13 32 32 32 32 0 30.57
2014-11-14 32 32 32 32 0 30.57
2014-11-17 32 32 32 32 0 30.57
2014-11-18 32 32 32 32 0 30.57
2014-11-19 32 32 32 32 0 30.57
2014-11-20 32 32 32 32 0 30.57
2014-11-21 32 32 32 32 0 30.57
2014-11-24 32 32 32 32 0 30.57
2014-11-25 32 32 32 32 0 30.57
2014-11-26 32 32 32 32 0 30.57
2014-11-27 32 32 32 32 0 30.57
2014-11-28 32 32 32 32 0 30.57
2014-12-01 32 32 32 32 0 30.57
2014-12-02 32 32 32 32 0 30.57
2014-12-03 32 32 32 32 0 30.57
2014-12-04 32 32 32 32 0 30.57
2014-12-05 32 32 32 32 0 30.57
2014-12-08 32 32 32 32 0 30.57
2014-12-09 32 32 32 32 0 30.57
2014-12-10 32 32 32 32 0 30.57
2014-12-11 32 32 32 32 0 30.57
2014-12-12 32 32 32 32 0 30.57
2014-12-15 32 32 32 32 0 30.57
2014-12-16 32 32 32 32 0 30.57
2014-12-17 32 32 32 32 0 30.57
2014-12-18 32 32 32 32 0 30.57
2014-12-19 32 32 32 32 0 30.57
2014-12-22 32 32 32 32 0 30.57
2014-12-23 32 32 32 32 0 30.57
2014-12-24 32 32 32 32 0 30.57
2014-12-25 32 32 32 32 0 30.57
2014-12-26 32 32 32 32 0 30.57
2014-12-29 32 32 32 32 0 30.57
2014-12-30 32 32 32 32 0 30.57
2014-12-31 32 32 32 32 0 30.57
2015-01-01 32 32 32 32 0 30.57
2015-01-02 32 32 32 32 0 30.57
2015-01-05 32 32 32 32 0 30.57
2015-01-06 32 32 32 32 0 30.57
2015-01-07 32 32 32 32 0 30.57
2015-01-08 32 32 32 32 0 30.57
2015-01-09 32 32 32 32 0 30.57
2015-01-12 32 32 32 32 0 30.57
2015-01-13 32 32 32 32 0 30.57
2015-01-14 32 32 32 32 0 30.57
2015-01-15 35.82 35.82 35.82 35.82 600 34.22
2015-01-16 35.82 35.82 35.82 35.82 0 34.22
2015-01-19 35.82 35.82 35.82 35.82 0 34.22
2015-01-20 35.82 35.82 35.82 35.82 0 34.22
2015-01-21 35.82 35.82 35.82 35.82 0 34.22
2015-01-22 35.82 35.82 35.82 35.82 0 34.22
2015-01-23 35.82 35.82 35.82 35.82 0 34.22
2015-01-26 35.82 35.82 35.82 35.82 0 34.22
2015-01-27 35.82 35.82 35.82 35.82 0 34.22
2015-01-28 35.82 35.82 35.82 35.82 0 34.22
2015-01-29 35.82 35.82 35.82 35.82 0 34.22
2015-01-30 35.82 35.82 35.82 35.82 0 34.22
2015-02-02 35.82 35.82 35.82 35.82 0 34.22
2015-02-03 35.82 35.82 35.82 35.82 0 34.22
2015-02-04 35.82 35.82 35.82 35.82 0 34.22
2015-02-05 35.82 35.82 35.82 35.82 0 34.22
2015-02-06 35.82 35.82 35.82 35.82 0 34.22
2015-02-09 35.82 35.82 35.82 35.82 0 34.22
2015-02-10 35.82 35.82 35.82 35.82 0 34.22
2015-02-11 35.82 35.82 35.82 35.82 0 34.22
2015-02-12 35.82 35.82 35.82 35.82 0 34.22
2015-02-13 35.82 35.82 35.82 35.82 0 34.22
2015-02-16 35.82 35.82 35.82 35.82 0 34.22
2015-02-17 35.82 35.82 35.82 35.82 0 34.22
2015-02-18 35.82 35.82 35.82 35.82 0 34.22
2015-02-19 35.82 35.82 35.82 35.82 0 34.22
2015-02-20 35.82 35.82 35.82 35.82 0 34.22
2015-02-23 35.82 35.82 35.82 35.82 0 34.22
2015-02-24 35.82 35.82 35.82 35.82 0 34.22
2015-02-25 35.82 35.82 35.82 35.82 0 34.22
2015-02-26 35.82 35.82 35.82 35.82 0 34.22
2015-02-27 35.82 35.82 35.82 35.82 0 34.22
2015-03-02 35.82 35.82 35.82 35.82 0 34.22
2015-03-03 35.82 35.82 35.82 35.82 0 34.22
2015-03-04 35.82 35.82 35.82 35.82 0 34.22
2015-03-05 35.82 35.82 35.82 35.82 0 34.22
2015-03-06 35.82 35.82 35.82 35.82 0 34.22
2015-03-09 35.82 35.82 35.82 35.82 0 34.22
2015-03-10 35.82 35.82 35.82 35.82 0 34.22
2015-03-11 35.82 35.82 35.82 35.82 0 34.22
2015-03-12 35.82 35.82 35.82 35.82 0 34.22
2015-03-13 35.82 35.82 35.82 35.82 0 34.22
2015-03-16 35.82 35.82 35.82 35.82 0 34.22
2015-03-17 35.82 35.82 35.82 35.82 0 34.22
2015-03-18 35.82 35.82 35.82 35.82 0 34.22
2015-03-19 35.82 35.82 35.82 35.82 0 34.22
2015-03-20 35.82 35.82 35.82 35.82 0 34.22
2015-03-23 35.82 35.82 35.82 35.82 0 34.22
2015-03-24 35.82 35.82 35.82 35.82 0 34.22
2015-03-25 35.82 35.82 35.82 35.82 0 34.22
2015-03-26 35.82 35.82 35.82 35.82 0 34.22
2015-03-27 35.82 35.82 35.82 35.82 0 34.22
