"Index" "XER.Open" "XER.High" "XER.Low" "XER.Close" "XER.Volume" "XER.Adjusted"
2014-08-22 10.18 10.18 10.18 10.18 0 9.992
2014-08-25 10.245 10.245 10.245 10.245 0 10.056
2014-08-26 10.26 10.26 10.26 10.26 0 10.071
2014-08-27 10.325 10.325 10.325 10.325 0 10.134
2014-08-28 10.33 10.33 10.33 10.33 0 10.139
2014-08-29 10.4 10.4 10.4 10.4 0 10.208
2014-09-01 10.47 10.47 10.47 10.47 0 10.277
2014-09-02 10.475 10.475 10.475 10.475 0 10.282
2014-09-03 10.49 10.49 10.49 10.49 0 10.296
2014-09-04 10.64 10.64 10.64 10.64 0 10.444
2014-09-05 10.49 10.49 10.49 10.49 0 10.296
2014-09-08 10.41 10.41 10.41 10.41 0 10.218
2014-09-09 10.34 10.34 10.34 10.34 0 10.149
2014-09-10 10.37 10.37 10.37 10.37 0 10.179
2014-09-11 10.505 10.505 10.505 10.505 0 10.311
2014-09-12 10.475 10.475 10.475 10.475 0 10.282
2014-09-15 10.41 10.41 10.41 10.41 0 10.218
2014-09-16 10.31 10.31 10.31 10.31 0 10.12
2014-09-17 10.6 10.6 10.6 10.6 0 10.404
2014-09-18 10.755 10.755 10.755 10.755 0 10.557
2014-09-19 10.705 10.705 10.705 10.705 0 10.507
2014-09-22 10.815 10.815 10.815 10.815 0 10.615
2014-09-23 10.6 10.6 10.6 10.6 0 10.404
2014-09-24 10.6 10.6 10.6 10.6 0 10.404
2014-09-25 10.65 10.65 10.65 10.65 0 10.453
2014-09-26 10.355 10.355 10.355 10.355 0 10.224
2014-09-29 10.37 10.37 10.37 10.37 0 10.239
2014-09-30 10.38 10.38 10.38 10.38 0 10.249
2014-10-01 10.43 10.43 10.43 10.43 0 10.298
2014-10-02 10.3 10.3 10.3 10.3 0 10.17
2014-10-03 10.25 10.25 10.25 10.25 0 10.12
2014-10-06 10.375 10.375 10.375 10.375 0 10.244
2014-10-07 10.33 10.33 10.33 10.33 0 10.199
2014-10-08 10.055 10.055 10.055 10.055 0 9.928
2014-10-09 10.225 10.225 10.225 10.225 0 10.096
2014-10-10 9.994 9.994 9.994 9.994 0 9.868
2014-10-13 9.842 9.842 9.842 9.842 0 9.717
2014-10-14 9.694 9.694 9.694 9.694 0 9.571
2014-10-15 10.055 10.055 10.055 10.055 0 9.928
2014-10-16 9.884 9.884 9.884 9.884 0 9.759
2014-10-17 9.658 9.658 9.658 9.658 0 9.536
2014-10-20 9.89 9.89 9.89 9.89 0 9.765
2014-10-21 9.84 9.84 9.84 9.84 0 9.715
2014-10-22 10.325 10.325 10.325 10.325 0 10.194
2014-10-23 9.607 9.607 9.607 9.607 0 9.485
2014-10-24 10.05 10.05 10.05 10.05 0 9.923
