"Index" "PZ.Open" "PZ.High" "PZ.Low" "PZ.Close" "PZ.Volume" "PZ.Adjusted"
2013-04-19 39.2 42 39.2 42 569400 39.248
2013-04-22 42 42.01 40.5 40.5 1056100 37.846
2013-04-23 40.5 40.5 40.5 40.5 292000 37.846
2013-04-24 40.5 40.5 40.5 40.5 227700 37.846
2013-04-25 40.5 40.5 40.5 40.5 319700 37.846
2013-04-26 40.5 40.5 40.5 40.5 212400 37.846
2013-04-29 40.5 40.5 40.5 40.5 431300 37.846
2013-04-30 40.5 40.5 40.5 40.5 280100 37.846
2013-05-01 40.5 40.5 40.5 40.5 0 37.846
2013-05-02 40.5 41.1 40.5 41.1 752000 38.407
2013-05-03 41.1 41.53 41.1 41.53 677500 38.808
2013-05-06 41.53 42.1 41.53 42 800800 39.248
2013-05-07 42 42 42 42 262500 39.248
2013-05-08 42 42 42 42 173500 39.248
2013-05-09 42 43.75 42 43.75 1068100 40.883
2013-05-10 43.75 44 43.75 44 2141900 41.117
2013-05-13 44 44.5 44 44 854800 41.117
2013-05-14 44 44 44 44 223300 41.117
2013-05-15 44 45 44 45 435000 42.051
2013-05-16 45 45 45 45 505900 42.051
2013-05-17 45 45 45 45 484000 42.051
2013-05-20 45 49.45 45 49.45 1397300 46.209
2013-05-21 49.45 54.39 49.45 52.65 1186400 49.2
2013-05-22 52.65 54.5 52.65 54.5 2109000 50.929
2013-05-23 54.5 55 54.5 55 550300 51.396
2013-05-24 55 55 51.12 51.12 521200 47.77
2013-05-27 51.12 52 51.12 52 404600 48.592
2013-05-28 52 52 52 52 385700 48.592
2013-05-29 0.15 0.15 0.15 0.15 0 0.14
2013-05-30 52 52 51 51 264600 47.658
2013-05-31 51 51 51 51 320000 47.658
2013-06-03 51 51 51 51 221600 47.658
2013-06-04 51 51 51 51 223800 47.658
2013-06-05 51 51 51 51 242800 47.658
2013-06-06 51 52.98 51 52.98 358200 49.508
2013-06-07 52.98 52.98 52.98 52.98 272000 49.508
2013-06-10 52.98 52.98 52.98 52.98 250500 49.508
2013-06-11 52.98 56 52.98 56 601400 52.33
2013-06-12 56 61 53.62 53.62 2305400 50.106
2013-06-13 53.62 53.62 48.26 48.26 691400 45.097
2013-06-14 48.26 48.26 45 45 241300 42.051
2013-06-17 45 45 45 45 453500 42.051
2013-06-18 45 45 44.3 44.45 963800 41.537
2013-06-19 44.45 45.15 44.45 45.15 1446100 42.191
2013-06-20 45.15 45.15 45 45 269600 42.051
2013-06-21 45 45 45 45 215800 42.051
2013-06-24 45 45 45 45 221400 42.051
2013-06-25 45 45 40.5 40.5 464500 37.846
2013-06-26 40.5 40.5 38.5 38.7 1018400 36.164
2013-06-27 38.7 40.5 38.7 40.5 1023200 37.846
2013-06-28 40.5 40.9 39.8 39.8 1461100 37.192
2013-07-01 39.8 39.8 39.8 39.8 145700 37.192
2013-07-02 39.8 39.8 39.8 39.8 192100 37.192
2013-07-03 39.8 39.8 39 39 385000 36.444
2013-07-04 39 39 39 39 190600 36.444
2013-07-05 39 39 39 39 312600 36.444
2013-07-08 39 39 39 39 0 36.444
2013-07-09 39 39 39 39 0 36.444
2013-07-10 39 39 39 39 0 36.444
2013-07-11 39 39 39 39 0 36.444
2013-07-12 39 39 39 39 0 36.444
2013-07-15 39 39 39 39 0 36.444
2013-07-16 39 39 39 39 0 36.444
2013-07-17 39 39 39 39 0 36.444
2013-07-18 39 39 39 39 0 36.444
2013-07-19 39 39 39 39 0 36.444
2013-07-22 39 39 39 39 0 36.444
2013-07-23 39 39 39 39 0 36.444
2013-07-24 39 39 39 39 0 36.444
2013-07-25 39 39 39 39 0 36.444
2013-07-26 39 39 39 39 0 36.444
2013-07-29 39 39 39 39 0 36.444
2013-07-30 39 39 39 39 0 36.444
2013-07-31 39 39 39 39 0 36.444
2013-08-01 39 39 39 39 0 36.444
2013-08-02 39 39 39 39 0 36.444
2013-08-05 39 39 39 39 0 36.444
2013-08-06 39 39 39 39 0 36.444
2013-08-07 39 39 39 39 0 36.444
2013-08-08 39 39 39 39 0 36.444
2013-08-09 39 39 39 39 0 36.444
2013-08-12 39 39 39 39 0 36.444
2013-08-13 39 39 39 39 0 36.444
2013-08-14 39 39 39 39 0 36.444
2013-08-15 39 39 39 39 0 36.444
2013-08-16 39 39 39 39 0 36.444
2013-08-19 39 39 39 39 0 36.444
2013-08-20 39 39 39 39 0 36.444
2013-08-21 39 39 39 39 0 36.444
2013-08-22 39 39 39 39 0 36.444
2013-08-23 39 39 39 39 0 36.444
2013-08-26 39 39 39 39 0 36.444
2013-08-27 39 39 39 39 0 36.444
