"Index" "D7L.Open" "D7L.High" "D7L.Low" "D7L.Close" "D7L.Volume" "D7L.Adjusted"
2013-01-01 0.126 0.126 0.126 0.126 0 0.126
2013-01-02 0.137 0.137 0.137 0.137 0 0.137
2013-01-03 0.135 0.135 0.135 0.135 0 0.135
2013-01-04 0.132 0.132 0.132 0.132 0 0.132
2013-01-07 0.132 0.132 0.132 0.132 0 0.132
2013-01-08 0.131 0.131 0.131 0.131 0 0.131
2013-01-09 0.128 0.128 0.128 0.128 0 0.128
2013-01-10 0.132 0.132 0.132 0.132 0 0.132
2013-01-11 0.122 0.122 0.122 0.122 0 0.122
2013-01-14 0.117 0.117 0.117 0.117 0 0.117
2013-01-15 0.106 0.106 0.106 0.106 0 0.106
2013-01-16 0.107 0.107 0.107 0.107 0 0.107
2013-01-17 0.107 0.107 0.107 0.107 0 0.107
2013-01-18 0.114 0.114 0.114 0.114 0 0.114
2013-01-21 0.11 0.11 0.11 0.11 0 0.11
2013-01-22 0.11 0.11 0.11 0.11 0 0.11
2013-01-23 0.11 0.11 0.11 0.11 0 0.11
2013-01-24 0.136 0.136 0.136 0.136 0 0.136
2013-01-25 0.151 0.178 0.151 0.178 400 0.178
2013-01-28 0.143 0.143 0.143 0.143 0 0.143
2013-01-29 0.154 0.154 0.154 0.154 0 0.154
2013-01-30 0.142 0.142 0.142 0.142 0 0.142
2013-01-31 0.155 0.155 0.155 0.155 0 0.155
2013-02-01 0.155 0.155 0.155 0.155 0 0.155
2013-02-04 0.141 0.141 0.141 0.141 0 0.141
2013-02-05 0.149 0.149 0.149 0.149 0 0.149
2013-02-06 0.156 0.156 0.156 0.156 0 0.156
2013-02-07 0.149 0.149 0.149 0.149 0 0.149
2013-02-08 0.143 0.143 0.143 0.143 0 0.143
2013-02-11 0.143 0.143 0.143 0.143 0 0.143
2013-02-12 0.137 0.137 0.137 0.137 0 0.137
2013-02-13 0.132 0.132 0.132 0.132 0 0.132
2013-02-14 0.143 0.143 0.143 0.143 0 0.143
2013-02-15 0.143 0.143 0.143 0.143 0 0.143
2013-02-18 0.144 0.144 0.144 0.144 0 0.144
2013-02-19 0.144 0.144 0.144 0.144 0 0.144
2013-02-20 0.143 0.143 0.143 0.143 0 0.143
2013-02-21 0.149 0.15 0.149 0.15 3400 0.15
2013-02-22 0.152 0.152 0.152 0.152 0 0.152
2013-02-25 0.153 0.153 0.153 0.153 0 0.153
2013-02-26 0.163 0.163 0.163 0.163 0 0.163
2013-02-27 0.162 0.162 0.162 0.162 0 0.162
2013-02-28 0.162 0.162 0.162 0.162 0 0.162
2013-03-01 0.157 0.157 0.157 0.157 0 0.157
2013-03-04 0.163 0.163 0.163 0.163 0 0.163
2013-03-05 0.151 0.151 0.151 0.151 0 0.151
2013-03-06 0.163 0.163 0.163 0.163 0 0.163
2013-03-07 0.171 0.171 0.171 0.171 0 0.171
2013-03-08 0.17 0.17 0.17 0.17 0 0.17
2013-03-11 0.194 0.194 0.194 0.194 0 0.194
2013-03-12 0.209 0.209 0.209 0.209 0 0.209
2013-03-13 0.209 0.236 0.209 0.236 1600 0.236
2013-03-14 0.226 0.226 0.226 0.226 0 0.226
2013-03-15 0.232 0.232 0.232 0.232 0 0.232
2013-03-18 0.236 0.236 0.236 0.236 0 0.236
2013-03-19 0.239 0.239 0.239 0.239 0 0.239
2013-03-20 0.242 0.242 0.242 0.242 0 0.242
2013-03-21 0.242 0.242 0.242 0.242 0 0.242
2013-03-22 0.234 0.234 0.234 0.234 0 0.234
2013-03-25 0.215 0.215 0.215 0.215 0 0.215
2013-03-26 0.203 0.203 0.203 0.203 0 0.203
2013-03-27 0.208 0.208 0.208 0.208 0 0.208
2013-03-28 0.204 0.204 0.204 0.204 0 0.204
2013-03-29 0.204 0.204 0.204 0.204 0 0.204
2013-04-01 0.204 0.204 0.204 0.204 0 0.204
2013-04-02 0.197 0.197 0.197 0.197 0 0.197
2013-04-03 0.19 0.19 0.19 0.19 0 0.19
2013-04-04 0.198 0.198 0.198 0.198 0 0.198
2013-04-05 0.192 0.192 0.192 0.192 0 0.192
2013-04-08 0.191 0.191 0.191 0.191 0 0.191
2013-04-09 0.194 0.194 0.194 0.194 0 0.194
2013-04-10 0.178 0.178 0.178 0.178 0 0.178
2013-04-11 0.161 0.161 0.161 0.161 0 0.161
2013-04-12 0.17 0.17 0.17 0.17 0 0.17
2013-04-15 0.184 0.184 0.184 0.184 0 0.184
2013-04-16 0.195 0.195 0.195 0.195 0 0.195
2013-04-17 0.197 0.197 0.197 0.197 0 0.197
2013-04-18 0.209 0.209 0.209 0.209 0 0.209
2013-04-19 0.203 0.203 0.203 0.203 0 0.203
2013-04-22 0.21 0.21 0.21 0.21 0 0.21
2013-04-23 0.231 0.231 0.231 0.231 0 0.231
2013-04-24 0.218 0.218 0.218 0.218 0 0.218
2013-04-25 0.232 0.232 0.232 0.232 0 0.232
2013-04-26 0.227 0.227 0.227 0.227 0 0.227
2013-04-29 0.233 0.233 0.233 0.233 0 0.233
2013-04-30 0.231 0.231 0.231 0.231 0 0.231
2013-05-01 0.231 0.231 0.231 0.231 0 0.231
2013-05-02 0.215 0.215 0.215 0.215 0 0.215
2013-05-03 0.224 0.224 0.224 0.224 0 0.224
2013-05-06 0.215 0.215 0.215 0.215 0 0.215
2013-05-07 0.194 0.194 0.194 0.194 0 0.194
2013-05-08 0.197 0.197 0.197 0.197 0 0.197
2013-05-09 0.188 0.188 0.188 0.188 0 0.188
2013-05-10 0.186 0.186 0.186 0.186 0 0.186
2013-05-13 0.177 0.177 0.177 0.177 0 0.177
2013-05-14 0.186 0.186 0.186 0.186 0 0.186
2013-05-15 0.188 0.188 0.188 0.188 0 0.188
2013-05-16 0.154 0.154 0.154 0.154 0 0.154
2013-05-17 0.155 0.155 0.155 0.155 0 0.155
2013-05-20 0.154 0.154 0.154 0.154 0 0.154
2013-05-21 0.169 0.169 0.169 0.169 0 0.169
2013-05-22 0.18 0.18 0.18 0.18 0 0.18
2013-05-23 0.187 0.187 0.187 0.187 0 0.187
2013-05-24 0.191 0.191 0.191 0.191 0 0.191
2013-05-27 0.187 0.187 0.187 0.187 0 0.187
2013-05-28 0.188 0.188 0.188 0.188 0 0.188
2013-05-29 0.204 0.204 0.204 0.204 0 0.204
2013-05-30 0.201 0.201 0.201 0.201 0 0.201
2013-05-31 0.232 0.232 0.232 0.232 0 0.232
2013-06-03 0.249 0.249 0.248 0.248 2000 0.248
2013-06-04 0.236 0.236 0.236 0.236 0 0.236
2013-06-05 0.237 0.237 0.237 0.237 0 0.237
2013-06-06 0.224 0.224 0.224 0.224 0 0.224
2013-06-07 0.228 0.228 0.228 0.228 0 0.228
2013-06-10 0.222 0.222 0.222 0.222 0 0.222
2013-06-11 0.219 0.219 0.219 0.219 0 0.219
2013-06-12 0.206 0.206 0.206 0.206 0 0.206
2013-06-13 0.209 0.209 0.209 0.209 0 0.209
2013-06-14 0.21 0.21 0.21 0.21 0 0.21
2013-06-17 0.193 0.193 0.193 0.193 0 0.193
2013-06-18 0.194 0.194 0.194 0.194 0 0.194
2013-06-19 0.231 0.231 0.231 0.231 0 0.231
2013-06-20 0.236 0.236 0.236 0.236 0 0.236
2013-06-21 0.229 0.229 0.229 0.229 0 0.229
2013-06-24 0.223 0.223 0.223 0.223 0 0.223
2013-06-25 0.246 0.246 0.246 0.246 0 0.246
2013-06-26 0.239 0.239 0.239 0.239 0 0.239
2013-06-27 0.209 0.209 0.209 0.209 0 0.209
2013-06-28 0.224 0.224 0.224 0.224 0 0.224
2013-07-01 0.217 0.217 0.217 0.217 0 0.217
2013-07-02 0.222 0.222 0.222 0.222 0 0.222
2013-07-03 0.208 0.208 0.208 0.208 0 0.208
2013-07-04 0.202 0.202 0.202 0.202 0 0.202
2013-07-05 0.204 0.204 0.204 0.204 0 0.204
2013-07-08 0.203 0.203 0.203 0.203 0 0.203
2013-07-09 0.21 0.21 0.21 0.21 0 0.21
2013-07-10 0.229 0.229 0.229 0.229 0 0.229
2013-07-11 0.215 0.215 0.215 0.215 0 0.215
2013-07-12 0.216 0.216 0.216 0.216 0 0.216
2013-07-15 0.216 0.216 0.216 0.216 0 0.216
2013-07-16 0.216 0.216 0.216 0.216 0 0.216
2013-07-17 0.139 0.139 0.139 0.139 0 0.139
2013-07-18 0.139 0.139 0.139 0.139 0 0.139
2013-07-19 0.139 0.139 0.139 0.139 0 0.139
2013-07-22 0.139 0.139 0.139 0.139 0 0.139
2013-07-23 0.138 0.138 0.138 0.138 0 0.138
2013-07-24 0.138 0.138 0.138 0.138 0 0.138
2013-07-25 0.138 0.138 0.138 0.138 0 0.138
2013-07-26 0.137 0.137 0.137 0.137 0 0.137
2013-07-29 0.137 0.137 0.137 0.137 0 0.137
2013-07-30 0.243 0.243 0.243 0.243 0 0.243
2013-07-31 0.236 0.236 0.236 0.236 0 0.236
2013-08-01 0.213 0.213 0.213 0.213 0 0.213
2013-08-02 0.194 0.194 0.194 0.194 0 0.194
2013-08-05 0.227 0.227 0.227 0.227 0 0.227
2013-08-06 0.236 0.236 0.236 0.236 0 0.236
2013-08-07 0.231 0.231 0.231 0.231 0 0.231
2013-08-08 0.196 0.196 0.196 0.196 0 0.196
2013-08-09 0.196 0.196 0.196 0.196 0 0.196
2013-08-12 0.197 0.197 0.197 0.197 0 0.197
2013-08-13 0.197 0.197 0.197 0.197 0 0.197
2013-08-14 0.196 0.196 0.196 0.196 0 0.196
2013-08-15 0.196 0.196 0.196 0.196 0 0.196
2013-08-16 0.195 0.195 0.195 0.195 0 0.195
2013-08-19 0.189 0.189 0.189 0.189 0 0.189
2013-08-20 0.196 0.196 0.196 0.196 0 0.196
2013-08-21 0.195 0.195 0.195 0.195 0 0.195
2013-08-22 0.196 0.196 0.196 0.196 0 0.196
2013-08-23 0.196 0.196 0.196 0.196 0 0.196
2013-08-26 0.191 0.191 0.191 0.191 0 0.191
2013-08-27 0.173 0.173 0.173 0.173 0 0.173
2013-08-28 0.187 0.187 0.187 0.187 0 0.187
2013-08-29 0.204 0.204 0.204 0.204 0 0.204
2013-08-30 0.213 0.213 0.213 0.213 0 0.213
2013-09-02 0.236 0.236 0.236 0.236 0 0.236
2013-09-03 0.237 0.237 0.237 0.237 0 0.237
2013-09-04 0.214 0.214 0.214 0.214 0 0.214
2013-09-05 0.214 0.214 0.214 0.214 0 0.214
2013-09-06 0.215 0.215 0.215 0.215 0 0.215
2013-09-09 0.207 0.207 0.207 0.207 0 0.207
2013-09-10 0.212 0.212 0.212 0.212 0 0.212
2013-09-11 0.228 0.228 0.228 0.228 0 0.228
2013-09-12 0.219 0.219 0.219 0.219 0 0.219
2013-09-13 0.228 0.228 0.228 0.228 0 0.228
2013-09-16 0.226 0.226 0.226 0.226 0 0.226
2013-09-17 0.219 0.219 0.219 0.219 0 0.219
2013-09-18 0.219 0.219 0.219 0.219 0 0.219
2013-09-19 0.216 0.216 0.216 0.216 0 0.216
2013-09-20 0.23 0.23 0.23 0.23 0 0.23
2013-09-23 0.223 0.223 0.223 0.223 0 0.223
2013-09-24 0.224 0.224 0.224 0.224 0 0.224
2013-09-25 0.231 0.231 0.231 0.231 0 0.231
2013-09-26 0.231 0.231 0.231 0.231 0 0.231
