"Index" "EVC.Open" "EVC.High" "EVC.Low" "EVC.Close" "EVC.Volume" "EVC.Adjusted"
2013-03-05 2.19 2.19 2.14 2.17 938500 2.067419
2013-03-06 2.17 2.19 2.08 2.13 757600 2.02931
2013-03-07 2.14 2.24 2.09 2.16 1947100 2.057892
2013-03-08 2.21 2.27 2.19 2.23 773900 2.124582
2013-03-11 2.27 2.7 2.25 2.69 1363100 2.562837
2013-03-12 2.75 2.8 2.48 2.5 1394700 2.381819
2013-03-13 2.53 2.55 2.47 2.52 442000 2.400873
2013-03-14 2.55 2.57 2.47 2.49 338100 2.372292
2013-03-15 2.5 2.55 2.45 2.5 816100 2.381819
2013-03-18 2.45 2.52 2.45 2.5 543600 2.381819
2013-03-19 2.53 2.68 2.5 2.67 875400 2.543783
2013-03-20 2.71 2.88 2.71 2.87 911800 2.734328
2013-03-21 2.89 3.02 2.88 2.97 1016100 2.829601
2013-03-22 3.03 3.26 3 3.16 1232300 3.010619
2013-03-25 3.25 3.49 3.2 3.44 1775900 3.277383
2013-03-26 3.49 3.53 3.08 3.14 1788300 2.991565
2013-03-27 3.15 3.26 3.01 3.11 846000 2.962983
2013-03-28 3.2 3.23 3.12 3.19 739100 3.039201
2013-04-01 3.22 3.35 3.11 3.14 899300 2.991565
2013-04-02 3.19 3.46 3.15 3.25 1266700 3.096365
2013-04-03 3.25 3.28 3.05 3.08 1012300 2.934401
2013-04-04 3.01 3.01 2.66 2.77 1812100 2.639055
2013-04-05 2.71 3.01 2.67 2.96 602500 2.820074
2013-04-08 2.97 3.14 2.97 3.12 497900 2.97251
2013-04-09 3.14 3.38 3.14 3.28 1212100 3.124946
2013-04-10 3.32 3.48 3.3 3.42 1552200 3.258328
2013-04-11 3.44 3.78 3.43 3.66 1963000 3.486983
2013-04-12 3.66 3.88 3.21 3.44 1778300 3.277383
2013-04-15 3.34 3.5 3.17 3.2 936200 3.048728
2013-04-16 3.19 3.62 3.18 3.61 1085800 3.439346
2013-04-17 3.57 3.57 3.26 3.35 1115300 3.191637
2013-04-18 3.34 3.38 3.06 3.12 953300 2.97251
2013-04-19 3.13 3.4 3.06 3.35 554300 3.191637
2013-04-22 3.4 3.5 3.32 3.36 1090900 3.201164
2013-04-23 3.4 3.6 3.38 3.53 799300 3.363128
2013-04-24 3.54 3.54 3.38 3.43 522600 3.267856
2013-04-25 3.5 3.65 3.43 3.59 1073300 3.420292
2013-04-26 3.57 3.59 3.46 3.5 597600 3.334546
2013-04-29 3.53 3.74 3.53 3.58 1083300 3.410765
2013-04-30 3.62 3.89 3.62 3.86 1477800 3.677528
2013-05-01 3.96 3.97 3.72 3.77 1558000 3.591783
2013-05-02 3.8 4.12 3.78 4.08 1742900 3.887128
2013-05-03 4.32 4.48 4.02 4.04 2044400 3.849019
2013-05-06 4.05 4.43 4.05 4.43 1394800 4.220583
2013-05-07 4.44 4.44 4.1 4.18 1633700 3.982401
2013-05-08 4.13 4.4 4.1 4.36 1027300 4.153892
2013-05-09 4.37 4.61 4.2 4.39 1348500 4.182474
2013-05-10 4.4 4.58 4.4 4.53 789100 4.315856
2013-05-13 4.54 4.65 4.45 4.58 865300 4.363492
2013-05-14 4.58 4.9 4.58 4.85 1120400 4.620729
2013-05-15 4.86 5.21 4.85 5.07 2215700 4.830329
2013-05-16 5.07 5.09 4.8 4.83 1252800 4.601674
2013-05-17 4.85 5.06 4.85 4.86 1104200 4.630256
2013-05-20 4.86 4.88 4.71 4.84 879300 4.611202
2013-05-21 4.83 4.98 4.82 4.9 743100 4.668365
2013-05-22 4.91 5.21 4.27 4.44 2167500 4.23011
2013-05-23 4.45 4.83 4.17 4.8 1261500 4.573092
2013-05-24 4.75 4.82 4.55 4.6 725000 4.382547
2013-05-28 4.71 4.97 4.67 4.78 816500 4.554038
2013-05-29 4.8 4.81 4.61 4.65 669100 4.430183
2013-05-30 4.72 4.88 4.68 4.83 862100 4.601674
2013-05-31 4.83 4.89 4.61 4.63 908200 4.411129
2013-06-03 4.76 4.91 4.7 4.88 1063100 4.649311
2013-06-04 4.85 5.18 4.82 5.02 1427500 4.782692
2013-06-05 5.02 5.15 4.94 5.01 959000 4.773165
