"Index" "OPM.Open" "OPM.High" "OPM.Low" "OPM.Close" "OPM.Volume" "OPM.Adjusted"
2013-04-10 3.08 3.08 3.08 3.08 0 2.5303
2013-04-11 3.08 3.08 3.08 3.08 0 2.5303
2013-04-12 3.08 3.08 3.08 3.08 0 2.5303
2013-04-15 3.25 3.25 3.25 3.25 300 2.67
2013-04-16 3.25 3.25 3.25 3.25 0 2.67
2013-04-17 3.25 3.25 3.25 3.25 0 2.67
2013-04-18 3.25 3.25 3.25 3.25 0 2.67
2013-04-19 3.25 3.25 3.25 3.25 0 2.67
2013-04-22 3.25 3.25 3.25 3.25 0 2.67
2013-04-23 3.25 3.25 3.25 3.25 0 2.67
2013-04-24 3.25 3.25 3.25 3.25 0 2.67
2013-04-25 3.25 3.25 3.25 3.25 0 2.67
2013-04-26 3.25 3.25 3.25 3.25 0 2.67
2013-04-29 3.25 3.25 3.25 3.25 0 2.67
2013-04-30 2.99 3.2 2.99 3.2 5900 2.6289
2013-05-01 3.2 3.21 3.2 3.21 500 2.6371
2013-05-02 3.21 3.21 3.21 3.21 0 2.6371
2013-05-03 3.21 3.21 3.21 3.21 0 2.6371
2013-05-06 3.21 3.21 3.21 3.21 0 2.6371
2013-05-07 3.21 3.21 3.21 3.21 0 2.6371
2013-05-08 3.21 3.21 3.21 3.21 0 2.6371
2013-05-09 3.21 3.21 3.21 3.21 0 2.6371
2013-05-10 3.21 3.21 3.21 3.21 0 2.6371
2013-05-13 3.21 3.21 3.21 3.21 0 2.6371
2013-05-14 3.21 3.21 3.21 3.21 0 2.6371
2013-05-15 3.21 3.21 3.21 3.21 0 2.6371
2013-05-16 3.21 3.21 3.21 3.21 0 2.6371
2013-05-17 3.21 3.21 3.21 3.21 0 2.6371
2013-05-20 3.21 3.21 3.21 3.21 0 2.6371
2013-05-21 3.21 3.21 3.21 3.21 0 2.6371
2013-05-22 3.21 3.21 3.21 3.21 0 2.6371
2013-05-23 3.21 3.21 3.21 3.21 0 2.6371
2013-05-24 3.21 3.21 3.21 3.21 0 2.6371
2013-05-27 3.21 3.21 3.21 3.21 0 2.6371
2013-05-28 3.21 3.21 3.21 3.21 0 2.6371
