"Index" "IS.Open" "IS.High" "IS.Low" "IS.Close" "IS.Volume" "IS.Adjusted"
2013-01-01 0.05 0.05 0.05 0.05 0 0.15
2013-01-02 0.05 0.05 0.05 0.05 0 0.15
2013-01-03 0.05 0.05 0.05 0.05 0 0.15
2013-01-04 0.05 0.05 0.05 0.05 0 0.15
2013-01-07 0.05 0.05 0.05 0.05 0 0.15
2013-01-08 0.05 0.05 0.05 0.05 0 0.15
2013-01-09 0.05 0.05 0.05 0.05 0 0.15
2013-01-10 0.05 0.05 0.05 0.05 0 0.15
2013-01-11 0.045 0.045 0.045 0.045 500 0.135
2013-01-14 0.06 0.09 0.06 0.09 2600 0.27
2013-01-15 0.09 0.09 0.09 0.09 0 0.27
2013-01-16 0.09 0.09 0.09 0.09 0 0.27
2013-01-17 0.09 0.09 0.09 0.09 0 0.27
2013-01-18 0.09 0.09 0.09 0.09 0 0.27
2013-01-21 0.055 0.055 0.05 0.05 5100 0.15
2013-01-22 0.05 0.05 0.05 0.05 0 0.15
2013-01-23 0.05 0.05 0.05 0.05 0 0.15
2013-01-24 0.05 0.05 0.05 0.05 0 0.15
2013-01-25 0.05 0.05 0.05 0.05 0 0.15
2013-01-28 0.045 0.045 0.045 0.045 300 0.135
2013-01-29 0.045 0.045 0.045 0.045 0 0.135
2013-01-30 0.045 0.045 0.045 0.045 0 0.135
2013-01-31 0.045 0.045 0.045 0.045 0 0.135
2013-02-01 0.045 0.045 0.045 0.045 0 0.135
2013-02-04 0.045 0.045 0.045 0.045 0 0.135
2013-02-05 0.045 0.045 0.045 0.045 0 0.135
2013-02-06 0.045 0.045 0.045 0.045 0 0.135
2013-02-07 0.045 0.045 0.045 0.045 0 0.135
2013-02-08 0.045 0.045 0.045 0.045 0 0.135
2013-02-11 0.045 0.045 0.045 0.045 0 0.135
2013-02-12 0.045 0.045 0.045 0.045 0 0.135
2013-02-13 0.045 0.045 0.045 0.045 0 0.135
2013-02-14 0.045 0.045 0.045 0.045 0 0.135
2013-02-15 0.045 0.045 0.045 0.045 0 0.135
2013-02-18 0.045 0.045 0.045 0.045 0 0.135
2013-02-19 0.045 0.045 0.045 0.045 0 0.135
2013-02-20 0.045 0.045 0.045 0.045 0 0.135
2013-02-21 0.045 0.045 0.045 0.045 0 0.135
2013-02-22 0.045 0.045 0.045 0.045 0 0.135
2013-02-25 0.045 0.045 0.045 0.045 0 0.135
2013-02-26 0.045 0.045 0.045 0.045 0 0.135
2013-02-27 0.045 0.045 0.045 0.045 0 0.135
2013-02-28 0.045 0.045 0.045 0.045 0 0.135
