"Index" "USD.CZK"
2013-08-23 19.222
2013-08-24 19.1844
2013-08-25 19.1979
2013-08-26 19.1891
2013-08-27 19.2204
2013-08-28 19.2351
2013-08-29 19.3514
2013-08-30 19.4486
2013-08-31 19.4565
2013-09-01 19.4764
2013-09-02 19.468
2013-09-03 19.52
2013-09-04 19.56
2013-09-05 19.5515
2013-09-06 19.5515
2013-09-07 19.5758
2013-09-08 19.5897
2013-09-09 19.5479
2013-09-10 19.4752
2013-09-11 19.4203
2013-09-12 19.3795
2013-09-13 19.41
2013-09-14 19.3766
2013-09-15 19.3423
2013-09-16 19.2794
2013-09-17 19.2836
2013-09-18 19.2713
2013-09-19 19.032
2013-09-20 19.0631
2013-09-21 19.0812
2013-09-22 19.0449
2013-09-23 19.1493
2013-09-24 19.2265
2013-09-25 19.1746
2013-09-26 19.0909
2013-09-27 18.9977
2013-09-28 19.0171
2013-09-29 19.0225
2013-09-30 19.0258
2013-10-01 18.9573
2013-10-02 18.9145
2013-10-03 18.7963
2013-10-04 18.7893
2013-10-05 18.8594
2013-10-06 18.8599
2013-10-07 18.826
2013-10-08 18.7964
2013-10-09 18.8727
2013-10-10 18.9111
2013-10-11 18.8434
2013-10-12 18.8352
2013-10-13 18.8319
2013-10-14 18.8328
2013-10-15 18.9062
2013-10-16 18.9614
2013-10-17 18.8788
2013-10-18 18.8146
2013-10-19 18.8604
2013-10-20 18.8576
2013-10-21 18.8635
2013-10-22 18.8071
2013-10-23 18.7253
2013-10-24 18.6906
2013-10-25 18.6375
2013-10-26 18.6261
2013-10-27 18.6253
2013-10-28 18.637
2013-10-29 18.6905
2013-10-30 18.7338
2013-10-31 18.8276
2013-11-01 19.0805
2013-11-02 19.1735
2013-11-03 19.1799
2013-11-04 19.1398
2013-11-05 19.1485
2013-11-06 19.1128
2013-11-07 19.1128
2013-11-08 19.1128
2013-11-09 19.1128
2013-11-10 20.1827
2013-11-11 20.1743
2013-11-12 20.149
2013-11-13 20.1281
2013-11-14 20.1407
2013-11-15 20.1561
2013-11-16 20.1141
2013-11-17 20.1225
2013-11-18 20.0981
2013-11-19 20.1433
2013-11-20 20.2135
2013-11-21 20.2683
2013-11-22 20.1782
2013-11-23 20.1237
2013-11-24 20.1359
2013-11-25 20.1698
2013-11-26 20.1648
2013-11-27 20.1311
2013-11-28 20.1254
2013-11-29 20.1183
2013-11-30 20.1409
2013-12-01 20.1417
2013-12-02 20.1938
2013-12-03 20.2403
2013-12-04 20.193
2013-12-05 20.1596
2013-12-06 20.0791
2013-12-07 20.0464
2013-12-08 20.0257
2013-12-09 20.0313
2013-12-10 19.9571
2013-12-11 19.9188
2013-12-12 19.9363
2013-12-13 20.019
2013-12-14 20.0294
2013-12-15 20.0315
2013-12-16 20.0183
2013-12-17 20.0739
2013-12-18 20.1219
2013-12-19 20.2217
2013-12-20 20.2412
2013-12-21 20.1715
2013-12-22 20.1885
2013-12-23 20.1401
2013-12-24 20.1043
2013-12-25 20.092
2013-12-26 20.1188
2013-12-27 19.9748
2013-12-28 19.9591
2013-12-29 19.9592
2013-12-30 19.9213
2013-12-31 19.8681
2014-01-01 19.8898
2014-01-02 20.0083
2014-01-03 20.1833
2014-01-04 20.2942
2014-01-05 20.2935
2014-01-06 20.2236
2014-01-07 20.1638
2014-01-08 20.1952
