"Index" "ZAR.Open" "ZAR.High" "ZAR.Low" "ZAR.Close" "ZAR.Volume" "ZAR.Adjusted"
2014-10-20 76.63 76.63 75.32 75.5 0 75.5
2014-10-21 76.7 76.7 75.19 75.25 0 75.25
2014-10-22 75.32 76.6 75.32 76.6 0 76.6
2014-10-23 78.5 78.5 76.76 77.26 0 77.26
2014-10-24 76.75 77 76.75 77 0 77
2014-10-27 77.5 78 77.5 78 0 78
2014-10-28 77.55 78 77.55 78 0 78
2014-10-29 78.05 78.25 78.05 78.25 0 78.25
2014-10-30 78.25 79 78.25 79 0 79
2014-10-31 79.25 81.5 79.25 81.5 0 81.5
2014-11-03 81.99 82 81.75 82 0 82
2014-11-04 81.48 81.48 80.87 80.87 0 80.87
2014-11-05 80.69 80.69 79.91 80.03 0 80.03
