"Date" "Mid Price"
2014-12-19 131.2958
2014-12-18 129.0448
2014-12-17 131.1767
2014-12-16 130.0527
2014-12-15 131.5366
2014-12-12 133.3715
2014-12-11 135.3147
2014-12-10 136.0571
2014-12-09 139.5951
2014-12-08 138.4909
2014-12-05 142.2416
2014-12-04 142.999
2014-12-03 143.5862
2014-12-02 144.1534
2014-12-01 147.3983
2014-11-28 144.1596
2014-11-26 153.9736
2014-11-25 154.4766
2014-11-24 155.8309
2014-11-21 157.0432
2014-11-20 155.9636
2014-11-19 154.4171
2014-11-18 154.699
2014-11-17 155.921
2014-11-14 155.7792
2014-11-13 153.8251
2014-11-12 158.008
2014-11-10 158.5427
2014-11-07 160.1331
2014-11-06 158.9419
2014-11-05 158.8324
2014-11-04 158.1283
2014-11-03 160.8111
2014-10-31 161.9553
2014-10-30 162.5663
2014-10-29 164.1039
2014-10-28 162.2436
2014-10-27 161.2642
2014-10-24 161.2078
2014-10-23 162.6572
2014-10-22 160.5653
2014-10-21 162.3859
2014-10-20 161.2481
2014-10-17 162.1476
2014-10-16 161.6569
2014-10-15 160.1457
2014-10-14 162.0298
2014-10-10 166.3554
2014-10-09 166.6898
2014-10-08 168.4277
2014-10-07 170.0642
2014-10-06 170.8461
2014-10-03 169.5078
2014-10-02 170.7674
2014-10-01 171.6945
2014-09-30 172.0588
2014-09-29 175.8531
2014-09-26 174.5226
2014-09-25 174.06
2014-09-24 174.2182
2014-09-23 173.2598
2014-09-22 173.0993
2014-09-19 174.6684
2014-09-18 174.9122
2014-09-17 177.0329
2014-09-16 177.4246
2014-09-15 175.655
2014-09-12 175.4652
2014-09-11 176.3714
2014-09-10 176.577
2014-09-09 178.2562
2014-09-08 179.0648
2014-09-05 179.8976
2014-09-04 180.705
2014-09-03 181.9361
2014-09-02 179.4226
2014-08-29 183.038
2014-08-28 181.8159
2014-08-27 181.439
2014-08-26 181.2089
2014-08-25 180.6769
2014-08-22 180.6565
2014-08-21 180.8808
2014-08-20 180.1629
2014-08-19 179.6024
2014-08-18 179.8664
2014-08-15 182.0001
2014-08-14 180.53
2014-08-13 183.7537
2014-08-12 183.3435
2014-08-11 185.1417
2014-08-08 184.7395
2014-08-07 185.3842
2014-08-06 185.0906
2014-08-05 184.4055
2014-08-04 185.6279
2014-08-01 184.802
2014-07-31 186.0595
2014-07-30 187.7033
2014-07-29 188.6104
2014-07-28 189.1082
2014-07-25 189.7909
2014-07-24 188.8152
2014-07-23 189.7434
2014-07-22 188.9764
2014-07-21 189.526
2014-07-18 188.8173
2014-07-17 189.6593
2014-07-16 188.6028
2014-07-15 187.8964
2014-07-14 189.2208
2014-07-11 188.6462
2014-07-10 190.9475
2014-07-09 190.7216
