"Index" "ZN.Open" "ZN.High" "ZN.Low" "ZN.Close" "ZN.Volume" "ZN.Adjusted"
2013-04-25 1.29 1.3 1.25 1.29 40300 1.29
2013-04-26 1.3 1.31 1.3 1.31 80200 1.31
2013-04-29 1.35 1.35 1.28 1.28 37200 1.28
2013-04-30 1.28 1.3 1.27 1.29 45600 1.29
2013-05-01 1.3 1.3 1.26 1.26 17900 1.26
2013-05-02 1.26 1.3 1.26 1.28 34800 1.28
2013-05-03 1.27 1.28 1.26 1.27 55300 1.27
2013-05-06 1.28 1.28 1.25 1.25 42500 1.25
2013-05-07 1.25 1.29 1.25 1.28 47400 1.28
2013-05-08 1.3 1.3 1.26 1.3 40100 1.3
2013-05-09 1.3 1.34 1.27 1.3 115000 1.3
2013-05-10 1.3 1.34 1.3 1.31 49900 1.31
2013-05-13 1.33 1.34 1.32 1.34 51700 1.34
2013-05-14 1.35 1.43 1.35 1.42 136200 1.42
2013-05-15 1.43 1.5 1.43 1.49 104000 1.49
2013-05-16 1.46 1.48 1.37 1.4 94100 1.4
2013-05-17 1.41 1.55 1.41 1.55 183900 1.55
2013-05-20 1.55 1.75 1.55 1.75 395000 1.75
2013-05-21 1.73 1.76 1.55 1.7 147600 1.7
2013-05-22 1.73 1.75 1.68 1.73 123100 1.73
2013-05-23 1.71 1.73 1.59 1.7 96000 1.7
2013-05-24 1.67 1.71 1.66 1.67 66400 1.67
2013-05-28 1.74 1.75 1.7 1.74 118800 1.74
2013-05-29 1.75 1.75 1.7 1.71 52200 1.71
2013-05-30 1.73 1.73 1.66 1.73 76400 1.73
2013-05-31 1.73 1.73 1.67 1.71 57300 1.71
2013-06-03 1.71 1.71 1.56 1.67 83400 1.67
2013-06-04 1.67 1.7 1.63 1.66 45400 1.66
2013-06-05 1.68 1.68 1.36 1.45 154600 1.45
2013-06-06 1.4 1.56 1.36 1.5 70100 1.5
2013-06-07 1.53 1.66 1.53 1.55 43800 1.55
2013-06-10 1.59 1.59 1.5 1.58 64400 1.58
2013-06-11 1.58 1.63 1.56 1.63 75600 1.63
2013-06-12 1.66 1.8 1.66 1.75 422500 1.75
2013-06-13 1.85 1.9 1.77 1.85 371200 1.85
2013-06-14 1.87 2.05 1.86 1.98 286500 1.98
2013-06-17 2.05 2.2 1.95 2.2 302200 2.2
2013-06-18 2.27 2.99 2.25 2.6 1424700 2.6
2013-06-19 2.56 2.64 2.02 2.06 920600 2.06
2013-06-20 2.05 2.34 2.04 2.26 412600 2.26
2013-06-21 2.3 2.58 2.27 2.33 597100 2.33
2013-06-24 2.3 2.43 2.3 2.38 345600 2.38
2013-06-25 2.4 2.45 2.27 2.3 210100 2.3
2013-06-26 2.3 2.33 2.16 2.25 385100 2.25
2013-06-27 2.28 2.32 2.15 2.23 126000 2.23
2013-06-28 2.3 2.3 2.15 2.24 145000 2.24
2013-07-01 2.27 2.27 2.18 2.25 93000 2.25
2013-07-02 2.26 2.3 2.23 2.25 109600 2.25
2013-07-03 2.22 2.34 2.21 2.28 100500 2.28
2013-07-05 2.32 2.32 2.2 2.21 181700 2.21
2013-07-08 2.21 2.25 2.2 2.23 78900 2.23
2013-07-09 2.25 2.28 2.23 2.27 85700 2.27
2013-07-10 2.28 2.3 2.26 2.28 154100 2.28
2013-07-11 2.31 2.45 2.27 2.35 161100 2.35
2013-07-12 2.37 2.41 2.32 2.33 72500 2.33
2013-07-15 2.38 2.4 2.3 2.37 65200 2.37
2013-07-16 2.4 2.4 2.26 2.3 91200 2.3
2013-07-17 2.28 2.3 2.25 2.26 67800 2.26
2013-07-18 2.25 2.3 2.23 2.28 110200 2.28
2013-07-19 2.26 2.34 2.23 2.31 41500 2.31
2013-07-22 2.34 2.37 2.32 2.35 59800 2.35
2013-07-23 2.38 2.42 2.34 2.4 111000 2.4
2013-07-24 2.4 2.4 2.3 2.32 118200 2.32
2013-07-25 2.37 2.37 2.15 2.26 261700 2.26
2013-07-26 2.26 2.26 2.2 2.23 52700 2.23
2013-07-29 2.21 2.25 2.16 2.21 84400 2.21
2013-07-30 2.21 2.24 2.15 2.17 71500 2.17
2013-07-31 2.18 2.24 2.18 2.24 56000 2.24
2013-08-01 2.23 2.24 2.18 2.21 41800 2.21
2013-08-02 2.19 2.23 2.17 2.18 44300 2.18
2013-08-05 2.15 2.2 2.15 2.19 30700 2.19
2013-08-06 2.19 2.2 2.17 2.18 38800 2.18
2013-08-07 2.16 2.18 2.15 2.17 54100 2.17
2013-08-08 2.2 2.2 2.15 2.17 27200 2.17
2013-08-09 2.17 2.17 2.12 2.14 35600 2.14
2013-08-12 2.13 2.13 2.07 2.08 50400 2.08
2013-08-13 2.04 2.08 1.91 1.92 222700 1.92
2013-08-14 1.94 1.94 1.85 1.9 66000 1.9
2013-08-15 1.85 1.92 1.6 1.65 215300 1.65
2013-08-16 1.6 1.71 1.6 1.68 95900 1.68
2013-08-19 1.7 2.11 1.7 1.89 339900 1.89
2013-08-20 1.89 1.98 1.82 1.89 67100 1.89
2013-08-21 1.88 2 1.85 1.95 65100 1.95
2013-08-22 1.95 2.1 1.95 2.09 40100 2.09
2013-08-23 2.12 2.12 2.01 2.06 81600 2.06
2013-08-26 2.1 2.1 2 2.04 82500 2.04
2013-08-27 2.02 2.05 1.9 1.99 70800 1.99
2013-08-28 2 2.04 1.96 2.02 69400 2.02
2013-08-29 1.98 2.02 1.98 2 20100 2
2013-08-30 2.02 2.02 1.95 1.95 25000 1.95
2013-09-03 1.96 2 1.96 1.96 44500 1.96
2013-09-04 1.95 2 1.95 1.97 28400 1.97
2013-09-05 2 2 1.97 1.97 20200 1.97
2013-09-06 1.96 2 1.95 1.98 154400 1.98
2013-09-09 1.94 2.01 1.94 1.97 75200 1.97
2013-09-10 1.97 2.01 1.9 1.96 35100 1.96
2013-09-11 1.94 1.98 1.9 1.93 45700 1.93
2013-09-12 1.93 1.94 1.9 1.9 67100 1.9
2013-09-13 1.9 1.99 1.9 1.96 54700 1.96
2013-09-16 1.93 1.99 1.91 1.98 59900 1.98
2013-09-17 1.96 1.98 1.92 1.94 29000 1.94
2013-09-18 1.92 1.98 1.91 1.92 90500 1.92
2013-09-19 1.95 1.95 1.88 1.89 73300 1.89
2013-09-20 1.92 1.95 1.88 1.89 28200 1.89
2013-09-23 1.86 1.89 1.85 1.86 25900 1.86
2013-09-24 1.85 1.88 1.85 1.86 42000 1.86
2013-09-25 1.88 1.88 1.85 1.85 18200 1.85
