"Index" "USD.SEK"
2013-09-25 6.4137
2013-09-26 6.4208
2013-09-27 6.4191
2013-09-28 6.4328
2013-09-29 6.4341
2013-09-30 6.4257
2013-10-01 6.3884
2013-10-02 6.3772
2013-10-03 6.3592
2013-10-04 6.3744
2013-10-05 6.4283
2013-10-06 6.4259
2013-10-07 6.4257
2013-10-08 6.4184
2013-10-09 6.4515
2013-10-10 6.4908
2013-10-11 6.4869
2013-10-12 6.476
2013-10-13 6.4748
2013-10-14 6.4726
2013-10-15 6.4824
2013-10-16 6.4989
2013-10-17 6.4443
2013-10-18 6.4091
2013-10-19 6.4149
2013-10-20 6.4154
2013-10-21 6.4184
2013-10-22 6.3897
2013-10-23 6.3743
2013-10-24 6.3613
2013-10-25 6.338
2013-10-26 6.3166
2013-10-27 6.3183
2013-10-28 6.3269
2013-10-29 6.3645
2013-10-30 6.382
2013-10-31 6.4314
2013-11-01 6.5072
2013-11-02 6.5386
2013-11-03 6.537
2013-11-04 6.5179
2013-11-05 6.521
2013-11-06 6.5032
2013-11-07 6.5085
2013-11-08 6.5685
2013-11-09 6.5902
2013-11-10 6.5943
2013-11-11 6.5839
2013-11-12 6.6131
2013-11-13 6.6644
2013-11-14 6.6577
2013-11-15 6.6467
2013-11-16 6.6345
2013-11-17 6.6323
2013-11-18 6.6235
2013-11-19 6.6162
2013-11-20 6.6166
2013-11-21 6.6515
2013-11-22 6.6053
2013-11-23 6.575
2013-11-24 6.5775
2013-11-25 6.5786
2013-11-26 6.5675
2013-11-27 6.5701
2013-11-28 6.5689
2013-11-29 6.5493
2013-11-30 6.564
2013-12-01 6.5647
2013-12-02 6.5497
2013-12-03 6.5419
2013-12-04 6.5128
2013-12-05 6.5012
2013-12-06 6.5055
2013-12-07 6.5058
2013-12-08 6.5068
2013-12-09 6.5187
2013-12-10 6.5332
2013-12-11 6.5415
2013-12-12 6.5692
2013-12-13 6.5945
2013-12-14 6.5739
2013-12-15 6.5743
2013-12-16 6.5703
2013-12-17 6.5722
2013-12-18 6.5448
2013-12-19 6.5653
2013-12-20 6.5857
2013-12-21 6.5887
2013-12-22 6.5836
2013-12-23 6.5732
2013-12-24 6.5739
2013-12-25 6.5627
2013-12-26 6.5611
2013-12-27 6.5184
2013-12-28 6.5099
2013-12-29 6.5106
2013-12-30 6.4796
2013-12-31 6.4248
2014-01-01 6.439
