"Index" "MQ.Open" "MQ.High" "MQ.Low" "MQ.Close" "MQ.Volume" "MQ.Adjusted"
2013-01-01 0.005 0.005 0.005 0.005 0 0.5
2013-01-02 0.005 0.005 0.005 0.005 0 0.5
2013-01-03 0.005 0.005 0.005 0.005 0 0.5
2013-01-04 0.005 0.005 0.005 0.005 0 0.5
2013-01-07 0.005 0.005 0.005 0.005 0 0.5
2013-01-08 0.005 0.005 0.005 0.005 0 0.5
2013-01-09 0.005 0.005 0.005 0.005 0 0.5
2013-01-10 0.005 0.005 0.005 0.005 0 0.5
2013-01-11 0.005 0.005 0.005 0.005 0 0.5
2013-01-14 0.005 0.005 0.005 0.005 0 0.5
2013-01-15 0.005 0.005 0.005 0.005 0 0.5
2013-01-16 0.005 0.005 0.005 0.005 0 0.5
2013-01-17 0.005 0.005 0.005 0.005 0 0.5
2013-01-18 0.005 0.005 0.005 0.005 3000 0.5
2013-01-21 0.005 0.005 0.005 0.005 3500 0.5
2013-01-22 0.005 0.005 0.005 0.005 100 0.5
2013-01-23 0.005 0.005 0.005 0.005 0 0.5
2013-01-24 0.005 0.005 0.005 0.005 0 0.5
2013-01-25 0.005 0.005 0.005 0.005 0 0.5
2013-01-28 0.005 0.005 0.005 0.005 0 0.5
2013-01-29 0.005 0.005 0.005 0.005 0 0.5
2013-01-30 0.005 0.005 0.005 0.005 0 0.5
2013-01-31 0.005 0.01 0.005 0.01 600 1
2013-02-01 0.01 0.01 0.01 0.01 0 1
2013-02-04 0.01 0.01 0.01 0.01 0 1
2013-02-05 0.01 0.01 0.01 0.01 0 1
2013-02-06 0.01 0.01 0.01 0.01 0 1
2013-02-07 0.01 0.01 0.01 0.01 0 1
2013-02-08 0.01 0.01 0.01 0.01 0 1
2013-02-11 0.01 0.01 0.01 0.01 0 1
2013-02-12 0.01 0.01 0.01 0.01 0 1
2013-02-13 0.01 0.01 0.01 0.01 0 1
2013-02-14 0.005 0.005 0.005 0.005 0 0.5
2013-02-15 0.005 0.005 0.005 0.005 0 0.5
2013-02-18 0.005 0.005 0.005 0.005 0 0.5
2013-02-19 0.005 0.005 0.005 0.005 0 0.5
2013-02-20 0.005 0.005 0.005 0.005 0 0.5
2013-02-21 0.005 0.005 0.005 0.005 600 0.5
2013-02-22 0.005 0.005 0.005 0.005 0 0.5
2013-02-25 0.005 0.005 0.005 0.005 0 0.5
2013-02-26 0.005 0.005 0.005 0.005 0 0.5
2013-02-27 0.005 0.005 0.005 0.005 0 0.5
2013-02-28 0.005 0.005 0.005 0.005 0 0.5
2013-03-01 0.005 0.005 0.005 0.005 0 0.5
2013-03-04 0.005 0.005 0.005 0.005 0 0.5
2013-03-05 0.005 0.005 0.005 0.005 0 0.5
2013-03-06 0.005 0.005 0.005 0.005 0 0.5
2013-03-07 0.005 0.005 0.005 0.005 0 0.5
2013-03-08 0.005 0.005 0.005 0.005 0 0.5
2013-03-11 0.005 0.005 0.005 0.005 0 0.5
2013-03-12 0.005 0.005 0.005 0.005 0 0.5
2013-03-13 0.005 0.005 0.005 0.005 0 0.5
2013-03-14 0.005 0.005 0.005 0.005 0 0.5
2013-03-15 0.005 0.005 0.005 0.005 0 0.5
2013-03-18 0.005 0.005 0.005 0.005 0 0.5
2013-03-19 0.005 0.005 0.005 0.005 0 0.5
2013-03-20 0.005 0.005 0.005 0.005 0 0.5
2013-03-21 0.005 0.005 0.005 0.005 0 0.5
2013-03-22 0.005 0.005 0.005 0.005 0 0.5
2013-03-25 0.005 0.005 0.005 0.005 0 0.5
2013-03-26 0.005 0.005 0.005 0.005 0 0.5
2013-03-27 0.005 0.005 0.005 0.005 0 0.5
2013-03-28 0.005 0.005 0.005 0.005 0 0.5
2013-03-29 0.005 0.005 0.005 0.005 0 0.5
2013-04-01 0.005 0.005 0.005 0.005 0 0.5
2013-04-02 0.005 0.005 0.005 0.005 0 0.5
2013-04-03 0.005 0.005 0.005 0.005 0 0.5
2013-04-04 0.005 0.005 0.005 0.005 0 0.5
2013-04-05 0.005 0.005 0.005 0.005 0 0.5
2013-04-08 0.005 0.005 0.005 0.005 0 0.5
2013-04-09 0.005 0.005 0.005 0.005 0 0.5
2013-04-10 0.005 0.005 0.005 0.005 5000 0.5
2013-04-11 0.005 0.005 0.005 0.005 0 0.5
2013-04-12 0.005 0.005 0.005 0.005 3000 0.5
2013-04-15 0.005 0.005 0.005 0.005 0 0.5
2013-04-16 0.005 0.005 0.005 0.005 700 0.5
2013-04-17 0.005 0.005 0.005 0.005 0 0.5
2013-04-18 0.005 0.005 0.005 0.005 0 0.5
2013-04-19 0.01 0.01 0.01 0.01 900 1
2013-04-22 0.005 0.005 0.005 0.005 5600 0.5
2013-04-23 0.005 0.005 0.005 0.005 6800 0.5
2013-04-24 0.005 0.005 0.005 0.005 0 0.5
2013-04-25 0.005 0.005 0.005 0.005 0 0.5
2013-04-26 0.005 0.005 0.005 0.005 0 0.5
2013-04-29 0.01 0.02 0.01 0.02 2300 2
2013-04-30 0.01 0.02 0.01 0.01 2400 1
2013-05-01 0.02 0.02 0.02 0.02 900 2
2013-05-02 0.02 0.02 0.02 0.02 0 2
2013-05-03 0.02 0.02 0.02 0.02 0 2
2013-05-06 0.02 0.02 0.02 0.02 0 2
2013-05-07 0.01 0.01 0.01 0.01 0 1
2013-05-08 0.01 0.01 0.01 0.01 1400 1
2013-05-09 0.005 0.01 0.005 0.01 600 1
2013-05-10 0.01 0.01 0.01 0.01 0 1
2013-05-13 0.01 0.01 0.01 0.01 200 1
2013-05-14 0.01 0.01 0.01 0.01 0 1
2013-05-15 0.01 0.01 0.01 0.01 0 1
2013-05-16 0.01 0.01 0.01 0.01 0 1
2013-05-17 0.01 0.01 0.01 0.01 0 1
2013-05-20 0.01 0.01 0.01 0.01 0 1
2013-05-21 0.01 0.01 0.01 0.01 0 1
2013-05-22 0.01 0.01 0.01 0.01 100 1
2013-05-23 0.01 0.01 0.01 0.01 100 1
2013-05-24 0.01 0.01 0.01 0.01 0 1
2013-05-27 0.01 0.01 0.01 0.01 300 1
2013-05-28 0.01 0.01 0.01 0.01 1200 1
2013-05-29 0.01 0.01 0.01 0.01 0 1
2013-05-30 0.01 0.01 0.01 0.01 1800 1
2013-05-31 0.005 0.01 0.005 0.01 1800 1
2013-06-03 0.01 0.01 0.01 0.01 0 1
2013-06-04 0.015 0.015 0.01 0.01 3900 1
2013-06-05 0.01 0.01 0.01 0.01 0 1
2013-06-06 0.01 0.01 0.01 0.01 0 1
2013-06-07 0.01 0.01 0.01 0.01 0 1
2013-06-10 0.01 0.01 0.01 0.01 0 1
2013-06-11 0.015 0.015 0.015 0.015 4900 1.5
2013-06-12 0.01 0.01 0.01 0.01 100 1
2013-06-13 0.01 0.01 0.01 0.01 0 1
2013-06-14 0.01 0.01 0.01 0.01 100 1
2013-06-17 0.01 0.01 0.01 0.01 300 1
2013-06-18 0.01 0.01 0.01 0.01 0 1
2013-06-19 0.01 0.01 0.01 0.01 0 1
2013-06-20 0.01 0.01 0.01 0.01 0 1
2013-06-21 0.01 0.01 0.01 0.01 0 1
2013-06-24 0.01 0.01 0.01 0.01 0 1
2013-06-25 0.01 0.01 0.01 0.01 0 1
2013-06-26 0.01 0.01 0.01 0.01 200 1
2013-06-27 0.01 0.01 0.01 0.01 0 1
2013-06-28 0.01 0.01 0.01 0.01 0 1
2013-07-01 0.01 0.01 0.01 0.01 0 1
2013-07-02 0.01 0.01 0.01 0.01 0 1
2013-07-03 0.01 0.01 0.01 0.01 0 1
2013-07-04 0.1 0.1 0.1 0.1 0 1
2013-07-05 0.1 0.1 0.1 0.1 0 1
2013-07-08 0.1 0.1 0.1 0.1 0 1
2013-07-09 0.1 0.1 0.1 0.1 0 1
2013-07-10 0.1 0.1 0.1 0.1 0 1
2013-07-11 0.1 0.1 0.1 0.1 0 1
2013-07-12 0.1 0.1 0.1 0.1 0 1
2013-07-15 0.1 0.1 0.1 0.1 0 1
2013-07-16 0.05 0.05 0.05 0.05 1000 0.5
2013-07-17 0.05 0.05 0.05 0.05 0 0.5
2013-07-18 0.05 0.05 0.05 0.05 7000 0.5
2013-07-19 0.05 0.05 0.05 0.05 0 0.5
2013-07-22 0.05 0.05 0.05 0.05 0 0.5
2013-07-23 0.05 0.05 0.05 0.05 0 0.5
2013-07-24 0.05 0.05 0.05 0.05 0 0.5
2013-07-25 0.05 0.05 0.05 0.05 0 0.5
2013-07-26 0.05 0.05 0.05 0.05 200 0.5
2013-07-29 0.05 0.05 0.05 0.05 100 0.5
2013-07-30 0.05 0.05 0.05 0.05 0 0.5
2013-07-31 0.05 0.05 0.05 0.05 0 0.5
2013-08-01 0.05 0.05 0.05 0.05 0 0.5
2013-08-02 0.06 0.06 0.06 0.06 200 0.6
2013-08-05 0.06 0.06 0.06 0.06 0 0.6
2013-08-06 0.06 0.06 0.06 0.06 0 0.6
2013-08-07 0.06 0.06 0.06 0.06 0 0.6
2013-08-08 0.06 0.06 0.06 0.06 0 0.6
2013-08-09 0.1 0.1 0.07 0.07 500 0.7
2013-08-12 0.095 0.1 0.095 0.1 800 1
2013-08-13 0.1 0.1 0.1 0.1 0 1
2013-08-14 0.1 0.1 0.1 0.1 0 1
2013-08-15 0.1 0.1 0.1 0.1 0 1
2013-08-16 0.1 0.1 0.1 0.1 0 1
2013-08-19 0.1 0.1 0.1 0.1 0 1
2013-08-20 0.1 0.1 0.1 0.1 0 1
2013-08-21 0.1 0.1 0.1 0.1 0 1
2013-08-22 0.1 0.1 0.1 0.1 0 1
2013-08-23 0.1 0.1 0.1 0.1 0 1
2013-08-26 0.1 0.1 0.1 0.1 0 1
2013-08-27 0.09 0.09 0.06 0.06 800 0.6
2013-08-28 0.06 0.06 0.06 0.06 500 0.6
2013-08-29 0.06 0.06 0.06 0.06 0 0.6
2013-08-30 0.06 0.06 0.06 0.06 0 0.6
2013-09-02 0.06 0.06 0.06 0.06 0 0.6
2013-09-03 0.06 0.06 0.06 0.06 0 0.6
2013-09-04 0.05 0.05 0.05 0.05 100 0.5
2013-09-05 0.05 0.05 0.05 0.05 0 0.5
2013-09-06 0.05 0.05 0.05 0.05 200 0.5
2013-09-09 0.05 0.05 0.05 0.05 0 0.5
2013-09-10 0.05 0.05 0.05 0.05 5500 0.5
2013-09-11 0.05 0.05 0.05 0.05 0 0.5
2013-09-12 0.05 0.05 0.05 0.05 0 0.5
2013-09-13 0.05 0.05 0.05 0.05 0 0.5
2013-09-16 0.05 0.05 0.05 0.05 0 0.5
2013-09-17 0.05 0.05 0.05 0.05 300 0.5
2013-09-18 0.055 0.055 0.055 0.055 1000 0.55
2013-09-19 0.05 0.05 0.05 0.05 1000 0.5
