"Index" "USD.KRW"
2013-08-21 1118.445
2013-08-22 1122.085
2013-08-23 1116.82
2013-08-24 1112.925
2013-08-25 1114.085
2013-08-26 1113.275
2013-08-27 1116.32
2013-08-28 1116.32
2013-08-29 1112.165
2013-08-30 1110.25
2013-08-31 1110.06
2013-09-01 1108.68
2013-09-02 1103.21
2013-09-03 1097.935
2013-09-04 1096.55
2013-09-05 1096.43
2013-09-06 1096.43
2013-09-07 1092.595
2013-09-08 1085.135
2013-09-09 1089.69
2013-09-10 1085.72
2013-09-11 1086.545
2013-09-12 1083.955
2013-09-13 1085.72
2013-09-14 1083.535
2013-09-15 1082.425
2013-09-16 1081.15
2013-09-17 1083.605
2013-09-18 1082.075
2013-09-19 1073.425
2013-09-20 1073.02
2013-09-21 1075.755
2013-09-22 1076.25
2013-09-23 1074.98
2013-09-24 1074.635
2013-09-25 1076.72
2013-09-26 1075.44
2013-09-27 1075.21
2013-09-28 1074.83
2013-09-29 1071.08
2013-09-30 1075.27
2013-10-01 1073.77
2013-10-02 1074.465
2013-10-03 1074.405
2013-10-04 1071.755
2013-10-05 1074.22
2013-10-06 1076.42
2013-10-07 1071.82
2013-10-08 1073.825
2013-10-09 1075.27
2013-10-10 1073.715
2013-10-11 1071.24
2013-10-12 1071.66
2013-10-13 1071.925
2013-10-14 1071.415
2013-10-15 1066.665
2013-10-16 1066.61
2013-10-17 1063.945
2013-10-18 1061.4
2013-10-19 1061.005
2013-10-20 1061.005
2013-10-21 1061.955
2013-10-22 1060.225
2013-10-23 1057.585
2013-10-24 1059.775
2013-10-25 1062.36
2013-10-26 1060.69
2013-10-27 1062.305
2013-10-28 1061.52
2013-10-29 1061.74
2013-10-30 1060.335
2013-10-31 1060.39
2013-11-01 1061.575
2013-11-02 1061.46
2013-11-03 1062.04
2013-11-04 1062.375
2013-11-05 1061.52
2013-11-06 1061.005
2013-11-07 1061.685
2013-11-08 1063.38
2013-11-09 1063.38
2013-11-10 1067.935
2013-11-11 1070.8
2013-11-12 1072.39
2013-11-13 1072.16
2013-11-14 1068.38
2013-11-15 1064.625
2013-11-16 1062.87
2013-11-17 1055.82
2013-11-18 1056.295
2013-11-19 1055.635
2013-11-20 1056.635
2013-11-21 1061.74
2013-11-22 1061.345
2013-11-23 1061.4
2013-11-24 1061.97
2013-11-25 1061.125
2013-11-26 1060.445
2013-11-27 1061.005
2013-11-28 1061.345
2013-11-29 1058.705
2013-11-30 1058.2
2013-12-01 1058.31
2013-12-02 1058.09
2013-12-03 1060.785
2013-12-04 1061.46
2013-12-05 1060.055
2013-12-06 1057.64
2013-12-07 1057.085
2013-12-08 1056.58
2013-12-09 1054.465
2013-12-10 1052.355
2013-12-11 1051.97
2013-12-12 1052.08
2013-12-13 1053.135
2013-12-14 1053.02
2013-12-15 1053.415
2013-12-16 1052.8
2013-12-17 1051.305
2013-12-18 1051.635
2013-12-19 1058.705
2013-12-20 1061.52
2013-12-21 1061.97
2013-12-22 1061.74
2013-12-23 1060.215
2013-12-24 1059.995
2013-12-25 1060.555
2013-12-26 1060.055
2013-12-27 1055.635
2013-12-28 1054.855
2013-12-29 1054.74
2013-12-30 1057.17
2013-12-31 1055.745
2014-01-01 1055.855
2014-01-02 1051.97
2014-01-03 1054.63
2014-01-04 1055.525
2014-01-05 1055.525
2014-01-06 1061.625
2014-01-07 1068.435
2014-01-08 1065.875
2014-01-09 1063.83
2014-01-10 1062.025
2014-01-11 1061.52
2014-01-12 1061.4
2014-01-13 1058.65
2014-01-14 1058.99
2014-01-15 1062.985
2014-01-16 1063.435
2014-01-17 1061.235
2014-01-18 1061.52
2014-01-19 1062.765
2014-01-20 1063.685
2014-01-21 1064.85
2014-01-22 1067.52
2014-01-23 1072.79
2014-01-24 1078.925
2014-01-25 1081.245
2014-01-26 1080.38
2014-01-27 1082.31
2014-01-28 1079.855
2014-01-29 1071.18
2014-01-30 1076.6
2014-01-31 1080.91
2014-02-01 1082.22
2014-02-02 1081.26
2014-02-03 1084.265
2014-02-04 1084.425
2014-02-05 1078.925
2014-02-06 1078.225
2014-02-07 1075.21
2014-02-08 1075.21
2014-02-09 1076.485
2014-02-10 1073.715
2014-02-11 1071.355
2014-02-12 1063.775
2014-02-13 1065.36
2014-02-14 1063.15
2014-02-15 1063.72
2014-02-16 1062.755
2014-02-17 1059.99
2014-02-18 1064.905
2014-02-19 1066.04
2014-02-20 1071.64
2014-02-21 1072.675
2014-02-22 1072.965
2014-02-23 1073.075
2014-02-24 1074.055
2014-02-25 1072.56
2014-02-26 1067.635
2014-02-27 1068.665
2014-02-28 1066.895
2014-03-01 1066.5
2014-03-02 1066.95
2014-03-03 1069.465
2014-03-04 1071.755
2014-03-05 1071.07
2014-03-06 1065.7
2014-03-07 1062.985
2014-03-08 1065.135
2014-03-09 1065.36
2014-03-10 1064.215
2014-03-11 1065.475
2014-03-12 1069.575
2014-03-13 1068.775
2014-03-14 1071.41
2014-03-15 1071.3
2014-03-16 1071.41
2014-03-17 1068.88
2014-03-18 1068.835
2014-03-19 1070.38
